證券代號,證券名稱,買進股數,賣出股數,買賣超股數
2368  ,金像電          ,"2,901,000",20,"2,900,980"
2891  ,中信金          ,"5,573,000","3,233,268","2,339,732"
6191  ,精成科          ,"2,035,000",0,"2,035,000"
2884  ,玉山金          ,"1,849,000","398,284","1,450,716"
2449  ,京元電子        ,"1,068,000","150,456","917,544"
2345  ,智邦            ,"849,600","202,747","646,853"
3661  ,世芯-KY         ,"386,000","5,000","381,000"
2383  ,台光電          ,"361,800","10,609","351,191"
2330  ,台積電          ,"347,100","54,634","292,466"
9907  ,統一實          ,"250,000",0,"250,000"
6139  ,亞翔            ,"222,000","20,000","202,000"
1702  ,南僑            ,"174,000",0,"174,000"
2360  ,致茂            ,"324,800","153,032","171,768"
1802  ,台玻            ,"140,000",0,"140,000"
2402  ,毅嘉            ,"127,000",0,"127,000"
8163  ,達方            ,"100,000",0,"100,000"
3443  ,創意            ,"101,000","1,025","99,975"
3706  ,神達            ,"99,000",0,"99,000"
3694  ,海華            ,"89,000",0,"89,000"
6515  ,穎崴            ,"92,500","5,000","87,500"
6805  ,富世達          ,"98,000","13,000","85,000"
3017  ,奇鋐            ,"117,800","38,000","79,800"
6213  ,聯茂            ,"77,000",0,"77,000"
1519  ,華城            ,"75,000","1,126","73,874"
3037  ,欣興            ,"111,000","44,000","67,000"
2059  ,川湖            ,"66,000","2,029","63,971"
3481  ,群創            ,"65,000","1,701","63,299"
2316  ,楠梓電          ,"63,000",0,"63,000"
6781  ,AES-KY          ,"57,000",0,"57,000"
1504  ,東元            ,"265,000","210,000","55,000"
8021  ,尖點            ,"55,000",0,"55,000"
2409  ,友達            ,"50,000",214,"49,786"
3189  ,景碩            ,"47,000","1,000","46,000"
6669  ,緯穎            ,"47,100","2,703","44,397"
8028  ,昇陽半導體      ,"40,000",0,"40,000"
3515  ,華擎            ,"30,000",0,"30,000"
5234  ,達興材料        ,"27,000",0,"27,000"
1514  ,亞力            ,"25,000",0,"25,000"
9911  ,櫻花            ,"24,000",0,"24,000"
4722  ,國精化          ,"15,000",0,"15,000"
6770  ,力積電          ,"25,000","11,000","14,000"
2352  ,佳世達          ,"9,000",0,"9,000"
2354  ,鴻準            ,"9,000",0,"9,000"
8114  ,振樺電          ,"9,000",0,"9,000"
2313  ,華通            ,"8,000",0,"8,000"
6757  ,台灣虎航        ,"7,000",0,"7,000"
1722  ,台肥            ,"6,000",0,"6,000"
6271  ,同欣電          ,"6,000",0,"6,000"
6442  ,光聖            ,"7,000","1,000","6,000"
6691  ,洋基工程        ,"6,000",0,"6,000"
2395  ,研華            ,"3,000",0,"3,000"
3563  ,牧德            ,"3,000",0,"3,000"
3008  ,大立光          ,"1,000",221,779
2303  ,聯電            ,"103,000","6,909,807","-6,806,807"
2408  ,南亞科          ,"235,000","6,353,203","-6,118,203"
3231  ,緯創            ,"134,000","4,118,138","-3,984,138"
2618  ,長榮航          ,0,"2,998,154","-2,998,154"
2344  ,華邦電          ,"24,000","2,866,000","-2,842,000"
2481  ,強茂            ,"432,000","2,882,000","-2,450,000"
2455  ,全新            ,"4,000","2,342,000","-2,338,000"
2317  ,鴻海            ,"219,000","2,394,415","-2,175,415"
2603  ,長榮            ,"450,000","2,503,158","-2,053,158"
2615  ,萬海            ,0,"2,048,356","-2,048,356"
"=""00965 """,元大航太防衛科技,0,"2,000,000","-2,000,000"
2324  ,仁寶            ,"36,000","1,609,134","-1,573,134"
2610  ,華航            ,0,"1,548,000","-1,548,000"
2308  ,台達電          ,"121,000","1,529,953","-1,408,953"
2887  ,台新新光金      ,"102,000","1,479,402","-1,377,402"
2337  ,旺宏            ,"845,000","2,093,000","-1,248,000"
2801  ,彰銀            ,0,"1,231,204","-1,231,204"
2301  ,光寶科          ,"158,000","1,383,784","-1,225,784"
2886  ,兆豐金          ,"39,000","1,209,684","-1,170,684"
4915  ,致伸            ,"15,000","1,119,000","-1,104,000"
9904  ,寶成            ,0,"1,030,000","-1,030,000"
