證券代號,證券名稱,買進股數,賣出股數,買賣超股數
2883  ,凱基金          ,"3,015,000","423,000","2,592,000"
2368  ,金像電          ,"1,454,000","7,000","1,447,000"
6239  ,力成            ,"1,697,000","447,338","1,249,662"
3711  ,日月光投控      ,"1,271,900","48,000","1,223,900"
2383  ,台光電          ,"1,023,312","9,600","1,013,712"
1605  ,華新            ,"1,021,000","56,000","965,000"
2330  ,台積電          ,"1,017,411","78,501","938,910"
2337  ,旺宏            ,"892,000",0,"892,000"
8996  ,高力            ,"672,000",0,"672,000"
2887  ,台新新光金      ,"2,071,000","1,521,900","549,100"
3044  ,健鼎            ,"612,000","117,805","494,195"
2882  ,國泰金          ,"511,000","62,416","448,584"
2345  ,智邦            ,"539,922","102,347","437,575"
8021  ,尖點            ,"430,000","2,000","428,000"
3443  ,創意            ,"416,225",0,"416,225"
6781  ,AES-KY          ,"411,500",0,"411,500"
3167  ,大量            ,"371,000",0,"371,000"
9907  ,統一實          ,"376,000","6,000","370,000"
3030  ,德律            ,"334,000",0,"334,000"
2885  ,元大金          ,"447,300","122,727","324,573"
2610  ,華航            ,"802,000","487,754","314,246"
1514  ,亞力            ,"302,000",0,"302,000"
"=""00881 """,國泰台灣科技龍頭,"301,000",0,"301,000"
2515  ,中工            ,"263,000",0,"263,000"
3694  ,海華            ,"250,000",0,"250,000"
6805  ,富世達          ,"239,000",0,"239,000"
2317  ,鴻海            ,"648,000","416,304","231,696"
2023  ,燁輝            ,"211,000",0,"211,000"
2354  ,鴻準            ,"207,000",0,"207,000"
2880  ,華南金          ,"268,000","71,000","197,000"
8163  ,達方            ,"200,000","3,772","196,228"
2412  ,中華電          ,"189,775","7,000","182,775"
"=""0056  """,元大高股息      ,"180,000",0,"180,000"
1303  ,南亞            ,"274,000","94,541","179,459"
3515  ,華擎            ,"157,000",0,"157,000"
9904  ,寶成            ,"868,000","715,457","152,543"
1702  ,南僑            ,"150,000",0,"150,000"
3481  ,群創            ,"160,000","15,700","144,300"
1519  ,華城            ,"145,000","1,126","143,874"
5234  ,達興材料        ,"135,000",0,"135,000"
2890  ,永豐金          ,"295,000","162,697","132,303"
6196  ,帆宣            ,"204,000","79,000","125,000"
3661  ,世芯-KY         ,"117,196","1,000","116,196"
6669  ,緯穎            ,"106,000","2,290","103,710"
2832  ,台產            ,"102,000",0,"102,000"
6191  ,精成科          ,"95,000",0,"95,000"
2903  ,遠百            ,"115,000","28,000","87,000"
1513  ,中興電          ,"100,000","15,200","84,800"
1722  ,台肥            ,"83,000",0,"83,000"
