Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,Unnamed: 6
 ,3711  ,日月光投控      ,"3,495,000",0,"3,495,000",
 ,3037  ,欣興            ,"1,744,000","1,000","1,743,000",
 ,2308  ,台達電          ,"1,571,000","6,000","1,565,000",
 ,2883  ,凱基金          ,"2,557,000","1,060,000","1,497,000",
 ,4961  ,天鈺            ,"1,482,000","52,000","1,430,000",
 ,2542  ,興富發          ,"1,233,000","7,000","1,226,000",
 ,2408  ,南亞科          ,"1,162,000","136,000","1,026,000",
 ,2368  ,金像電          ,"805,000",0,"805,000",
 ,2455  ,全新            ,"588,000",0,"588,000",
 ,5522  ,遠雄            ,"577,000","3,000","574,000",
 ,2356  ,英業達          ,"999,000","485,000","514,000",
 ,1434  ,福懋            ,"514,000","6,000","508,000",
 ,3702  ,大聯大          ,"516,000","9,000","507,000",
 ,1102  ,亞泥            ,"484,000","18,000","466,000",
 ,3231  ,緯創            ,"795,000","331,000","464,000",
 ,2324  ,仁寶            ,"981,000","579,000","402,000",
 ,2317  ,鴻海            ,"398,000","2,000","396,000",
 ,2303  ,聯電            ,"679,000","294,000","385,000",
 ,2449  ,京元電子        ,"377,000","1,000","376,000",
 ,2809  ,京城銀          ,"345,000","1,000","344,000",
 ,3661  ,世芯-KY         ,"317,000",0,"317,000",
 ,3533  ,嘉澤            ,"323,000","20,000","303,000",
 ,2347  ,聯強            ,"512,000","214,000","298,000",
 ,1101  ,台泥            ,"531,000","243,000","288,000",
 ,3189  ,景碩            ,"276,000",0,"276,000",
 ,6283  ,淳安            ,"275,000",0,"275,000",
 ,2458  ,義隆            ,"266,000",0,"266,000",
 ,2239  ,英利-KY         ,"248,000",0,"248,000",
 ,2301  ,光寶科          ,"487,000","257,000","230,000",
 ,9933  ,中鼎            ,"233,000","4,000","229,000",
 ,2393  ,億光            ,"203,000",0,"203,000",
 ,4938  ,和碩            ,"370,000","173,000","197,000",
 ,6456  ,GIS-KY          ,"198,000","1,000","197,000",
 ,2376  ,技嘉            ,"195,000",0,"195,000",
 ,3005  ,神基            ,"179,000","2,000","177,000",
 ,2915  ,潤泰全          ,"172,000","2,000","170,000",
 ,3044  ,健鼎            ,"158,000",0,"158,000",
 ,1305  ,華夏            ,"150,000",0,"150,000",
 ,2454  ,聯發科          ,"169,000","20,000","149,000",
 ,6176  ,瑞儀            ,"142,000",0,"142,000",
 ,2886  ,兆豐金          ,"543,000","403,000","140,000",
 ,2451  ,創見            ,"132,000","2,000","130,000",
 ,2382  ,廣達            ,"272,000","144,000","128,000",
 ,1476  ,儒鴻            ,"112,000","1,000","111,000",
 ,3665  ,貿聯-KY         ,"109,000","1,000","108,000",
 ,2330  ,台積電          ,"181,000","76,000","105,000",
 ,2481  ,強茂            ,"255,000","150,000","105,000",
 ,2504  ,國產            ,"300,000","216,000","84,000",
 ,8046  ,南電            ,"93,000","12,000","81,000",
 ,"=""0050  """,元大台灣50      ,"75,000",0,"75,000",
 ,2049  ,上銀            ,"65,000",0,"65,000",
 ,2439  ,美律            ,"63,000",0,"63,000",
 ,1326  ,台化            ,"80,000","19,000","61,000",
 ,8261  ,富鼎            ,"58,000",0,"58,000",
 ,6213  ,聯茂            ,"55,000",0,"55,000",
 ,1301  ,台塑            ,"169,000","116,000","53,000",
 ,2377  ,微星            ,"130,000","77,000","53,000",
 ,2404  ,漢唐            ,"58,000","6,000","52,000",
 ,2002  ,中鋼            ,"50,000",0,"50,000",
 ,"=""0052  """,富邦科技        ,"55,000","8,000","47,000",
 ,2606  ,裕民            ,"100,000","55,000","45,000",
 ,2385  ,群光            ,"226,000","183,000","43,000",
 ,9914  ,美利達          ,"43,000","1,000","42,000",
 ,2357  ,華碩            ,"88,000","47,000","41,000",
 ,2727  ,王品            ,"26,000",0,"26,000",
 ,6230  ,尼得科超眾      ,"20,000",0,"20,000",
 ,2360  ,致茂            ,"18,000",0,"18,000",
 ,1536  ,和大            ,"9,000",0,"9,000",
 ,4968  ,立積            ,"9,000",0,"9,000",
 ,4438  ,廣越            ,"7,000",0,"7,000",
 ,2371  ,大同            ,"7,000","2,000","5,000",
 ,3653  ,健策            ,"5,000",0,"5,000",
 ,5269  ,祥碩            ,"3,000",0,"3,000",
 ,2327  ,國巨*           ,"34,000","32,000","2,000",
 ,8016  ,矽創            ,"2,000",0,"2,000",
 ,3532  ,台勝科          ,"1,000",0,"1,000",
 ,3706  ,神達            ,"2,000","1,000","1,000",
 ,2409  ,友達            ,"27,000","40,451,000","-40,424,000",
 ,3481  ,群創            ,"1,666,000","16,353,000","-14,687,000",
 ,2337  ,旺宏            ,"869,000","7,257,000","-6,388,000",
 ,2603  ,長榮            ,"1,227,000","6,420,000","-5,193,000",
 ,2609  ,陽明            ,"107,000","3,406,000","-3,299,000",
 ,2344  ,華邦電          ,"9,000","2,823,000","-2,814,000",
 ,3017  ,奇鋐            ,0,"1,831,000","-1,831,000",
 ,2313  ,華通            ,0,"1,501,000","-1,501,000",
 ,2014  ,中鴻            ,"1,000,000","2,342,000","-1,342,000",
 ,2201  ,裕隆            ,0,"1,264,000","-1,264,000",
 ,3545  ,敦泰            ,"170,000","1,350,000","-1,180,000",
 ,2615  ,萬海            ,0,"835,000","-835,000",
 ,2890  ,永豐金          ,0,"821,000","-821,000",
 ,1513  ,中興電          ,0,"770,000","-770,000",
 ,2351  ,順德            ,"236,000","921,000","-685,000",
 ,3042  ,晶技            ,"21,000","700,000","-679,000",
 ,2105  ,正新            ,0,"618,000","-618,000",
 ,2106  ,建大            ,0,"570,000","-570,000",
 ,9904  ,寶成            ,0,"523,000","-523,000",
 ,2891  ,中信金          ,0,"439,000","-439,000",
 ,1802  ,台玻            ,"300,000","732,000","-432,000",
 ,9938  ,百和            ,0,"413,000","-413,000",
 ,8150  ,南茂            ,0,"407,000","-407,000",
 ,2892  ,第一金          ,0,"402,000","-402,000",
 ,2387  ,精元            ,0,"400,000","-400,000",
 ,2882  ,國泰金          ,0,"383,793","-383,793",
 ,1909  ,榮成            ,0,"344,540","-344,540",
 ,2006  ,東和鋼鐵        ,0,"340,000","-340,000",
 ,1477  ,聚陽            ,0,"331,000","-331,000",
 ,5285  ,界霖            ,0,"330,000","-330,000",
 ,2456  ,奇力新          ,0,"319,000","-319,000",
 ,3443  ,創意            ,"18,000","324,000","-306,000",
 ,4915  ,致伸            ,0,"305,000","-305,000",
 ,8028  ,昇陽半導體      ,0,"300,000","-300,000",
 ,6239  ,力成            ,"2,000","301,000","-299,000",
 ,2412  ,中華電          ,0,"296,000","-296,000",
 ,2383  ,台光電          ,"465,000","754,000","-289,000",
 ,6443  ,元晶            ,0,"285,000","-285,000",
 ,1402  ,遠東新          ,0,"284,000","-284,000",
 ,2492  ,華新科          ,"358,000","641,000","-283,000",
 ,2345  ,智邦            ,"2,000","221,000","-219,000",
 ,2881  ,富邦金          ,0,"218,000","-218,000",
 ,9802  ,鈺齊-KY         ,0,"215,000","-215,000",
 ,4935  ,茂林-KY         ,0,"201,000","-201,000",
 ,3045  ,台灣大          ,0,"199,000","-199,000",
 ,2605  ,新興            ,0,"192,000","-192,000",
 ,6491  ,晶碩            ,0,"185,000","-185,000",
 ,1303  ,南亞            ,0,"184,000","-184,000",
 ,1216  ,統一            ,0,"166,000","-166,000",
 ,2354  ,鴻準            ,0,"166,000","-166,000",
 ,3006  ,晶豪科          ,0,"159,000","-159,000",
 ,2027  ,大成鋼          ,0,"158,000","-158,000",
 ,4904  ,遠傳            ,0,"157,000","-157,000",
 ,3034  ,聯詠            ,"38,000","180,000","-142,000",
 ,2884  ,玉山金          ,0,"114,000","-114,000",
 ,1609  ,大亞            ,0,"100,000","-100,000",
 ,2108  ,南帝            ,0,"100,000","-100,000",
 ,1104  ,環泥            ,0,"96,000","-96,000",
 ,9910  ,豐泰            ,0,"84,000","-84,000",
 ,2340  ,台亞            ,0,"77,000","-77,000",
 ,2885  ,元大金          ,0,"74,000","-74,000",
 ,4551  ,智伸科          ,0,"52,000","-52,000",
 ,1736  ,喬山            ,"100,000","150,000","-50,000",
 ,2379  ,瑞昱            ,"2,000","40,000","-38,000",
 ,2474  ,可成            ,0,"38,000","-38,000",
 ,6669  ,緯穎            ,"1,000","34,000","-33,000",
 ,6706  ,惠特            ,"184,000","216,000","-32,000",
 ,3406  ,玉晶光          ,0,"31,000","-31,000",
 ,1605  ,華新            ,0,"20,000","-20,000",
 ,6416  ,瑞祺電通        ,0,"20,000","-20,000",
 ,2838A ,聯邦銀甲特      ,0,"19,000","-19,000",
 ,5880  ,合庫金          ,0,"19,000","-19,000",
 ,9917  ,中保科          ,0,"19,000","-19,000",
 ,6415  ,矽力*-KY        ,0,"17,000","-17,000",
 ,9921  ,巨大            ,0,"13,000","-13,000",
 ,1537  ,廣隆            ,0,"12,000","-12,000",
 ,6271  ,同欣電          ,0,"12,000","-12,000",
 ,6278  ,台表科          ,"3,000","15,000","-12,000",
 ,5264  ,鎧勝-KY         ,0,"11,000","-11,000",
 ,1795  ,美時            ,0,"10,000","-10,000",
 ,2353  ,宏��            ,"10,000","19,000","-9,000",
 ,2888  ,新光金          ,0,"9,000","-9,000",
 ,2395  ,研華            ,"1,000","9,797","-8,797",
 ,1817  ,凱撒衛          ,0,"7,000","-7,000",
 ,2887E ,台新新光戊特一  ,0,"7,000","-7,000",
 ,9945  ,潤泰新          ,0,"7,000","-7,000",
 ,3515  ,華擎            ,0,"6,000","-6,000",
 ,1229  ,聯華            ,0,"5,000","-5,000",
 ,1722  ,台肥            ,0,"5,000","-5,000",
 ,2352  ,佳世達          ,"5,000","9,000","-4,000",
 ,2834  ,臺企銀          ,0,"4,000","-4,000",
 ,5534  ,長虹            ,0,"4,000","-4,000",
 ,1590  ,亞德客-KY       ,"2,000","5,000","-3,000",
 ,2812  ,台中銀          ,0,"3,000","-3,000",
 ,2823  ,中壽            ,0,"3,000","-3,000",
 ,1210  ,大成            ,0,"2,000","-2,000",
 ,2610  ,華航            ,0,"2,000","-2,000",
 ,2845  ,遠東銀          ,0,"2,000","-2,000",
 ,2882A ,國泰特          ,0,"2,000","-2,000",
 ,2889  ,國票金          ,0,"2,000","-2,000",
 ,3008  ,大立光          ,0,"2,000","-2,000",
 ,3576  ,聯合再生        ,0,"2,000","-2,000",
 ,6285  ,啟��            ,0,"2,000","-2,000",
 ,1227  ,佳格            ,0,"1,000","-1,000",
 ,1504  ,東元            ,0,"1,000","-1,000",
 ,1907  ,永豐餘          ,0,"1,000","-1,000",
 ,2101  ,南港            ,0,"1,000","-1,000",
 ,2421  ,建準            ,0,"1,000","-1,000",
 ,2618  ,長榮航          ,0,"1,000","-1,000",
 ,2903  ,遠百            ,0,"1,000","-1,000",
 ,3376  ,新日興          ,0,"1,000","-1,000",
 ,3682  ,亞太電          ,0,"1,000","-1,000",
 ,4958  ,臻鼎-KY         ,0,"1,000","-1,000",
 ,5871  ,中租-KY         ,0,"1,000","-1,000",
 ,6269  ,台郡            ,0,"1,000","-1,000",
 ,6592  ,和潤企業        ,0,"1,000","-1,000",
 ,9941A ,裕融甲特        ,0,"1,000","-1,000",
說明:,,,,,,
投信表示本國投資信託基金。,,,,,,
＊表示該證券今日有鉅額交易。,,,,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,,
