Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,2882  ,國泰金          ,"3,254,000","168,376","3,085,624"
 ,2891  ,中信金          ,"5,012,000","1,978,562","3,033,438"
 ,1303  ,南亞            ,"3,032,000","8,759","3,023,241"
 ,"=""0050  """,元大台灣50      ,"3,100,000","329,000","2,771,000"
 ,2885  ,元大金          ,"2,428,000","162,000","2,266,000"
 ,3231  ,緯創            ,"2,058,000","130,000","1,928,000"
 ,2408  ,南亞科          ,"2,594,000","686,000","1,908,000"
 ,2317  ,鴻海            ,"2,584,000","771,250","1,812,750"
 ,2881  ,富邦金          ,"1,473,000","155,087","1,317,913"
 ,2886  ,兆豐金          ,"1,500,000","232,000","1,268,000"
 ,2356  ,英業達          ,"1,210,000","26,000","1,184,000"
 ,2312  ,金寶            ,"1,148,000",0,"1,148,000"
 ,2382  ,廣達            ,"1,105,000","20,762","1,084,238"
 ,2301  ,光寶科          ,"841,000","2,000","839,000"
 ,9904  ,寶成            ,"974,000","172,816","801,184"
 ,3711  ,日月光投控      ,"827,000","140,000","687,000"
 ,1717  ,長興            ,"650,000",0,"650,000"
 ,2412  ,中華電          ,"650,000","7,000","643,000"
 ,1102  ,亞泥            ,"806,000","181,933","624,067"
 ,2801  ,彰銀            ,"533,000",0,"533,000"
 ,2449  ,京元電子        ,"500,000","83,000","417,000"
 ,6139  ,亞翔            ,"402,000","9,000","393,000"
 ,8996  ,高力            ,"364,000",0,"364,000"
 ,2324  ,仁寶            ,"3,352,000","2,999,000","353,000"
 ,7769  ,鴻勁            ,"280,000",0,"280,000"
 ,6285  ,啟��            ,"275,000","1,000","274,000"
 ,4904  ,遠傳            ,"750,000","517,000","233,000"
 ,2002  ,中鋼            ,"223,000","1,000","222,000"
 ,2379  ,瑞昱            ,"247,000","41,000","206,000"
 ,5876  ,上海商銀        ,"188,000","4,000","184,000"
 ,1101  ,台泥            ,"172,000",0,"172,000"
 ,2308  ,台達電          ,"199,000","30,000","169,000"
 ,6890  ,來億-KY         ,"169,000",0,"169,000"
 ,3036  ,文曄            ,"384,000","239,000","145,000"
 ,2330  ,台積電          ,"322,000","191,250","130,750"
 ,2439  ,美律            ,"114,000","5,671","108,329"
 ,"=""00881 """,國泰台灣科技龍頭,"108,000",0,"108,000"
 ,"=""0052  """,富邦科技        ,"94,000",0,"94,000"
 ,3189  ,景碩            ,"90,000","2,000","88,000"
 ,7786  ,東方風能        ,"88,000",0,"88,000"
 ,2313  ,華通            ,"77,000",0,"77,000"
 ,4958  ,臻鼎-KY         ,"77,000","6,000","71,000"
 ,5469  ,瀚宇博          ,"68,000",0,"68,000"
 ,2352  ,佳世達          ,"67,000",0,"67,000"
 ,2855  ,統一證          ,"66,000",0,"66,000"
 ,8422  ,可寧衛*         ,"61,000",0,"61,000"
 ,9907  ,統一實          ,"61,000","7,781","53,219"
 ,6605  ,帝寶            ,"90,000","41,000","49,000"
 ,9933  ,中鼎            ,"49,000",0,"49,000"
 ,6781  ,AES-KY          ,"81,000","38,000","43,000"
 ,6282  ,康舒            ,"35,000",0,"35,000"
 ,2404  ,漢唐            ,"91,000","57,457","33,543"
 ,1609  ,大亞            ,"40,000","6,833","33,167"
 ,9802  ,鈺齊-KY         ,"32,000",0,"32,000"
 ,1504  ,東元            ,"30,000",0,"30,000"
