證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""00715L""",期街口布蘭特正2 ,"38,477,000","15,000","38,462,000",0.0,0.0,0.0,0,0,0,"70,428,945",0,0,0,"71,838,945","1,410,000","70,428,945","108,890,945"
"=""00940""",元大台灣價值高息,"2,871,000","5,134,100","-2,263,100",0.0,0.0,0.0,0,0,0,"47,246,247",0,0,0,"50,243,884","2,997,637","47,246,247","44,983,147"
1504,東元            ,"91,225,213","53,568,786","37,656,427",0.0,0.0,0.0,"4,499,000","1,887,444","2,611,556","-2,016,594","1,817,846","2,049,642","-231,796","1,787,148","3,571,946","-1,784,798","38,251,389"
"=""00929""",復華台灣科技優息,"1,106,303","5,923,171","-4,816,868",0.0,0.0,0.0,0,0,0,"42,856,165","10,000",0,"10,000","49,691,262","6,845,097","42,846,165","38,039,297"
"=""00919""",群益台灣精選高息,"5,445,780","3,769,654","1,676,126",0.0,0.0,0.0,0,0,0,"30,420,120","150,000",0,"150,000","34,159,267","3,889,147","30,270,120","32,096,246"
"=""00981T""",平衡凱基雙核收息,"1,000","300,000","-299,000",0.0,0.0,0.0,0,0,0,"29,119,900",0,0,0,"36,362,000","7,242,100","29,119,900","28,820,900"
2887,台新新光金      ,"31,280,715","15,820,677","15,460,038",0.0,0.0,0.0,"6,081,000","2,519,409","3,561,591","1,000,000","765,000","1,000","764,000","462,000","226,000","236,000","20,021,629"
"=""00941""",中信上游半導體  ,"9,808,000","144,000","9,664,000",0.0,0.0,0.0,0,0,0,"10,329,817",0,0,0,"10,629,817","300,000","10,329,817","19,993,817"
3481,群創            ,"31,492,065","10,949,363","20,542,702",0.0,0.0,0.0,"7,100","6,487",613,"-2,550,495","120,000","80,000","40,000","409,091","2,999,586","-2,590,495","17,992,820"
"=""00878""",國泰永續高股息  ,"4,800,320","1,400,300","3,400,020",0.0,0.0,0.0,0,0,0,"13,652,464",0,0,0,"17,163,989","3,511,525","13,652,464","17,052,484"
2317,鴻海            ,"29,099,254","15,304,128","13,795,126",0.0,0.0,0.0,"2,999,000","801,163","2,197,837","880,172","1,276,000","549,000","727,000","762,418","609,246","153,172","16,873,135"
2303,聯電            ,"44,552,731","22,549,597","22,003,134",0.0,0.0,0.0,"1,082,900","5,291,951","-4,209,051","-1,973,896","927,000","1,337,000","-410,000","1,251,265","2,815,161","-1,563,896","15,820,187"
2344,華邦電          ,"104,715,147","89,360,925","15,354,222",0.0,0.0,0.0,"69,000","200,000","-131,000","-3,709,769","4,267,589","5,153,000","-885,411","2,849,752","5,674,110","-2,824,358","11,513,453"
"=""00830""",國泰費城半導體  ,"8,221,150","711,029","7,510,121",0.0,0.0,0.0,0,0,0,"3,411,942",0,"14,000","-14,000","4,018,942","593,000","3,425,942","10,922,063"
"=""00637L""",元大滬深300正2  ,"6,038,000",0,"6,038,000",0.0,0.0,0.0,0,0,0,"4,440,304","250,000","1,046,000","-796,000","18,836,824","13,600,520","5,236,304","10,478,304"
"=""00915""",凱基優選高股息30,"764,418","190,000","574,418",0.0,0.0,0.0,0,0,0,"9,674,497",0,0,0,"10,977,830","1,303,333","9,674,497","10,248,915"
"=""00939""",統一台灣高息動能,"1,673,000","97,000","1,576,000",0.0,0.0,0.0,0,0,0,"7,963,693",0,0,0,"8,550,693","587,000","7,963,693","9,539,693"
9105,泰金寶-DR       ,"13,604,000","5,205,000","8,399,000",0.0,0.0,0.0,0,0,0,"143,267",0,0,0,"147,634","4,367","143,267","8,542,267"
"=""00713""",元大台灣高息低波,"1,861,050",300,"1,860,750",0.0,0.0,0.0,0,"120,000","-120,000","6,624,383",0,0,0,"6,850,383","226,000","6,624,383","8,365,133"
"=""0056""",元大高股息      ,"3,014,803","3,301,055","-286,252",0.0,0.0,0.0,0,0,0,"7,913,187","50,000","20,000","30,000","10,184,479","2,301,292","7,883,187","7,626,935"
"=""00671R""",富邦NASDAQ反1   ,0,0,0,0.0,0.0,0.0,0,0,0,"7,488,215",0,0,0,"9,446,000","1,957,785","7,488,215","7,488,215"
"=""00642U""",期元大S&P石油   ,"563,000","12,000","551,000",0.0,0.0,0.0,0,0,0,"6,539,243",0,0,0,"6,850,243","311,000","6,539,243","7,090,243"
"=""00985B""",群益ESG投等債0-5,"46,000",0,"46,000",0.0,0.0,0.0,0,0,0,"6,993,000",0,0,0,"12,488,000","5,495,000","6,993,000","7,039,000"
2337,旺宏            ,"21,690,000","13,928,170","7,761,830",0.0,0.0,0.0,0,"10,000","-10,000","-843,938","546,000","271,000","275,000","386,825","1,505,763","-1,118,938","6,907,892"
"=""00753L""",中信中國50正2   ,"7,066,000","2,468,000","4,598,000",0.0,0.0,0.0,0,0,0,"1,437,546",0,0,0,"5,301,720","3,864,174","1,437,546","6,035,546"
2408,南亞科          ,"19,165,968","10,103,547","9,062,421",0.0,0.0,0.0,0,"69,415","-69,415","-3,020,769","892,000","3,664,000","-2,772,000","721,575","970,344","-248,769","5,972,237"
2884,玉山金          ,"11,894,929","6,161,731","5,733,198",0.0,0.0,0.0,"74,000","677,112","-603,112","819,000","696,000","50,000","646,000","249,000","76,000","173,000","5,949,086"
2801,彰銀            ,"7,533,345","2,306,166","5,227,179",0.0,0.0,0.0,0,"40,210","-40,210","688,840","585,190","13,350","571,840","147,000","30,000","117,000","5,875,809"
"=""00648R""",元大S&P500反1   ,0,0,0,0.0,0.0,0.0,0,0,0,"5,813,435",0,0,0,"5,839,000","25,565","5,813,435","5,813,435"
"=""00951""",台新日本半導體  ,"2,863,100","22,000","2,841,100",0.0,0.0,0.0,0,0,0,"2,925,823",0,0,0,"5,650,172","2,724,349","2,925,823","5,766,923"
1802,台玻            ,"13,094,000","8,438,000","4,656,000",0.0,0.0,0.0,0,0,0,"981,183","847,000","403,000","444,000","931,114","393,931","537,183","5,637,183"
"=""00665L""",富邦�琤肭磪囓�2 ,"1,209,000","718,000","491,000",0.0,0.0,0.0,0,0,0,"4,932,872",0,0,0,"11,052,921","6,120,049","4,932,872","5,423,872"
"=""00918""",大華優利高填息30,"3,979,000","125,000","3,854,000",0.0,0.0,0.0,0,0,0,"1,401,017",0,0,0,"3,344,000","1,942,983","1,401,017","5,255,017"
2886,兆豐金          ,"8,417,976","4,834,911","3,583,065",0.0,0.0,0.0,"3,554,000","1,020,922","2,533,078","-897,000","559,000","1,396,000","-837,000","197,000","257,000","-60,000","5,219,143"
"=""00902""",中信電池及儲能  ,"2,827,000","75,280","2,751,720",0.0,0.0,0.0,0,0,0,"1,683,572",0,0,0,"3,068,125","1,384,553","1,683,572","4,435,292"
"=""033811""",聯電群益52購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"4,350,000",0,0,0,"4,938,000","588,000","4,350,000","4,350,000"
"=""00881""",國泰台灣科技龍頭,"1,920,568","595,000","1,325,568",0.0,0.0,0.0,0,0,0,"3,017,353",0,0,0,"6,384,130","3,366,777","3,017,353","4,342,921"
"=""009802""",富邦旗艦50      ,"105,000","130,000","-25,000",0.0,0.0,0.0,0,0,0,"4,290,776",0,0,0,"5,252,000","961,224","4,290,776","4,265,776"
"=""032695""",聯電永豐53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"4,194,000",0,0,0,"4,194,000",0,"4,194,000","4,194,000"
"=""00688L""",國泰20年美債正2 ,0,0,0,0.0,0.0,0.0,0,0,0,"4,169,216","1,554,000",0,"1,554,000","4,608,230","1,993,014","2,615,216","4,169,216"
3305,昇貿            ,"5,624,000","1,818,040","3,805,960",0.0,0.0,0.0,0,0,0,"-36,327","72,000","35,993","36,007","59,000","131,334","-72,334","3,769,633"
"=""00946""",群益科技高息成長,"656,000","504,000","152,000",0.0,0.0,0.0,0,0,0,"3,455,357",0,0,0,"4,175,964","720,607","3,455,357","3,607,357"
3711,日月光投控      ,"11,144,323","7,399,384","3,744,939",0.0,0.0,0.0,"897,000","1,173,880","-276,880","36,271","303,707","237,000","66,707","185,274","215,710","-30,436","3,504,330"
"=""006208""",富邦台50        ,"1,925,608","104,316","1,821,292",0.0,0.0,0.0,0,0,0,"1,586,622",0,0,0,"3,097,162","1,510,540","1,586,622","3,407,914"
2027,大成鋼          ,"6,382,000","3,432,000","2,950,000",0.0,0.0,0.0,"1,445,000","881,000","564,000","-138,259","946,000","922,638","23,362","18,000","179,621","-161,621","3,375,741"
