證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
"=""00715L""",期街口布蘭特正2 ,"62,195,000","926,000","61,269,000",0.0,0.0,0.0,0,0,0,"121,020,217",0,0,0,"131,933,525","10,913,308","121,020,217","182,289,217",
2337,旺宏            ,"56,115,550","22,708,390","33,407,160",0.0,0.0,0.0,0,0,0,"-1,593,603","722,042","2,617,658","-1,895,616","2,105,843","1,803,830","302,013","31,813,557",
2327,國巨*           ,"44,198,025","28,960,579","15,237,446",0.0,0.0,0.0,"3,923,000","3,000","3,920,000","2,072,557","1,346,909","757,300","589,609","2,189,225","706,277","1,482,948","21,230,003",
6770,力積電          ,"60,659,199","42,797,145","17,862,054",0.0,0.0,0.0,"24,000",0,"24,000","1,522,873","2,954,000","2,599,000","355,000","2,135,980","968,107","1,167,873","19,408,927",
"=""00940""",元大台灣價值高息,"627,200","170,500","456,700",0.0,0.0,0.0,0,0,0,"17,652,524",0,0,0,"18,623,524","971,000","17,652,524","18,109,224",
1303,南亞            ,"31,482,980","18,533,181","12,949,799",0.0,0.0,0.0,"13,792,000","10,137,000","3,655,000","759,072","1,621,528","1,134,885","486,643","1,183,108","910,679","272,429","17,363,871",
2344,華邦電          ,"18,597,696","4,253,336","14,344,360",0.0,0.0,0.0,"111,000","86,000","25,000","1,614,071","1,670,000","374,000","1,296,000","2,831,620","2,513,549","318,071","15,983,431",
1301,台塑            ,"19,061,173","5,134,692","13,926,481",0.0,0.0,0.0,0,0,0,"1,284,515","937,000","401,545","535,455","1,183,883","434,823","749,060","15,210,996",
"=""00642U""",期元大S&P石油   ,"1,563,000","124,370","1,438,630",0.0,0.0,0.0,0,0,0,"12,388,417",0,"35,000","-35,000","13,743,563","1,320,146","12,423,417","13,827,047",
"=""00632R""",元大台灣50反1   ,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"10,671,812","2,560,000","500,000","2,060,000","13,306,100","4,694,288","8,611,812","10,670,812",
"=""00646""",元大S&P500      ,"5,079,294","8,000","5,071,294",0.0,0.0,0.0,0,0,0,"5,017,442",0,0,0,"5,105,000","87,558","5,017,442","10,088,736",
"=""00712""",復華富時不動產  ,"7,379,000","116,000","7,263,000",0.0,0.0,0.0,0,0,0,"2,573,132","2,321,000",0,"2,321,000","921,999","669,867","252,132","9,836,132",
2382,廣達            ,"16,787,748","7,701,710","9,086,038",0.0,0.0,0.0,"710,000","680,628","29,372","558,462","500,698","287,864","212,834","481,628","136,000","345,628","9,673,872",
"=""00680L""",元大美債20正2   ,"2,000","267,000","-265,000",0.0,0.0,0.0,0,0,0,"8,763,571",0,0,0,"11,805,768","3,042,197","8,763,571","8,498,571",
3711,日月光投控      ,"11,811,438","6,149,733","5,661,705",0.0,0.0,0.0,"1,304,000","352,000","952,000","1,527,369","481,000","106,000","375,000","1,280,206","127,837","1,152,369","8,141,074",
"=""00934""",中信成長高股息  ,"845,000","121,000","724,000",0.0,0.0,0.0,0,0,0,"6,493,973",0,0,0,"9,014,012","2,520,039","6,493,973","7,217,973",
8112,至上            ,"17,823,000","12,226,900","5,596,100",0.0,0.0,0.0,"350,000","5,605","344,395","640,594","775,270","352,146","423,124","478,403","260,933","217,470","6,581,089",
2890,永豐金          ,"10,171,789","5,141,315","5,030,474",0.0,0.0,0.0,"321,000","1,135,040","-814,040","2,238,236","2,000",0,"2,000","2,267,224","30,988","2,236,236","6,454,670",
2884,玉山金          ,"13,174,712","6,447,492","6,727,220",0.0,0.0,0.0,"54,000","1,080,000","-1,026,000","724,087",0,0,0,"762,000","37,913","724,087","6,425,307",
2886,兆豐金          ,"7,666,140","1,974,900","5,691,240",0.0,0.0,0.0,"42,000","1,264,000","-1,222,000","1,884,943","12,000",34,"11,966","1,877,032","4,055","1,872,977","6,354,183",
"=""00882""",中信中國高股息  ,"996,000","249,000","747,000",0.0,0.0,0.0,0,0,0,"5,463,935",0,0,0,"6,211,878","747,943","5,463,935","6,210,935",
