日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2024/01/02,"14,937,049","518,751,792",34.85,34.85,34.6,34.7,-0.15,"4,172"
2024/01/03,"12,793,849","438,994,226",34.5,34.75,34.15,34.2,-0.50,"8,186"
2024/01/04,"6,473,946","221,350,197",34.2,34.3,34.15,34.2,0.00,"3,693"
2024/01/05,"4,691,751","160,866,951",34.2,34.35,34.2,34.35,+0.15,"2,609"
2024/01/08,"5,581,614","191,844,472",34.4,34.55,34.25,34.25,-0.10,"3,387"
2024/01/09,"6,279,275","214,297,776",34.3,34.3,34.05,34.05,-0.20,"4,002"
2024/01/10,"11,892,969","401,811,477",34.05,34.05,33.7,33.7,-0.35,"6,610"
2024/01/11,"6,666,115","224,762,008",33.7,33.8,33.6,33.7,0.00,"3,871"
2024/01/12,"5,248,129","176,751,295",33.7,33.8,33.6,33.75,+0.05,"3,233"
2024/01/15,"7,160,773","241,194,939",34.0,34.0,33.6,33.65,-0.10,"6,110"
2024/01/16,"19,050,849","629,043,207",33.45,33.5,32.9,32.9,-0.75,"13,714"
2024/01/17,"28,856,602","931,822,461",32.55,32.7,32.15,32.2,-0.70,"17,199"
2024/01/18,"14,999,489","481,330,210",32.2,32.35,32.0,32.05,-0.15,"10,365"
2024/01/19,"14,495,609","464,615,470",32.0,32.4,31.8,32.4,+0.35,"8,208"
2024/01/22,"9,350,803","303,041,146",32.4,32.65,32.3,32.3,-0.10,"6,338"
2024/01/23,"7,306,624","238,083,658",32.35,32.7,32.3,32.7,+0.40,"4,519"
2024/01/24,"6,431,998","210,066,607",32.75,32.8,32.6,32.6,-0.10,"4,409"
2024/01/25,"5,589,171","182,470,899",32.6,32.7,32.5,32.7,+0.10,"3,583"
2024/01/26,"8,723,219","284,872,138",32.6,32.8,32.55,32.6,-0.10,"4,196"
2024/01/29,"13,852,487","449,193,124",32.55,32.6,32.35,32.35,-0.25,"6,691"
2024/01/30,"17,168,606","551,418,731",32.4,32.55,32.0,32.0,-0.35,"10,404"
2024/01/31,"19,126,814","610,391,783",32.0,32.1,31.8,31.9,-0.10,"8,350"
2024/02/01,"10,337,642","333,241,168",31.95,32.45,31.95,32.45,+0.55,"5,202"
2024/02/02,"8,038,010","259,604,058",32.45,32.55,32.2,32.25,-0.20,"5,102"
2024/02/05,"13,528,225","433,558,416",32.1,32.2,31.9,32.15,-0.10,"6,995"
2024/02/15,"23,944,775","764,457,030",32.0,32.1,31.8,32.0,-0.15,"14,862"
2024/02/16,"18,486,704","588,821,996",31.9,32.0,31.8,31.9,-0.10,"15,586"
2024/02/19,"18,522,505","601,984,543",32.05,32.8,32.0,32.8,+0.90,"10,165"
2024/02/20,"8,808,852","287,231,225",32.8,32.9,32.5,32.65,-0.15,"8,627"
2024/02/21,"9,410,264","305,655,817",32.7,32.7,32.4,32.5,-0.15,"6,542"
2024/02/22,"6,529,709","211,959,096",32.5,32.6,32.35,32.55,+0.05,"4,572"
2024/02/23,"8,900,378","288,902,201",32.6,32.65,32.4,32.4,-0.15,"5,373"
2024/02/26,"10,604,126","342,286,977",32.4,32.5,32.05,32.15,-0.25,"7,498"
2024/02/27,"17,159,173","548,113,632",32.05,32.15,31.85,31.85,-0.30,"9,874"
2024/02/29,"29,399,423","946,064,596",32.4,32.55,32.05,32.1,+0.25,"10,984"
2024/03/01,"16,170,103","518,113,513",32.15,32.25,31.95,32.05,-0.05,"9,899"
2024/03/04,"12,399,827","398,050,660",32.05,32.3,32.0,32.05,0.00,"7,023"
2024/03/05,"11,197,573","359,162,999",32.1,32.25,32.0,32.0,-0.05,"6,252"
2024/03/06,"17,812,634","569,391,934",32.0,32.1,31.9,32.0,0.00,"10,949"
2024/03/07,"13,784,643","440,448,016",32.0,32.1,31.85,32.0,0.00,"8,424"
2024/03/08,"16,009,442","511,541,865",32.0,32.15,31.85,31.85,-0.15,"10,838"
2024/03/11,"17,483,436","554,623,839",31.85,31.85,31.6,31.8,-0.05,"11,239"
2024/03/12,"10,205,021","325,664,261",31.8,32.0,31.75,32.0,+0.20,"5,896"
2024/03/13,"15,369,093","488,373,439",31.85,31.95,31.7,31.7,-0.30,"9,893"
2024/03/14,"12,087,491","384,993,688",31.7,32.0,31.7,32.0,+0.30,"6,456"
2024/03/15,"26,975,719","862,458,750",31.9,32.15,31.85,31.95,-0.05,"6,816"
2024/03/18,"15,866,068","503,080,222",31.95,31.95,31.6,31.7,-0.25,"11,037"
2024/03/19,"24,394,412","767,624,499",31.65,31.7,31.4,31.4,-0.30,"16,282"
2024/03/20,"30,649,972","949,004,451",31.4,31.45,30.8,30.9,-0.50,"23,135"
2024/03/21,"22,155,727","698,668,194",31.4,31.8,31.25,31.5,+0.60,"10,255"
2024/03/22,"18,817,982","586,216,523",31.25,31.45,31.05,31.15,-0.35,"10,521"
2024/03/25,"10,249,931","318,885,322",31.1,31.25,31.0,31.1,-0.05,"6,526"
2024/03/26,"11,622,826","365,711,750",31.1,31.6,31.05,31.55,+0.45,"7,234"
2024/03/27,"12,005,697","380,286,027",31.35,31.9,31.35,31.7,+0.15,"6,627"
2024/03/28,"12,759,528","405,142,634",31.7,31.9,31.5,31.7,0.00,"5,308"
2024/03/29,"19,741,078","629,536,579",31.7,32.15,31.7,32.15,+0.45,"6,587"
2024/04/01,"12,424,889","399,420,695",32.25,32.25,32.05,32.15,0.00,"4,760"
2024/04/02,"10,353,387","331,618,885",32.15,32.2,31.9,31.95,-0.20,"4,689"
2024/04/03,"37,583,102","1,219,897,514",32.8,33.6,32.0,32.0,+0.05,"15,379"
2024/04/08,"18,056,928","582,674,759",32.2,32.7,32.15,32.3,+0.30,"8,460"
2024/04/09,"15,502,444","500,788,849",32.05,32.5,32.05,32.45,+0.15,"7,106"
2024/04/10,"23,247,115","761,805,523",32.5,32.95,32.45,32.7,+0.25,"10,558"
2024/04/11,"11,611,443","376,946,447",32.5,32.55,32.25,32.4,-0.30,"6,298"
2024/04/12,"17,667,908","565,515,135",32.05,32.2,31.8,32.2,-0.20,"8,720"
2024/04/15,"26,018,655","850,148,921",32.35,33.2,32.3,32.35,+0.15,"11,225"
2024/04/16,"44,774,881","1,467,851,005",32.6,33.3,32.4,32.45,+0.10,"20,764"
2024/04/17,"20,178,265","656,970,067",32.8,32.85,32.2,32.65,+0.20,"9,456"
2024/04/18,"19,151,629","624,026,863",32.5,32.9,32.3,32.7,+0.05,"7,638"
2024/04/19,"28,010,981","900,357,995",32.45,32.7,31.85,32.0,-0.70,"13,408"
2024/04/22,"20,157,051","653,210,333",32.0,32.65,31.9,32.6,+0.60,"7,939"
2024/04/23,"21,579,405","703,826,794",32.8,33.15,32.3,32.35,-0.25,"9,961"
