日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2024/01/02,"442,523","6,992,459",15.9,15.9,15.75,15.8,0.00,141
2024/01/03,"285,186","4,487,229",15.85,15.85,15.65,15.75,-0.05,132
2024/01/04,"223,166","3,514,817",15.8,15.8,15.7,15.8,+0.05,97
2024/01/05,"314,317","4,957,903",15.8,15.8,15.75,15.8,0.00,106
2024/01/08,"1,448,107","23,170,222",15.95,16.1,15.9,15.9,+0.10,559
2024/01/09,"1,543,212","24,206,777",16.0,16.0,15.5,15.5,-0.40,556
2024/01/10,"780,428","12,025,323",15.5,15.55,15.35,15.35,-0.15,388
2024/01/11,"436,431","6,757,630",15.35,15.7,15.35,15.45,+0.10,190
2024/01/12,"265,387","4,110,577",15.45,15.5,15.45,15.5,+0.05,109
2024/01/15,"285,743","4,430,893",15.5,15.55,15.45,15.45,-0.05,173
2024/01/16,"1,203,635","18,345,329",15.45,15.45,15.15,15.2,-0.25,389
2024/01/17,"483,990","7,313,236",15.2,15.2,15.05,15.1,-0.10,246
2024/01/18,"149,771","2,262,048",15.1,15.15,15.05,15.1,0.00,99
2024/01/19,"325,576","4,929,230",15.15,15.2,15.05,15.1,0.00,132
2024/01/22,"220,415","3,343,083",15.1,15.25,15.1,15.15,+0.05,111
2024/01/23,"121,144","1,844,248",15.2,15.25,15.2,15.25,+0.10,88
2024/01/24,"298,748","4,570,440",15.25,15.35,15.2,15.3,+0.05,121
2024/01/25,"196,902","3,002,409",15.35,15.35,15.2,15.25,-0.05,119
2024/01/26,"61,894","945,954",15.25,15.3,15.25,15.3,+0.05,52
2024/01/29,"128,120","1,964,913",15.3,15.4,15.3,15.4,+0.10,75
2024/01/30,"216,684","3,307,433",15.4,15.4,15.2,15.25,-0.15,108
2024/01/31,"156,521","2,382,076",15.2,15.3,15.2,15.2,-0.05,103
2024/02/01,"140,223","2,143,019",15.35,15.35,15.2,15.35,+0.15,103
2024/02/02,"219,020","3,335,340",15.35,15.35,15.15,15.25,-0.10,166
2024/02/05,"752,514","11,412,283",15.1,15.35,15.0,15.1,-0.15,277
2024/02/15,"521,882","7,984,623",15.35,15.4,15.2,15.3,+0.20,249
2024/02/16,"573,259","8,809,955",15.4,15.45,15.3,15.3,0.00,286
2024/02/19,"1,066,957","16,628,565",15.4,15.75,15.4,15.75,+0.45,458
2024/02/20,"714,659","11,105,656",15.75,15.75,15.45,15.55,-0.20,374
2024/02/21,"276,918","4,303,036",15.6,15.6,15.5,15.55,0.00,168
2024/02/22,"319,390","4,956,305",15.55,15.6,15.5,15.55,0.00,195
2024/02/23,"621,948","9,639,416",15.6,15.6,15.4,15.5,-0.05,246
2024/02/26,"824,661","12,843,240",15.55,15.65,15.5,15.6,+0.10,258
2024/02/27,"693,227","10,770,695",15.6,15.65,15.5,15.55,-0.05,227
2024/02/29,"646,869","10,156,669",15.55,15.75,15.55,15.75,+0.20,307
2024/03/01,"856,004","13,507,939",15.8,15.85,15.7,15.8,+0.05,324
2024/03/04,"1,152,288","18,306,462",15.8,16.0,15.8,15.85,+0.05,381
2024/03/05,"1,540,018","24,664,118",15.9,16.2,15.8,16.15,+0.30,557
2024/03/06,"1,221,881","19,798,145",16.2,16.3,16.1,16.25,+0.10,460
2024/03/07,"753,217","12,107,149",16.25,16.25,16.0,16.1,-0.15,341
2024/03/08,"1,800,374","28,306,721",15.9,15.95,15.6,15.65,-0.45,657
2024/03/11,"877,457","13,868,410",15.65,15.9,15.65,15.8,+0.15,249
2024/03/12,"346,563","5,486,444",15.8,15.9,15.8,15.85,+0.05,177
2024/03/13,"473,498","7,448,196",15.85,15.85,15.65,15.65,-0.20,235
2024/03/14,"2,307,790","36,955,054",15.7,16.2,15.7,16.2,+0.55,826
2024/03/15,"1,990,121","32,329,417",16.35,16.35,16.1,16.3,+0.10,733
2024/03/18,"3,693,407","57,108,076",15.75,15.75,15.1,15.55,-0.75,"1,588"
2024/03/19,"1,420,819","22,200,836",15.5,15.8,15.4,15.6,+0.05,574
2024/03/20,"896,115","13,991,495",15.65,15.7,15.55,15.55,-0.05,508
2024/03/21,"1,464,726","23,131,814",15.7,16.0,15.6,15.85,+0.30,500
2024/03/22,"535,283","8,448,882",15.9,15.9,15.7,15.75,-0.10,279
2024/03/25,"1,210,108","19,140,253",15.75,15.9,15.75,15.8,+0.05,348
2024/03/26,"2,731,695","43,662,676",15.9,16.1,15.85,15.95,+0.15,777
2024/03/27,"1,021,643","16,337,289",16.05,16.05,15.9,15.95,0.00,429
2024/03/28,"1,163,447","18,568,071",16.0,16.15,15.8,15.85,-0.10,534
2024/03/29,"734,466","11,603,335",15.95,15.95,15.75,15.8,-0.05,469
2024/04/01,"505,990","8,037,697",15.85,15.95,15.8,15.95,+0.15,215
2024/04/02,"497,301","7,883,146",15.95,15.95,15.8,15.8,-0.15,298
2024/04/03,"2,848,308","45,901,965",16.15,16.4,15.9,15.9,+0.10,"1,121"
2024/04/08,"4,176,781","68,379,669",16.1,16.75,16.05,16.7,+0.80,"1,600"
2024/04/09,"2,763,496","45,432,433",16.7,16.7,16.15,16.45,-0.25,"1,182"
2024/04/10,"2,237,992","37,089,975",16.6,16.65,16.45,16.5,+0.05,802
