日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2024/01/02,"228,911","4,159,335",18.2,18.3,18.15,18.2,-0.05,83
2024/01/03,"104,800","1,900,163",18.2,18.2,18.1,18.1,-0.10,88
2024/01/04,"227,258","4,143,871",18.1,18.35,18.1,18.15,+0.05,134
2024/01/05,"221,283","4,012,509",18.2,18.2,18.05,18.15,0.00,100
2024/01/08,"181,406","3,293,609",18.2,18.3,18.1,18.1,-0.05,66
2024/01/09,"90,076","1,629,144",18.1,18.2,18.05,18.05,-0.05,68
2024/01/10,"71,195","1,286,472",18.05,18.2,18.0,18.05,0.00,69
2024/01/11,"67,969","1,231,542",18.1,18.15,18.05,18.1,+0.05,68
2024/01/12,"60,729","1,098,129",18.1,18.1,18.05,18.05,-0.05,97
2024/01/15,"105,360","1,898,954",18.05,18.1,18.0,18.0,-0.05,89
2024/01/16,"252,090","4,495,058",18.0,18.0,17.7,17.8,-0.20,244
2024/01/17,"242,371","4,276,813",17.7,17.75,17.55,17.6,-0.20,240
2024/01/18,"44,739","791,081",17.6,17.7,17.6,17.65,+0.05,36
2024/01/19,"90,064","1,595,438",17.7,17.8,17.7,17.75,+0.10,39
2024/01/22,"58,725","1,048,540",17.8,17.95,17.8,17.95,+0.20,44
2024/01/23,"56,057","1,007,595",17.85,18.15,17.85,17.9,-0.05,41
2024/01/24,"142,510","2,552,780",17.9,17.95,17.85,17.9,0.00,117
2024/01/25,"96,598","1,725,681",17.9,18.0,17.85,17.85,-0.05,58
2024/01/26,"77,493","1,382,513",17.8,17.9,17.8,17.85,0.00,81
2024/01/29,"168,384","3,002,951",17.85,17.85,17.75,17.85,0.00,105
2024/01/30,"27,576","491,629",17.85,17.85,17.8,17.85,0.00,33
2024/01/31,"88,914","1,577,687",17.85,17.85,17.7,17.7,-0.15,87
2024/02/01,"67,083","1,191,955",17.85,17.85,17.7,17.75,+0.05,109
2024/02/02,"108,862","1,931,413",17.75,17.8,17.7,17.75,0.00,98
2024/02/05,"79,184","1,402,598",17.75,17.75,17.65,17.75,0.00,88
2024/02/15,"231,595","4,073,190",17.7,17.7,17.5,17.6,-0.15,178
2024/02/16,"228,260","4,037,595",17.6,17.8,17.55,17.65,+0.05,136
2024/02/19,"516,811","9,131,413",17.65,17.8,17.65,17.75,+0.10,361
2024/02/20,"318,785","5,637,637",17.75,17.75,17.6,17.7,-0.05,254
2024/02/21,"363,439","6,427,288",17.75,17.75,17.65,17.7,0.00,235
2024/02/22,"116,507","2,061,271",17.75,17.75,17.65,17.7,0.00,116
2024/02/23,"185,348","3,279,051",17.7,17.75,17.65,17.7,0.00,153
2024/02/26,"214,123","3,791,039",17.75,17.75,17.65,17.75,+0.05,169
2024/02/27,"262,107","4,636,419",17.75,17.75,17.65,17.65,-0.10,145
2024/02/29,"448,080","7,982,846",17.75,17.9,17.75,17.85,+0.20,215
2024/03/01,"196,703","3,502,979",17.85,17.9,17.75,17.8,-0.05,137
2024/03/04,"679,787","12,101,599",17.8,17.9,17.75,17.75,-0.05,476
2024/03/05,"811,382","14,478,167",17.75,17.95,17.75,17.9,+0.15,548
2024/03/06,"199,246","3,561,707",17.9,17.9,17.85,17.9,0.00,133
