日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2024/01/02,"126,393","2,409,483",19.05,19.1,19.05,19.05,0.00,172
2024/01/03,"132,248","2,517,167",19.0,19.1,19.0,19.05,0.00,312
2024/01/04,"130,885","2,492,704",19.1,19.1,19.0,19.0,-0.05,192
2024/01/05,"186,159","3,548,808",19.2,19.2,19.0,19.0,0.00,249
2024/01/08,"200,919","3,825,159",19.0,19.1,19.0,19.0,0.00,264
2024/01/09,"184,164","3,495,358",19.1,19.1,18.95,18.95,-0.05,257
2024/01/10,"262,223","4,951,451",18.95,18.95,18.8,18.85,-0.10,358
2024/01/11,"261,218","4,924,737",18.9,18.95,18.75,18.85,0.00,282
2024/01/12,"122,676","2,313,912",18.9,18.9,18.8,18.85,0.00,298
2024/01/15,"172,043","3,256,227",18.85,19.05,18.85,18.9,+0.05,248
2024/01/16,"402,809","7,552,693",18.8,18.85,18.65,18.65,-0.25,652
2024/01/17,"550,015","10,195,162",18.55,18.65,18.45,18.5,-0.15,637
2024/01/18,"167,293","3,100,160",18.5,18.65,18.5,18.5,0.00,253
2024/01/19,"433,672","7,960,388",18.45,18.55,17.85,18.45,-0.05,377
2024/01/22,"128,476","2,373,024",18.5,18.6,18.45,18.45,0.00,303
2024/01/23,"111,891","2,071,198",18.5,18.55,18.5,18.55,+0.10,198
2024/01/24,"166,486","3,107,097",18.55,18.8,18.55,18.65,+0.10,194
2024/01/25,"167,259","3,142,639",18.65,18.85,18.65,18.85,+0.20,224
2024/01/26,"189,680","3,578,278",18.85,18.95,18.8,18.85,0.00,174
2024/01/29,"300,207","5,623,250",18.7,18.85,18.65,18.75,-0.10,381
2024/01/30,"291,832","5,455,981",18.75,18.85,18.6,18.65,-0.10,306
2024/01/31,"239,700","4,478,366",18.65,18.75,18.65,18.65,0.00,341
2024/02/01,"175,658","3,293,968",18.7,18.8,18.7,18.8,+0.15,246
2024/02/02,"177,293","3,320,067",18.8,18.8,18.7,18.75,-0.05,275
2024/02/05,"336,233","6,257,301",18.65,18.7,18.55,18.6,-0.15,420
2024/02/15,"293,897","5,457,703",18.6,18.65,18.5,18.6,0.00,431
2024/02/16,"300,174","5,573,677",18.6,18.65,18.5,18.65,+0.05,386
2024/02/19,"408,318","7,656,293",18.65,18.9,18.65,18.8,+0.15,458
2024/02/20,"183,696","3,448,348",18.8,18.8,18.7,18.8,0.00,323
2024/02/21,"430,204","8,049,434",18.75,18.8,18.65,18.7,-0.10,600
2024/02/22,"308,893","5,778,422",18.7,18.75,18.65,18.7,0.00,286
2024/02/23,"502,630","9,465,490",18.7,19.0,18.7,18.85,+0.15,424
2024/02/26,"257,669","4,841,162",18.85,18.9,18.7,18.8,-0.05,432
2024/02/27,"132,414","2,481,692",18.75,18.75,18.7,18.75,-0.05,267
2024/02/29,"704,948","13,304,173",18.75,19.0,18.7,18.9,+0.15,527
2024/03/01,"1,068,858","20,320,436",18.95,19.2,18.7,19.05,+0.15,675
2024/03/04,"1,287,952","24,849,021",19.05,19.6,19.05,19.1,+0.05,837
2024/03/05,"299,899","5,703,611",19.1,19.15,18.95,18.95,-0.15,485
2024/03/06,"241,550","4,577,058",19.0,19.05,18.9,18.95,0.00,398
2024/03/07,"492,282","9,346,698",18.95,19.05,18.9,18.95,0.00,371
2024/03/08,"254,772","4,811,800",18.9,18.95,18.85,18.9,-0.05,327
2024/03/11,"207,925","3,927,940",18.9,19.0,18.8,18.9,0.00,325
2024/03/12,"486,316","9,232,812",19.0,19.2,18.8,18.95,+0.05,411
2024/03/13,"578,784","10,927,906",18.95,19.0,18.8,18.8,-0.15,536
2024/03/14,"703,510","13,431,599",18.9,19.25,18.9,19.05,+0.25,463
2024/03/15,"374,079","7,103,961",19.05,19.1,18.85,18.95,-0.10,384
2024/03/18,"245,839","4,662,705",19.1,19.1,18.9,18.95,0.00,271
2024/03/19,"293,453","5,536,303",18.9,18.95,18.8,18.8,-0.15,385
2024/03/20,"456,984","8,598,665",18.8,18.9,18.7,18.85,+0.05,401
2024/03/21,"486,327","9,146,010",19.0,19.0,18.75,18.8,-0.05,438
2024/03/22,"1,299,565","24,341,564",18.8,18.8,18.65,18.7,-0.10,645
2024/03/25,"524,955","9,886,331",18.75,18.9,18.75,18.85,+0.15,414
2024/03/26,"368,228","6,936,921",18.85,18.9,18.8,18.8,-0.05,290
2024/03/27,"270,599","5,075,529",18.75,18.8,18.7,18.7,-0.10,355
2024/03/28,"141,340","2,655,662",18.75,18.85,18.75,18.8,+0.10,147
2024/03/29,"113,283","2,131,822",18.8,18.9,18.75,18.9,+0.10,286
2024/04/01,"562,388","10,671,054",18.95,19.05,18.9,19.05,+0.15,418
2024/04/02,"322,505","6,125,209",19.05,19.05,18.9,19.0,-0.05,419
2024/04/03,"271,780","5,128,644",19.0,19.0,18.8,18.85,-0.15,300
2024/04/08,"271,433","5,114,490",18.8,18.9,18.8,18.9,+0.05,307
2024/04/09,"276,278","5,215,051",18.9,18.95,18.85,18.9,0.00,299
2024/04/10,"133,452","2,530,608",18.9,19.0,18.9,19.0,+0.10,209
2024/04/11,"307,432","5,842,067",19.0,19.1,18.9,18.95,-0.05,286
2024/04/12,"333,815","6,286,209",18.9,18.9,18.8,18.8,-0.15,343
2024/04/15,"338,105","6,341,034",18.8,18.8,18.7,18.7,-0.10,476
2024/04/16,"729,181","13,496,711",18.65,18.7,18.4,18.45,-0.25,841
2024/04/17,"315,178","5,829,372",18.45,18.55,18.45,18.5,+0.05,345
2024/04/18,"302,930","5,602,601",18.5,18.6,18.4,18.6,+0.10,393
2024/04/19,"799,069","14,673,639",18.6,18.6,18.25,18.4,-0.20,815
