日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2024/01/02,"48,177","2,802,389",58.80,59.50,57.60,58.30,+1.40,159
2024/01/03,"61,457","3,565,958",58.70,58.80,57.20,57.60,-0.70,92
2024/01/04,"29,371","1,677,715",57.80,57.80,56.80,57.00,-0.60,80
2024/01/05,"19,866","1,140,461",57.00,57.80,57.00,57.80,+0.80,39
2024/01/08,"11,425","656,428",57.60,57.60,57.50,57.50,-0.30,50
2024/01/09,"8,248","475,222",57.30,57.70,57.30,57.50,0.00,24
2024/01/10,"24,342","1,361,641",57.30,57.30,54.90,56.30,-1.20,49
2024/01/11,"16,535","948,064",55.40,58.40,55.40,58.00,+1.70,40
2024/01/12,"23,319","1,349,213",58.00,58.00,57.10,57.30,-0.70,40
2024/01/15,"16,507","937,282",57.30,57.30,56.60,56.70,-0.60,53
2024/01/16,"124,277","7,023,550",56.20,57.00,56.00,56.60,-0.10,153
2024/01/17,"155,375","8,739,105",55.00,57.60,55.00,57.00,+0.40,146
2024/01/18,"21,381","1,201,317",55.70,57.00,55.70,57.00,0.00,58
2024/01/19,"25,870","1,458,699",56.20,56.80,56.20,56.20,-0.80,73
2024/01/22,"21,503","1,220,174",57.80,57.80,56.10,56.40,+0.20,84
2024/01/23,"5,586","312,555",55.80,56.20,55.80,56.10,-0.30,81
2024/01/24,"11,149","625,785",56.10,56.30,55.80,55.80,-0.30,42
2024/01/25,"19,274","1,083,142",56.30,56.40,56.00,56.20,+0.40,64
2024/01/26,"4,995","279,902",56.30,56.30,55.80,55.80,-0.40,61
2024/01/29,"14,696","824,299",55.80,56.90,55.50,55.50,-0.30,59
2024/01/30,"44,374","2,438,067",55.20,55.20,54.30,55.20,-0.30,129
2024/01/31,"21,827","1,204,910",55.20,55.50,54.50,55.50,+0.30,73
2024/02/01,"28,329","1,572,857",55.40,56.10,54.90,55.70,+0.20,85
2024/02/02,"28,233","1,579,235",55.80,56.20,55.70,56.20,+0.50,79
2024/02/05,"13,517","749,529",54.70,56.10,54.70,56.10,-0.10,114
2024/02/15,"21,716","1,182,196",53.00,55.70,53.00,54.60,-1.50,106
2024/02/16,"33,918","1,869,267",54.60,56.50,54.40,54.60,0.00,103
2024/02/19,"18,769","1,029,142",54.60,55.90,54.50,55.00,+0.40,132
2024/02/20,"5,343","292,403",54.60,55.10,54.60,54.70,-0.30,87
2024/02/21,"16,559","908,618",55.00,55.60,54.40,54.40,-0.30,128
2024/02/22,"35,441","1,939,205",54.80,55.00,54.40,54.40,0.00,174
2024/02/23,"32,088","1,747,195",54.20,54.60,54.20,54.60,+0.20,242
2024/02/26,"30,029","1,640,291",54.70,54.90,54.20,54.90,+0.30,116
2024/02/27,"15,516","838,842",54.20,54.40,53.80,54.40,-0.50,176
2024/02/29,"15,389","829,477",54.20,54.40,53.80,54.40,0.00,97
2024/03/01,"39,135","2,102,649",54.40,54.50,53.40,54.50,+0.10,107
2024/03/04,"20,626","1,110,271",53.70,54.00,53.70,53.80,-0.70,147
2024/03/05,"17,027","907,123",53.50,53.50,53.20,53.20,-0.60,161
2024/03/06,"8,347","442,472",52.90,53.40,52.80,52.90,-0.30,102
2024/03/07,"52,771","2,762,984",52.10,53.20,52.00,52.00,-0.90,141
2024/03/08,"54,118","2,789,179",51.10,52.50,51.10,51.50,-0.50,150
2024/03/11,"24,382","1,251,077",51.00,51.50,50.30,51.40,-0.10,150
2024/03/12,"35,106","1,833,712",51.40,53.80,51.30,52.10,+0.70,84
2024/03/13,"34,066","1,770,042",51.30,52.30,51.30,52.20,+0.10,67
2024/03/14,"1,059","55,165",52.10,52.10,52.10,52.10,-0.10,52
2024/03/15,"4,870","253,187",52.10,52.30,52.00,52.00,-0.10,50
2024/03/18,"1,479","75,955",--,--,--,--,0.00,93
2024/03/19,"18,541","944,756",49.95,51.50,49.95,51.30,X0.00,91
2024/03/20,"57,893","3,016,957",51.30,53.60,51.00,51.30,0.00,103
2024/03/21,"53,210","2,728,964",51.20,51.60,51.00,51.50,+0.20,63
2024/03/22,"39,006","1,998,787",51.40,52.00,50.40,51.60,+0.10,63
2024/03/25,"3,804","194,186",51.00,51.20,51.00,51.20,-0.40,107
2024/03/26,"17,316","884,797",51.00,51.50,50.90,51.40,+0.20,60
2024/03/27,39,"2,006",--,--,--,--,0.00,38
2024/03/28,"37,840","1,923,581",51.00,51.30,50.00,50.00,X0.00,145
2024/03/29,"10,277","519,904",50.50,50.80,50.40,50.70,+0.70,93
2024/04/01,"1,807","91,111",50.40,50.40,50.40,50.40,-0.30,152
2024/04/02,"5,355","269,317",50.10,50.60,50.10,50.40,0.00,98
2024/04/03,104,"5,236",--,--,--,--,0.00,43
2024/04/08,"7,383","367,720",49.00,50.20,49.00,50.20,X0.00,146
2024/04/09,"29,860","1,475,407",49.10,49.95,49.00,49.85,-0.35,136
2024/04/10,"17,542","872,448",49.85,49.90,49.50,49.85,0.00,107
2024/04/11,"38,496","1,874,688",49.25,49.85,47.55,49.05,-0.80,170
2024/04/12,"22,839","1,109,404",48.65,48.85,48.20,48.75,-0.30,78
2024/04/15,"1,155","56,049",--,--,--,--,0.00,66
2024/04/16,"13,623","654,604",48.15,48.25,47.65,48.20,X0.00,92
2024/04/17,"22,541","1,082,245",48.20,48.60,47.80,48.60,+0.40,96
2024/04/18,"31,817","1,523,656",47.70,48.50,47.50,47.80,-0.80,145
2024/04/19,"80,073","3,748,606",47.85,47.85,45.80,47.00,-0.80,301
2024/04/22,"9,346","443,458",47.80,47.80,47.05,47.60,+0.60,179
2024/04/23,"10,821","516,705",47.60,48.20,47.10,47.85,+0.25,195
2024/04/24,"17,465","851,635",48.15,49.05,48.15,49.05,+1.20,274
2024/04/25,"13,212","636,175",47.70,48.55,47.70,48.55,-0.50,109
2024/04/26,"17,577","854,568",48.55,49.30,48.55,48.60,+0.05,198
2024/04/29,"15,007","737,938",48.60,49.75,48.60,49.50,+0.90,233
2024/04/30,"11,395","567,726",49.50,50.00,49.50,49.95,+0.45,68
2024/05/02,"20,727","1,036,996",50.00,50.20,49.90,50.00,+0.05,102
2024/05/03,"18,546","929,964",50.10,50.30,49.95,49.95,-0.05,83
2024/05/06,"31,554","1,614,862",50.40,52.10,50.40,51.00,+1.05,137
2024/05/07,"3,702","186,099",50.30,50.40,50.20,50.40,-0.60,77
2024/05/08,"3,379","170,222",50.40,50.40,50.40,50.40,0.00,46
2024/05/09,"2,260","113,850",50.40,50.40,50.40,50.40,0.00,31
2024/05/10,"6,261","301,146",50.30,50.70,50.30,50.70,+0.30,541
2024/05/13,"1,071","50,950",--,--,--,--,0.00,77
2024/05/14,"14,163","696,060",49.50,49.55,48.75,49.15,X0.00,56
2024/05/15,"34,293","1,710,363",48.80,50.40,48.80,50.40,+1.25,51
2024/05/16,"63,878","3,276,263",50.40,51.80,50.40,51.50,+1.10,90
