日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"486,449","44,596,582",90.5,92.5,90.5,91.5,+1.20,718
2025/01/03,"675,638","61,840,108",92.1,92.5,91.0,91.3,-0.20,"1,172"
2025/01/06,"543,277","50,176,704",92.2,92.9,92.0,92.0,+0.70,810
2025/01/07,"419,760","38,868,447",93.0,93.0,92.1,93.0,+1.00,687
2025/01/08,"334,320","30,884,300",93.1,93.1,92.0,92.7,-0.30,552
2025/01/09,"348,729","32,008,266",92.5,92.6,91.2,91.2,-1.50,838
2025/01/10,"254,264","23,152,597",91.0,91.2,90.8,91.1,-0.10,547
2025/01/13,"376,309","34,196,655",91.6,91.6,90.5,91.6,+0.50,701
2025/01/14,"194,061","17,866,101",92.0,92.6,91.7,92.0,+0.40,318
2025/01/15,"128,225","11,810,094",92.0,92.3,91.8,92.2,+0.20,341
2025/01/16,"241,229","22,255,995",92.3,92.5,91.5,92.2,0.00,425
2025/01/17,"178,535","16,471,989",92.9,92.9,92.0,92.2,0.00,576
2025/01/20,"201,187","18,570,528",92.1,92.8,91.5,92.8,+0.60,459
2025/01/21,"125,744","11,681,104",92.9,93.2,92.7,92.9,+0.10,728
2025/01/22,"378,610","35,222,756",92.6,93.4,92.5,92.8,-0.10,693
2025/02/03,"546,853","51,070,220",92.6,94.0,92.6,93.8,+1.00,"1,048"
2025/02/04,"293,811","27,595,249",93.8,94.3,93.2,94.3,+0.50,"1,964"
2025/02/05,"293,985","27,820,724",95.0,95.1,94.2,94.5,+0.20,635
2025/02/06,"353,467","33,673,918",95.2,95.7,94.3,95.7,+1.20,950
2025/02/07,"278,269","26,458,261",95.8,95.8,94.7,95.0,-0.70,"1,925"
2025/02/10,"250,592","23,790,072",94.9,95.6,94.6,94.7,-0.30,578
2025/02/11,"299,685","28,384,960",94.7,95.7,94.3,94.3,-0.40,561
2025/02/12,"360,267","34,261,226",94.5,96.3,94.5,94.7,+0.40,771
2025/02/13,"293,416","27,885,020",94.7,95.3,94.7,95.1,+0.40,524
2025/02/14,"282,222","26,897,941",95.5,95.7,95.0,95.3,+0.20,420
2025/02/17,"309,029","29,702,691",95.6,96.4,95.6,96.0,+0.70,795
2025/02/18,"183,785","17,690,334",96.0,96.5,96.0,96.4,+0.40,753
2025/02/19,"479,905","46,782,701",96.9,97.8,96.9,97.4,+1.00,795
2025/02/20,"370,063","36,110,999",97.4,97.9,97.1,97.6,+0.20,"1,356"
2025/02/21,"1,151,132","114,435,433",98.2,100.5,98.2,99.2,+1.60,"1,471"
2025/02/24,"500,849","49,913,379",99.2,100.0,98.9,99.7,+0.50,"1,230"
2025/02/25,"261,863","26,030,043",99.3,99.8,99.0,99.7,0.00,877
2025/02/26,"366,667","36,575,505",100.0,100.0,99.2,99.7,0.00,"1,138"
2025/02/27,"1,544,929","157,537,529",99.7,103.0,99.7,102.5,+2.80,"1,805"
2025/03/03,"842,734","86,458,054",102.5,103.5,102.0,103.5,+1.00,"1,554"
2025/03/04,"544,649","55,925,328",102.0,103.5,102.0,103.0,-0.50,"1,083"
2025/03/05,"512,494","52,714,597",103.0,103.5,102.0,103.0,0.00,"2,140"
2025/03/06,"218,396","22,396,338",103.0,103.0,102.0,103.0,0.00,"1,796"
2025/03/07,"482,249","49,524,993",102.0,103.0,101.5,103.0,0.00,910
2025/03/10,"817,988","84,775,851",103.0,104.5,102.0,104.5,+1.50,"1,401"
2025/03/11,"704,206","72,859,003",103.0,104.0,102.5,104.0,-0.50,"1,237"
2025/03/12,"323,823","33,585,877",104.0,104.0,103.0,103.5,-0.50,685
2025/03/13,"562,485","57,481,483",102.5,103.0,101.0,102.5,-1.00,"1,074"
2025/03/14,"352,925","36,324,935",103.0,104.0,102.5,103.0,+0.50,571
2025/03/17,"256,053","26,203,838",103.0,103.0,102.0,102.0,-1.00,"1,066"
2025/03/18,"168,806","17,302,238",103.0,103.0,102.0,102.5,+0.50,475
2025/03/19,"242,882","24,853,883",102.0,103.0,101.5,101.5,-1.00,729
2025/03/20,"300,112","30,396,221",101.5,102.5,101.0,101.0,-0.50,"1,375"
2025/03/21,"245,892","24,876,181",101.0,102.0,101.0,101.0,0.00,690
2025/03/24,"323,260","32,936,984",101.0,102.5,101.0,102.0,+1.00,"1,319"
2025/03/25,"250,327","25,437,467",102.0,103.0,101.0,101.0,-1.00,"2,821"
2025/03/26,"111,073","11,242,970",100.5,101.5,100.5,101.5,+0.50,"1,784"
2025/03/27,"151,252","15,302,984",101.5,101.5,100.5,101.5,0.00,963
2025/03/28,"500,031","50,045,719",101.0,101.5,98.0,100.5,-1.00,928
2025/03/31,"694,198","68,406,405",98.7,99.2,97.9,98.5,-2.00,"1,610"
2025/04/01,"376,454","37,524,797",98.8,100.5,98.8,100.0,+1.50,706
2025/04/02,"140,731","14,138,555",100.0,101.0,100.0,100.5,+0.50,347
2025/04/07,"2,374,503","219,815,195",90.5,95.4,90.5,93.0,-7.50,"3,524"
2025/04/08,"1,954,493","189,679,008",93.8,98.7,93.8,98.7,+5.70,"2,434"
2025/04/09,"1,321,119","128,142,335",98.9,99.3,94.3,94.3,-4.40,"2,384"
2025/04/10,"1,616,485","161,943,301",100.5,102.0,98.8,98.8,+4.50,"1,739"
2025/04/11,"682,294","66,478,754",98.0,98.8,96.3,96.9,-1.90,"1,732"
2025/04/14,"618,077","59,783,391",96.9,98.0,96.0,97.0,+0.10,"1,093"
2025/04/15,"267,747","26,001,963",97.0,97.4,96.2,97.3,+0.30,627
2025/04/16,"216,201","20,947,282",96.8,97.4,96.2,97.0,-0.30,678
2025/04/17,"107,569","10,432,639",96.7,97.4,96.3,97.2,+0.20,511
2025/04/18,"102,891","9,997,849",97.0,97.5,96.5,97.4,+0.20,310
2025/04/21,"141,819","13,730,423",96.8,97.2,96.5,96.7,-0.70,548
2025/04/22,"150,003","14,478,341",96.6,97.0,96.2,96.3,-0.40,380
2025/04/23,"309,786","30,225,137",96.4,98.2,96.4,98.2,+1.90,558
2025/04/24,"326,630","32,214,351",98.0,99.1,97.6,99.1,+0.90,"1,143"
2025/04/25,"343,637","34,039,501",99.3,100.0,98.5,98.6,-0.50,"1,512"
2025/04/28,"272,254","27,079,585",98.6,100.0,98.6,99.6,+1.00,"1,157"
2025/04/29,"244,112","24,275,433",99.3,100.0,99.0,99.0,-0.60,"1,131"
2025/04/30,"227,390","22,622,374",99.1,100.0,99.0,100.0,+1.00,550
2025/05/02,"423,982","42,557,240",100.0,101.0,99.7,101.0,+1.00,806
2025/05/05,"3,088,238","324,273,686",104.0,108.0,102.0,103.0,+2.00,"3,133"
2025/05/06,"2,117,886","221,858,035",105.0,106.5,102.5,103.0,0.00,"2,700"
2025/05/07,"960,906","100,453,034",103.0,105.5,102.0,105.5,+2.50,"1,141"
2025/05/08,"1,955,694","209,013,775",105.5,108.0,104.5,106.5,+1.00,"1,836"
2025/05/09,"3,891,830","427,062,253",109.0,111.0,108.5,110.0,+3.50,"3,649"
2025/05/12,"1,175,508","129,176,065",109.5,111.0,109.0,110.0,0.00,"1,676"
2025/05/13,"714,328","77,808,019",109.0,109.5,108.0,109.5,-0.50,"1,125"
