日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"16,255,478","1,295,063,496",80.4,80.9,78.9,79.9,-1.00,"10,913"
2025/01/03,"14,117,517","1,123,802,114",80.4,81.0,79.1,79.6,-0.30,"8,645"
2025/01/06,"17,396,225","1,396,431,617",79.8,81.0,79.6,80.9,+1.30,"9,535"
2025/01/07,"18,186,069","1,452,535,027",81.2,81.9,79.0,79.5,-1.40,"10,141"
2025/01/08,"16,084,080","1,265,407,692",79.5,79.7,78.3,78.7,-0.80,"10,186"
2025/01/09,"6,452,467","507,952,450",78.6,79.2,78.0,78.6,-0.10,"4,280"
2025/01/10,"4,523,508","354,208,509",78.1,79.0,77.8,78.5,-0.10,"3,805"
2025/01/13,"22,027,034","1,707,506,599",78.1,78.5,77.0,78.0,-0.50,"5,215"
2025/01/14,"4,802,506","379,470,843",78.7,79.3,78.5,79.0,+1.00,"3,875"
2025/01/15,"5,714,493","446,011,126",78.8,79.0,77.7,77.7,-1.30,"4,671"
2025/01/16,"5,618,119","442,430,767",78.9,79.1,78.3,78.8,+1.10,"3,087"
2025/01/17,"6,907,356","541,550,005",79.3,79.3,77.9,78.5,-0.30,"3,386"
2025/01/20,"4,258,002","332,676,826",78.7,78.7,77.8,77.8,-0.70,"3,539"
2025/01/21,"4,084,154","319,525,016",77.9,78.7,77.5,78.4,+0.60,"2,913"
2025/01/22,"6,626,295","520,211,475",79.0,79.0,78.2,78.4,0.00,"3,648"
2025/02/03,"14,663,313","1,149,731,007",76.2,79.3,76.2,79.2,+0.80,"7,504"
2025/02/04,"9,865,720","778,047,760",79.5,79.8,78.3,78.4,-0.80,"6,174"
2025/02/05,"7,552,331","598,335,306",79.3,79.9,78.7,79.2,+0.80,"4,020"
2025/02/06,"6,298,894","500,615,844",79.0,79.8,78.8,79.8,+0.60,"3,519"
2025/02/07,"5,685,465","451,992,302",79.5,79.8,79.2,79.6,-0.20,"3,577"
2025/02/10,"5,225,878","413,833,532",79.4,79.6,78.8,79.4,-0.20,"3,402"
2025/02/11,"4,713,208","373,537,195",79.8,79.8,78.8,79.1,-0.30,"2,971"
2025/02/12,"6,221,959","496,552,945",79.3,80.0,79.2,80.0,+0.90,"2,820"
2025/02/13,"8,647,015","697,559,719",80.6,81.3,80.1,80.9,+0.90,"5,381"
2025/02/14,"5,848,631","473,143,214",80.8,81.3,80.3,80.9,0.00,"3,613"
2025/02/17,"4,975,113","405,049,232",81.5,81.6,81.1,81.3,+0.40,"4,649"
2025/02/18,"6,249,114","506,103,392",81.0,81.2,80.7,81.0,-0.30,"2,707"
2025/02/19,"5,444,986","442,160,644",81.0,81.5,80.8,81.5,+0.50,"3,245"
2025/02/20,"4,268,078","349,843,848",81.3,82.2,81.1,82.0,+0.50,"3,479"
2025/02/21,"5,757,075","477,236,026",82.5,83.2,82.4,82.8,+0.80,"4,706"
2025/02/24,"4,534,676","375,162,683",82.3,83.2,82.2,82.5,-0.30,"5,893"
2025/02/25,"4,180,600","344,059,409",82.0,82.8,82.0,82.1,-0.40,"3,704"
2025/02/26,"6,365,270","525,609,972",81.9,83.0,81.5,82.8,+0.70,"4,067"
2025/02/27,"12,831,440","1,049,068,867",82.5,82.7,81.5,81.5,-1.30,"5,447"
2025/03/03,"11,986,989","991,714,730",81.3,83.6,81.3,83.6,+2.10,"6,262"
2025/03/04,"8,048,512","661,077,812",82.4,83.1,81.5,81.5,-2.10,"6,862"
2025/03/05,"5,992,414","492,881,311",82.4,82.6,81.9,82.4,+0.90,"3,157"
2025/03/06,"7,963,526","661,864,785",82.0,83.6,81.8,83.0,+0.60,"4,462"
2025/03/07,"9,690,676","789,310,864",82.5,82.5,81.2,81.2,-1.80,"6,697"
2025/03/10,"7,051,166","582,358,409",81.7,82.9,81.7,82.9,+1.70,"3,638"
2025/03/11,"11,311,650","930,562,068",81.4,83.0,81.4,82.6,-0.30,"5,066"
2025/03/12,"7,349,542","610,367,246",83.0,83.6,82.5,83.1,+0.50,"3,572"
2025/03/13,"7,972,474","659,266,461",83.3,83.4,82.2,82.3,-0.80,"3,502"
2025/03/14,"6,419,072","528,797,085",82.9,83.4,81.8,82.4,+0.10,"4,700"
2025/03/17,"10,034,600","820,075,869",81.9,82.4,81.1,81.5,-0.90,"5,770"
2025/03/18,"7,718,378","633,891,174",81.9,82.7,81.8,82.1,+0.60,"4,059"
2025/03/19,"8,148,233","661,743,500",82.3,82.3,80.7,80.8,-1.30,"5,844"
2025/03/20,"7,794,202","633,152,506",80.7,81.6,80.7,81.3,+0.50,"3,728"
2025/03/21,"12,466,421","1,022,096,762",81.3,82.3,80.9,82.1,+0.80,"3,320"
2025/03/24,"4,309,127","353,984,671",81.7,82.6,81.7,82.0,-0.10,"2,718"
2025/03/25,"5,840,959","481,317,829",82.4,83.2,81.8,82.5,+0.50,"2,993"
2025/03/26,"5,940,288","489,248,852",82.6,82.7,82.0,82.3,-0.20,"3,274"
2025/03/27,"7,134,925","590,375,298",82.3,83.2,82.1,83.0,+0.70,"3,265"
2025/03/28,"6,426,795","529,084,037",82.6,82.7,81.9,82.3,-0.70,"3,090"
2025/03/31,"11,620,322","943,073,029",81.2,82.1,80.5,80.5,-1.80,"5,311"
2025/04/01,"7,536,787","616,509,686",81.1,82.3,81.1,82.1,+1.60,"4,187"
2025/04/02,"5,634,284","462,062,059",81.5,82.4,81.5,81.9,-0.20,"3,094"
2025/04/07,"21,230,946","1,588,631,959",73.8,76.5,73.8,74.5,-7.40,"12,893"
2025/04/08,"30,612,113","2,373,015,940",76.8,79.1,75.8,78.3,+3.80,"15,374"
2025/04/09,"27,009,535","2,096,709,352",75.2,80.0,75.0,75.0,-3.30,"13,629"
2025/04/10,"32,911,723","2,607,480,248",80.9,81.8,77.8,78.4,+3.40,"17,781"
2025/04/11,"21,951,871","1,718,756,469",78.4,79.7,77.8,78.0,-0.40,"9,325"
2025/04/14,"16,640,706","1,289,387,366",77.6,78.8,76.5,76.5,-1.50,"10,403"
2025/04/15,"20,451,914","1,558,067,932",76.5,77.0,75.6,75.6,-0.90,"12,289"
2025/04/16,"17,482,452","1,325,889,100",75.1,76.8,74.7,76.8,+1.20,"9,564"
2025/04/17,"14,601,504","1,102,725,241",76.0,76.4,75.0,75.6,-1.20,"8,094"
2025/04/18,"8,589,016","644,599,571",75.4,75.6,74.8,74.9,-0.70,"5,108"
2025/04/21,"9,617,601","720,612,548",75.3,75.6,74.5,74.7,-0.20,"6,305"
2025/04/22,"20,360,793","1,525,254,570",74.7,75.6,73.9,75.4,+0.70,"8,827"
2025/04/23,"17,194,933","1,321,512,571",75.4,77.5,75.0,77.5,+2.10,"8,971"
2025/04/24,"12,721,372","973,901,829",77.0,77.2,76.0,76.5,-1.00,"8,276"
2025/04/25,"14,201,785","1,084,711,950",76.5,76.9,75.8,76.2,-0.30,"5,534"
2025/04/28,"6,911,417","530,383,434",76.6,77.3,76.3,76.8,+0.60,"3,351"
2025/04/29,"7,779,188","597,152,707",76.6,77.0,76.4,76.7,-0.10,"3,962"
2025/04/30,"8,360,881","642,254,434",76.4,77.2,76.3,76.8,+0.10,"4,413"
2025/05/02,"6,927,075","538,989,658",77.3,78.2,77.1,78.1,+1.30,"4,378"
2025/05/05,"23,255,370","1,876,507,240",79.3,82.1,79.0,80.8,+2.70,"11,856"
2025/05/06,"12,272,658","995,943,645",81.5,82.3,80.4,80.7,-0.10,"8,950"
2025/05/07,"9,055,834","733,188,807",81.5,81.5,80.4,80.7,0.00,"5,112"
2025/05/08,"6,985,895","564,851,820",80.3,81.3,80.3,80.7,0.00,"3,816"
2025/05/09,"9,302,562","751,042,081",80.0,81.4,79.7,81.2,+0.50,"4,998"
2025/05/12,"9,444,176","762,659,817",82.0,82.0,80.1,80.3,-0.90,"9,616"
2025/05/13,"13,159,771","1,038,826,585",79.8,80.0,78.4,78.7,-1.60,"16,588"
2025/05/14,"15,508,649","1,215,574,350",79.5,79.5,78.0,78.5,-0.20,"9,203"
2025/05/15,"14,669,754","1,157,462,643",78.8,79.6,78.0,79.5,+1.00,"8,748"
2025/05/16,"10,224,248","808,740,458",78.8,79.6,78.6,79.6,+0.10,"6,629"
2025/05/19,"29,423,455","2,422,691,053",79.8,83.2,79.7,83.0,+3.40,"16,259"
2025/05/20,"15,773,360","1,294,852,597",83.0,83.7,81.5,81.5,-1.50,"15,997"
2025/05/21,"15,240,848","1,234,124,276",81.5,82.0,80.7,81.0,-0.50,"9,398"
2025/05/22,"12,975,473","1,041,134,819",80.5,81.1,79.9,80.4,-0.60,"5,710"
2025/05/23,"13,622,691","1,088,452,098",80.0,80.4,79.6,79.9,-0.50,"6,341"
2025/05/26,"25,005,712","1,980,937,223",79.9,79.9,78.7,79.7,-0.20,"10,852"
2025/05/27,"23,464,760","1,899,777,358",80.0,81.8,79.9,80.8,+1.10,"10,272"
2025/05/28,"10,961,996","888,400,317",81.0,81.3,80.4,81.3,+0.50,"5,901"
2025/05/29,"21,567,373","1,728,171,101",81.5,81.6,79.6,79.6,-1.70,"7,350"
2025/06/02,"19,417,974","1,541,563,571",79.5,80.3,78.9,79.0,-0.60,"8,497"
2025/06/03,"26,744,163","2,110,843,277",79.2,79.8,78.3,79.3,+0.30,"12,272"
2025/06/04,"16,941,889","1,342,400,308",79.3,79.9,78.8,78.8,-0.50,"6,622"
2025/06/05,"9,035,623","719,721,285",78.8,80.0,78.8,79.7,+0.90,"4,587"
2025/06/06,"9,349,034","742,766,201",79.9,80.0,79.1,79.1,-0.60,"4,764"
2025/06/09,"9,486,952","754,289,046",79.6,80.4,79.1,79.1,0.00,"5,604"
2025/06/10,"12,957,925","1,025,682,753",79.2,79.5,78.9,79.1,0.00,"5,208"
2025/06/11,"12,886,546","1,018,529,643",79.1,79.8,78.8,78.8,-0.30,"6,324"
2025/06/12,"8,188,649","648,204,790",79.4,79.5,78.8,79.2,+0.40,"3,882"
2025/06/13,"12,327,162","981,789,234",78.9,80.1,78.9,79.7,+0.50,"4,917"
2025/06/16,"13,809,511","1,101,481,322",79.5,80.4,79.4,79.4,-0.30,"5,002"
2025/06/17,"24,486,964","1,934,619,880",79.8,80.4,78.4,78.9,-0.50,"8,381"
2025/06/18,"26,500,123","2,071,137,572",78.7,78.9,77.9,78.0,-0.90,"11,008"
2025/06/19,"25,674,713","1,991,506,697",78.0,78.4,77.3,77.5,-0.50,"8,442"
2025/06/20,"50,853,039","3,964,886,668",77.7,78.8,77.4,77.9,+0.40,"12,904"
2025/06/23,"39,602,080","3,117,505,700",77.8,79.2,77.3,79.2,+1.30,"8,894"
2025/06/24,"46,335,689","3,691,943,050",79.6,80.0,78.8,79.9,+0.70,"10,217"
2025/06/25,"41,682,281","3,310,809,123",80.0,80.2,79.0,79.4,-0.50,"10,750"
2025/06/26,"44,793,577","3,588,660,410",79.6,81.0,79.3,80.3,+0.90,"10,714"
2025/06/27,"28,475,652","2,288,895,697",80.3,80.9,79.9,80.1,-0.20,"14,321"
2025/06/30,"28,802,549","2,346,859,084",80.8,82.4,80.5,81.0,+0.90,"10,733"
2025/07/01,"19,629,188","1,602,608,023",81.1,82.5,81.0,81.7,+0.70,"11,612"
2025/07/02,"19,328,750","1,574,060,444",80.6,82.1,80.6,82.0,+0.30,"7,903"
2025/07/03,"18,977,988","1,542,865,276",81.4,82.2,80.9,81.1,-0.90,"8,258"
2025/07/04,"11,226,697","925,606,429",81.7,82.9,81.3,82.5,+1.40,"6,535"
2025/07/07,"7,453,508","618,730,269",82.1,83.4,82.1,82.7,+0.20,"5,330"
2025/07/08,"11,475,451","959,924,294",82.8,84.0,82.8,83.8,+1.10,"6,961"
2025/07/09,"11,804,623","987,775,303",83.4,84.0,83.0,83.5,-0.30,"6,224"
2025/07/10,"9,098,167","764,843,478",83.1,84.6,83.1,84.0,+0.50,"7,321"
2025/07/11,"10,965,352","931,425,611",83.9,85.3,83.8,84.9,+0.90,"7,259"
2025/07/14,"12,305,110","1,056,204,473",85.3,86.6,85.0,85.3,+0.40,"7,928"
2025/07/15,"10,009,393","848,961,342",85.0,85.9,84.3,84.6,-0.70,"8,282"
2025/07/16,"11,862,573","1,013,641,166",84.0,86.0,84.0,85.5,+0.90,"7,606"
2025/07/17,"11,431,608","980,681,164",85.4,86.2,85.1,85.9,+0.40,"6,579"
2025/07/18,"10,812,868","929,922,138",85.9,86.5,85.5,86.1,+0.20,"7,269"
2025/07/21,"10,738,645","926,518,864",86.2,86.8,85.6,86.6,+0.50,"5,623"
2025/07/22,"11,838,973","1,027,719,609",86.6,87.1,86.1,87.0,+0.40,"6,396"
2025/07/23,"11,946,568","1,034,812,602",87.1,87.2,86.2,86.3,-0.70,"9,117"
2025/07/24,"9,572,970","818,730,614",86.3,86.5,85.0,85.4,-0.90,"10,067"
2025/07/25,"8,344,608","710,732,439",85.0,85.9,84.9,84.9,-0.50,"7,853"
2025/07/28,"15,986,995","1,334,157,489",85.0,85.5,82.8,83.4,-1.50,"50,801"
2025/07/29,"9,950,713","822,329,427",83.4,83.6,82.1,82.6,-0.80,"13,409"
2025/07/30,"8,250,491","682,159,566",82.5,82.9,82.2,82.7,+0.10,"5,879"
2025/07/31,"16,549,302","1,307,073,477",79.7,79.7,78.6,79.2,X0.00,"11,662"
2025/08/01,"7,677,704","610,616,875",78.9,80.1,78.9,79.4,+0.20,"5,908"
2025/08/04,"6,118,058","486,936,858",79.2,80.0,79.2,80.0,+0.60,"4,455"
2025/08/05,"8,136,708","647,496,950",79.8,80.4,79.4,79.8,-0.20,"6,347"
2025/08/06,"7,487,658","593,387,972",79.8,79.8,79.0,79.1,-0.70,"6,810"
2025/08/07,"10,111,835","801,629,349",79.3,79.8,78.9,79.1,0.00,"5,901"
2025/08/08,"12,775,057","999,764,986",78.8,79.1,77.8,78.2,-0.90,"11,447"
2025/08/11,"11,037,355","857,402,933",78.2,78.2,77.3,77.8,-0.40,"10,226"
2025/08/12,"10,895,627","848,049,256",78.0,78.2,77.6,77.8,0.00,"6,107"
2025/08/13,"13,214,520","1,025,206,769",78.4,78.4,77.2,77.6,-0.20,"10,321"
2025/08/14,"7,386,892","576,872,825",77.9,78.4,77.6,78.2,+0.60,"4,324"
2025/08/15,"8,067,858","631,858,670",78.6,78.8,77.7,78.8,+0.60,"4,124"
2025/08/18,"8,218,872","639,222,043",78.5,78.6,77.5,77.8,-1.00,"7,695"
2025/08/19,"7,568,390","584,415,601",77.6,77.6,77.0,77.3,-0.50,"6,495"
2025/08/20,"7,786,251","599,552,016",77.2,77.4,76.8,77.1,-0.20,"6,760"
2025/08/21,"9,005,381","699,604,156",77.7,78.3,77.3,77.8,+0.70,"7,177"
2025/08/22,"8,816,575","684,993,755",78.2,78.4,77.3,77.5,-0.30,"5,007"
2025/08/25,"8,328,914","646,209,748",77.8,78.1,77.3,77.8,+0.30,"4,598"
2025/08/26,"18,616,972","1,425,922,225",77.5,77.5,76.3,76.3,-1.50,"12,302"
2025/08/27,"7,396,942","567,584,928",76.4,77.2,76.2,76.7,+0.40,"5,244"
2025/08/28,"11,198,572","868,085,821",76.5,77.9,76.4,77.7,+1.00,"5,352"
2025/08/29,"11,740,973","912,279,067",77.9,78.1,77.2,77.4,-0.30,"4,904"
2025/09/01,"3,943,425","305,944,540",77.4,77.9,77.1,77.4,0.00,"3,207"
2025/09/02,"5,378,072","419,452,915",77.3,78.2,77.3,78.2,+0.80,"3,661"
2025/09/03,"4,423,185","344,897,793",78.1,78.3,77.7,77.9,-0.30,"3,286"
2025/09/04,"5,442,607","425,051,561",78.0,78.3,77.7,78.1,+0.20,"3,069"
2025/09/05,"4,947,791","387,317,513",78.2,78.5,78.1,78.1,0.00,"3,467"
2025/09/08,"6,876,658","540,610,689",78.1,79.1,78.1,78.9,+0.80,"3,976"
2025/09/09,"11,414,751","906,484,467",78.9,79.8,78.7,79.4,+0.50,"6,094"
2025/09/10,"9,585,758","763,345,890",79.4,79.9,79.1,79.5,+0.10,"6,632"
2025/09/11,"7,989,354","632,955,202",79.3,79.7,78.7,78.9,-0.60,"4,933"
2025/09/12,"5,800,215","458,893,210",79.0,79.5,78.8,79.3,+0.40,"4,352"
