日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"518,836","6,059,646",11.7,11.75,11.65,11.65,-0.05,453
2025/01/03,"517,455","6,050,162",11.65,11.75,11.65,11.65,0.00,435
2025/01/06,"730,950","8,566,665",11.7,11.8,11.65,11.7,+0.05,391
2025/01/07,"761,677","8,895,554",11.7,11.8,11.6,11.65,-0.05,522
2025/01/08,"229,383","2,683,645",11.7,11.75,11.65,11.75,+0.10,223
2025/01/09,"809,539","9,433,552",11.7,11.7,11.6,11.6,-0.15,478
2025/01/10,"1,251,082","14,457,540",11.6,11.65,11.5,11.55,-0.05,653
2025/01/13,"1,806,219","20,616,033",11.5,11.55,11.35,11.4,-0.15,827
2025/01/14,"510,462","5,862,987",11.4,11.55,11.4,11.55,+0.15,349
2025/01/15,"347,576","4,012,853",11.5,11.6,11.5,11.6,+0.05,386
2025/01/16,"514,018","5,951,486",11.65,11.65,11.55,11.6,0.00,402
2025/01/17,"392,102","4,543,894",11.55,11.65,11.55,11.65,+0.05,321
2025/01/20,"488,894","5,656,561",11.55,11.65,11.5,11.6,-0.05,446
2025/01/21,"326,020","3,786,318",11.6,11.65,11.6,11.6,0.00,274
2025/01/22,"430,765","5,020,666",11.65,11.7,11.6,11.65,+0.05,377
2025/02/03,"1,299,531","15,234,818",11.5,11.85,11.5,11.85,+0.20,625
2025/02/04,"692,301","8,198,652",11.9,11.9,11.75,11.75,-0.10,471
2025/02/05,"801,096","9,498,664",11.75,11.95,11.75,11.9,+0.15,437
2025/02/06,"514,630","6,144,053",11.85,12.0,11.85,12.0,+0.10,399
2025/02/07,"480,354","5,743,079",11.9,12.0,11.9,11.95,-0.05,338
2025/02/10,"429,005","5,106,482",11.85,11.95,11.85,11.95,0.00,344
2025/02/11,"858,860","10,270,826",11.95,12.0,11.9,11.95,0.00,441
2025/02/12,"705,872","8,468,577",11.95,12.05,11.95,11.95,0.00,495
2025/02/13,"1,598,583","19,407,017",12.0,12.2,12.0,12.15,+0.20,863
2025/02/14,"371,212","4,505,041",12.15,12.2,12.1,12.1,-0.05,458
2025/02/17,"445,333","5,411,790",12.1,12.2,12.1,12.15,+0.05,506
2025/02/18,"491,733","5,963,576",12.15,12.2,12.1,12.1,-0.05,415
2025/02/19,"356,971","4,322,743",12.1,12.15,12.1,12.1,0.00,350
2025/02/20,"316,445","3,834,469",12.15,12.15,12.1,12.15,+0.05,407
2025/02/21,"655,237","7,950,424",12.15,12.2,12.1,12.2,+0.05,530
2025/02/24,"566,582","6,879,785",12.15,12.2,12.1,12.15,-0.05,608
2025/02/25,"842,268","10,222,441",12.1,12.2,12.1,12.1,-0.05,456
2025/02/26,"355,771","4,312,692",12.1,12.15,12.1,12.1,0.00,420
2025/02/27,"459,091","5,574,610",12.1,12.2,12.1,12.2,+0.10,397
2025/03/03,"431,551","5,247,478",12.2,12.2,12.15,12.2,0.00,440
2025/03/04,"792,694","9,566,165",12.1,12.15,12.0,12.1,-0.10,558
2025/03/05,"396,581","4,811,851",12.05,12.2,12.05,12.15,+0.05,439
2025/03/06,"524,639","6,360,667",12.15,12.15,12.1,12.1,-0.05,394
2025/03/07,"382,132","4,638,390",12.1,12.2,12.1,12.15,+0.05,310
2025/03/10,"1,573,682","19,235,899",12.15,12.35,12.15,12.3,+0.15,731
2025/03/11,"975,255","11,865,519",12.2,12.25,12.05,12.2,-0.10,574
2025/03/12,"2,319,579","27,735,007",12.05,12.05,11.85,11.9,-0.30,"1,287"
2025/03/13,"810,523","9,687,060",11.95,12.0,11.9,11.9,0.00,620
2025/03/14,"674,114","8,027,449",11.9,12.0,11.85,11.9,0.00,532
2025/03/17,"740,550","8,790,716",11.8,12.0,11.75,11.95,+0.05,625
2025/03/18,"225,147","2,688,956",12.0,12.0,11.9,11.9,-0.05,395
2025/03/19,"379,017","4,511,762",11.9,11.95,11.85,11.9,0.00,497
2025/03/20,"401,112","4,788,114",11.95,12.0,11.9,11.9,0.00,382
2025/03/21,"358,277","4,258,254",11.9,11.95,11.85,11.85,-0.05,364
2025/03/24,"344,280","4,098,902",11.9,11.95,11.9,11.9,+0.05,394
2025/03/25,"830,323","9,886,327",11.95,12.0,11.85,11.9,0.00,561
2025/03/26,"711,177","8,493,886",11.95,12.0,11.9,11.95,+0.05,855
2025/03/27,"562,550","6,716,913",11.95,12.0,11.9,11.95,0.00,738
2025/03/28,"870,869","10,330,852",11.95,11.95,11.8,11.9,-0.05,792
2025/03/31,"1,294,683","15,121,804",11.8,11.8,11.6,11.65,-0.25,"1,101"
2025/04/01,"370,362","4,361,679",11.65,11.85,11.65,11.75,+0.10,415
2025/04/02,"548,504","6,510,457",11.75,11.95,11.75,11.95,+0.20,456
2025/04/07,"1,794,993","19,387,371",10.8,10.8,10.8,10.8,-1.15,"1,475"
2025/04/08,"1,867,866","20,116,356",10.55,10.95,10.55,10.9,+0.10,"1,244"
2025/04/09,"2,525,564","27,073,868",10.9,10.9,10.55,10.6,-0.30,"1,307"
2025/04/10,"2,233,733","25,733,080",11.35,11.65,11.3,11.6,+1.00,977
2025/04/11,"1,325,909","15,043,608",11.45,11.55,11.2,11.55,-0.05,782
2025/04/14,"1,361,284","15,581,267",11.55,11.55,11.35,11.5,-0.05,976
2025/04/15,"1,327,593","15,201,373",11.4,11.55,11.4,11.45,-0.05,703
2025/04/16,"1,144,321","13,065,588",11.5,11.5,11.35,11.35,-0.10,640
2025/04/17,"733,466","8,331,202",11.35,11.4,11.3,11.35,0.00,531
