日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"919,644","16,008,180",17.65,17.7,17.25,17.3,-0.55,344
2025/01/03,"879,379","15,067,077",17.25,17.35,17.0,17.1,-0.20,426
2025/01/06,"572,634","9,760,919",17.0,17.15,16.95,17.1,0.00,279
2025/01/07,"591,553","10,033,386",17.1,17.25,16.8,16.8,-0.30,386
2025/01/08,"931,423","15,614,394",16.65,17.1,16.55,17.05,+0.25,403
2025/01/09,"895,713","14,961,321",16.9,16.9,16.05,16.45,-0.60,412
2025/01/10,"1,733,381","27,979,979",16.4,16.5,15.95,16.1,-0.35,592
2025/01/13,"1,098,772","17,514,066",16.0,16.25,15.65,16.1,0.00,501
2025/01/14,"384,119","6,240,746",16.05,16.4,16.05,16.2,+0.10,176
2025/01/15,"310,472","5,080,712",16.4,16.5,16.2,16.3,+0.10,176
2025/01/16,"219,260","3,608,203",16.4,16.55,16.35,16.45,+0.15,198
2025/01/17,"307,991","5,125,949",16.45,16.8,16.3,16.6,+0.15,261
2025/01/20,"310,094","5,168,813",16.65,16.8,16.5,16.7,+0.10,262
2025/01/21,"340,442","5,717,442",16.75,16.9,16.75,16.75,+0.05,231
2025/01/22,"294,667","4,931,269",16.75,16.8,16.65,16.75,0.00,218
2025/02/03,"269,924","4,504,633",16.7,16.8,16.5,16.65,-0.10,224
2025/02/04,"135,626","2,266,288",16.65,16.8,16.65,16.75,+0.10,157
2025/02/05,"262,218","4,407,178",16.7,16.95,16.7,16.85,+0.10,202
2025/02/06,"136,921","2,311,712",16.8,16.95,16.8,16.9,+0.05,143
2025/02/07,"242,689","4,112,788",17.0,17.05,16.85,17.0,+0.10,161
2025/02/10,"846,763","13,896,308",16.65,16.65,16.15,16.5,-0.50,490
2025/02/11,"406,002","6,672,070",16.5,16.55,16.35,16.4,-0.10,189
2025/02/12,"238,019","3,909,602",16.45,16.55,16.35,16.35,-0.05,167
2025/02/13,"429,675","7,114,679",16.3,16.65,16.3,16.6,+0.25,258
2025/02/14,"322,446","5,395,054",16.5,16.9,16.5,16.75,+0.15,230
2025/02/17,"274,251","4,607,080",16.85,16.85,16.7,16.85,+0.10,272
2025/02/18,"189,699","3,199,224",17.0,17.0,16.8,16.9,+0.05,181
2025/02/19,"239,666","4,066,385",16.9,17.05,16.85,17.0,+0.10,230
2025/02/20,"226,107","3,851,009",17.05,17.15,16.95,17.05,+0.05,148
2025/02/21,"307,717","5,220,205",17.05,17.1,16.9,17.0,-0.05,221
2025/02/24,"277,063","4,702,585",17.0,17.05,16.9,17.05,+0.05,265
2025/02/25,"372,895","6,374,406",17.05,17.25,16.95,17.0,-0.05,270
2025/02/26,"388,625","6,624,982",17.15,17.15,17.0,17.05,+0.05,190
2025/02/27,"325,012","5,543,507",17.05,17.15,16.95,17.0,-0.05,214
2025/03/03,"321,185","5,440,667",16.95,17.0,16.85,16.95,-0.05,248
2025/03/04,"114,251","1,936,106",16.85,17.05,16.7,17.05,+0.10,170
2025/03/05,"185,331","3,155,332",17.0,17.1,17.0,17.0,-0.05,190
2025/03/06,"215,926","3,683,901",17.1,17.15,17.0,17.05,+0.05,169
2025/03/07,"614,348","10,595,141",17.05,17.5,17.0,17.45,+0.40,339
2025/03/10,"536,000","9,343,587",17.6,17.6,17.25,17.45,0.00,477
