日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"2,841,339","118,440,043",40.35,43.5,40.35,41.9,+0.95,"2,098"
2025/01/03,"5,472,069","229,237,890",43.0,45.9,38.85,39.5,-2.40,"3,563"
2025/01/06,"2,470,074","103,977,527",40.2,43.45,40.15,43.25,+3.75,"1,852"
2025/01/07,"1,774,471","75,328,384",42.45,44.05,41.3,41.3,-1.95,"1,458"
2025/01/08,"702,958","29,192,135",41.55,42.5,41.0,41.7,+0.40,808
2025/01/09,"1,743,849","76,331,946",41.1,45.5,41.1,43.0,+1.30,"1,524"
2025/01/10,"2,925,696","134,772,621",43.0,47.3,42.4,46.8,+3.80,"3,248"
2025/01/13,"2,032,745","91,001,531",46.95,46.95,43.3,44.8,-2.00,"2,662"
2025/01/14,"2,472,320","117,693,265",45.35,49.25,44.8,48.4,+3.60,"2,390"
2025/01/15,"2,835,484","137,016,211",48.35,49.65,47.5,47.55,-0.85,"2,469"
2025/01/16,"1,896,197","89,958,899",47.85,49.25,46.05,46.5,-1.05,"1,928"
2025/01/17,"883,969","40,696,212",46.5,47.15,45.5,45.5,-1.00,783
2025/01/20,"1,770,933","84,825,886",45.55,49.7,44.75,49.25,+3.75,"1,643"
2025/01/21,"2,760,741","130,685,552",49.7,50.5,45.75,45.75,-3.50,"2,596"
2025/01/22,"5,623,591","242,018,567",46.45,47.2,45.1,46.0,+0.25,"1,743"
2025/02/03,"878,874","40,592,401",46.0,47.4,45.0,47.15,+1.15,878
2025/02/04,"792,711","37,382,887",47.15,48.3,46.25,47.3,+0.15,773
2025/02/05,"935,520","44,409,614",47.4,48.2,46.65,48.05,+0.75,756
2025/02/06,"803,511","38,582,150",48.0,48.85,47.3,47.75,-0.30,703
2025/02/07,"339,483","16,213,256",47.9,48.45,47.25,47.8,+0.05,444
2025/02/10,"572,741","27,389,220",47.8,48.45,46.9,48.15,+0.35,579
2025/02/11,"841,448","40,432,311",48.1,49.05,47.45,47.5,-0.65,865
2025/02/12,"781,337","37,435,657",48.9,48.9,47.2,47.25,-0.25,675
2025/02/13,"648,354","31,227,663",47.25,48.6,47.25,48.45,+1.20,579
2025/02/14,"442,037","21,443,980",48.8,48.9,48.2,48.25,-0.20,585
2025/02/17,"1,604,004","80,915,767",48.7,52.4,48.65,50.0,+1.75,"1,793"
2025/02/18,"4,097,578","214,165,801",50.1,55.0,49.6,50.6,+0.60,"3,084"
2025/02/19,"1,039,589","53,298,301",50.6,52.0,50.5,51.3,+0.70,"1,294"
2025/02/20,"3,496,594","168,495,760",47.0,49.55,46.8,48.95,-2.35,"2,318"
2025/02/21,"1,325,554","65,589,459",49.35,50.2,48.6,50.0,+1.05,"1,064"
2025/02/24,"593,131","29,421,090",50.0,50.5,49.2,49.25,-0.75,818
2025/02/25,"595,395","28,835,700",49.05,49.05,48.15,48.15,-1.10,594
2025/02/26,"522,995","24,888,996",48.2,48.25,47.2,47.6,-0.55,545
2025/02/27,"1,254,758","58,139,408",47.15,47.85,45.2,45.65,-1.95,"1,062"
2025/03/03,"454,544","20,710,857",45.65,46.1,45.2,45.45,-0.20,474
2025/03/04,"780,226","34,576,895",45.3,45.3,43.35,45.1,-0.35,660
2025/03/05,"1,423,448","63,698,231",45.35,46.95,43.0,43.4,-1.70,"1,034"
2025/03/06,"867,328","38,590,543",44.2,45.15,44.0,44.35,+0.95,772
2025/03/07,"543,372","23,974,893",44.2,44.55,43.7,44.0,-0.35,456
2025/03/10,"307,433","13,787,054",45.05,45.4,44.0,44.85,+0.85,346
2025/03/11,"460,506","20,432,896",43.5,45.8,43.05,45.4,+0.55,549
2025/03/12,"2,304,432","97,951,315",45.15,45.95,40.9,40.9,-4.50,"1,182"
2025/03/13,"4,886,313","199,354,177",41.5,43.7,38.65,38.65,-2.25,"3,185"
2025/03/14,"4,618,175","178,166,516",39.35,39.75,37.2,38.65,0.00,"2,761"
2025/03/17,"2,979,065","114,817,903",39.0,39.65,37.9,38.65,0.00,"1,626"
2025/03/18,"1,057,446","41,018,192",39.2,39.4,38.55,38.7,+0.05,700
2025/03/19,"3,686,505","139,073,072",39.05,39.05,37.05,37.05,-1.65,"1,929"
2025/03/20,"2,797,939","104,273,192",37.5,37.8,36.7,37.65,+0.60,"1,570"
2025/03/21,"1,073,743","41,116,623",37.9,38.8,37.6,38.55,+0.90,787
