日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"714,175","25,910,491",36.45,36.45,36.2,36.25,-0.40,839
2025/01/03,"404,509","14,642,572",36.45,36.45,36.1,36.1,-0.15,433
2025/01/06,"819,513","29,603,604",36.1,36.6,35.75,36.25,+0.15,679
2025/01/07,"612,371","21,977,817",36.3,36.3,35.8,35.8,-0.45,732
2025/01/08,"1,119,985","39,518,922",35.8,35.8,35.15,35.4,-0.40,"1,187"
2025/01/09,"1,417,184","49,384,268",35.4,35.4,34.5,34.65,-0.75,"1,502"
2025/01/10,"1,452,682","49,688,327",34.6,34.65,34.0,34.0,-0.65,"1,335"
2025/01/13,"1,028,139","34,813,167",34.1,34.4,33.35,34.25,+0.25,949
2025/01/14,"427,039","14,657,568",34.3,34.55,34.2,34.3,+0.05,470
2025/01/15,"266,794","9,200,941",34.5,34.6,34.35,34.45,+0.15,319
2025/01/16,"475,470","16,562,719",34.65,35.1,34.5,34.85,+0.40,448
2025/01/17,"315,658","10,994,684",34.95,34.95,34.75,34.8,-0.05,527
2025/01/20,"248,073","8,602,491",34.9,34.9,34.6,34.7,-0.10,399
2025/01/21,"191,809","6,700,216",34.7,35.0,34.7,35.0,+0.30,303
2025/01/22,"363,277","12,715,466",35.25,35.25,34.8,35.0,0.00,408
2025/02/03,"544,693","18,895,995",35.0,35.05,34.35,34.75,-0.25,700
2025/02/04,"403,938","14,014,297",34.75,35.05,34.55,34.55,-0.20,417
2025/02/05,"278,106","9,700,378",35.0,35.1,34.75,34.8,+0.25,278
2025/02/06,"242,715","8,502,008",34.95,35.15,34.85,35.05,+0.25,252
2025/02/07,"206,946","7,255,852",35.05,35.2,34.95,35.05,0.00,287
2025/02/10,"241,961","8,440,152",35.0,35.0,34.8,34.95,-0.10,405
2025/02/11,"322,409","11,272,190",35.0,35.2,34.8,34.9,-0.05,303
2025/02/12,"217,109","7,619,639",35.0,35.2,34.95,35.1,+0.20,250
2025/02/13,"591,725","20,903,063",35.2,35.7,35.05,35.6,+0.50,728
2025/02/14,"362,379","12,816,540",35.5,35.55,35.2,35.5,-0.10,570
2025/02/17,"332,225","11,838,677",35.55,35.75,35.5,35.6,+0.10,363
2025/02/18,"228,643","8,116,637",35.5,35.55,35.4,35.55,-0.05,272
2025/02/19,"274,502","9,772,494",35.55,35.75,35.55,35.55,0.00,280
2025/02/20,"383,114","13,645,618",35.6,35.8,35.5,35.6,+0.05,337
2025/02/21,"586,271","20,892,212",35.6,35.7,35.55,35.65,+0.05,566
2025/02/24,"371,602","13,238,146",35.5,35.7,35.5,35.6,-0.05,427
2025/02/25,"453,237","16,091,417",35.5,35.65,35.35,35.5,-0.10,437
2025/02/26,"402,588","14,286,492",35.4,35.7,35.35,35.55,+0.05,432
2025/02/27,"743,849","26,361,511",35.4,35.7,35.35,35.35,-0.20,523
2025/03/03,"569,568","20,228,038",35.4,35.7,35.3,35.7,+0.35,529
2025/03/04,"1,166,725","41,161,117",35.5,35.5,35.15,35.5,-0.20,978
2025/03/05,"546,637","19,503,613",35.4,35.85,35.2,35.7,+0.20,467
2025/03/06,"346,920","12,446,871",35.75,36.05,35.75,35.9,+0.20,333
