日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,047,675","53,071,439",50.6,50.9,50.4,50.9,+0.20,"1,821"
2025/01/03,"961,804","49,633,246",51.5,51.9,51.2,51.5,+0.60,"1,215"
2025/01/06,"1,008,066","51,850,873",51.5,51.8,51.1,51.2,-0.30,"1,647"
2025/01/07,"1,351,960","68,831,557",51.6,51.7,50.7,50.7,-0.50,"2,190"
2025/01/08,"1,237,234","62,465,659",50.7,50.7,50.3,50.5,-0.20,"1,782"
2025/01/09,"2,158,017","108,159,285",50.5,50.9,49.7,49.95,-0.55,"3,347"
2025/01/10,"3,786,575","184,994,589",49.75,49.75,48.25,49.05,-0.90,"5,580"
2025/01/13,"3,272,786","156,191,615",48.6,48.6,47.2,47.8,-1.25,"4,464"
2025/01/14,"2,416,168","114,736,261",47.2,48.05,47.15,47.2,-0.60,"3,928"
2025/01/15,"2,820,917","133,077,209",47.05,47.8,46.7,47.05,-0.15,"3,045"
2025/01/16,"3,282,413","154,106,621",47.6,47.65,46.7,46.75,-0.30,"4,638"
2025/01/17,"2,709,105","126,778,826",46.7,47.4,46.15,47.3,+0.55,"2,579"
2025/01/20,"2,197,068","105,698,094",47.35,48.9,46.8,48.85,+1.55,"2,489"
2025/01/21,"1,809,018","88,659,708",48.85,49.7,48.45,49.3,+0.45,"2,401"
2025/01/22,"1,565,396","77,603,825",49.3,49.85,49.15,49.6,+0.30,"2,302"
2025/02/03,"2,770,024","139,998,779",49.6,51.3,49.4,51.1,+1.50,"2,633"
2025/02/04,"2,521,429","130,162,291",51.2,52.1,50.8,52.0,+0.90,"1,991"
2025/02/05,"2,337,172","120,324,714",52.0,52.3,51.0,51.5,-0.50,"2,389"
2025/02/06,"1,103,200","56,681,581",51.8,51.9,51.1,51.5,0.00,"1,470"
2025/02/07,"1,087,906","55,479,136",51.6,51.6,50.7,50.9,-0.60,"1,815"
2025/02/10,"1,135,174","57,728,452",50.7,51.2,50.4,50.8,-0.10,"1,395"
2025/02/11,"968,135","49,227,883",50.9,51.3,50.5,50.6,-0.20,"1,171"
2025/02/12,"972,984","49,063,857",50.7,51.0,50.1,50.2,-0.40,"1,698"
2025/02/13,"1,398,485","71,681,957",50.5,51.8,50.5,51.8,+1.60,"1,293"
2025/02/14,"1,600,980","84,184,853",51.8,53.0,51.5,52.9,+1.10,"1,651"
2025/02/17,"1,355,490","71,586,936",53.0,53.0,52.4,52.8,-0.10,"1,477"
2025/02/18,"789,089","41,499,411",52.8,52.9,52.4,52.7,-0.10,"1,045"
2025/02/19,"1,196,977","63,052,583",52.9,53.2,52.3,52.5,-0.20,"1,436"
2025/02/20,"841,174","44,201,213",52.7,53.0,52.1,53.0,+0.50,"1,070"
2025/02/21,"873,690","46,283,581",52.9,53.1,52.7,53.1,+0.10,"1,044"
2025/02/24,"601,676","31,903,361",53.1,53.2,52.8,53.2,+0.10,896
2025/02/25,"831,994","44,185,382",52.7,53.5,52.6,53.3,+0.10,"1,085"
2025/02/26,"729,469","38,704,480",53.1,53.3,52.9,52.9,-0.40,"1,077"
2025/02/27,"1,672,762","87,428,803",52.5,52.8,52.0,52.0,-0.90,"2,067"
2025/03/03,"1,316,172","67,747,103",52.0,52.0,51.1,51.5,-0.50,"2,100"
2025/03/04,"923,578","47,114,581",50.9,51.7,50.4,51.7,+0.20,"1,356"
2025/03/05,"806,298","41,438,175",51.3,51.8,51.1,51.3,-0.40,"1,314"
2025/03/06,"824,820","42,082,570",51.4,51.5,50.8,51.0,-0.30,"1,538"
2025/03/07,"952,024","48,546,946",51.1,51.2,50.8,50.8,-0.20,"1,053"
2025/03/10,"1,238,340","63,521,667",50.8,51.5,50.8,51.3,+0.50,"1,187"
2025/03/11,"1,408,835","71,462,720",50.9,51.4,50.1,51.0,-0.30,"1,802"
2025/03/12,"1,025,240","52,334,061",51.0,51.5,50.6,51.2,+0.20,"1,099"
2025/03/13,"1,119,148","57,468,253",51.2,51.7,51.0,51.0,-0.20,"1,129"
2025/03/14,"1,143,142","58,685,274",51.1,51.8,51.0,51.3,+0.30,878
2025/03/17,"1,175,825","60,348,046",51.3,51.6,51.0,51.2,-0.10,"1,195"
2025/03/18,"1,097,000","56,711,956",51.4,52.0,51.3,51.8,+0.60,"1,021"
2025/03/19,"979,695","50,714,463",51.8,52.1,51.5,51.6,-0.20,"1,160"
2025/03/20,"1,042,474","53,894,608",51.7,52.0,51.4,51.8,+0.20,947
2025/03/21,"1,237,862","63,498,620",51.7,51.7,51.1,51.1,-0.70,"1,104"
2025/03/24,"703,238","36,062,826",51.3,51.5,50.9,51.4,+0.30,750
2025/03/25,"601,793","30,938,629",51.6,51.7,51.3,51.3,-0.10,741
2025/03/26,"664,658","34,142,942",51.3,51.8,51.1,51.3,0.00,799
2025/03/27,"470,204","23,988,398",51.3,51.3,50.7,51.2,-0.10,816
2025/03/28,"1,465,172","73,729,453",51.0,51.0,50.0,50.1,-1.10,"2,403"
2025/03/31,"3,350,682","164,190,680",49.05,49.45,48.75,48.75,-1.35,"4,212"
