日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"64,580","9,424,979",146.0,146.5,145.0,146.0,-1.00,127
2025/01/03,"32,275","4,697,722",146.0,146.0,145.0,145.0,-1.00,89
2025/01/06,"30,837","4,482,949",146.0,146.0,145.0,145.0,0.00,134
2025/01/07,"61,731","8,962,923",145.0,145.5,145.0,145.0,0.00,122
2025/01/08,"37,350","5,424,000",145.0,145.5,145.0,145.0,0.00,76
2025/01/09,"42,397","6,142,364",145.0,145.5,144.5,145.0,0.00,139
2025/01/10,"40,197","5,812,948",145.0,145.0,144.0,144.0,-1.00,105
2025/01/13,"111,032","15,949,400",144.0,144.0,143.0,144.0,0.00,284
2025/01/14,"15,807","2,272,869",144.0,144.0,143.5,143.5,-0.50,107
2025/01/15,"50,347","7,268,339",143.5,145.0,143.0,144.5,+1.00,109
2025/01/16,"50,455","7,326,994",144.5,146.5,144.0,145.0,+0.50,119
2025/01/17,"23,400","3,404,738",145.0,146.0,145.0,145.5,+0.50,47
2025/01/20,"18,699","2,716,657",145.5,145.5,144.5,145.0,-0.50,91
2025/01/21,"16,632","2,413,566",145.5,146.0,144.5,145.0,0.00,64
2025/01/22,"21,662","3,156,227",145.5,146.0,145.5,145.5,+0.50,83
2025/02/03,"95,929","14,085,416",145.5,148.0,145.5,146.0,+0.50,231
2025/02/04,"28,642","4,206,710",146.5,147.0,146.5,146.5,+0.50,103
2025/02/05,"72,409","10,709,768",147.5,148.5,147.0,148.0,+1.50,133
2025/02/06,"33,798","5,009,570",148.0,148.5,148.0,148.5,+0.50,220
2025/02/07,"6,949","1,028,803",148.0,148.0,148.0,148.0,-0.50,117
2025/02/10,"78,397","11,450,744",147.5,147.5,145.5,146.0,-2.00,245
2025/02/11,"80,995","11,774,864",145.0,146.0,145.0,145.5,-0.50,178
2025/02/12,"18,904","2,757,640",145.5,146.5,145.5,146.0,+0.50,116
2025/02/13,"22,649","3,310,272",146.0,146.5,145.5,146.5,+0.50,99
2025/02/14,"20,718","3,038,316",146.5,147.0,146.5,146.5,0.00,74
2025/02/17,"43,989","6,484,355",148.0,148.0,147.0,147.0,+0.50,126
2025/02/18,"20,123","2,961,053",146.5,147.5,146.5,147.5,+0.50,84
2025/02/19,"52,114","7,717,748",147.5,149.0,147.0,148.5,+1.00,128
2025/02/20,"15,948","2,359,017",148.5,148.5,147.5,148.0,-0.50,73
2025/02/21,"269,669","41,301,505",153.0,157.0,152.0,153.0,+5.00,678
2025/02/24,"94,983","14,509,240",152.5,153.5,151.5,152.5,-0.50,320
2025/02/25,"132,763","20,287,281",151.5,154.0,151.5,154.0,+1.50,289
2025/02/26,"42,433","6,508,549",153.0,154.0,152.5,153.5,-0.50,177
2025/02/27,"162,746","24,855,948",153.0,153.5,152.0,152.0,-1.50,290
2025/03/03,"160,154","24,692,344",153.0,155.5,153.0,155.0,+3.00,309
2025/03/04,"106,335","16,243,458",154.5,154.5,152.0,153.0,-2.00,"1,017"
2025/03/05,"49,409","7,553,760",153.0,153.0,152.5,152.5,-0.50,159
2025/03/06,"45,794","7,005,994",152.5,153.5,152.5,152.5,0.00,134
2025/03/07,"64,852","9,905,884",152.5,153.0,152.5,153.0,+0.50,168
2025/03/10,"49,078","7,510,778",153.0,153.5,152.5,153.0,0.00,160
2025/03/11,"97,008","14,806,930",152.0,153.5,151.5,153.5,+0.50,222
2025/03/12,"83,928","12,845,805",152.5,154.0,152.5,152.5,-1.00,227
2025/03/13,"44,690","6,823,045",152.5,153.0,152.5,152.5,0.00,451
2025/03/14,"101,777","15,449,168",152.5,153.0,151.0,152.0,-0.50,236
2025/03/17,"33,487","5,090,223",152.0,152.5,151.5,151.5,-0.50,197
2025/03/18,"43,284","6,577,142",151.5,152.5,151.5,152.0,+0.50,106
2025/03/19,"100,041","15,277,792",151.5,153.5,151.5,153.0,+1.00,153
2025/03/20,"78,535","12,025,336",152.5,154.0,152.5,153.0,0.00,126
2025/03/21,"80,658","12,336,757",152.5,153.5,152.0,152.0,-1.00,125
2025/03/24,"76,996","11,788,459",152.0,153.5,152.0,153.0,+1.00,118
2025/03/25,"36,351","5,573,284",153.0,154.0,153.0,153.5,+0.50,109
2025/03/26,"25,249","3,876,925",153.5,154.0,153.5,154.0,+0.50,93
2025/03/27,"18,122","2,768,866",153.0,153.0,152.5,152.5,-1.50,87
2025/03/28,"34,739","5,277,570",152.5,152.5,151.5,151.5,-1.00,162
2025/03/31,"118,575","17,841,235",150.5,151.5,149.0,150.0,-1.50,341
2025/04/01,"67,990","10,258,858",150.0,152.0,149.5,150.5,+0.50,132
