日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"7,007","209,008",29.7,30.0,29.7,29.8,-0.35,9
2025/01/03,"7,148","214,601",29.8,30.1,29.8,30.1,+0.30,12
2025/01/06,"17,019","513,545",30.2,30.25,30.15,30.15,+0.05,25
2025/01/07,"13,036","394,724",31.05,31.05,30.1,30.1,-0.05,14
2025/01/08,"10,097","301,443",29.85,29.9,29.8,29.9,-0.20,18
2025/01/09,"14,105","419,524",29.75,30.05,29.65,30.05,+0.15,21
2025/01/10,"2,411","71,881",29.9,29.9,29.65,29.65,-0.40,10
2025/01/13,"18,234","542,099",29.45,29.9,29.45,29.75,+0.10,26
2025/01/14,"14,125","420,251",29.8,29.85,29.7,29.85,+0.10,20
2025/01/15,"11,192","335,487",30.0,30.0,29.95,30.0,+0.15,20
2025/01/16,"14,120","423,967",30.05,30.05,30.0,30.0,0.00,15
2025/01/17,"11,432","341,029",30.0,30.0,29.6,29.7,-0.30,21
2025/01/20,"2,055","61,335",29.85,29.85,29.85,29.85,+0.15,8
2025/01/21,"5,030","150,191",29.85,29.9,29.85,29.85,0.00,11
2025/01/22,"3,162","94,856",29.9,30.05,29.9,30.05,+0.20,8
2025/02/03,"6,196","183,757",29.35,29.9,29.35,29.9,-0.15,26
2025/02/04,"6,036","182,165",30.5,30.5,29.9,29.9,0.00,10
2025/02/05,"8,603","258,010",30.0,30.0,29.95,29.95,+0.05,20
2025/02/06,"7,045","211,054",29.9,30.3,29.9,30.3,+0.35,17
2025/02/07,"1,478","44,959",30.4,30.4,30.4,30.4,+0.10,11
2025/02/10,"9,164","274,725",30.0,30.0,29.95,29.95,-0.45,41
2025/02/11,"7,348","220,494",30.0,30.05,30.0,30.0,+0.05,32
2025/02/12,"1,164","34,918",30.0,30.0,30.0,30.0,0.00,10
2025/02/13,"8,133","244,677",29.95,30.3,29.95,30.3,+0.30,78
2025/02/14,"5,004","150,073",30.0,30.0,29.95,30.0,-0.30,9
2025/02/17,"8,055","242,831",30.25,30.25,30.1,30.2,+0.20,46
2025/02/18,"13,100","393,223",30.1,30.1,30.0,30.05,-0.15,27
2025/02/19,"12,396","373,034",30.05,30.25,30.05,30.05,0.00,27
2025/02/20,"2,137","64,713",30.3,30.3,30.3,30.3,+0.25,17
2025/02/21,"8,268","250,156",30.3,30.3,30.05,30.05,-0.25,31
2025/02/24,"5,243","159,081",30.2,30.4,30.2,30.35,+0.30,23
2025/02/25,"24,651","740,808",30.05,30.35,29.95,30.35,0.00,32
2025/02/26,"6,704","202,666",30.1,30.35,30.05,30.05,-0.30,23
2025/02/27,"3,021","91,358",30.25,30.25,30.2,30.2,+0.15,8
2025/03/03,"23,300","705,065",30.2,30.5,30.1,30.1,-0.10,46
2025/03/04,"37,044","1,125,085",30.3,30.5,30.2,30.2,+0.10,25
2025/03/05,"24,443","748,518",30.5,30.9,30.2,30.65,+0.45,47
2025/03/06,"21,409","660,750",31.2,31.2,30.8,30.8,+0.15,28
2025/03/07,"17,468","539,731",30.9,30.9,30.9,30.9,+0.10,24
2025/03/10,"6,355","195,905",30.6,30.9,30.6,30.75,-0.15,14
2025/03/11,"20,086","617,392",30.8,30.8,30.6,30.6,-0.15,34
2025/03/12,"19,747","605,573",30.45,30.8,30.45,30.6,0.00,38
2025/03/13,"53,374","1,657,955",30.6,31.3,30.6,31.0,+0.40,62
2025/03/14,"88,202","2,808,477",31.55,32.1,31.55,31.95,+0.95,71
2025/03/17,"9,284","297,346",32.0,32.15,32.0,32.0,+0.05,69
2025/03/18,"59,944","1,946,397",32.35,32.65,32.3,32.6,+0.60,74
2025/03/19,"159,262","5,300,062",32.8,33.4,32.8,33.3,+0.70,114
2025/03/20,"71,689","2,409,680",33.65,33.65,33.55,33.55,+0.25,92
2025/03/21,"86,335","2,915,987",33.85,33.85,33.65,33.65,+0.10,62
2025/03/24,"40,472","1,362,207",33.65,33.7,33.65,33.7,+0.05,46
2025/03/25,"60,989","2,057,206",33.7,33.8,33.7,33.75,+0.05,74
2025/03/26,"507,564","18,399,607",33.8,37.1,33.8,36.1,+2.35,"2,554"
2025/03/27,"110,940","3,936,843",34.85,36.05,34.85,35.45,-0.65,103
2025/03/28,"41,016","1,431,812",35.05,35.05,34.8,34.8,-0.65,249
2025/03/31,"24,246","838,246",34.7,34.7,34.5,34.65,-0.15,76
2025/04/01,"17,145","595,903",34.5,35.0,34.5,35.0,+0.35,29
2025/04/02,"20,716","724,947",34.95,35.15,34.9,35.05,+0.05,55
2025/04/07,"82,326","2,597,768",31.55,31.9,31.55,31.55,-3.50,83
2025/04/08,"12,563","403,357",31.2,33.35,31.2,32.4,+0.85,56
2025/04/09,"85,796","2,826,041",32.4,33.85,32.0,32.8,+0.40,107
2025/04/10,"17,366","604,930",34.95,34.95,34.5,34.5,+1.70,52
2025/04/11,"8,537","293,497",33.7,34.65,33.7,34.6,+0.10,23
2025/04/14,"49,427","1,713,440",34.6,35.3,33.85,34.0,-0.60,59
2025/04/15,"17,050","586,572",34.1,34.95,34.0,34.6,+0.60,20
2025/04/16,"44,231","1,516,744",35.0,35.0,34.0,34.0,-0.60,45
2025/04/17,"16,125","549,762",34.65,34.65,34.0,34.0,0.00,13
2025/04/18,"16,276","554,865",34.0,34.95,34.0,34.0,0.00,23
2025/04/21,"22,424","761,102",34.0,34.6,33.8,33.8,-0.20,131
