日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"116,460","4,778,924",40.85,41.15,40.85,41.0,-0.10,212
2025/01/03,"56,730","2,330,064",41.0,41.2,41.0,41.1,+0.10,86
2025/01/06,"63,766","2,631,712",41.1,41.45,41.1,41.3,+0.20,67
2025/01/07,"163,035","6,703,141",41.3,41.3,40.95,40.95,-0.35,113
2025/01/08,"52,779","2,164,697",41.05,41.05,41.0,41.0,+0.05,55
2025/01/09,"75,831","3,105,015",40.85,41.0,40.85,40.9,-0.10,96
2025/01/10,"131,914","5,371,766",40.85,40.85,40.6,40.8,-0.10,173
2025/01/13,"198,875","8,023,542",40.55,40.6,40.2,40.5,-0.30,241
2025/01/14,"46,584","1,891,532",40.5,40.7,40.5,40.6,+0.10,75
2025/01/15,"54,411","2,206,562",40.6,40.7,40.5,40.55,-0.05,79
2025/01/16,"50,355","2,048,404",40.55,40.75,40.55,40.75,+0.20,77
2025/01/17,"30,227","1,228,626",40.75,40.75,40.55,40.6,-0.15,87
2025/01/20,"44,021","1,787,861",40.6,40.65,40.55,40.65,+0.05,86
2025/01/21,"45,911","1,867,716",40.6,40.8,40.55,40.8,+0.15,57
2025/01/22,"37,229","1,523,418",40.8,41.0,40.8,41.0,+0.20,76
2025/02/03,"138,364","5,630,939",41.0,41.0,40.5,40.65,-0.35,454
2025/02/04,"39,025","1,585,360",40.65,40.8,40.5,40.5,-0.15,70
2025/02/05,"50,735","2,069,409",40.95,41.0,40.6,40.8,+0.30,79
2025/02/06,"35,873","1,463,826",40.8,40.85,40.7,40.8,0.00,53
2025/02/07,"81,031","3,294,564",40.8,40.8,40.6,40.8,0.00,106
2025/02/10,"80,896","3,297,422",40.8,40.9,40.6,40.9,+0.10,100
2025/02/11,"30,995","1,267,994",40.9,41.0,40.75,40.95,+0.05,65
2025/02/12,"29,025","1,187,035",40.95,41.0,40.75,41.0,+0.05,59
2025/02/13,"52,512","2,154,291",41.0,41.1,40.95,41.0,0.00,133
2025/02/14,"99,695","4,079,859",40.95,41.05,40.85,41.05,+0.05,106
2025/02/17,"124,765","5,157,226",41.25,41.6,41.1,41.1,+0.05,141
2025/02/18,"41,420","1,708,536",41.1,41.35,41.1,41.25,+0.15,90
2025/02/19,"27,446","1,134,065",41.35,41.4,41.2,41.2,-0.05,59
2025/02/20,"46,144","1,907,876",41.1,41.65,41.1,41.3,+0.10,97
2025/02/21,"115,030","4,779,977",41.3,41.75,41.3,41.4,+0.10,158
2025/02/24,"77,738","3,224,655",41.5,41.65,41.35,41.35,-0.05,255
2025/02/25,"61,966","2,556,344",41.3,41.35,41.1,41.1,-0.25,267
2025/02/26,"56,429","2,331,649",41.1,41.55,41.1,41.3,+0.20,52
2025/02/27,"86,559","3,574,450",41.3,41.5,41.15,41.3,0.00,102
2025/03/03,"60,748","2,510,512",41.25,41.65,41.1,41.4,+0.10,104
2025/03/04,"72,127","2,962,360",41.0,41.3,40.9,41.2,-0.20,116
2025/03/05,"52,769","2,176,114",41.1,41.4,41.05,41.3,+0.10,151
2025/03/06,"40,213","1,658,433",41.5,41.5,41.1,41.25,-0.05,84
2025/03/07,"112,149","4,605,194",41.05,41.2,40.9,41.0,-0.25,123
2025/03/10,"110,421","4,521,507",41.1,41.1,40.85,41.0,0.00,121
2025/03/11,"197,586","8,036,136",40.6,41.0,40.5,40.75,-0.25,152
2025/03/12,"54,998","2,245,975",40.8,40.95,40.7,40.9,+0.15,79
2025/03/13,"80,032","3,281,030",40.85,41.1,40.85,40.9,0.00,92
2025/03/14,"90,461","3,707,386",40.9,41.15,40.9,40.9,0.00,103
2025/03/17,"122,048","4,993,736",40.9,41.05,40.75,40.9,0.00,163
2025/03/18,"53,754","2,204,447",41.0,41.4,40.9,40.9,0.00,71
2025/03/19,"83,538","3,428,188",40.9,41.1,40.9,41.1,+0.20,77
2025/03/20,"94,675","3,884,455",41.15,41.15,40.95,40.95,-0.15,93
2025/03/21,"112,780","4,605,516",40.95,41.0,40.75,40.9,-0.05,147
2025/03/24,"55,453","2,264,336",40.9,40.9,40.8,40.85,-0.05,68
2025/03/25,"37,289","1,523,820",40.95,40.95,40.75,40.85,0.00,66
2025/03/26,"38,341","1,568,203",40.85,40.95,40.85,40.9,+0.05,71
2025/03/27,"82,681","3,371,422",40.8,40.85,40.7,40.75,-0.15,104
2025/03/28,"152,224","6,175,629",40.6,40.65,40.5,40.5,-0.25,193
2025/03/31,"252,542","10,099,807",40.1,40.5,39.7,40.1,-0.40,354
2025/04/01,"133,081","5,344,320",40.1,40.25,40.1,40.25,+0.15,154
2025/04/02,"106,296","4,273,447",40.15,40.3,40.15,40.2,-0.05,95
2025/04/07,"1,060,387","39,394,847",36.5,38.25,36.35,36.8,-3.40,"1,037"
2025/04/08,"536,738","20,731,317",37.35,39.4,37.35,38.9,+2.10,519
2025/04/09,"401,612","15,345,138",38.95,38.95,37.5,38.1,-0.80,430
2025/04/10,"366,645","14,539,123",39.9,40.0,39.3,39.3,+1.20,343
2025/04/11,"112,475","4,408,795",39.3,39.6,38.75,39.3,0.00,143
2025/04/14,"144,236","5,651,706",39.7,39.7,39.0,39.1,-0.20,163
2025/04/15,"136,090","5,367,443",39.0,39.85,38.95,39.6,+0.50,155
2025/04/16,"74,315","2,932,098",40.25,40.25,39.2,39.35,-0.25,335
2025/04/17,"91,055","3,581,309",39.45,39.5,39.2,39.35,0.00,84
2025/04/18,"86,108","3,389,916",39.05,39.7,39.05,39.2,-0.15,80
2025/04/21,"76,077","2,987,578",39.25,39.4,39.15,39.4,+0.20,64
2025/04/22,"91,810","3,566,358",39.3,39.3,38.55,38.9,-0.50,111
2025/04/23,"47,352","1,855,801",38.9,39.5,38.85,39.05,+0.15,65
2025/04/24,"101,849","3,978,852",39.4,39.45,38.95,39.05,0.00,95
2025/04/25,"132,742","5,187,276",39.4,39.4,39.0,39.0,-0.05,92
2025/04/28,"52,376","2,051,245",39.2,39.3,39.1,39.1,+0.10,54
2025/04/29,"136,813","5,345,667",39.1,39.2,39.0,39.05,-0.05,108
2025/04/30,"91,328","3,567,133",39.0,39.1,38.95,39.1,+0.05,90
2025/05/02,"358,508","14,146,081",39.1,39.85,38.9,39.8,+0.70,187
2025/05/05,"1,483,560","61,640,832",40.65,42.5,40.65,41.45,+1.65,"1,131"
2025/05/06,"351,209","14,379,877",41.3,41.3,40.3,41.0,-0.45,677
2025/05/07,"174,749","7,171,289",41.15,41.35,40.9,40.9,-0.10,185
2025/05/08,"163,543","6,715,852",41.35,41.4,40.9,41.0,+0.10,198
2025/05/09,"305,119","12,510,304",41.0,41.15,40.8,41.05,+0.05,211
2025/05/12,"233,883","9,671,121",41.4,41.8,41.15,41.3,+0.25,202
2025/05/13,"258,537","10,628,419",41.35,41.45,40.95,41.05,-0.25,200
2025/05/14,"105,558","4,349,545",41.2,41.3,41.1,41.15,+0.10,293
2025/05/15,"124,673","5,144,739",41.2,41.4,41.15,41.15,0.00,135
2025/05/16,"981,217","41,369,066",41.2,42.65,41.2,42.35,+1.20,687
2025/05/19,"310,260","13,118,963",42.35,42.65,41.9,42.1,-0.25,328
2025/05/20,"86,274","3,631,635",42.0,42.2,42.0,42.1,0.00,120
2025/05/21,"128,255","5,388,574",42.1,42.1,41.85,41.95,-0.15,183
2025/05/22,"96,732","4,046,003",42.1,42.1,41.7,41.75,-0.20,119
2025/05/23,"89,167","3,718,133",41.75,41.95,41.55,41.6,-0.15,259
2025/05/26,"221,564","9,280,440",41.55,42.15,41.55,41.95,+0.35,176
2025/05/27,"149,439","6,227,946",41.95,42.05,41.3,41.3,-0.65,231
2025/05/28,"157,857","6,535,941",41.9,41.9,41.0,41.4,+0.10,176
2025/05/29,"112,780","4,653,366",41.4,41.6,41.05,41.3,-0.10,112
2025/06/02,"129,788","5,317,356",41.3,41.3,40.85,41.0,-0.30,157
2025/06/03,"129,013","5,279,021",41.0,41.1,40.75,40.8,-0.20,136
2025/06/04,"100,719","4,121,875",40.8,41.15,40.8,40.9,+0.10,119
2025/06/05,"83,786","3,420,020",40.95,40.95,40.75,40.9,0.00,113
2025/06/06,"49,777","2,041,890",41.0,41.15,40.95,41.0,+0.10,89
2025/06/09,"58,665","2,406,373",41.05,41.2,40.9,40.9,-0.10,90
2025/06/10,"121,081","4,994,008",40.95,41.5,40.9,41.25,+0.35,147
2025/06/11,"75,021","3,094,935",41.35,41.35,41.1,41.15,-0.10,96
2025/06/12,"85,855","3,547,711",41.3,41.4,41.2,41.35,+0.20,74
2025/06/13,"162,883","6,700,393",41.25,41.3,41.0,41.05,-0.30,170
2025/06/16,"50,584","2,083,161",41.1,41.25,41.1,41.15,+0.10,77
2025/06/17,"114,716","4,728,144",41.8,41.8,41.05,41.2,+0.05,116
2025/06/18,"110,549","4,550,075",40.95,41.4,40.95,41.25,+0.05,122
2025/06/19,"160,738","6,592,446",41.1,41.25,40.9,40.95,-0.30,152
2025/06/20,"123,454","5,044,109",41.0,41.15,40.7,41.0,+0.05,116
2025/06/23,"65,633","2,676,398",40.95,41.05,40.5,41.05,+0.05,106
2025/06/24,"83,842","3,455,026",41.2,41.3,41.1,41.25,+0.20,82
2025/06/25,"120,809","4,985,981",41.25,41.4,41.05,41.4,+0.15,93
2025/06/26,"323,314","13,394,218",41.05,41.55,41.05,41.45,+0.05,192
2025/06/27,"852,584","35,739,288",41.5,42.3,41.4,42.1,+0.65,588
2025/06/30,"350,106","14,010,543",40.05,40.15,39.85,39.95,X0.00,579
2025/07/01,"189,451","7,623,060",39.95,40.4,39.95,40.3,+0.35,204
2025/07/02,"93,775","3,761,397",40.35,40.35,40.05,40.05,-0.25,125
2025/07/03,"119,553","4,816,775",40.05,40.5,40.0,40.35,+0.30,121
2025/07/04,"89,569","3,601,882",40.25,40.45,40.05,40.45,+0.10,106
2025/07/07,"70,180","2,822,221",40.15,40.3,40.1,40.3,-0.15,81
2025/07/08,"93,000","3,731,988",40.3,40.3,40.0,40.1,-0.20,84
2025/07/09,"61,637","2,476,141",40.1,40.3,40.1,40.15,+0.05,46
2025/07/10,"70,657","2,835,702",40.1,40.2,40.1,40.2,+0.05,86
2025/07/11,"32,306","1,298,389",40.1,40.3,40.1,40.2,0.00,59
2025/07/14,"94,746","3,797,229",40.15,40.15,40.0,40.0,-0.20,119
2025/07/15,"67,133","2,687,687",39.95,40.15,39.95,40.05,+0.05,81
2025/07/16,"56,652","2,268,673",40.05,40.1,39.95,40.0,-0.05,96
2025/07/17,"89,193","3,569,987",40.0,40.3,39.95,39.95,-0.05,81
2025/07/18,"74,670","2,986,118",39.95,40.2,39.9,40.1,+0.15,99
2025/07/21,"127,529","5,087,224",40.1,40.1,39.8,39.8,-0.30,137
2025/07/22,"46,764","1,860,662",39.8,39.9,39.65,39.75,-0.05,79
2025/07/23,"75,949","3,040,392",40.0,40.15,39.8,40.1,+0.35,102
2025/07/24,"57,901","2,315,876",39.9,40.1,39.8,39.9,-0.20,63
2025/07/25,"19,063","761,904",39.95,40.0,39.85,39.9,0.00,48
2025/07/28,"23,119","922,644",39.75,40.0,39.75,39.9,0.00,65
2025/07/29,"75,376","3,005,142",39.9,40.0,39.8,39.8,-0.10,81
2025/07/30,"42,426","1,692,006",39.65,40.0,39.65,39.9,+0.10,64
2025/07/31,"58,813","2,347,196",39.8,40.0,39.8,39.9,0.00,95
2025/08/01,"45,141","1,800,164",39.6,40.05,39.6,40.05,+0.15,65
2025/08/04,"52,326","2,090,892",40.0,40.1,39.75,40.1,+0.05,71
2025/08/05,"65,802","2,639,766",39.9,40.25,39.9,40.1,0.00,94
2025/08/06,"47,668","1,908,598",40.1,40.15,39.95,40.1,0.00,65
2025/08/07,"61,326","2,462,754",39.95,40.3,39.95,40.1,0.00,66
2025/08/08,"131,743","5,246,161",39.95,39.95,39.65,39.9,-0.20,138
2025/08/11,"160,587","6,388,210",39.7,40.05,39.6,40.0,+0.10,203
2025/08/12,"106,862","4,257,291",39.75,40.0,39.65,40.0,0.00,85
2025/08/13,"144,403","5,754,088",40.0,40.0,39.7,39.9,-0.10,124
2025/08/14,"125,021","4,985,822",39.8,39.95,39.8,39.85,-0.05,104
2025/08/15,"136,213","5,431,679",39.8,40.25,39.75,39.85,0.00,128
2025/08/18,"33,333","1,328,832",39.85,40.05,39.8,39.8,-0.05,59
2025/08/19,"173,685","6,887,183",39.65,39.8,39.6,39.6,-0.20,145
2025/08/20,"250,428","9,877,680",39.65,39.65,39.2,39.25,-0.35,296
2025/08/21,"91,726","3,608,221",39.35,39.85,39.2,39.2,-0.05,152
2025/08/22,"279,688","10,928,787",39.15,39.2,38.95,39.1,-0.10,214
2025/08/25,"42,489","1,666,421",39.2,39.35,39.1,39.25,+0.15,88
2025/08/26,"56,701","2,216,241",39.0,39.15,39.0,39.05,-0.20,103
