日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"16,996","2,224,598",131.5,131.5,130.0,131.5,0.00,192
2025/01/03,"11,813","1,539,849",130.5,131.0,130.0,130.5,-1.00,124
2025/01/06,"24,749","3,220,782",130.0,132.0,129.0,131.0,+0.50,165
2025/01/07,"15,761","2,056,919",130.0,132.0,130.0,130.0,-1.00,225
2025/01/08,"26,557","3,526,122",131.0,134.0,130.5,133.0,+3.00,115
2025/01/09,"16,245","2,125,855",132.0,132.0,130.0,130.0,-3.00,401
2025/01/10,"15,771","2,051,894",130.0,131.5,129.0,131.5,+1.50,125
2025/01/13,"37,581","4,784,663",129.5,129.5,125.5,126.0,-5.50,249
2025/01/14,"27,050","3,449,786",125.5,132.0,125.5,127.0,+1.00,79
2025/01/15,"8,251","1,057,210",128.0,130.5,127.0,130.5,+3.50,55
2025/01/16,"5,352","690,551",129.0,129.0,128.5,129.0,-1.50,54
2025/01/17,"11,849","1,519,853",129.0,129.0,128.0,128.0,-1.00,80
2025/01/20,"14,487","1,851,563",128.0,129.0,127.0,128.5,+0.50,88
2025/01/21,"23,270","3,020,404",130.0,131.0,128.5,129.0,+0.50,73
2025/01/22,"11,158","1,450,052",129.0,130.5,129.0,129.5,+0.50,122
2025/02/03,"12,170","1,557,717",127.0,129.5,126.5,127.0,-2.50,320
2025/02/04,"7,681","989,197",128.0,130.0,128.0,128.0,+1.00,34
2025/02/05,"13,391","1,737,843",129.5,131.5,129.0,129.5,+1.50,58
2025/02/06,"11,765","1,528,239",129.5,130.5,129.5,130.5,+1.00,63
2025/02/07,"13,540","1,770,689",130.0,132.5,130.0,130.5,0.00,62
2025/02/10,"29,343","3,871,526",130.5,133.5,130.5,133.5,+3.00,104
2025/02/11,"153,810","21,905,114",134.0,146.5,134.0,146.5,+13.00,523
2025/02/12,"124,758","18,413,755",149.5,154.0,141.0,144.0,-2.50,430
2025/02/13,"63,929","9,137,793",144.0,145.0,140.5,144.0,0.00,421
2025/02/14,"30,144","4,400,700",147.5,148.0,144.0,144.0,0.00,328
2025/02/17,"34,059","4,953,855",145.5,145.5,145.0,145.5,+1.50,866
2025/02/18,"130,969","20,648,876",146.0,160.0,146.0,160.0,+14.50,319
2025/02/19,"285,349","45,917,834",160.0,169.0,156.0,156.5,-3.50,"1,121"
2025/02/20,"43,526","6,841,065",156.5,158.5,156.0,157.5,+1.00,275
2025/02/21,"63,617","10,119,437",159.0,163.0,156.0,157.0,-0.50,144
2025/02/24,"93,786","15,361,723",162.0,166.5,160.0,164.0,+7.00,252
2025/02/25,"54,686","8,744,774",164.5,164.5,158.0,158.0,-6.00,466
2025/02/26,"53,907","8,767,248",162.0,167.0,159.5,161.0,+3.00,541
2025/02/27,"38,686","6,118,583",160.5,160.5,156.5,157.0,-4.00,256
2025/03/03,"24,675","3,870,676",156.0,158.5,156.0,157.0,0.00,207
2025/03/04,"17,894","2,813,504",155.5,159.5,155.0,159.5,+2.50,207
2025/03/05,"38,967","6,148,347",161.0,161.0,156.5,156.5,-3.00,228
2025/03/06,"116,779","17,581,763",156.0,156.5,144.5,144.5,-12.00,"1,322"
2025/03/07,"46,839","6,810,367",146.5,147.0,144.0,147.0,+2.50,268
2025/03/10,"14,600","2,136,573",145.0,149.0,145.0,146.0,-1.00,123
2025/03/11,"59,984","8,325,436",143.0,143.0,134.0,140.5,-5.50,219
2025/03/12,"24,311","3,475,032",141.0,146.0,141.0,145.0,+4.50,82
2025/03/13,"32,492","4,745,122",146.5,148.5,143.0,144.0,-1.00,197
2025/03/14,"12,244","1,770,736",144.0,145.0,144.0,145.0,+1.00,73
2025/03/17,"14,427","2,111,843",146.0,149.5,145.0,146.0,+1.00,232
2025/03/18,"3,638","532,641",146.5,146.5,146.5,146.5,+0.50,31
2025/03/19,"1,739","253,917",146.0,146.0,146.0,146.0,-0.50,28
2025/03/20,"11,529","1,678,650",146.5,148.0,143.5,146.5,+0.50,71
2025/03/21,"42,196","5,967,361",145.0,145.0,139.0,139.0,-7.50,469
2025/03/24,"16,436","2,296,007",139.5,140.0,139.5,139.5,+0.50,56
2025/03/25,"11,460","1,591,965",140.5,140.5,138.0,138.0,-1.50,63
2025/03/26,"41,166","5,576,126",136.5,138.0,134.0,136.0,-2.00,174
2025/03/27,"14,922","2,076,787",139.5,141.0,138.0,139.0,+3.00,56
2025/03/28,"16,826","2,319,491",137.0,140.5,137.0,137.0,-2.00,68
2025/03/31,"55,481","7,364,116",137.0,143.5,131.0,131.0,-6.00,170
2025/04/01,"20,378","2,700,789",131.0,134.0,131.0,132.5,+1.50,71
2025/04/02,"5,636","747,871",131.5,133.5,131.5,133.5,+1.00,50
2025/04/07,"21,556","2,597,462",120.5,120.5,120.5,120.5,-13.00,216
2025/04/08,"125,821","13,886,138",120.5,120.5,108.5,111.0,-9.50,591
2025/04/09,"79,607","8,631,863",111.0,114.0,103.0,103.0,-8.00,267
2025/04/10,"57,475","6,488,870",113.0,113.0,111.0,113.0,+10.00,131
2025/04/11,"53,378","6,076,483",117.5,117.5,110.0,115.5,+2.50,140
2025/04/14,"32,811","3,839,733",117.0,121.0,115.5,116.5,+1.00,112
2025/04/15,"42,971","5,143,120",116.5,122.0,116.5,120.5,+4.00,115
2025/04/16,"34,757","4,170,358",123.5,123.5,118.0,118.0,-2.50,106
2025/04/17,"19,970","2,393,676",120.5,121.0,118.0,121.0,+3.00,48
2025/04/18,"102,264","12,797,346",128.0,132.0,121.0,121.0,0.00,436
2025/04/21,"37,107","4,413,547",121.0,123.5,116.0,116.0,-5.00,152
2025/04/22,"30,739","3,559,013",116.0,120.0,114.0,114.0,-2.00,523
2025/04/23,"24,749","2,900,179",116.0,118.0,116.0,117.5,+3.50,52
2025/04/24,"11,657","1,382,840",120.5,121.0,117.5,118.0,+0.50,58
2025/04/25,"29,729","3,513,966",122.0,122.0,117.5,118.0,0.00,62
2025/04/28,"14,680","1,721,470",117.5,118.0,117.0,118.0,0.00,90
2025/04/29,"34,708","4,210,829",118.5,123.5,118.5,123.5,+5.50,82
2025/04/30,"4,520","550,302",122.0,122.0,121.5,122.0,-1.50,39
2025/05/02,"24,923","3,030,647",121.5,123.0,120.5,122.5,+0.50,68
2025/05/05,"33,138","3,970,756",124.0,124.0,118.0,119.0,-3.50,390
2025/05/06,"3,301","394,306",119.5,119.5,119.5,119.5,+0.50,25
2025/05/07,"10,721","1,291,996",120.0,122.0,120.0,122.0,+2.50,28
2025/05/08,"67,323","8,368,613",122.0,126.5,120.5,125.5,+3.50,133
