日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"20,774,520","727,348,821",35.3,35.45,34.7,34.9,-0.60,"11,035"
2025/01/03,"18,349,537","644,412,284",35.2,36.0,34.5,34.5,-0.40,"12,410"
2025/01/06,"28,064,787","1,002,733,898",34.7,36.7,34.45,36.25,+1.75,"14,189"
2025/01/07,"22,394,872","785,688,735",36.25,36.25,34.55,34.55,-1.70,"17,036"
2025/01/08,"30,296,625","1,015,823,464",34.5,34.5,33.0,33.25,-1.30,"17,079"
2025/01/09,"32,742,563","1,058,600,676",32.8,33.0,32.0,32.0,-1.25,"17,045"
2025/01/10,"37,113,316","1,175,847,002",31.8,32.45,31.35,31.45,-0.55,"13,114"
2025/01/13,"40,181,875","1,282,440,969",31.7,32.6,31.25,32.35,+0.90,"16,684"
2025/01/14,"58,552,808","1,997,599,201",32.4,35.25,32.4,34.95,+2.60,"28,706"
2025/01/15,"70,338,369","2,512,026,394",34.8,36.6,34.55,35.55,+0.60,"37,247"
2025/01/16,"50,220,229","1,786,082,337",35.5,36.5,34.9,35.4,-0.15,"21,069"
2025/01/17,"53,862,602","1,964,875,529",35.4,37.8,34.85,37.2,+1.80,"22,752"
2025/01/20,"41,017,613","1,506,420,749",36.65,37.5,36.0,36.9,-0.30,"20,063"
2025/01/21,"26,605,885","966,703,116",36.6,37.05,36.0,36.0,-0.90,"12,710"
2025/01/22,"19,889,848","715,625,498",36.0,36.35,35.45,36.25,+0.25,"9,101"
2025/02/03,"42,219,336","1,483,456,108",36.05,37.15,34.3,34.45,-1.80,"20,203"
2025/02/04,"20,065,212","685,828,193",34.55,34.9,33.8,34.0,-0.45,"10,307"
2025/02/05,"19,951,378","682,732,201",34.1,34.95,33.8,33.95,-0.05,"8,746"
2025/02/06,"11,227,949","383,371,578",33.9,34.6,33.75,34.5,+0.55,"6,218"
2025/02/07,"21,004,507","706,732,792",34.35,34.5,33.35,33.5,-1.00,"11,877"
2025/02/10,"19,250,194","650,783,802",33.45,34.35,33.45,33.55,+0.05,"8,351"
2025/02/11,"15,976,731","544,811,039",33.75,34.5,33.75,34.0,+0.45,"7,547"
2025/02/12,"45,152,022","1,611,914,506",34.2,36.5,34.1,35.65,+1.65,"23,473"
2025/02/13,"48,445,142","1,782,125,893",35.8,37.5,35.4,37.45,+1.80,"24,772"
2025/02/14,"46,593,359","1,760,055,483",37.6,38.45,36.95,38.4,+0.95,"22,139"
2025/02/17,"52,518,520","2,049,869,399",38.65,39.7,37.9,39.45,+1.05,"27,543"
2025/02/18,"38,413,028","1,479,206,631",39.45,39.45,38.0,38.35,-1.10,"20,975"
2025/02/19,"25,733,690","1,000,537,218",38.3,39.6,38.3,39.0,+0.65,"12,339"
2025/02/20,"15,516,126","603,634,685",39.2,39.5,38.5,38.85,-0.15,"8,212"
2025/02/21,"16,723,671","653,090,856",39.0,39.4,38.5,39.2,+0.35,"8,340"
2025/02/24,"19,949,955","784,879,276",39.0,39.75,38.7,39.7,+0.50,"9,270"
2025/02/25,"43,822,920","1,763,378,066",39.6,40.8,39.4,40.35,+0.65,"18,463"
2025/02/26,"26,581,391","1,056,297,690",40.4,40.6,39.2,39.65,-0.70,"16,315"
2025/02/27,"54,405,333","2,115,933,815",39.3,39.9,38.45,38.8,-0.85,"13,595"
2025/03/03,"27,406,604","1,038,828,111",38.1,38.6,37.4,37.8,-1.00,"12,777"
2025/03/04,"20,501,384","763,266,077",37.25,37.8,36.9,37.35,-0.45,"10,265"
2025/03/05,"35,330,604","1,370,230,799",37.65,39.5,37.6,39.1,+1.75,"15,189"
2025/03/06,"21,053,299","817,075,367",39.2,39.3,38.5,38.6,-0.50,"14,270"
2025/03/07,"15,466,093","597,458,936",38.6,39.1,38.2,38.65,+0.05,"7,166"
2025/03/10,"20,935,691","816,333,308",38.9,39.6,38.35,39.05,+0.40,"8,344"
2025/03/11,"29,482,627","1,123,569,841",38.4,39.05,37.0,39.0,-0.05,"12,150"
2025/03/12,"25,130,752","961,804,100",38.9,38.95,38.0,38.2,-0.80,"10,624"
2025/03/13,"18,102,472","681,716,356",38.4,38.55,37.15,37.25,-0.95,"9,956"
2025/03/14,"54,887,075","2,161,573,632",37.7,40.05,37.7,39.95,+2.70,"23,385"
2025/03/17,"37,456,205","1,515,381,439",40.2,41.0,39.5,40.5,+0.55,"21,427"
2025/03/18,"29,853,101","1,220,961,826",40.8,41.55,40.25,40.75,+0.25,"13,535"
2025/03/19,"17,763,198","715,180,372",40.65,40.85,39.95,40.15,-0.60,"9,704"
2025/03/20,"19,833,461","811,637,086",40.15,41.55,40.15,40.8,+0.65,"11,790"
2025/03/21,"41,024,935","1,617,283,225",40.5,40.55,39.0,39.05,-1.75,"18,022"
2025/03/24,"18,576,465","720,683,712",39.25,39.4,38.5,38.65,-0.40,"9,106"
2025/03/25,"15,929,111","616,666,425",39.0,39.5,38.2,38.25,-0.40,"8,378"
2025/03/26,"9,312,189","357,694,509",38.5,38.75,38.15,38.55,+0.30,"5,457"
2025/03/27,"15,047,265","580,092,925",38.2,38.95,37.8,38.95,+0.40,"7,318"
2025/03/28,"23,974,451","906,537,263",38.7,38.75,37.4,37.5,-1.45,"12,545"
2025/03/31,"22,686,430","832,209,561",37.0,37.45,36.3,36.6,-0.90,"10,924"
2025/04/01,"13,434,448","506,953,350",36.85,38.2,36.85,37.85,+1.25,"7,160"
2025/04/02,"11,546,515","437,538,269",38.0,38.2,37.15,38.2,+0.35,"6,072"
