日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"15,227,002","453,437,009",29.7,30.3,29.3,29.9,0.00,"8,373"
2025/01/03,"9,434,473","283,036,146",30.0,30.75,29.55,29.55,-0.35,"6,306"
2025/01/06,"21,347,815","658,923,488",29.9,31.65,29.7,31.25,+1.70,"10,998"
2025/01/07,"14,781,429","448,750,650",31.25,31.3,29.95,29.95,-1.30,"10,510"
2025/01/08,"13,682,335","401,995,233",30.05,30.1,28.95,29.3,-0.65,"8,223"
2025/01/09,"14,186,001","408,132,481",29.05,29.1,28.6,28.6,-0.70,"8,083"
2025/01/10,"10,206,847","291,455,233",28.6,29.1,28.3,28.3,-0.30,"6,157"
2025/01/13,"19,774,855","565,712,543",28.35,29.1,28.1,28.7,+0.40,"9,201"
2025/01/14,"25,137,101","755,923,274",28.85,30.7,28.85,30.45,+1.75,"12,033"
2025/01/15,"25,881,661","805,941,006",30.3,31.95,30.2,30.95,+0.50,"15,105"
2025/01/16,"21,068,972","662,504,528",31.2,31.9,30.9,31.5,+0.55,"9,879"
2025/01/17,"31,691,940","1,028,571,224",31.2,33.45,31.2,32.95,+1.45,"14,082"
2025/01/20,"12,119,666","393,123,011",32.95,33.0,32.1,32.35,-0.60,"7,731"
2025/01/21,"9,777,544","315,768,931",32.2,32.85,31.85,32.05,-0.30,"4,698"
2025/01/22,"10,153,641","327,643,149",32.25,32.6,31.75,32.35,+0.30,"5,356"
2025/02/03,"18,264,236","576,188,281",32.0,33.1,30.85,31.25,-1.10,"8,759"
2025/02/04,"10,831,034","334,050,258",31.45,31.65,30.5,30.5,-0.75,"5,875"
2025/02/05,"10,306,361","317,888,913",30.85,31.55,30.4,30.45,-0.05,"5,044"
2025/02/06,"6,181,083","188,917,656",30.5,30.8,30.35,30.75,+0.30,"3,860"
2025/02/07,"9,429,824","283,779,679",30.6,30.7,29.9,29.95,-0.80,"6,380"
2025/02/10,"8,536,103","258,044,913",29.85,30.65,29.85,30.25,+0.30,"4,316"
2025/02/11,"7,950,503","242,158,698",30.5,30.95,30.05,30.2,-0.05,"4,091"
2025/02/12,"12,305,560","381,285,968",30.3,31.45,30.2,31.0,+0.80,"6,524"
2025/02/13,"22,999,100","742,935,388",31.2,32.95,30.7,32.75,+1.75,"11,286"
2025/02/14,"19,668,853","645,970,134",32.8,33.35,32.2,33.0,+0.25,"9,740"
2025/02/17,"14,514,297","483,788,165",33.2,33.8,32.5,33.4,+0.40,"7,708"
2025/02/18,"10,930,611","359,684,755",33.55,33.55,32.6,33.0,-0.40,"6,122"
2025/02/19,"12,513,398","417,815,955",32.9,33.9,32.9,33.65,+0.65,"6,323"
2025/02/20,"10,182,495","340,161,069",33.7,34.05,33.0,33.45,-0.20,"5,524"
2025/02/21,"9,067,945","305,665,902",33.45,33.95,33.25,33.95,+0.50,"5,057"
2025/02/24,"11,711,363","397,907,447",33.75,34.5,33.55,34.25,+0.30,"5,144"
2025/02/25,"18,196,192","626,194,320",33.85,34.9,33.75,34.5,+0.25,"8,087"
2025/02/26,"13,599,261","462,057,982",34.4,34.5,33.6,34.1,-0.40,"8,584"
2025/02/27,"18,779,447","634,529,019",34.05,34.3,33.55,33.75,-0.35,"5,804"
2025/03/03,"12,601,358","417,517,791",33.45,33.7,32.85,32.85,-0.90,"6,358"
2025/03/04,"15,734,080","503,936,847",32.5,32.65,31.7,31.95,-0.90,"7,079"
2025/03/05,"28,831,584","968,999,800",31.9,34.75,31.9,34.5,+2.55,"12,229"
2025/03/06,"21,312,774","719,269,813",34.35,34.5,33.4,33.5,-1.00,"11,833"
2025/03/07,"11,447,589","382,631,427",33.4,33.85,32.85,33.45,-0.05,"5,474"
2025/03/10,"11,964,270","405,485,448",33.6,34.2,33.5,33.8,+0.35,"5,279"
2025/03/11,"14,543,548","483,702,893",33.05,33.9,32.5,33.7,-0.10,"6,909"
2025/03/12,"14,030,089","477,577,832",34.25,34.5,33.6,34.0,+0.30,"5,671"
2025/03/13,"19,678,985","647,149,089",34.15,34.2,32.2,32.2,-1.80,"10,341"
2025/03/14,"17,192,267","572,138,394",32.5,33.7,32.5,33.55,+1.35,"7,909"
2025/03/17,"20,982,125","721,106,737",33.75,34.8,33.45,34.45,+0.90,"13,075"
2025/03/18,"22,522,083","783,500,880",34.55,35.3,34.1,34.7,+0.25,"10,042"
2025/03/19,"12,477,719","427,283,385",34.75,34.9,34.0,34.1,-0.60,"7,653"
2025/03/20,"11,211,133","385,516,781",34.1,34.65,34.05,34.55,+0.45,"5,941"
2025/03/21,"27,163,161","903,948,841",34.25,34.25,32.95,32.95,-1.60,"10,695"
2025/03/24,"8,417,369","276,340,552",33.05,33.3,32.5,32.5,-0.45,"4,446"
2025/03/25,"11,038,791","357,323,716",32.65,33.25,32.05,32.05,-0.45,"5,392"
2025/03/26,"12,121,392","390,077,844",32.15,32.45,31.95,32.2,+0.15,"5,413"
2025/03/27,"10,957,505","350,468,524",32.15,32.25,31.5,32.1,-0.10,"4,508"
2025/03/28,"16,474,639","514,973,368",31.9,32.1,30.9,31.0,-1.10,"8,116"
2025/03/31,"20,889,439","631,443,021",30.25,30.8,30.0,30.0,-1.00,"8,833"
2025/04/01,"12,802,990","397,499,497",30.2,31.6,30.2,31.15,+1.15,"6,272"
2025/04/02,"10,283,105","320,333,427",30.8,31.5,30.55,31.4,+0.25,"5,029"
2025/04/07,"17,837,371","505,272,618",28.3,28.5,28.3,28.3,-3.10,"8,700"
2025/04/08,"25,273,020","726,593,051",28.7,29.2,28.3,28.85,+0.55,"10,894"
2025/04/09,"23,740,577","662,221,172",28.2,29.15,26.8,26.85,-2.00,"11,656"
2025/04/10,"8,024,239","236,545,690",29.5,29.5,29.0,29.5,+2.65,"3,302"
2025/04/11,"18,131,484","542,303,736",29.0,30.4,29.0,30.1,+0.60,"7,389"
2025/04/14,"15,862,817","486,439,298",29.8,31.3,29.8,30.8,+0.70,"7,688"
2025/04/15,"11,994,638","380,157,730",30.9,32.2,30.7,31.85,+1.05,"6,060"
2025/04/16,"9,470,855","294,558,339",31.5,31.8,30.65,31.15,-0.70,"7,210"
2025/04/17,"5,724,293","176,815,505",31.35,31.35,30.65,30.75,-0.40,"3,914"
2025/04/18,"5,046,930","155,172,408",30.9,31.0,30.55,30.65,-0.10,"3,598"
2025/04/21,"6,614,968","199,836,781",30.5,30.55,30.0,30.05,-0.60,"3,526"
2025/04/22,"8,422,166","254,415,166",30.05,30.7,29.65,30.45,+0.40,"4,707"
2025/04/23,"6,461,911","201,468,587",30.8,31.55,30.8,31.25,+0.80,"3,420"
2025/04/24,"8,491,201","261,050,933",30.9,31.25,30.3,30.35,-0.90,"5,324"
2025/04/25,"5,126,048","156,755,855",30.75,30.95,30.35,30.4,+0.05,"2,986"
2025/04/28,"3,717,648","112,873,464",30.45,30.85,30.1,30.45,+0.05,"2,466"
2025/04/29,"7,364,759","226,520,545",30.45,30.95,30.25,30.95,+0.50,"3,284"
2025/04/30,"4,871,483","149,041,092",30.75,30.8,30.45,30.6,-0.35,"2,752"
2025/05/02,"4,380,100","134,534,488",30.8,30.9,30.4,30.85,+0.25,"2,299"
2025/05/05,"12,924,487","407,985,419",31.0,31.95,30.95,31.6,+0.75,"6,045"
2025/05/06,"10,144,547","323,338,439",32.0,32.4,31.4,31.8,+0.20,"5,299"
2025/05/07,"9,321,729","299,412,991",32.1,32.5,31.7,31.8,0.00,"5,034"
2025/05/08,"9,669,383","301,272,098",31.75,31.75,30.95,30.95,-0.85,"6,872"
2025/05/09,"7,310,515","228,117,441",30.9,31.55,30.7,31.45,+0.50,"4,037"
2025/05/12,"6,682,473","212,084,187",31.8,32.0,31.5,31.65,+0.20,"3,294"
2025/05/13,"9,767,493","305,005,316",31.65,31.75,31.0,31.3,-0.35,"5,389"
2025/05/14,"8,790,960","278,575,465",31.75,31.95,31.25,31.95,+0.65,"4,568"
2025/05/15,"7,795,131","245,916,293",31.9,31.9,31.4,31.45,-0.50,"4,075"
2025/05/16,"4,442,708","140,427,274",31.85,31.85,31.45,31.75,+0.30,"2,880"
2025/05/19,"5,571,603","175,352,823",31.75,31.8,31.15,31.65,-0.10,"3,030"
2025/05/20,"4,589,563","144,522,161",31.8,31.8,31.3,31.45,-0.20,"2,920"
2025/05/21,"5,225,103","165,273,146",31.7,31.85,31.3,31.65,+0.20,"2,837"
2025/05/22,"8,512,932","263,252,591",31.4,31.45,30.65,30.7,-0.95,"4,568"
2025/05/23,"6,990,328","213,832,206",30.65,30.8,30.4,30.75,+0.05,"3,722"
2025/05/26,"9,748,490","295,518,349",30.55,30.7,30.1,30.1,-0.65,"5,383"
2025/05/27,"10,402,300","311,690,370",30.15,30.45,29.6,29.6,-0.50,"5,809"
2025/05/28,"8,943,394","265,218,217",29.95,30.2,29.45,29.6,0.00,"4,991"
2025/05/29,"28,153,419","811,283,291",29.95,29.95,28.65,28.65,-0.95,"8,688"
2025/06/02,"18,885,157","519,992,844",28.4,28.4,27.15,27.5,-1.15,"9,781"
2025/06/03,"10,401,433","287,267,921",27.8,27.9,27.35,27.65,+0.15,"4,903"
