日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"2,509,548","26,542,494",10.75,10.75,10.45,10.5,-0.25,"2,115"
2025/01/03,"1,627,908","17,258,186",10.55,10.85,10.5,10.5,0.00,"1,049"
2025/01/06,"7,069,660","79,709,998",10.6,11.55,10.35,11.55,+1.05,"3,313"
2025/01/07,"7,939,112","91,329,952",11.55,11.8,11.15,11.3,-0.25,"3,020"
2025/01/08,"3,335,628","36,142,744",11.25,11.25,10.65,10.75,-0.55,"2,138"
2025/01/09,"4,364,839","45,218,032",10.8,10.8,10.2,10.2,-0.55,"2,842"
2025/01/10,"3,139,207","31,734,935",10.1,10.35,10.0,10.05,-0.15,"1,849"
2025/01/13,"5,146,717","51,785,563",10.05,10.3,9.9,10.15,+0.10,"2,418"
2025/01/14,"7,981,205","82,408,870",10.05,10.55,10.05,10.2,+0.05,"3,014"
2025/01/15,"8,126,866","89,494,059",10.2,11.2,10.2,11.2,+1.00,"2,898"
2025/01/16,"16,198,775","184,093,144",11.4,11.65,11.1,11.3,+0.10,"5,504"
2025/01/17,"7,563,771","86,285,412",11.25,11.7,11.05,11.45,+0.15,"3,030"
2025/01/20,"4,793,418","54,921,776",11.45,11.65,11.2,11.55,+0.10,"2,001"
2025/01/21,"2,399,993","27,390,797",11.45,11.65,11.3,11.3,-0.25,"1,197"
2025/01/22,"2,783,495","31,930,029",11.4,11.65,11.2,11.65,+0.35,"1,376"
2025/02/03,"3,502,017","39,495,303",11.55,11.7,11.05,11.25,-0.40,"1,825"
2025/02/04,"2,867,036","31,607,427",11.3,11.3,10.85,10.9,-0.35,"1,608"
2025/02/05,"1,990,909","21,873,915",11.05,11.2,10.9,10.9,0.00,"1,124"
2025/02/06,"2,332,003","26,108,843",11.0,11.4,10.95,11.4,+0.50,"1,202"
2025/02/07,"2,416,982","26,876,029",11.4,11.4,11.05,11.05,-0.35,"1,186"
2025/02/10,"3,377,434","37,963,362",10.95,11.4,10.95,11.35,+0.30,"1,409"
2025/02/11,"3,426,465","38,964,939",11.35,11.65,11.15,11.15,-0.20,"1,652"
2025/02/12,"4,990,742","57,438,748",11.15,11.75,11.15,11.4,+0.25,"2,131"
2025/02/13,"11,923,439","144,795,508",11.4,12.5,11.25,12.35,+0.95,"5,647"
2025/02/14,"10,335,443","129,798,423",12.3,12.8,12.2,12.8,+0.45,"4,007"
2025/02/17,"5,888,680","74,531,614",12.8,12.85,12.4,12.6,-0.20,"2,512"
2025/02/18,"6,392,969","78,575,502",12.65,12.65,12.1,12.3,-0.30,"2,853"
2025/02/19,"5,794,657","71,448,978",12.35,12.65,12.15,12.25,-0.05,"2,273"
2025/02/20,"5,035,565","61,034,371",12.35,12.45,12.0,12.15,-0.10,"2,023"
2025/02/21,"3,420,088","41,833,454",12.15,12.35,12.0,12.35,+0.20,"1,427"
2025/02/24,"3,061,073","37,639,607",12.35,12.5,12.2,12.2,-0.15,"1,375"
2025/02/25,"7,865,537","98,180,949",12.1,12.7,12.05,12.55,+0.35,"2,878"
2025/02/26,"5,093,368","62,645,876",12.55,12.55,12.2,12.35,-0.20,"2,029"
2025/02/27,"22,648,943","271,715,543",12.35,12.55,11.95,11.95,-0.40,"1,980"
2025/03/03,"3,837,296","45,921,048",11.9,12.1,11.8,11.9,-0.05,"1,747"
2025/03/04,"2,936,535","34,258,053",11.8,11.85,11.55,11.75,-0.15,"1,697"
2025/03/05,"4,389,039","52,926,147",11.75,12.35,11.6,12.25,+0.50,"1,749"
2025/03/06,"2,319,857","28,133,293",12.2,12.3,12.0,12.05,-0.20,"1,199"
2025/03/07,"2,053,948","24,697,054",12.0,12.15,11.95,12.0,-0.05,881
2025/03/10,"4,574,500","56,469,254",12.1,12.45,12.0,12.35,+0.35,"1,736"
2025/03/11,"5,909,616","70,212,391",12.2,12.2,11.6,12.15,-0.20,"2,298"
2025/03/12,"3,352,860","39,931,544",12.15,12.15,11.8,11.8,-0.35,"1,616"
2025/03/13,"2,692,789","31,527,681",11.85,11.95,11.55,11.55,-0.25,"1,533"
2025/03/14,"3,215,132","38,083,622",11.7,11.95,11.65,11.95,+0.40,"1,377"
2025/03/17,"2,779,634","33,618,935",12.0,12.2,11.85,12.15,+0.20,"1,257"
2025/03/18,"3,478,180","42,570,073",12.25,12.45,12.05,12.1,-0.05,"1,495"
2025/03/19,"1,722,930","20,803,318",12.15,12.15,11.95,12.15,+0.05,818
2025/03/20,"1,936,157","23,649,743",12.1,12.3,12.1,12.3,+0.15,"1,008"
2025/03/21,"3,097,130","37,014,169",12.25,12.25,11.8,11.8,-0.50,"1,432"
2025/03/24,"1,576,971","18,599,192",11.8,11.9,11.7,11.75,-0.05,941
2025/03/25,"2,134,045","24,870,488",11.9,11.9,11.55,11.55,-0.20,"1,199"
2025/03/26,"1,513,665","17,560,927",11.65,11.75,11.55,11.6,+0.05,"1,031"
2025/03/27,"1,790,882","20,571,865",11.6,11.6,11.4,11.45,-0.15,937
2025/03/28,"2,585,157","28,884,790",11.45,11.45,11.05,11.15,-0.30,"1,289"
2025/03/31,"2,886,951","31,076,758",10.9,10.95,10.65,10.75,-0.40,"1,487"
2025/04/01,"1,567,294","17,229,962",10.8,11.15,10.75,11.0,+0.25,695
2025/04/02,"1,768,816","19,711,793",10.9,11.35,10.8,11.35,+0.35,802
2025/04/07,"765,520","7,846,466",10.25,10.25,10.25,10.25,-1.10,841
2025/04/08,"5,962,978","57,201,812",9.35,9.97,9.35,9.68,-0.57,"2,678"
2025/04/09,"7,132,184","65,267,509",9.44,9.5,8.85,8.9,-0.78,"2,936"
2025/04/10,"2,155,924","21,093,903",9.75,9.79,9.71,9.79,+0.89,771
2025/04/11,"3,057,421","30,295,393",9.68,10.1,9.5,10.0,+0.21,"1,404"
2025/04/14,"2,663,983","27,469,118",10.2,10.55,10.15,10.2,+0.20,"1,237"
2025/04/15,"1,245,939","12,924,324",10.2,10.5,10.2,10.4,+0.20,665
2025/04/16,"1,476,798","15,019,608",10.4,10.4,10.05,10.15,-0.25,878
2025/04/17,"1,149,359","11,657,219",10.15,10.25,10.0,10.1,-0.05,565
2025/04/18,"1,143,158","11,659,178",10.1,10.3,10.0,10.15,+0.05,513
2025/04/21,"1,341,230","13,431,661",10.05,10.15,9.95,9.97,-0.18,688
2025/04/22,"1,201,426","12,072,059",9.91,10.15,9.9,10.1,+0.13,529
2025/04/23,"1,321,059","13,617,683",10.2,10.4,10.2,10.25,+0.15,686
2025/04/24,"1,147,566","11,769,833",10.25,10.4,10.1,10.1,-0.15,644
2025/04/25,"1,268,898","12,956,558",10.2,10.3,10.1,10.15,+0.05,693
