日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"610,810","22,650,359",36.8,37.45,36.65,37.2,+0.35,441
2025/01/03,"1,026,833","38,755,558",37.2,38.05,37.05,37.5,+0.30,756
2025/01/06,"1,834,068","71,010,578",37.75,39.25,37.6,38.75,+1.25,"1,291"
2025/01/07,"1,463,940","56,708,111",39.15,39.45,38.15,38.45,-0.30,"1,122"
2025/01/08,"2,616,906","104,393,066",38.45,40.5,38.1,40.15,+1.70,"1,963"
2025/01/09,"1,586,434","62,592,116",40.2,40.2,39.0,39.0,-1.15,"1,218"
2025/01/10,"1,115,329","42,857,717",38.7,39.2,38.0,38.0,-1.00,866
2025/01/13,"1,402,557","52,466,416",38.0,38.0,36.85,37.75,-0.25,999
2025/01/14,"1,334,781","52,014,123",38.2,39.9,37.85,39.05,+1.30,968
2025/01/15,"1,200,005","46,788,365",39.0,39.9,38.4,38.6,-0.45,"1,190"
2025/01/16,"902,214","35,103,943",38.95,39.45,38.5,38.5,-0.10,647
2025/01/17,"1,675,550","64,327,649",38.7,39.05,37.8,38.6,+0.10,"1,098"
2025/01/20,"1,868,970","70,472,757",38.2,38.35,37.2,38.0,-0.60,"1,556"
2025/01/21,"1,630,602","61,119,382",37.7,38.2,37.25,37.35,-0.65,827
2025/01/22,"2,398,078","89,864,402",37.55,38.05,36.95,38.05,+0.70,"1,299"
2025/02/03,"2,027,630","77,264,753",37.1,38.8,37.1,38.4,+0.35,924
2025/02/04,"997,649","38,655,220",38.55,39.2,38.1,38.45,+0.05,738
2025/02/05,"941,459","36,734,529",38.8,39.3,38.7,39.1,+0.65,609
2025/02/06,"4,849,098","202,103,686",39.25,42.55,39.25,42.3,+3.20,"3,192"
2025/02/07,"4,223,924","178,138,461",42.1,43.1,41.0,42.45,+0.15,"3,160"
2025/02/10,"4,412,199","189,129,506",42.6,44.1,41.9,42.95,+0.50,"2,928"
2025/02/11,"3,406,453","146,344,825",43.05,43.5,42.25,43.25,+0.30,"2,506"
2025/02/12,"8,674,691","389,791,201",44.6,46.3,43.3,45.8,+2.55,"5,526"
2025/02/13,"4,913,581","224,185,759",45.1,46.25,44.6,46.0,+0.20,"3,864"
2025/02/14,"2,508,610","115,000,599",46.15,46.55,45.1,46.0,0.00,"1,870"
2025/02/17,"5,922,290","266,961,534",46.4,46.9,44.0,44.4,-1.60,"4,885"
2025/02/18,"4,251,721","193,775,276",44.6,46.75,43.65,46.5,+2.10,"2,709"
2025/02/19,"3,952,552","186,164,057",46.7,48.5,46.25,46.8,+0.30,"3,229"
2025/02/20,"1,571,987","73,041,422",46.85,47.0,46.05,46.5,-0.30,"1,560"
2025/02/21,"8,635,414","423,828,585",46.15,50.4,46.15,49.55,+3.05,"5,682"
2025/02/24,"14,191,519","736,401,556",49.8,53.5,49.45,52.2,+2.65,"10,156"
2025/02/25,"13,880,538","752,864,938",52.4,56.2,52.0,53.8,+1.60,"9,251"
2025/02/26,"8,489,191","456,829,222",53.8,54.9,52.8,53.5,-0.30,"5,753"
2025/02/27,"5,963,800","307,435,115",54.0,54.0,50.5,51.2,-2.30,"4,179"
2025/03/03,"3,449,032","177,925,870",51.7,52.8,51.0,51.2,0.00,"2,896"
2025/03/04,"3,131,248","157,008,391",50.9,50.9,49.55,50.7,-0.50,"2,261"
2025/03/05,"2,222,748","112,983,166",50.9,51.6,49.95,50.9,+0.20,"1,688"
2025/03/06,"5,338,421","279,211,952",50.9,53.4,50.9,52.4,+1.50,"4,191"
2025/03/07,"3,011,312","154,458,489",51.8,52.9,50.2,50.8,-1.60,"2,883"
