日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"773,638","10,429,026",13.5,13.65,13.35,13.4,-0.20,675
2025/01/03,"790,018","10,655,784",13.55,13.7,13.3,13.3,-0.10,613
2025/01/06,"2,055,115","28,582,635",13.4,14.35,13.3,14.0,+0.70,"1,180"
2025/01/07,"1,116,830","15,479,700",14.15,14.15,13.65,13.8,-0.20,995
2025/01/08,"914,435","12,583,505",13.8,13.9,13.6,13.9,+0.10,519
2025/01/09,"830,053","11,200,886",13.75,13.75,13.3,13.4,-0.50,879
2025/01/10,"775,045","10,279,753",13.35,13.5,13.1,13.15,-0.25,815
2025/01/13,"1,428,079","18,667,334",13.1,13.35,12.85,13.3,+0.15,"1,177"
2025/01/14,"1,477,395","20,135,179",13.3,13.95,13.3,13.65,+0.35,943
2025/01/15,"4,357,368","62,919,971",13.6,14.75,13.6,14.3,+0.65,"2,383"
2025/01/16,"2,219,133","31,808,514",14.45,14.6,14.0,14.15,-0.15,"1,357"
2025/01/17,"1,505,686","21,711,220",14.05,14.7,14.05,14.6,+0.45,852
2025/01/20,"797,403","11,473,761",14.6,14.6,14.2,14.45,-0.15,650
2025/01/21,"471,185","6,762,301",14.45,14.6,14.25,14.3,-0.15,475
2025/01/22,"612,687","8,811,306",14.4,14.5,14.15,14.5,+0.20,491
2025/02/03,"1,048,235","15,035,938",14.45,14.8,14.05,14.35,-0.15,750
2025/02/04,"833,325","11,663,318",14.35,14.35,13.8,13.85,-0.50,766
2025/02/05,"606,627","8,444,568",14.0,14.15,13.7,13.85,0.00,521
2025/02/06,"870,671","12,174,690",13.9,14.15,13.75,14.0,+0.15,577
2025/02/07,"952,947","13,132,343",14.05,14.2,13.55,13.6,-0.40,887
2025/02/10,"1,152,361","15,681,021",13.5,13.75,13.5,13.6,0.00,740
2025/02/11,"827,741","11,369,135",13.65,13.95,13.55,13.55,-0.05,542
2025/02/12,"1,325,012","18,440,813",13.6,14.15,13.6,13.9,+0.35,761
2025/02/13,"3,674,683","53,117,127",13.9,14.7,13.85,14.45,+0.55,"1,622"
2025/02/14,"2,113,587","30,925,766",14.6,14.8,14.3,14.7,+0.25,"1,266"
2025/02/17,"1,887,747","27,860,378",14.85,14.9,14.5,14.75,+0.05,954
