日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"934,817","12,635,674",13.7,13.7,13.4,13.4,-0.30,"1,500"
2025/01/03,"744,848","10,006,858",13.4,13.8,13.2,13.3,-0.10,"1,006"
2025/01/06,"1,600,890","22,045,587",13.55,14.1,13.2,13.85,+0.55,"1,082"
2025/01/07,"1,452,729","19,399,437",13.85,13.85,13.2,13.25,-0.60,"1,273"
2025/01/08,"809,193","10,692,422",13.3,13.35,13.1,13.2,-0.05,978
2025/01/09,"1,601,469","20,620,124",13.1,13.15,12.65,12.75,-0.45,"1,681"
2025/01/10,"623,443","7,900,010",12.7,12.9,12.6,12.6,-0.15,723
2025/01/13,"1,985,762","25,400,817",12.9,13.2,12.5,12.75,+0.15,"1,410"
2025/01/14,"1,619,075","21,081,221",12.95,13.25,12.8,13.0,+0.25,989
2025/01/15,"4,064,728","54,970,462",12.9,13.8,12.9,13.35,+0.35,"2,149"
2025/01/16,"1,668,315","22,239,782",13.55,13.7,13.1,13.15,-0.20,"1,157"
2025/01/17,"1,456,652","19,503,348",13.2,13.6,13.1,13.45,+0.30,916
2025/01/20,"920,013","12,285,530",13.45,13.5,13.1,13.5,+0.05,697
2025/01/21,"549,901","7,349,604",13.45,13.55,13.25,13.3,-0.20,761
2025/01/22,"999,843","13,220,259",13.3,13.35,13.05,13.3,0.00,718
2025/02/03,"805,000","10,608,556",13.3,13.55,12.95,13.2,-0.10,779
2025/02/04,"901,927","11,723,950",13.4,13.4,12.8,12.85,-0.35,956
2025/02/05,"552,538","7,122,466",13.0,13.1,12.75,12.85,0.00,666
2025/02/06,"661,703","8,685,930",12.9,13.3,12.9,13.25,+0.40,533
2025/02/07,"498,933","6,494,183",13.2,13.2,12.95,13.0,-0.25,484
2025/02/10,"1,108,065","14,687,982",12.95,13.5,12.9,13.3,+0.30,781
2025/02/11,"752,467","9,987,418",13.3,13.55,13.1,13.2,-0.10,748
2025/02/12,"1,566,775","21,158,026",13.2,13.7,13.2,13.35,+0.15,948
2025/02/13,"1,776,465","24,639,525",13.4,14.05,13.35,14.0,+0.65,"1,159"
2025/02/14,"1,657,466","23,332,645",13.95,14.3,13.7,14.2,+0.20,991
2025/02/17,"1,106,931","15,569,792",14.25,14.25,13.9,14.1,-0.10,780
2025/02/18,"570,707","7,929,359",14.1,14.1,13.8,13.9,-0.20,743
2025/02/19,"1,835,631","25,501,072",13.9,14.2,13.65,13.95,+0.05,"1,003"
2025/02/20,"1,003,238","13,999,987",13.95,14.2,13.75,13.95,0.00,667
2025/02/21,"1,046,260","14,726,220",13.95,14.15,13.95,14.15,+0.20,638
2025/02/24,"735,982","10,364,386",14.05,14.25,13.95,14.1,-0.05,670
2025/02/25,"1,741,417","25,068,155",14.1,14.65,13.95,14.5,+0.40,"1,144"
2025/02/26,"1,994,780","28,847,245",14.8,14.85,14.25,14.35,-0.15,"1,072"
2025/02/27,"874,653","12,606,352",14.35,14.6,14.3,14.3,-0.05,657
2025/03/03,"702,438","9,896,919",14.2,14.2,13.95,14.1,-0.20,644
2025/03/04,"1,001,880","13,922,685",13.9,14.2,13.7,14.1,0.00,686
2025/03/05,"1,276,127","18,357,354",14.1,14.6,13.95,14.55,+0.45,796
2025/03/06,"781,236","11,179,825",14.55,14.55,14.15,14.15,-0.40,776
2025/03/07,"495,942","7,012,411",14.15,14.3,14.05,14.1,-0.05,381
2025/03/10,"4,417,991","66,454,275",14.15,15.5,14.1,15.5,+1.40,"2,078"
2025/03/11,"6,683,542","100,199,408",15.5,15.5,14.65,14.9,-0.60,"3,475"
2025/03/12,"2,296,488","33,619,716",15.1,15.2,14.45,14.45,-0.45,"1,542"
2025/03/13,"2,183,442","31,004,077",14.6,14.65,13.8,14.0,-0.45,"1,482"
2025/03/14,"2,435,902","35,173,094",14.15,14.6,14.15,14.55,+0.55,"1,167"
2025/03/17,"1,208,909","17,590,020",14.4,14.7,14.35,14.65,+0.10,836
2025/03/18,"1,296,841","18,910,704",14.55,14.8,14.4,14.45,-0.20,876
2025/03/19,"731,103","10,462,372",14.5,14.55,14.15,14.25,-0.20,715
2025/03/20,"584,320","8,443,793",14.45,14.55,14.35,14.5,+0.25,557
2025/03/21,"1,002,854","14,214,620",14.6,14.6,14.05,14.1,-0.40,816
2025/03/24,"546,218","7,663,995",14.2,14.2,13.95,14.0,-0.10,794
2025/03/25,"628,187","8,755,370",14.1,14.15,13.85,13.9,-0.10,687
2025/03/26,"412,130","5,733,270",13.9,14.0,13.85,13.9,0.00,714
