日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,204,746","11,323,184",9.5,9.5,9.27,9.37,-0.17,"1,461"
2025/01/03,"1,332,910","12,457,183",9.38,9.61,9.21,9.29,-0.08,"1,400"
2025/01/06,"929,971","8,806,328",9.3,9.65,9.27,9.59,0.3,632
2025/01/07,"644,056","6,091,196",9.62,9.65,9.4,9.42,-0.17,659
2025/01/08,"730,111","6,746,492",9.41,9.41,9.1,9.23,-0.19,963
2025/01/09,"1,378,882","12,458,058",9.23,9.23,8.91,8.91,-0.32,"1,622"
2025/01/10,"726,503","6,471,442",8.91,8.97,8.85,8.93,0.02,808
2025/01/13,"955,206","8,614,716",8.93,9.25,8.85,9.18,0.25,818
2025/01/14,"1,733,903","16,360,281",9.2,9.68,9.2,9.39,0.21,974
2025/01/15,"2,663,021","26,170,957",9.37,10.0,9.36,9.99,0.6,"1,490"
2025/01/16,"2,166,146","21,632,020",9.98,10.15,9.8,9.96,-0.03,"1,399"
2025/01/17,"1,305,561","13,209,243",9.98,10.35,9.87,10.2,0.24,756
2025/01/20,"619,752","6,242,444",10.2,10.2,9.95,10.15,-0.05,546
2025/01/21,"533,632","5,350,677",10.0,10.15,9.99,10.0,-0.15,460
2025/01/22,"306,652","3,073,582",10.1,10.1,9.98,10.1,0.1,288
2025/02/03,"415,962","4,142,472",10.05,10.15,9.86,9.97,-0.13,474
2025/02/04,"419,237","4,178,506",9.98,10.0,9.92,9.96,-0.01,320
2025/02/05,"421,908","4,231,295",10.15,10.25,9.95,9.98,0.02,390
2025/02/06,"477,688","4,785,889",10.1,10.1,9.97,10.05,0.07,341
2025/02/07,"688,388","6,900,066",10.2,10.2,9.94,9.96,-0.09,470
2025/02/10,"446,406","4,473,064",9.95,10.1,9.93,9.96,0.0,327
2025/02/11,"606,789","6,139,432",10.1,10.25,10.0,10.0,0.04,352
2025/02/12,"626,839","6,340,058",10.0,10.2,10.0,10.05,0.05,403
2025/02/13,"2,282,996","23,854,689",10.15,10.7,10.05,10.7,0.65,"1,030"
2025/02/14,"1,339,198","14,288,753",10.7,10.85,10.5,10.75,0.05,742
2025/02/17,"881,768","9,354,035",10.85,10.85,10.5,10.55,-0.2,710
2025/02/18,"1,350,664","13,981,086",10.4,10.55,10.25,10.25,-0.3,707
2025/02/19,"679,246","7,039,137",10.3,10.5,10.25,10.45,0.2,497
2025/02/20,"315,663","3,285,993",10.45,10.5,10.3,10.45,0.0,353
2025/02/21,"675,574","7,047,733",10.45,10.55,10.3,10.45,0.0,457
2025/02/24,"468,275","4,912,218",10.45,10.55,10.4,10.45,0.0,392
2025/02/25,"1,481,854","15,674,774",10.4,10.7,10.35,10.6,0.15,610
2025/02/26,"809,493","8,452,313",10.55,10.6,10.3,10.5,-0.1,585
2025/02/27,"472,732","4,944,118",10.45,10.6,10.4,10.4,-0.1,455
2025/03/03,"450,592","4,659,644",10.45,10.45,10.25,10.4,0.0,481
2025/03/04,"469,280","4,793,112",10.25,10.3,10.1,10.25,-0.15,394
2025/03/05,"1,596,276","16,964,923",10.25,10.8,10.25,10.75,0.5,761
2025/03/06,"787,148","8,427,787",10.8,10.85,10.55,10.55,-0.2,543
2025/03/07,"256,655","2,716,867",10.55,10.7,10.55,10.55,0.0,237
2025/03/10,"1,197,104","12,911,535",10.7,10.9,10.5,10.75,0.2,715
2025/03/11,"1,054,917","11,039,050",10.6,10.65,10.3,10.6,-0.15,624
2025/03/12,"387,230","4,079,683",10.6,10.7,10.4,10.55,-0.05,276
2025/03/13,"565,057","5,887,034",10.6,10.65,10.3,10.3,-0.25,827
2025/03/14,"615,958","6,441,894",10.25,10.55,10.25,10.55,0.25,675
2025/03/17,"487,975","5,162,346",10.5,10.65,10.45,10.5,-0.05,607
2025/03/18,"594,753","6,295,388",10.55,10.7,10.5,10.55,0.05,531
2025/03/19,"386,192","4,082,616",10.55,10.7,10.5,10.5,-0.05,460
2025/03/20,"1,127,890","11,861,442",10.5,10.65,10.45,10.6,0.1,589
2025/03/21,"822,529","8,527,934",10.55,10.55,10.25,10.25,-0.35,687
2025/03/24,"323,733","3,332,748",10.25,10.4,10.25,10.25,0.0,636
2025/03/25,"434,803","4,450,533",10.3,10.35,10.15,10.15,-0.1,653
2025/03/26,"279,765","2,881,034",10.2,10.35,10.2,10.35,0.2,679
2025/03/27,"326,089","3,345,873",10.25,10.35,10.2,10.2,-0.15,351
2025/03/28,"1,013,084","10,160,248",10.2,10.2,9.95,9.99,-0.21,523
2025/03/31,"796,334","7,746,817",9.86,9.99,9.63,9.66,-0.33,820
2025/04/01,"490,130","4,838,880",9.7,9.99,9.7,9.92,0.26,387
2025/04/02,"365,031","3,625,463",9.91,10.05,9.71,10.05,0.13,227
2025/04/07,"351,850","3,184,401",9.05,9.05,9.05,9.05,-1.0,698
2025/04/08,"3,507,891","28,601,651",8.15,8.38,8.15,8.15,-0.9,"1,311"
2025/04/09,"2,852,282","21,838,643",8.14,8.14,7.42,7.42,-0.73,"1,364"
2025/04/10,"549,116","4,463,012",8.0,8.16,8.0,8.16,0.74,260
2025/04/11,"1,327,229","11,075,542",8.14,8.58,7.9,8.54,0.38,641
2025/04/14,"1,699,258","14,954,377",9.0,9.0,8.61,8.83,0.29,766
2025/04/15,"657,334","5,869,066",8.81,9.06,8.8,9.0,0.17,472
2025/04/16,"484,010","4,333,204",9.08,9.08,8.9,8.96,-0.04,324
2025/04/17,"426,901","3,788,247",8.85,8.96,8.81,8.92,-0.04,311
2025/04/18,"407,599","3,685,540",8.9,9.14,8.9,8.99,0.07,261
2025/04/21,"425,718","3,753,083",8.99,8.99,8.73,8.73,-0.26,413
2025/04/22,"461,332","4,083,879",8.77,8.93,8.66,8.8,0.07,285
2025/04/23,"348,635","3,140,046",8.85,9.11,8.85,8.99,0.19,286
2025/04/24,"279,609","2,497,060",9.04,9.06,8.86,8.9,-0.09,361
2025/04/25,"426,491","3,809,458",9.0,9.0,8.9,8.92,0.02,279
2025/04/28,"408,240","3,681,279",8.94,9.12,8.94,9.0,0.08,281
2025/04/29,"422,955","3,829,020",9.0,9.11,8.96,9.11,0.11,252
2025/04/30,"359,424","3,241,327",9.04,9.11,8.98,8.99,-0.12,334
2025/05/02,"272,978","2,475,483",9.0,9.12,9.0,9.11,0.12,221
2025/05/05,"939,787","8,685,375",9.23,9.34,9.11,9.26,0.15,461
2025/05/06,"263,468","2,449,457",9.33,9.39,9.2,9.24,-0.02,359
2025/05/07,"626,300","5,829,555",9.25,9.36,9.25,9.28,0.04,247
2025/05/08,"258,592","2,392,752",9.28,9.32,9.22,9.22,-0.06,285
2025/05/09,"1,177,408","10,833,431",9.22,9.24,9.13,9.22,0.0,404
2025/05/12,"609,530","5,648,934",9.26,9.36,9.2,9.23,0.01,421
2025/05/13,"601,336","5,505,530",9.27,9.3,9.07,9.13,-0.1,404
2025/05/14,"254,859","2,337,558",9.13,9.21,9.12,9.14,0.01,241
2025/05/15,"500,022","4,515,600",9.14,9.14,8.99,8.99,-0.15,426
2025/05/16,"285,081","2,567,852",9.06,9.06,8.99,9.0,0.01,235
2025/05/19,"444,312","3,987,861",8.98,9.03,8.94,8.94,-0.06,322
2025/05/20,"259,983","2,318,856",8.97,8.97,8.89,8.93,-0.01,347
2025/05/21,"345,525","3,073,698",8.93,8.94,8.85,8.91,-0.02,356
2025/05/22,"396,488","3,488,179",8.92,8.92,8.75,8.75,-0.16,396
2025/05/23,"215,644","1,882,390",8.73,8.76,8.7,8.71,-0.04,222
2025/05/26,"293,552","2,573,495",8.71,8.8,8.71,8.74,0.03,260
2025/05/27,"486,676","4,298,326",8.8,8.96,8.72,8.89,0.15,381
2025/05/28,"492,059","4,311,159",8.92,8.92,8.68,8.68,-0.21,451
2025/05/29,"954,890","8,123,276",8.76,8.77,8.4,8.4,-0.28,678
2025/06/02,"673,335","5,460,945",8.3,8.3,8.01,8.04,-0.36,601
2025/06/03,"1,189,119","9,417,100",8.01,8.11,7.82,7.82,-0.22,873
2025/06/04,"1,291,662","10,244,835",7.9,8.03,7.85,7.93,0.11,450
2025/06/05,"716,040","5,738,648",7.88,8.15,7.81,8.03,0.1,393
2025/06/06,"279,714","2,255,894",8.14,8.14,8.03,8.05,0.02,248
2025/06/09,"5,633,347","46,655,898",8.17,8.85,7.68,8.03,-0.02,"2,587"
2025/06/10,"850,829","6,902,049",8.03,8.18,8.03,8.13,0.1,512
2025/06/11,"563,907","4,509,161",8.13,8.13,7.91,7.98,-0.15,485
2025/06/12,"500,813","4,013,260",7.98,8.07,7.97,8.0,0.02,303
2025/06/13,"462,363","3,682,292",7.98,8.03,7.85,7.96,-0.04,370
2025/06/16,"802,156","6,522,611",8.03,8.28,7.98,8.09,0.13,515
2025/06/17,"528,932","4,233,688",8.11,8.14,7.93,8.01,-0.08,407
2025/06/18,"509,891","4,075,115",8.02,8.06,7.93,7.96,-0.05,375
2025/06/19,"619,457","4,841,325",7.96,7.96,7.78,7.8,-0.16,493
2025/06/20,"1,254,230","9,734,767",7.92,7.92,7.68,7.72,-0.08,634
2025/06/23,"803,290","6,088,059",7.72,7.72,7.43,7.58,-0.14,588
2025/06/24,"493,712","3,817,180",7.59,7.81,7.59,7.71,0.13,394
2025/06/25,"452,925","3,508,688",7.71,7.83,7.65,7.8,0.09,363
2025/06/26,"1,386,407","10,986,267",7.8,8.01,7.78,7.83,0.03,528
2025/06/27,"494,157","3,876,720",7.87,7.97,7.79,7.8,-0.03,444
2025/06/30,"618,806","4,777,547",7.81,7.81,7.65,7.65,-0.15,386
2025/07/01,"569,580","4,430,758",7.73,7.87,7.66,7.69,0.04,362
2025/07/02,"312,251","2,430,430",7.71,7.82,7.71,7.75,0.06,227
2025/07/03,"1,285,159","10,214,693",7.93,8.0,7.79,7.98,0.23,455
2025/07/04,"298,988","2,359,158",7.97,7.98,7.85,7.85,-0.13,315
2025/07/07,"483,418","3,793,609",7.86,7.97,7.73,7.9,0.05,323
2025/07/08,"583,145","4,525,273",7.85,7.85,7.73,7.73,-0.17,344
2025/07/09,"332,555","2,565,619",7.76,7.79,7.66,7.66,-0.07,284
2025/07/10,"462,545","3,533,642",7.65,7.67,7.61,7.61,-0.05,258
2025/07/11,"560,092","4,266,365",7.61,7.7,7.55,7.58,-0.03,329
2025/07/14,"471,904","3,625,955",7.58,7.75,7.58,7.72,0.14,291
2025/07/15,"1,391,614","11,193,860",7.71,8.25,7.71,7.9,0.18,847
2025/07/16,"806,353","6,441,270",7.9,8.05,7.86,7.96,0.06,402
2025/07/17,"1,576,110","12,983,517",8.0,8.33,8.0,8.28,0.32,621
2025/07/18,"729,367","6,036,621",8.32,8.36,8.19,8.2,-0.08,501
2025/07/21,"1,327,524","11,088,145",8.2,8.44,8.2,8.23,0.03,555
2025/07/22,"731,161","6,047,888",8.26,8.4,8.19,8.25,0.02,526
2025/07/23,"4,337,875","38,627,084",8.3,9.07,8.3,9.07,0.82,"4,834"
2025/07/24,"4,174,784","38,247,444",9.15,9.3,8.96,9.28,0.21,"1,779"
2025/07/25,"5,080,432","49,641,112",9.45,10.05,9.4,9.58,0.3,"2,697"
2025/07/28,"2,644,424","25,279,190",9.49,9.71,9.4,9.62,0.04,"1,294"
2025/07/29,"2,557,291","24,656,727",9.63,9.89,9.41,9.42,-0.2,"1,483"
2025/07/30,"2,668,749","25,694,649",9.38,9.85,9.33,9.67,0.25,"1,366"
2025/07/31,"2,076,297","19,656,937",9.68,9.68,9.38,9.5,-0.17,"1,165"
2025/08/01,"1,566,582","14,451,572",9.38,9.38,9.15,9.23,-0.27,949
2025/08/04,"3,374,147","29,211,209",9.07,9.07,8.46,8.79,-0.44,"1,429"
2025/08/05,"929,133","8,139,962",8.83,8.88,8.7,8.8,0.01,517
2025/08/06,"2,176,914","20,039,873",8.82,9.51,8.82,9.23,0.43,"1,247"
2025/08/07,"795,260","7,267,983",9.32,9.32,9.09,9.09,-0.14,532
2025/08/08,"653,194","5,911,271",9.16,9.16,8.99,9.01,-0.08,453
2025/08/11,"1,080,177","9,941,942",9.01,9.3,8.95,9.3,0.29,570
2025/08/12,"1,702,584","16,153,914",9.3,9.65,9.3,9.48,0.18,898
2025/08/13,"1,191,057","11,296,210",9.52,9.64,9.3,9.42,-0.06,832
2025/08/14,"525,405","4,969,354",9.43,9.54,9.4,9.46,0.04,367
2025/08/15,"1,229,745","11,726,390",9.46,9.65,9.33,9.55,0.09,808
2025/08/18,"1,284,704","12,521,491",9.55,9.9,9.55,9.66,0.11,717
2025/08/19,"6,127,097","62,202,174",10.1,10.5,9.91,9.97,0.31,"3,071"
2025/08/20,"1,876,818","18,278,937",9.99,10.05,9.59,9.65,-0.32,"1,260"
2025/08/21,"2,525,163","25,183,680",9.75,10.15,9.64,9.95,0.3,"1,314"
2025/08/22,"1,043,459","10,329,691",9.93,10.05,9.82,9.82,-0.13,748
2025/08/25,"1,473,407","14,313,513",9.9,9.97,9.45,9.62,-0.2,853
2025/08/26,"850,976","8,083,895",9.62,9.72,9.43,9.43,-0.19,596
2025/08/27,"1,147,460","10,769,401",9.45,9.52,9.26,9.34,-0.09,644
2025/08/28,"1,249,143","11,490,600",9.36,9.36,9.12,9.15,-0.19,744
2025/08/29,"972,257","8,882,749",9.16,9.27,9.09,9.09,-0.06,510
2025/09/01,"1,226,928","11,163,689",9.11,9.25,8.95,9.23,0.14,579
2025/09/02,"1,052,604","9,528,544",9.23,9.28,8.95,9.03,-0.2,694
2025/09/03,"1,025,877","9,190,771",9.03,9.08,8.9,8.92,-0.11,583
2025/09/04,"563,396","5,075,484",8.97,9.08,8.94,9.08,0.16,324
2025/09/05,"854,701","7,673,052",9.08,9.1,8.93,8.96,-0.12,550
2025/09/08,"575,879","5,178,459",8.96,9.09,8.92,8.96,0.0,330
2025/09/09,"535,892","4,821,090",8.99,9.07,8.94,9.0,0.04,312
2025/09/10,"989,952","8,819,230",9.0,9.0,8.87,8.88,-0.12,613
2025/09/11,"1,103,268","9,665,333",8.9,8.9,8.7,8.7,-0.18,687
2025/09/12,"417,848","3,665,254",8.71,8.83,8.71,8.78,0.08,320
2025/09/15,"463,144","4,050,393",8.78,8.84,8.7,8.74,-0.04,361
2025/09/16,"885,474","7,693,813",8.76,8.77,8.62,8.62,-0.12,459
2025/09/17,"397,428","3,449,716",8.62,8.76,8.61,8.64,0.02,354
2025/09/18,"611,038","5,315,634",8.67,8.75,8.66,8.71,0.07,307
2025/09/19,"1,712,255","14,829,991",8.71,8.85,8.59,8.59,-0.12,589
2025/09/22,"524,382","4,496,001",8.61,8.62,8.5,8.58,-0.01,370
2025/09/23,"597,957","5,174,740",8.58,8.7,8.58,8.65,0.07,359
2025/09/24,"361,064","3,097,553",8.66,8.73,8.55,8.56,-0.09,438
2025/09/25,"1,517,376","13,391,536",8.66,8.92,8.61,8.82,0.26,640
2025/09/26,"530,264","4,596,942",8.85,8.85,8.59,8.65,-0.17,442
2025/09/30,"303,886","2,639,167",8.68,8.78,8.65,8.67,0.02,281
2025/10/01,"312,428","2,700,567",8.68,8.7,8.61,8.63,-0.04,257
2025/10/02,"1,109,616","9,524,860",8.66,8.7,8.52,8.55,-0.08,491
2025/10/03,"1,981,638","16,537,715",8.56,8.56,8.24,8.36,-0.19,954
2025/10/07,"596,670","5,074,230",8.36,8.54,8.36,8.53,0.17,379
2025/10/08,"359,124","3,059,865",8.53,8.58,8.4,8.58,0.05,314
2025/10/09,"2,417,158","21,776,514",8.59,9.12,8.59,9.08,0.5,"1,243"
2025/10/13,"638,382","5,647,791",8.93,8.93,8.77,8.84,-0.24,617
2025/10/14,"834,364","7,352,702",8.89,8.98,8.7,8.71,-0.13,521
2025/10/15,"654,680","5,645,196",8.72,8.73,8.57,8.58,-0.13,502
2025/10/16,"380,469","3,284,344",8.61,8.71,8.6,8.66,0.08,217
