日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,979,831","20,493,671",10.45,10.5,10.3,10.4,-0.05,922
2025/01/03,"2,352,203","24,250,974",10.45,10.6,10.2,10.25,-0.15,954
2025/01/06,"4,493,501","46,861,860",10.35,10.65,10.15,10.45,0.2,"1,359"
2025/01/07,"3,066,433","31,494,500",10.5,10.55,10.15,10.25,-0.2,"1,233"
2025/01/08,"2,050,024","20,956,763",10.25,10.3,10.15,10.25,0.0,676
2025/01/09,"6,003,871","60,236,927",10.25,10.25,9.94,9.94,-0.31,"1,842"
2025/01/10,"6,022,629","59,599,465",9.95,10.05,9.79,9.95,0.01,"1,943"
2025/01/13,"7,341,137","74,448,962",10.0,10.5,9.96,10.25,0.3,"1,941"
2025/01/14,"8,534,626","92,120,526",10.4,11.1,10.3,10.7,0.45,"3,062"
2025/01/15,"6,756,803","74,379,746",10.75,11.2,10.7,10.95,0.25,"2,453"
2025/01/16,"3,406,272","37,288,939",10.9,11.15,10.8,10.95,0.0,"1,509"
2025/01/17,"4,357,953","48,285,635",11.1,11.3,10.85,11.15,0.2,"1,387"
2025/01/20,"1,894,828","21,012,941",11.2,11.2,10.95,11.15,0.0,762
2025/01/21,"1,579,182","17,563,682",11.15,11.25,11.0,11.1,-0.05,669
2025/01/22,"3,224,869","36,161,665",11.2,11.3,11.1,11.3,0.2,"1,003"
2025/02/03,"2,813,273","31,450,243",11.25,11.4,11.0,11.15,-0.15,"1,184"
2025/02/04,"2,121,573","23,594,360",11.3,11.3,11.0,11.05,-0.1,825
2025/02/05,"2,505,708","27,978,567",11.15,11.4,11.05,11.05,0.0,"1,076"
2025/02/06,"1,864,760","20,673,107",11.15,11.2,11.0,11.2,0.15,790
2025/02/07,"1,916,498","21,108,520",11.2,11.25,10.95,10.95,-0.25,785
2025/02/10,"1,768,760","19,610,089",10.9,11.25,10.9,11.2,0.25,920
2025/02/11,"4,249,214","48,238,672",11.2,11.5,11.15,11.25,0.05,"1,382"
2025/02/12,"2,566,608","29,205,539",11.2,11.55,11.2,11.25,0.0,"1,254"
2025/02/13,"4,283,649","49,527,058",11.3,11.7,11.3,11.6,0.35,"1,743"
2025/02/14,"4,193,250","49,337,399",11.75,11.9,11.5,11.9,0.3,"1,708"
2025/02/17,"6,065,751","70,290,149",11.95,11.95,11.5,11.55,-0.35,"2,491"
2025/02/18,"2,869,411","32,736,627",11.65,11.65,11.3,11.35,-0.2,"1,574"
2025/02/19,"5,486,126","61,914,768",11.3,11.5,11.2,11.3,-0.05,"1,981"
2025/02/20,"4,210,237","47,002,011",11.3,11.4,11.05,11.1,-0.2,"1,893"
2025/02/21,"5,957,054","66,321,807",11.1,11.3,10.95,11.15,0.05,"2,246"
2025/02/24,"3,707,155","41,257,337",11.1,11.25,11.05,11.1,-0.05,"1,544"
2025/02/25,"6,890,517","76,982,566",11.1,11.35,10.9,11.25,0.15,"2,107"
2025/02/26,"5,431,561","59,719,813",11.3,11.3,10.9,10.95,-0.3,"2,302"
2025/02/27,"31,440,463","335,886,615",11.0,11.2,10.65,10.65,-0.3,"2,104"
2025/03/03,"5,387,458","57,620,973",10.7,10.85,10.6,10.65,0.0,"2,127"
2025/03/04,"4,076,584","42,556,437",10.55,10.55,10.35,10.45,-0.2,"1,949"
2025/03/05,"6,470,493","70,071,166",10.5,11.1,10.4,11.1,0.65,"2,332"
2025/03/06,"4,156,088","45,741,045",11.1,11.2,10.85,10.9,-0.2,"1,903"
2025/03/07,"2,309,235","25,137,101",10.95,11.0,10.8,10.85,-0.05,"1,093"
2025/03/10,"16,962,821","196,499,724",11.2,11.8,11.2,11.65,0.8,"5,218"
2025/03/11,"10,716,093","122,014,880",11.5,11.6,11.15,11.55,-0.1,"3,626"
2025/03/12,"7,477,726","84,108,574",11.6,11.6,11.1,11.2,-0.35,"2,605"
2025/03/13,"6,098,661","67,296,941",11.25,11.25,10.85,10.9,-0.3,"2,409"
2025/03/14,"4,539,651","50,701,496",10.9,11.3,10.9,11.2,0.3,"2,179"
2025/03/17,"3,630,740","41,147,493",11.25,11.45,11.15,11.4,0.2,"1,840"
2025/03/18,"3,142,959","35,724,998",11.4,11.5,11.2,11.35,-0.05,"1,665"
2025/03/19,"2,268,211","25,665,320",11.4,11.45,11.25,11.35,0.0,"1,128"
2025/03/20,"2,444,544","27,844,002",11.3,11.5,11.3,11.4,0.05,"1,113"
2025/03/21,"3,085,305","34,553,214",11.45,11.45,11.1,11.1,-0.3,"1,332"
2025/03/24,"1,749,228","19,525,771",11.15,11.25,11.05,11.15,0.05,931
2025/03/25,"3,255,313","35,961,156",11.2,11.2,10.95,11.05,-0.1,"1,310"
