日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,697,635","14,961,223",8.86,8.92,8.74,8.79,-0.12,"1,287"
2025/01/03,"1,697,755","14,989,779",8.87,9.01,8.71,8.72,-0.07,"1,064"
2025/01/06,"2,046,456","18,358,678",8.8,9.16,8.71,9.07,+0.35,"1,066"
2025/01/07,"1,768,657","15,668,352",9.1,9.1,8.75,8.77,-0.30,"1,081"
2025/01/08,"1,941,578","16,825,521",8.73,8.8,8.6,8.67,-0.10,"1,612"
2025/01/09,"2,073,614","17,593,028",8.67,8.67,8.35,8.37,-0.30,"1,850"
2025/01/10,"1,101,652","9,204,115",8.33,8.44,8.31,8.35,-0.02,918
2025/01/13,"2,174,199","17,915,112",8.3,8.38,8.15,8.35,0.00,"1,559"
2025/01/14,"2,553,693","21,948,662",8.34,8.72,8.34,8.69,+0.34,"1,179"
2025/01/15,"5,102,434","45,163,334",8.68,8.97,8.63,8.77,+0.08,"2,096"
2025/01/16,"2,582,572","22,792,548",8.88,8.97,8.72,8.73,-0.04,"1,344"
2025/01/17,"3,550,334","31,687,262",8.79,9.05,8.75,8.95,+0.22,"1,435"
2025/01/20,"2,121,665","18,733,605",8.96,8.96,8.75,8.84,-0.11,"1,147"
2025/01/21,"1,636,221","14,475,527",8.8,8.96,8.78,8.84,0.00,857
2025/01/22,"1,931,272","17,098,827",8.88,8.91,8.74,8.87,+0.03,903
2025/02/03,"2,149,794","18,761,751",8.86,8.94,8.6,8.7,-0.17,"1,270"
2025/02/04,"1,051,340","9,158,674",8.8,8.84,8.65,8.65,-0.05,783
2025/02/05,"1,236,731","10,823,146",8.76,8.92,8.65,8.65,0.00,866
2025/02/06,"3,463,264","30,062,653",8.76,8.81,8.64,8.7,+0.05,"1,356"
2025/02/07,"2,602,814","22,211,686",8.71,8.73,8.46,8.55,-0.15,"1,382"
2025/02/10,"1,297,577","11,156,466",8.53,8.68,8.51,8.63,+0.08,722
2025/02/11,"1,491,292","12,959,383",8.64,8.8,8.57,8.58,-0.05,916
2025/02/12,"2,137,691","18,704,708",8.58,8.85,8.57,8.69,+0.11,"1,061"
2025/02/13,"4,476,392","40,257,942",8.78,9.1,8.66,9.06,+0.37,"1,958"
2025/02/14,"3,128,158","28,624,227",9.12,9.27,8.98,9.26,+0.20,"1,648"
2025/02/17,"3,592,190","32,908,980",9.3,9.3,9.08,9.16,-0.10,"2,099"
2025/02/18,"3,289,979","29,532,663",9.13,9.13,8.9,8.93,-0.23,"2,087"
2025/02/19,"3,738,989","33,534,183",8.97,9.12,8.9,9.0,+0.07,"1,909"
2025/02/20,"2,702,969","24,375,326",9.0,9.14,8.93,9.02,+0.02,"1,435"
2025/02/21,"3,461,738","31,278,535",9.01,9.13,8.95,9.04,+0.02,"1,608"
2025/02/24,"2,305,217","20,899,621",9.04,9.14,9.03,9.04,0.00,"1,113"
2025/02/25,"6,122,869","56,287,984",9.0,9.4,8.94,9.31,+0.27,"2,672"
2025/02/26,"4,155,228","37,989,644",9.29,9.29,9.07,9.11,-0.20,"2,279"
2025/02/27,"21,924,465","196,433,518",9.1,9.23,8.94,8.94,-0.17,"1,717"
2025/03/03,"4,503,043","40,001,461",8.92,9.02,8.79,8.84,-0.10,"1,922"
2025/03/04,"8,093,456","70,918,835",8.79,8.81,8.61,8.8,-0.04,"1,723"
2025/03/05,"4,621,263","41,731,190",8.79,9.18,8.71,9.14,+0.34,"1,753"
2025/03/06,"2,430,188","21,927,444",9.19,9.2,8.95,8.96,-0.18,"1,421"
2025/03/07,"1,036,469","9,306,433",8.95,9.03,8.91,8.97,+0.01,637
2025/03/10,"5,834,118","54,306,501",9.01,9.5,9.01,9.45,+0.48,"2,143"
2025/03/11,"5,745,759","52,246,666",9.35,9.35,8.93,9.17,-0.28,"2,961"
2025/03/12,"3,000,512","27,283,590",9.17,9.19,9.01,9.06,-0.11,"1,426"
2025/03/13,"2,239,924","20,266,100",9.13,9.15,8.98,8.99,-0.07,898
2025/03/14,"3,458,025","31,905,834",9.09,9.32,9.09,9.23,+0.24,"1,252"
2025/03/17,"3,713,325","34,960,697",9.26,9.54,9.26,9.41,+0.18,"1,459"
2025/03/18,"2,316,283","21,809,548",9.45,9.5,9.34,9.39,-0.02,"1,169"
2025/03/19,"3,537,037","33,696,565",9.43,9.65,9.4,9.62,+0.23,"1,420"
2025/03/20,"4,486,547","43,892,329",9.7,9.88,9.63,9.86,+0.24,"1,816"
2025/03/21,"4,715,254","45,114,894",9.86,9.86,9.41,9.44,-0.42,"2,102"
2025/03/24,"2,115,585","20,199,126",9.44,9.62,9.41,9.59,+0.15,755
2025/03/25,"2,168,953","20,593,802",9.62,9.67,9.38,9.44,-0.15,"1,013"
2025/03/26,"1,083,230","10,229,802",9.49,9.54,9.38,9.43,-0.01,542
2025/03/27,"856,314","8,081,679",9.42,9.5,9.38,9.4,-0.03,511
2025/03/28,"2,073,256","19,189,516",9.4,9.4,9.2,9.23,-0.17,"1,071"
2025/03/31,"2,806,542","25,192,132",9.1,9.1,8.89,8.95,-0.28,"1,228"
2025/04/01,"1,781,973","16,393,055",8.98,9.28,8.98,9.2,+0.25,710
2025/04/02,"1,418,417","13,059,247",9.23,9.29,9.11,9.22,+0.02,682
2025/04/07,"1,227,474","10,187,944",8.3,8.3,8.3,8.3,-0.92,853
2025/04/08,"5,986,708","46,681,201",7.56,8.11,7.56,8.02,-0.28,"2,039"
2025/04/09,"6,377,045","48,287,893",7.84,7.88,7.26,7.27,-0.75,"2,202"
2025/04/10,"2,144,387","17,063,856",7.95,7.99,7.77,7.99,+0.72,600
2025/04/11,"2,699,399","21,524,733",7.78,8.2,7.57,8.19,+0.20,"1,156"
2025/04/14,"2,560,888","21,260,554",8.28,8.49,8.22,8.24,+0.05,"1,166"
2025/04/15,"1,057,029","8,857,692",8.25,8.44,8.25,8.43,+0.19,528
2025/04/16,"1,812,457","14,956,121",8.4,8.4,8.17,8.19,-0.24,953
2025/04/17,"1,006,780","8,201,469",8.18,8.24,8.08,8.15,-0.04,547
2025/04/18,"1,189,672","9,849,715",8.15,8.35,8.13,8.33,+0.18,527
2025/04/21,"1,374,170","11,250,639",8.31,8.31,8.13,8.13,-0.20,679
2025/04/22,"1,272,305","10,316,100",8.08,8.21,7.96,8.05,-0.08,673
2025/04/23,"1,161,019","9,539,682",8.19,8.27,8.17,8.2,+0.15,656
2025/04/24,"863,131","7,103,553",8.28,8.32,8.16,8.17,-0.03,393
2025/04/25,"611,324","5,034,088",8.22,8.26,8.2,8.23,+0.06,355
2025/04/28,"1,045,771","8,661,406",8.26,8.32,8.25,8.31,+0.08,532
2025/04/29,"1,221,642","10,235,062",8.32,8.45,8.29,8.44,+0.13,589
2025/04/30,"972,989","8,119,739",8.4,8.43,8.31,8.32,-0.12,611
2025/05/02,"1,024,864","8,574,463",8.39,8.43,8.31,8.39,+0.07,461
2025/05/05,"2,415,688","20,809,289",8.47,8.73,8.47,8.6,+0.21,948
