日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"19,884","1,374,824",69.60,69.60,69.00,69.10,-0.80,25
2025/01/03,"10,770","743,785",69.00,69.10,69.00,69.10,0.00,29
2025/01/06,"7,641","527,847",69.30,69.40,68.90,68.90,-0.20,25
2025/01/07,"27,045","1,860,866",69.00,69.00,68.60,69.00,+0.10,42
2025/01/08,"3,135","216,203",69.00,69.00,69.00,69.00,0.00,128
2025/01/09,"14,022","962,400",69.00,69.00,68.60,68.60,-0.40,306
2025/01/10,"17,694","1,199,914",67.20,68.30,67.20,67.80,-0.80,37
2025/01/13,"28,027","1,879,122",67.70,67.80,66.80,66.90,-0.90,165
2025/01/14,"2,585","174,483",66.80,66.80,66.80,66.80,-0.10,119
2025/01/15,"4,397","293,682",66.70,66.80,66.70,66.80,0.00,14
2025/01/16,"7,454","499,014",66.80,67.50,66.80,67.00,+0.20,79
2025/01/17,"1,103","73,939",67.00,67.00,67.00,67.00,0.00,7
2025/01/20,"9,542","642,602",67.00,67.70,67.00,67.70,+0.70,26
2025/01/21,675,"45,895",--,--,--,--,0.00,9
2025/01/22,"6,670","455,691",68.50,68.50,68.30,68.30,X0.00,19
2025/02/03,"9,379","639,161",68.20,68.30,67.90,67.90,-0.40,64
2025/02/04,"4,497","305,017",67.90,67.90,67.80,67.80,-0.10,19
2025/02/05,"13,362","912,178",67.90,68.50,67.90,68.20,+0.40,16
2025/02/06,"25,052","1,718,963",68.60,69.00,68.60,68.60,+0.40,14
2025/02/07,"9,072","622,976",69.00,69.00,68.50,68.50,-0.10,42
2025/02/10,"1,738","118,062",67.90,67.90,67.90,67.90,-0.60,16
2025/02/11,"3,204","217,748",67.90,67.90,67.90,67.90,0.00,137
2025/02/12,"46,576","3,125,017",67.90,68.00,66.50,67.70,-0.20,64
2025/02/13,"6,168","420,438",67.90,68.70,67.90,68.70,+1.00,24
2025/02/14,"3,054","207,148",68.10,68.10,68.10,68.10,-0.60,19
2025/02/17,"9,777","670,220",68.60,68.70,68.20,68.70,+0.60,34
2025/02/18,"13,208","898,379",67.70,68.60,67.70,68.50,-0.20,29
2025/02/19,"21,757","1,489,286",68.50,68.70,68.40,68.70,+0.20,44
2025/02/20,"14,445","998,275",68.70,69.30,68.70,69.20,+0.50,86
2025/02/21,"12,598","874,926",69.20,69.80,69.20,69.80,+0.60,39
2025/02/24,"9,367","652,079",68.60,70.20,68.60,70.20,+0.40,23
2025/02/25,"64,463","4,505,257",70.10,70.20,69.70,69.90,-0.30,43
2025/02/26,83,"5,795",--,--,--,--,0.00,3
2025/02/27,"5,560","386,685",70.00,70.00,69.50,69.50,X0.00,13
2025/03/03,"18,582","1,275,020",69.50,69.50,68.00,69.30,-0.20,28
2025/03/04,"1,278","89,016",69.80,69.80,69.80,69.80,+0.50,10
2025/03/05,"8,927","620,260",69.10,69.90,69.00,69.10,-0.70,82
2025/03/06,"7,427","515,267",69.60,69.60,69.10,69.10,0.00,70
2025/03/07,"10,518","728,822",69.10,69.80,69.10,69.80,+0.70,30
2025/03/10,"4,209","292,066",69.10,70.00,69.10,70.00,+0.20,37
2025/03/11,"8,616","597,172",69.00,70.00,68.20,69.50,-0.50,36
2025/03/12,"5,072","352,112",69.20,69.60,69.10,69.60,+0.10,9
2025/03/13,"16,858","1,172,830",69.50,69.70,69.40,69.70,+0.10,34
2025/03/14,"14,706","1,026,456",69.50,69.90,69.50,69.80,+0.10,40
2025/03/17,"35,911","2,512,177",70.10,70.10,69.80,69.80,0.00,40
2025/03/18,"7,046","494,017",70.10,70.20,70.00,70.00,+0.20,19
2025/03/19,"43,838","3,067,792",70.00,70.60,69.80,70.00,0.00,123
2025/03/20,"19,091","1,336,867",70.00,70.20,69.90,70.10,+0.10,40
2025/03/21,"27,115","1,898,949",70.10,70.30,69.70,69.90,-0.20,105
2025/03/24,"5,250","368,293",70.50,70.50,70.00,70.00,+0.10,11
2025/03/25,"10,270","719,015",70.00,70.10,70.00,70.00,0.00,26
2025/03/26,"5,725","401,949",70.10,70.30,70.10,70.20,+0.20,12
2025/03/27,"17,202","1,201,999",70.00,70.00,69.80,69.80,-0.40,37
2025/03/28,"18,492","1,290,546",69.90,70.10,69.30,70.10,+0.30,37
2025/03/31,"47,565","3,289,892",69.30,69.30,69.00,69.10,-1.00,101
2025/04/01,"12,518","875,908",69.80,70.00,69.80,70.00,+0.90,26
2025/04/02,"4,418","309,343",69.50,70.30,69.50,70.30,+0.30,18
2025/04/07,"116,621","7,573,790",64.10,67.80,64.00,64.00,-6.30,188
2025/04/08,"60,000","3,929,754",63.80,66.50,63.80,66.20,+2.20,132
2025/04/09,"96,593","6,391,393",66.40,67.70,65.50,65.70,-0.50,171
2025/04/10,"88,482","5,844,174",63.80,67.50,63.80,66.20,X0.00,118
2025/04/11,"7,789","511,847",66.00,66.00,65.40,65.90,-0.30,80
2025/04/14,"21,172","1,392,215",66.00,66.40,65.20,65.20,-0.70,59
2025/04/15,"15,608","1,025,720",65.30,66.40,65.30,65.90,+0.70,51
2025/04/16,"21,796","1,423,000",66.00,66.00,64.40,64.40,-1.50,28
2025/04/17,"8,083","526,672",65.90,65.90,65.00,65.00,+0.60,19
2025/04/18,"9,842","641,470",64.60,65.40,64.60,65.40,+0.40,27
2025/04/21,"13,855","902,122",65.40,65.40,64.90,65.30,-0.10,38
2025/04/22,"6,619","428,727",65.30,65.40,65.00,65.00,-0.30,19
2025/04/23,"11,952","778,198",65.00,65.50,65.00,65.50,+0.50,28
2025/04/24,"3,713","242,988",65.50,65.50,65.50,65.50,0.00,14
2025/04/25,"4,480","292,100",65.20,65.20,65.20,65.20,-0.30,9
2025/04/28,"10,817","710,561",65.40,66.20,65.30,66.20,+1.00,30
2025/04/29,"4,205","277,983",66.20,66.20,66.00,66.10,-0.10,11
2025/04/30,"5,742","377,718",66.00,66.00,65.40,65.60,-0.50,13
2025/05/02,"14,187","933,676",65.60,66.00,65.60,65.80,+0.20,124
2025/05/05,"3,119","206,783",66.40,66.40,66.20,66.30,+0.50,10
2025/05/06,"6,280","413,347",66.00,66.00,66.00,66.00,-0.30,22
2025/05/07,"5,029","331,004",65.90,65.90,65.80,65.80,-0.20,13
2025/05/08,"3,186","209,757",65.90,65.90,65.80,65.80,0.00,8
2025/05/09,"14,665","962,320",65.30,66.30,65.00,65.80,0.00,47
2025/05/12,"4,591","303,146",66.20,66.30,65.50,66.20,+0.40,23
2025/05/13,"6,773","447,846",66.00,66.20,66.00,66.20,0.00,51
2025/05/14,"18,445","1,220,034",66.20,66.50,65.70,66.20,0.00,95
2025/05/15,"8,403","556,409",66.20,66.20,66.10,66.20,0.00,13
2025/05/16,"4,810","318,937",66.50,66.50,66.30,66.40,+0.20,22
2025/05/19,"63,674","4,260,434",66.60,67.00,66.30,66.30,-0.10,41
2025/05/20,"13,035","864,247",66.20,66.50,66.20,66.50,+0.20,22
2025/05/21,"7,237","484,408",66.30,66.70,66.30,66.70,+0.20,14
2025/05/22,"5,111","338,894",66.40,66.40,66.30,66.30,-0.40,100
2025/05/23,"5,475","361,650",65.80,66.20,65.80,66.20,-0.10,11
2025/05/26,"7,556","502,118",66.20,66.90,66.20,66.80,+0.60,24
2025/05/27,"12,220","813,675",66.20,66.90,66.20,66.50,-0.30,18
2025/05/28,"2,970","198,041",66.50,66.50,66.50,66.50,0.00,61
2025/05/29,"4,364","291,121",66.70,66.80,66.70,66.80,+0.30,11
2025/06/02,"7,434","489,272",65.80,66.00,65.60,65.70,-1.10,49
2025/06/03,"4,066","267,879",65.80,65.90,65.80,65.90,+0.20,10
2025/06/04,"10,350","695,914",65.90,68.60,65.90,67.20,+1.30,22
2025/06/05,"4,302","284,791",66.30,66.30,66.00,66.00,-1.20,6
2025/06/06,"7,987","525,876",65.70,66.50,65.60,66.40,+0.40,39
2025/06/09,"1,425","94,518",66.40,66.40,66.40,66.40,0.00,9
2025/06/10,"5,414","360,586",66.40,66.70,66.40,66.70,+0.30,17
2025/06/11,"10,920","727,895",66.70,67.10,66.50,66.70,0.00,25
2025/06/12,"1,282","84,964",66.20,66.20,66.20,66.20,-0.50,7
2025/06/13,"5,330","349,808",65.70,65.80,65.30,65.80,-0.40,17
2025/06/16,"6,680","443,411",65.80,66.70,65.80,66.60,+0.80,18
2025/06/17,"3,101","205,695",66.20,66.60,66.20,66.60,0.00,6
2025/06/18,"3,298","218,884",66.60,66.60,66.00,66.00,-0.60,11
2025/06/19,"17,308","1,140,197",66.00,66.00,65.70,65.80,-0.20,38
2025/06/20,"1,521","99,945",65.70,65.70,65.70,65.70,-0.10,50
2025/06/23,"10,521","684,509",65.10,65.30,65.00,65.30,-0.40,17
2025/06/24,"4,659","307,892",66.00,66.20,66.00,66.20,+0.90,24
2025/06/25,767,"50,618",--,--,--,--,0.00,43
2025/06/26,"12,665","838,235",66.50,66.70,65.40,66.00,X0.00,71
2025/06/27,"8,230","544,300",65.80,66.60,65.70,66.40,+0.40,12
2025/06/30,"5,143","341,870",66.50,66.50,66.40,66.40,0.00,12
2025/07/01,"14,634","975,407",66.40,66.80,66.40,66.60,+0.20,43
2025/07/02,201,"13,361",--,--,--,--,0.00,6
2025/07/03,"11,011","733,834",66.60,66.80,66.60,66.60,X0.00,7
2025/07/04,"4,733","316,256",67.00,67.00,67.00,67.00,+0.40,28
2025/07/07,161,"10,758",--,--,--,--,0.00,7
2025/07/08,"3,163","209,419",66.20,66.20,66.20,66.20,X0.00,20
2025/07/09,"1,000","66,200",66.20,66.20,66.20,66.20,0.00,1
2025/07/10,0,0,--,--,--,--,0.00,0
2025/07/11,"4,410","290,431",66.00,66.00,65.60,65.60,X0.00,19
2025/07/14,"4,222","279,479",66.30,66.30,65.90,65.90,+0.30,23
2025/07/15,"2,957","194,777",66.00,66.00,66.00,66.00,+0.10,14
2025/07/16,"1,799","118,741",66.10,66.10,66.10,66.10,+0.10,11
2025/07/17,"1,356","89,732",66.20,66.20,66.20,66.20,+0.10,5
2025/07/18,"3,069","203,735",66.30,66.50,66.30,66.50,+0.30,22
2025/07/21,"9,091","605,258",66.50,66.70,66.40,66.50,0.00,14
2025/07/22,"11,488","760,549",66.50,66.50,66.10,66.10,-0.40,24
2025/07/23,"3,179","210,245",66.20,66.20,66.10,66.10,0.00,11
2025/07/24,"3,005","198,630",66.20,66.20,65.90,65.90,-0.20,4
2025/07/25,540,"35,306",--,--,--,--,0.00,13
2025/07/28,"5,245","347,925",65.70,67.00,65.70,67.00,X0.00,11
2025/07/29,"1,429","94,581",65.90,65.90,65.90,65.90,-1.10,8
2025/07/30,"14,851","988,357",67.00,67.00,66.40,66.70,+0.80,25
2025/07/31,"10,499","701,221",66.50,67.00,66.50,66.60,-0.10,14
2025/08/01,"17,296","1,145,989",66.20,66.40,66.20,66.40,-0.20,19
2025/08/04,"13,090","859,640",65.60,65.80,65.60,65.80,-0.60,16
2025/08/05,"10,786","713,053",65.80,66.60,65.80,66.10,+0.30,17
2025/08/06,"6,997","461,887",66.10,66.10,66.00,66.00,-0.10,30
2025/08/07,"6,837","450,981",66.10,66.10,66.00,66.00,0.00,15
2025/08/08,"8,479","559,791",66.00,66.20,65.80,65.90,-0.10,13
2025/08/11,"3,591","238,171",66.40,66.40,66.30,66.40,+0.50,11
2025/08/12,"18,198","1,210,038",66.30,66.70,66.20,66.50,+0.10,64
2025/08/13,"29,182","1,942,585",66.60,66.70,66.20,66.20,-0.30,32
2025/08/14,"21,589","1,428,265",66.00,66.20,65.90,66.10,-0.10,57
2025/08/15,"4,315","285,225",66.10,66.10,66.10,66.10,0.00,17
2025/08/18,"32,230","2,124,308",66.00,66.20,65.80,65.90,-0.20,70
2025/08/19,"8,383","552,250",65.90,66.10,65.80,65.80,-0.10,31
2025/08/20,"21,150","1,390,663",65.80,65.80,65.70,65.70,-0.10,32
2025/08/21,"8,673","570,770",65.80,66.00,65.70,65.70,0.00,16
2025/08/22,"11,253","739,481",65.70,65.80,65.70,65.70,0.00,56
2025/08/25,"13,790","908,291",65.80,66.00,65.80,65.90,+0.20,44
2025/08/26,"13,540","891,420",65.60,66.00,65.60,65.70,-0.20,44
2025/08/27,"24,010","1,584,319",66.00,66.10,65.80,66.10,+0.40,41
2025/08/28,"42,817","2,846,945",66.10,66.90,66.10,66.30,+0.20,55
2025/08/29,"28,684","1,905,218",66.30,66.50,66.30,66.50,+0.20,57
2025/09/01,"31,756","2,047,862",64.40,64.60,64.40,64.50,X0.00,69
2025/09/02,"8,150","523,950",64.50,64.50,64.20,64.20,-0.30,11
2025/09/03,"3,986","255,508",64.00,64.50,64.00,64.50,+0.30,27
2025/09/04,"1,516","97,880",64.50,64.50,64.50,64.50,0.00,15
2025/09/05,"45,796","2,977,506",64.50,65.60,64.30,65.20,+0.70,61
2025/09/08,"14,338","930,479",65.10,65.30,64.70,65.00,-0.20,68
2025/09/09,"4,200","272,179",65.00,65.00,64.70,64.80,-0.20,15
2025/09/10,"3,187","206,025",64.70,64.70,64.60,64.60,-0.20,20
2025/09/11,"9,364","601,036",64.50,64.50,64.20,64.20,-0.40,24
2025/09/12,"17,495","1,122,466",64.20,64.20,64.10,64.20,0.00,36
2025/09/15,"23,020","1,490,299",64.50,65.00,64.50,64.70,+0.50,26
2025/09/16,"2,993","193,193",64.40,64.60,64.40,64.60,-0.10,16
2025/09/17,"26,597","1,715,945",64.40,64.70,64.10,64.60,0.00,82
2025/09/18,"6,003","385,901",64.30,64.50,64.10,64.50,-0.10,28
2025/09/19,"7,100","456,249",64.00,64.50,64.00,64.50,0.00,11
2025/09/22,"7,879","505,635",64.10,64.20,64.10,64.20,-0.30,26
2025/09/23,"12,318","789,414",63.90,64.20,63.90,64.10,-0.10,21
2025/09/24,"4,061","260,212",64.10,64.10,64.00,64.10,0.00,13
2025/09/25,"21,558","1,394,315",64.60,64.90,64.50,64.50,+0.40,26
2025/09/26,"35,091","2,262,763",64.50,64.70,64.20,64.70,+0.20,22
2025/09/30,"24,309","1,579,248",64.70,65.20,64.60,65.10,+0.40,34
2025/10/01,"36,527","2,383,839",65.10,65.50,65.10,65.20,+0.10,77
