日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"25,569,890","410,975,762",15.25,16.50,15.00,16.30,+1.30,"14,149"
2025/01/03,"38,629,987","632,852,491",16.25,17.30,15.35,15.55,-0.75,"15,952"
2025/01/06,"6,160,190","95,423,167",15.80,15.95,15.15,15.15,-0.40,"3,059"
2025/01/07,"4,974,046","75,008,710",15.25,15.60,14.75,14.75,-0.40,"2,257"
2025/01/08,"3,371,551","49,641,427",14.80,14.95,14.60,14.70,-0.05,"1,400"
2025/01/09,"6,819,974","95,848,575",14.40,14.45,13.80,13.80,X0.00,"3,046"
2025/01/10,"2,612,961","36,025,815",13.75,13.95,13.65,13.75,-0.05,"1,099"
2025/01/13,"5,625,058","75,403,459",13.95,14.10,13.10,13.15,-0.60,"2,429"
2025/01/14,"2,991,642","40,026,495",13.30,13.65,13.10,13.65,+0.50,"1,257"
2025/01/15,"6,207,873","88,255,219",13.70,14.70,13.55,14.35,+0.70,"2,851"
2025/01/16,"3,553,520","50,444,618",14.40,14.40,14.00,14.10,-0.25,"1,691"
2025/01/17,"1,762,746","24,515,808",14.10,14.20,13.80,13.80,-0.30,967
2025/01/20,"2,332,911","32,368,444",14.05,14.10,13.65,13.90,+0.10,"1,246"
2025/01/21,"1,509,252","20,715,977",13.90,13.90,13.65,13.65,-0.25,800
2025/01/22,"1,857,044","25,319,957",13.80,13.80,13.55,13.65,0.00,874
2025/02/03,"3,564,658","49,008,464",13.65,14.10,13.40,13.85,+0.20,"1,507"
2025/02/04,"2,673,456","37,491,829",13.95,14.35,13.80,13.95,+0.10,"1,274"
2025/02/05,"1,881,279","26,665,637",14.10,14.40,14.05,14.15,+0.20,936
2025/02/06,"3,824,012","54,973,354",14.30,14.60,14.20,14.30,+0.15,"1,566"
2025/02/07,"1,894,370","26,850,546",14.30,14.40,14.05,14.25,-0.05,"1,011"
2025/02/10,"2,038,143","29,011,771",14.25,14.50,14.05,14.20,-0.05,938
2025/02/11,"3,835,473","55,547,643",14.40,14.75,14.35,14.50,+0.30,"1,676"
2025/02/12,"7,013,457","103,843,787",14.60,15.10,14.50,14.85,+0.35,"2,786"
2025/02/13,"6,621,856","99,659,490",15.00,15.50,14.80,14.95,+0.10,"2,806"
2025/02/14,"5,875,097","88,829,624",15.05,15.45,14.90,15.00,+0.05,"2,379"
2025/02/17,"9,114,848","141,165,438",15.30,15.85,15.10,15.45,+0.45,"3,837"
2025/02/18,"4,413,629","67,380,796",15.60,15.60,15.05,15.05,-0.40,"2,377"
2025/02/19,"3,086,969","46,555,888",15.15,15.25,14.90,15.10,+0.05,"1,489"
2025/02/20,"2,348,540","35,567,059",15.35,15.35,15.05,15.10,0.00,"1,027"
2025/02/21,"14,832,472","240,733,123",15.10,16.60,15.10,16.60,+1.50,"5,503"
2025/02/24,"44,029,774","771,284,491",18.15,18.15,17.00,17.10,+0.50,"17,035"
2025/02/25,"15,948,240","266,368,227",17.10,17.25,16.30,16.50,-0.60,"6,263"
2025/02/26,"18,713,221","305,708,864",16.40,17.00,15.85,15.85,-0.65,"9,302"
2025/02/27,"12,226,911","190,272,602",15.90,16.10,15.30,15.40,-0.45,"6,178"
2025/03/03,"9,987,338","152,937,307",15.30,15.80,15.10,15.20,-0.20,"4,531"
2025/03/04,"6,720,315","101,472,970",15.20,15.35,14.80,15.35,+0.15,"3,101"
2025/03/05,"9,267,581","141,282,449",15.25,15.55,15.00,15.55,+0.20,"4,009"
2025/03/06,"8,443,731","130,012,339",15.70,15.75,15.20,15.35,-0.20,"3,489"
2025/03/07,"7,242,388","109,496,244",15.35,15.45,14.95,14.95,-0.40,"2,979"
2025/03/10,"10,017,341","154,742,711",15.00,15.90,14.90,15.55,+0.60,"4,241"
2025/03/11,"16,630,894","255,519,559",15.55,15.90,14.95,15.35,-0.20,"6,669"
2025/03/12,"8,785,542","134,788,928",15.35,15.70,15.15,15.20,-0.15,"3,496"
2025/03/13,"10,467,491","155,657,902",15.15,15.25,14.50,14.60,-0.60,"4,410"
2025/03/14,"5,632,838","81,920,857",14.60,14.80,14.25,14.80,+0.20,"2,311"
2025/03/17,"2,631,878","39,218,536",15.00,15.10,14.75,14.80,0.00,"1,641"
2025/03/18,"27,653,797","442,924,068",14.75,16.25,14.75,16.25,+1.45,"9,185"
2025/03/19,"61,148,201","1,022,081,006",16.60,17.45,15.80,15.80,-0.45,"21,948"
2025/03/20,"61,676,290","1,050,874,882",16.25,17.35,16.15,17.35,+1.55,"19,497"
2025/03/21,"87,648,731","1,582,027,521",17.60,18.95,17.35,17.55,+0.20,"31,674"
2025/03/24,"40,732,742","714,798,201",17.90,18.20,16.95,17.20,-0.35,"14,674"
2025/03/25,"59,354,208","1,054,402,332",17.05,18.20,17.05,18.05,+0.85,"21,009"
2025/03/26,"40,436,938","710,557,691",17.90,17.95,17.15,17.85,-0.20,"14,632"
2025/03/27,"80,710,559","1,476,096,984",17.85,18.75,17.50,18.55,+0.70,"25,667"
2025/03/28,"90,656,591","1,701,402,258",18.35,19.80,17.90,19.45,+0.90,"28,236"
2025/03/31,"94,717,493","1,740,487,929",18.50,19.35,17.55,17.55,-1.90,"30,739"
2025/04/01,"87,638,054","1,596,323,841",17.65,18.90,17.65,17.85,+0.30,"25,304"
2025/04/02,"58,952,851","1,024,786,236",17.85,18.05,16.90,17.30,-0.55,"17,809"
2025/04/07,"807,563","12,597,908",15.60,15.60,15.60,15.60,-1.70,596
2025/04/08,"37,408,778","549,794,693",14.20,15.15,14.20,15.15,-0.45,"11,633"
2025/04/09,"37,100,519","529,624,462",15.10,15.25,13.65,13.65,-1.50,"11,984"
2025/04/10,"10,592,822","158,733,880",15.00,15.00,14.75,15.00,+1.35,"2,877"
2025/04/11,"50,165,606","773,479,354",14.70,16.00,14.35,15.95,+0.95,"13,854"
2025/04/14,"43,807,133","716,866,916",16.05,16.65,15.90,16.20,+0.25,"11,529"
2025/04/15,"25,424,883","416,222,147",16.35,16.50,16.20,16.45,+0.25,"6,965"
2025/04/16,"23,578,478","384,367,744",16.35,16.70,15.85,15.85,-0.60,"6,775"
2025/04/17,"14,082,911","215,548,539",15.65,15.70,15.00,15.15,-0.70,"5,218"
2025/04/18,"20,380,439","308,124,247",15.40,15.55,14.85,15.10,-0.05,"6,512"
2025/04/21,"8,643,909","127,098,735",15.10,15.20,14.40,14.40,-0.70,"3,531"
2025/04/22,"7,086,727","102,745,649",14.00,14.75,14.00,14.40,0.00,"2,736"
2025/04/23,"9,996,247","147,004,938",14.85,14.95,14.50,14.50,+0.10,"3,349"
2025/04/24,"13,292,357","196,775,082",14.70,15.10,14.45,14.90,+0.40,"4,556"
2025/04/25,"11,132,695","167,155,786",15.15,15.40,14.75,14.80,-0.10,"3,965"
