日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,127,827","126,871,999",111.5,113.5,111.5,112.0,0.00,826
2025/01/03,"1,808,687","200,889,762",112.0,113.0,110.5,110.5,-1.50,"1,435"
2025/01/06,"1,862,705","204,824,985",111.5,112.0,109.0,109.0,-1.50,"1,714"
2025/01/07,"3,314,172","371,265,603",111.0,113.0,110.5,112.5,+3.50,"2,286"
2025/01/08,"5,083,240","549,792,274",112.5,113.0,106.5,108.5,-4.00,"4,643"
2025/01/09,"3,206,177","351,650,672",109.0,110.5,108.0,110.5,+2.00,"2,402"
2025/01/10,"1,278,606","140,336,672",110.0,110.5,109.0,110.0,-0.50,937
2025/01/13,"3,150,050","348,626,428",109.5,112.5,109.0,110.0,0.00,"1,975"
2025/01/14,"10,046,073","1,159,752,927",113.0,117.5,113.0,113.5,+3.50,"6,162"
2025/01/15,"3,970,202","451,517,652",113.5,115.5,111.5,113.0,-0.50,"2,734"
2025/01/16,"2,626,893","299,149,666",114.0,115.0,113.0,114.5,+1.50,"1,894"
2025/01/17,"4,796,471","541,702,710",114.5,115.0,111.5,111.5,-3.00,"2,778"
2025/01/20,"2,826,325","312,185,712",111.5,112.5,109.5,110.0,-1.50,"1,738"
2025/01/21,"2,131,092","231,818,541",111.0,111.0,108.0,108.0,-2.00,"1,293"
2025/01/22,"1,946,984","211,572,987",109.5,109.5,108.5,108.5,+0.50,"1,047"
2025/02/03,"3,443,345","374,072,636",106.0,111.0,105.5,109.0,+0.50,"1,895"
2025/02/04,"2,252,829","245,940,363",111.0,111.5,108.0,108.0,-1.00,"1,511"
2025/02/05,"6,999,053","803,305,320",110.5,117.0,109.5,116.0,+8.00,"5,239"
2025/02/06,"1,883,358","216,301,045",115.0,116.5,113.5,115.5,-0.50,"4,616"
2025/02/07,"4,839,186","568,164,205",115.5,119.0,114.0,117.5,+2.00,"5,116"
2025/02/10,"1,460,894","170,118,131",117.5,118.0,115.0,116.0,-1.50,"3,373"
2025/02/11,"2,577,005","301,097,948",117.5,118.0,115.0,117.0,+1.00,"2,633"
2025/02/12,"1,143,537","132,537,952",117.5,118.0,115.0,115.0,-2.00,"1,859"
2025/02/13,"1,312,644","152,146,153",117.0,117.5,115.0,115.5,+0.50,"2,378"
2025/02/14,"1,215,453","139,661,603",116.0,116.0,114.0,114.0,-1.50,"1,648"
2025/02/17,"2,464,886","277,710,223",114.5,115.5,111.5,112.5,-1.50,"2,276"
2025/02/18,"4,358,267","484,205,873",112.0,112.5,110.5,110.5,-2.00,"3,200"
2025/02/19,"4,995,331","550,465,031",112.0,112.0,109.5,110.5,0.00,"3,437"
2025/02/20,"2,405,020","264,340,126",111.5,111.5,109.5,110.5,0.00,"1,829"
2025/02/21,"1,710,203","190,346,308",110.5,112.0,110.0,112.0,+1.50,"1,179"
2025/02/24,"1,316,481","148,178,835",112.5,113.0,111.5,112.5,+0.50,"1,132"
2025/02/25,"2,838,158","321,907,693",112.0,115.0,111.5,112.5,0.00,"2,068"
2025/02/26,"898,656","101,727,925",113.5,113.5,112.5,113.0,+0.50,774
2025/02/27,"5,775,962","671,452,426",113.5,118.0,113.0,116.5,+3.50,"3,938"
2025/03/03,"4,324,620","508,588,431",117.5,119.0,116.5,116.5,0.00,"3,963"
2025/03/04,"4,786,201","571,471,567",116.5,121.5,115.0,120.0,+3.50,"4,082"
2025/03/05,"3,542,974","428,623,750",121.5,122.0,119.5,121.5,+1.50,"6,734"
2025/03/06,"4,764,774","574,465,696",123.5,124.5,118.0,121.0,-0.50,"3,328"
2025/03/07,"3,892,723","471,263,114",120.0,122.5,117.5,122.0,+1.00,"3,290"
2025/03/10,"6,967,388","863,394,441",124.0,127.0,120.0,122.0,0.00,"7,015"
2025/03/11,"5,458,814","661,239,389",121.5,123.0,119.5,121.0,-1.00,"5,537"
2025/03/12,"5,163,891","613,756,469",122.5,122.5,116.0,120.5,-0.50,"5,662"
2025/03/13,"4,062,519","503,356,044",123.5,125.5,122.5,124.0,+3.50,"4,881"
2025/03/14,"11,144,358","1,425,010,654",124.5,130.0,124.0,125.5,+1.50,"8,355"
2025/03/17,"4,377,096","556,459,504",125.0,128.5,123.5,128.5,+3.00,"3,649"
2025/03/18,"6,952,295","913,504,068",129.0,133.0,128.0,133.0,+4.50,"4,856"
2025/03/19,"2,461,061","325,105,610",134.0,134.0,131.0,132.5,-0.50,"2,510"
2025/03/20,"6,861,475","945,572,161",133.0,140.5,133.0,140.0,+7.50,"5,356"
2025/03/21,"4,183,040","584,116,053",139.5,141.5,136.5,141.0,+1.00,"4,376"
2025/03/24,"7,488,406","1,004,445,750",140.5,141.0,131.5,133.0,-8.00,"7,395"
2025/03/25,"3,267,004","441,839,026",135.5,136.5,133.5,136.5,+3.50,"2,701"
2025/03/26,"4,556,040","603,368,706",136.0,136.5,130.5,133.0,-3.50,"3,934"
2025/03/27,"4,196,774","563,592,902",133.0,136.5,131.0,135.5,+2.50,"4,271"
2025/03/28,"2,986,973","402,455,840",135.0,136.5,133.5,134.0,-1.50,"2,185"
2025/03/31,"5,843,067","756,001,940",130.0,133.5,127.0,128.5,-5.50,"3,230"
2025/04/01,"5,568,037","735,204,898",130.5,134.5,129.0,131.0,+2.50,"3,847"
2025/04/02,"4,283,870","565,479,969",131.0,133.5,130.0,131.5,+0.50,"2,852"
2025/04/07,"1,992,816","236,148,649",118.5,118.5,118.5,118.5,-13.00,771
2025/04/08,"14,899,762","1,838,682,496",115.5,130.0,114.0,123.5,+5.00,"9,620"
2025/04/09,"17,880,064","2,114,198,737",122.5,125.5,112.0,114.0,-9.50,"11,950"
2025/04/10,"1,958,116","244,764,500",125.0,125.0,125.0,125.0,+11.00,893
2025/04/11,"8,685,616","1,081,617,777",121.5,129.0,118.5,125.5,+0.50,"8,551"
2025/04/14,"4,630,960","589,690,769",128.0,129.0,125.0,126.0,+0.50,"3,372"
2025/04/15,"12,404,348","1,660,433,891",134.0,137.5,129.5,132.0,+6.00,"11,312"
2025/04/16,"14,476,455","1,938,305,199",134.5,138.5,128.0,128.0,-4.00,"10,753"
2025/04/17,"11,425,796","1,498,699,210",130.0,135.0,128.5,128.5,+0.50,"8,989"
2025/04/18,"5,048,154","654,506,709",131.0,132.5,128.0,128.5,0.00,"3,842"
2025/04/21,"6,338,729","807,468,943",126.5,130.5,123.0,128.0,-0.50,"4,115"
2025/04/22,"4,616,675","584,592,566",126.5,128.5,125.0,127.0,-1.00,"3,335"
2025/04/23,"6,187,615","787,774,553",129.5,130.0,126.0,127.0,0.00,"4,645"
2025/04/24,"10,457,061","1,369,538,407",128.5,133.5,128.5,130.0,+3.00,"6,982"
2025/04/25,"6,582,456","858,731,338",132.5,133.5,128.5,129.0,-1.00,"5,546"
2025/04/28,"3,039,580","393,489,623",130.5,131.5,128.0,129.0,0.00,"2,517"
2025/04/29,"6,219,104","822,579,901",129.0,134.0,128.5,134.0,+5.00,"4,393"
2025/04/30,"3,821,956","506,218,712",135.0,135.0,131.0,131.5,-2.50,"3,007"
2025/05/02,"4,413,686","578,803,544",132.0,133.0,129.0,132.5,+1.00,"3,127"
2025/05/05,"8,461,346","1,044,006,814",132.5,132.5,119.5,121.0,-11.50,"5,521"
2025/05/06,"3,264,392","404,506,637",121.5,125.5,120.5,125.5,+4.50,"2,496"
2025/05/07,"3,622,578","445,685,179",124.5,125.0,121.5,124.0,-1.50,"2,737"
2025/05/08,"3,885,713","484,032,374",126.0,126.0,123.0,126.0,+2.00,"2,854"
2025/05/09,"2,987,403","376,466,738",127.0,127.5,124.0,127.0,+1.00,"2,302"
2025/05/12,"3,768,531","476,690,000",128.5,128.5,124.5,125.0,-2.00,"3,049"
2025/05/13,"5,437,987","701,862,780",127.0,131.0,126.0,130.0,+5.00,"3,651"
2025/05/14,"4,363,771","571,143,865",131.5,132.5,129.5,132.0,+2.00,"3,129"
2025/05/15,"3,379,092","446,246,288",132.5,134.0,130.0,134.0,+2.00,"2,866"
2025/05/16,"3,020,640","396,851,194",134.0,134.0,130.5,131.5,-2.50,"2,678"
2025/05/19,"2,919,591","380,704,699",131.5,132.0,129.5,130.0,-1.50,"2,091"
2025/05/20,"1,718,450","225,220,253",131.5,132.0,129.5,131.5,+1.50,"1,429"
2025/05/21,"4,013,912","541,893,429",132.5,137.0,132.0,136.0,+4.50,"3,855"
2025/05/22,"3,511,171","464,593,406",134.0,135.5,131.0,131.0,-5.00,"2,778"
2025/05/23,"2,131,275","285,303,760",132.0,135.0,131.5,134.5,+3.50,"2,121"
2025/05/26,"1,873,074","252,207,570",134.5,136.0,133.5,134.0,-0.50,"1,524"
2025/05/27,"1,815,469","241,593,893",134.5,135.0,132.0,132.5,-1.50,"2,081"
2025/05/28,"2,113,003","279,354,872",134.5,134.5,130.5,132.5,0.00,"1,840"
2025/05/29,"5,240,568","682,127,362",132.5,133.5,128.5,130.5,-2.00,"3,938"
2025/06/02,"2,460,093","322,227,461",130.0,133.0,128.5,132.0,+1.50,"1,768"
2025/06/03,"4,713,655","620,781,034",131.5,134.0,130.5,132.5,+0.50,"2,799"
2025/06/04,"5,346,483","691,444,338",132.5,134.5,128.0,128.5,-4.00,"4,902"
2025/06/05,"2,938,555","377,759,000",128.5,130.5,127.0,127.5,-1.00,"1,836"
2025/06/06,"7,578,226","931,473,987",126.5,127.0,120.5,122.0,-5.50,"4,944"
2025/06/09,"3,568,899","438,410,638",122.0,124.0,122.0,122.5,+0.50,"2,554"
2025/06/10,"3,767,055","457,748,423",123.5,124.0,121.0,121.0,-1.50,"2,934"
2025/06/11,"2,030,747","246,235,987",122.0,123.5,120.5,121.0,0.00,"1,626"
2025/06/12,"4,280,182","503,763,895",120.5,121.0,116.0,117.0,-4.00,"3,786"
2025/06/13,"2,813,306","324,456,522",116.5,117.5,114.5,114.5,-2.50,"2,412"
2025/06/16,"4,789,019","532,233,107",115.0,115.5,109.5,110.5,-4.00,"4,154"
2025/06/17,"6,208,351","679,170,789",111.0,111.0,107.5,109.5,-1.00,"4,606"
2025/06/18,"6,275,543","682,403,061",110.0,110.0,107.5,107.5,-2.00,"4,267"
2025/06/19,"7,261,468","794,818,382",108.0,111.5,106.5,109.0,+1.50,"4,846"
2025/06/20,"13,273,035","1,321,063,420",103.5,104.0,98.2,99.5,X0.00,"8,185"
2025/06/23,"5,145,023","508,999,923",99.0,100.0,97.9,100.0,+0.50,"3,699"
2025/06/24,"4,849,260","484,336,429",101.5,101.5,98.9,99.7,-0.30,"3,481"
2025/06/25,"2,752,563","273,718,810",100.5,101.0,99.0,99.3,-0.40,"2,442"
2025/06/26,"2,765,363","278,304,959",99.9,101.5,99.5,101.0,+1.70,"2,076"
2025/06/27,"2,677,759","266,209,471",101.0,101.0,99.1,99.1,-1.90,"2,396"
2025/06/30,"2,286,410","225,170,512",99.2,99.6,98.2,98.2,-0.90,"1,800"
2025/07/01,"2,474,828","245,718,643",98.4,99.9,98.4,99.0,+0.80,"1,727"
2025/07/02,"1,626,714","162,867,439",99.4,101.0,98.6,100.0,+1.00,"1,390"
2025/07/03,"2,505,476","249,669,253",100.5,100.5,99.1,99.5,-0.50,"1,977"
2025/07/04,"1,511,572","150,030,615",100.5,100.5,98.9,98.9,-0.60,"1,168"
2025/07/07,"1,452,898","141,447,226",99.0,99.0,96.7,97.4,-1.50,"1,635"
2025/07/08,"4,296,257","405,569,343",96.8,96.9,93.6,93.7,-3.70,"3,652"
2025/07/09,"5,438,419","513,104,955",93.7,95.3,93.1,94.4,+0.70,"3,498"
2025/07/10,"3,819,176","358,350,316",94.2,95.0,92.8,93.8,-0.60,"2,974"
2025/07/11,"2,084,391","196,712,064",93.7,95.1,93.0,95.0,+1.20,"1,402"
2025/07/14,"1,611,136","154,546,314",94.8,96.4,94.8,96.0,+1.00,"1,339"
2025/07/15,"9,275,250","940,272,809",98.7,104.0,98.7,101.0,+5.00,"6,560"
2025/07/16,"3,952,216","398,923,002",101.0,102.5,100.0,100.0,-1.00,"2,680"
2025/07/17,"3,842,855","394,854,978",101.5,103.5,101.5,102.5,+2.50,"2,695"
2025/07/18,"2,786,006","282,047,089",102.5,103.0,100.5,100.5,-2.00,"1,949"
2025/07/21,"2,585,245","263,739,059",101.0,103.5,100.0,101.5,+1.00,"1,534"
2025/07/22,"3,962,450","403,763,207",101.5,103.5,101.0,101.0,-0.50,"2,734"
2025/07/23,"6,653,162","707,351,772",102.0,108.5,101.5,107.0,+6.00,"5,210"
2025/07/24,"4,913,698","528,479,180",107.0,109.5,104.5,108.5,+1.50,"3,798"
2025/07/25,"2,659,552","282,706,465",107.5,108.5,105.5,105.5,-3.00,"2,338"
2025/07/28,"2,199,281","230,527,377",106.0,106.5,103.5,104.5,-1.00,"1,804"
2025/07/29,"4,307,106","452,760,380",104.5,107.0,104.0,104.5,0.00,"2,452"
2025/07/30,"4,476,950","468,428,174",105.0,106.0,103.5,106.0,+1.50,"2,017"
2025/07/31,"2,170,809","229,406,310",106.0,107.0,104.5,105.0,-1.00,"1,511"
2025/08/01,"1,663,116","175,124,857",104.0,107.0,103.0,105.0,0.00,"1,733"
2025/08/04,"1,140,776","119,095,372",103.5,105.5,103.0,104.5,-0.50,905
2025/08/05,"2,923,640","312,655,920",105.0,108.0,105.0,106.5,+2.00,"2,320"
2025/08/06,"1,644,970","173,942,278",107.5,107.5,105.0,105.0,-1.50,"1,321"
2025/08/07,"1,226,126","128,462,843",106.0,106.0,104.0,104.0,-1.00,995
2025/08/08,"2,766,275","286,239,237",104.0,104.5,102.5,104.0,0.00,"2,002"
2025/08/11,"2,008,929","205,495,158",104.0,104.0,101.0,102.0,-2.00,"2,066"
2025/08/12,"2,155,202","220,963,443",102.5,104.0,101.5,102.0,0.00,"1,959"
2025/08/13,"2,234,809","226,489,332",103.0,103.5,100.0,100.0,-2.00,"1,855"
2025/08/14,"2,273,798","229,813,837",100.5,102.0,100.0,101.0,+1.00,"1,759"
2025/08/15,"1,560,888","157,575,725",101.5,102.5,100.0,101.0,0.00,"1,259"
