日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"18,000","438,950",24.3,24.5,24.3,24.5,+0.10,16
2025/01/03,"16,000","392,400",24.55,24.6,24.4,24.6,+0.10,16
2025/01/06,"25,359","623,726",24.6,24.65,24.55,24.6,0.00,26
2025/01/07,"24,671","604,131",24.45,24.6,24.4,24.5,-0.10,31
2025/01/08,"15,158","369,143",24.25,24.6,24.25,24.45,-0.05,14
2025/01/09,"14,555","353,521",24.3,24.45,24.15,24.4,-0.05,26
2025/01/10,"27,516","665,453",24.05,24.4,24.0,24.35,-0.05,33
2025/01/13,"28,163","680,588",24.35,24.35,24.05,24.25,-0.10,36
2025/01/14,"8,607","209,250",24.25,24.35,24.1,24.3,+0.05,21
2025/01/15,"19,472","471,180",24.15,24.45,24.0,24.3,0.00,23
2025/01/16,"32,161","783,589",24.3,24.5,24.15,24.5,+0.20,38
2025/01/17,"40,041","979,851",24.4,24.6,24.35,24.5,0.00,23
2025/01/20,"255,376","6,260,683",24.3,24.8,24.3,24.6,+0.10,55
2025/01/21,"35,482","879,085",24.75,24.9,24.7,24.9,+0.30,33
2025/01/22,"29,050","719,938",24.9,24.9,24.7,24.7,-0.20,26
2025/02/03,"21,166","519,496",24.65,24.7,24.3,24.7,0.00,27
2025/02/04,"14,113","347,101",24.65,24.65,24.5,24.65,-0.05,17
2025/02/05,"20,726","511,741",24.65,24.75,24.65,24.75,+0.10,24
2025/02/06,"76,224","1,877,780",24.7,24.75,24.55,24.75,0.00,39
2025/02/07,"24,387","602,906",24.75,24.75,24.65,24.75,0.00,20
2025/02/10,"17,984","443,782",24.65,24.7,24.65,24.7,-0.05,32
2025/02/11,"48,773","1,209,339",24.75,24.9,24.7,24.9,+0.20,44
2025/02/12,"42,044","1,044,391",24.9,24.95,24.7,24.9,0.00,39
2025/02/13,"35,252","875,225",24.9,24.95,24.7,24.9,0.00,31
2025/02/14,"20,155","502,495",24.9,25.0,24.9,24.95,+0.05,19
2025/02/17,"39,188","975,922",24.95,24.95,24.8,24.95,0.00,97
2025/02/18,"11,033","274,922",24.9,24.95,24.85,24.95,0.00,16
2025/02/19,"32,112","801,949",24.95,25.0,24.95,25.0,+0.05,48
2025/02/20,"39,287","981,174",24.95,25.0,24.9,24.95,-0.05,43
2025/02/21,"252,254","6,320,530",25.0,25.2,24.95,25.1,+0.15,90
2025/02/24,"87,439","2,195,064",25.0,25.2,24.95,25.1,0.00,81
2025/02/25,"47,597","1,193,334",24.9,25.15,24.9,25.05,-0.05,27
2025/02/26,"27,002","676,752",25.05,25.1,25.0,25.05,0.00,18
2025/02/27,"32,351","809,160",25.05,25.1,24.95,25.1,+0.05,30
2025/03/03,"26,245","656,653",25.1,25.1,24.95,25.0,-0.10,28
2025/03/04,"82,070","2,056,015",24.95,25.15,24.9,25.1,+0.10,30
2025/03/05,"26,772","669,180",25.0,25.1,24.9,25.1,0.00,40
2025/03/06,"77,486","1,915,596",24.8,24.8,24.6,24.75,-0.35,63
2025/03/07,"47,200","1,163,327",24.75,24.75,24.55,24.7,-0.05,36
2025/03/10,"8,604","211,749",24.7,24.7,24.6,24.7,0.00,41
2025/03/11,"172,590","4,209,717",24.55,24.65,24.15,24.45,-0.25,108
2025/03/12,"167,484","4,042,718",24.4,24.4,24.1,24.1,-0.35,93
2025/03/13,"23,602","570,221",24.3,24.3,24.05,24.2,+0.10,34
2025/03/14,"62,093","1,499,453",24.05,24.2,24.05,24.2,0.00,37
2025/03/17,"29,835","719,139",24.15,24.15,24.05,24.15,-0.05,40
2025/03/18,"13,951","336,212",24.15,24.15,24.1,24.15,0.00,20
2025/03/19,"50,789","1,217,738",24.15,24.15,23.9,23.95,-0.20,51
2025/03/20,"33,233","796,455",23.95,24.0,23.9,23.95,0.00,26
2025/03/21,"85,044","2,024,854",23.95,23.95,23.7,23.75,-0.20,83
2025/03/24,"51,371","1,215,133",23.75,23.75,23.6,23.7,-0.05,38
2025/03/25,"22,413","529,535",23.7,23.7,23.6,23.6,-0.10,20
2025/03/26,"79,041","1,854,736",23.5,23.6,23.4,23.55,-0.05,40
2025/03/27,"81,512","1,903,428",23.4,23.5,23.3,23.3,-0.25,60
2025/03/28,"38,166","885,539",23.25,23.25,23.15,23.2,-0.10,48
2025/03/31,"95,632","2,161,633",23.05,23.05,22.35,22.7,-0.50,89
2025/04/01,"80,107","1,804,856",22.7,22.7,22.4,22.55,-0.15,58
2025/04/02,"77,780","1,758,095",22.55,22.7,22.55,22.65,+0.10,28
2025/04/07,"341,569","6,985,828",21.5,21.5,20.4,20.4,-2.25,135
2025/04/08,"170,424","3,328,856",20.3,20.3,19.0,20.0,-0.40,119
2025/04/09,"183,739","3,537,435",20.0,20.0,18.15,18.15,-1.85,102
2025/04/10,"71,034","1,402,408",19.1,19.95,19.1,19.95,+1.80,60
2025/04/11,"32,393","622,650",18.4,19.8,18.4,19.8,-0.15,34
2025/04/14,"57,175","1,128,416",19.8,20.0,19.55,19.85,+0.05,48
2025/04/15,"96,001","1,924,369",19.85,20.35,19.85,20.35,+0.50,42
2025/04/16,"41,139","838,968",20.4,20.5,20.35,20.4,+0.05,34
2025/04/17,"10,003","204,963",20.8,20.8,20.4,20.45,+0.05,10
2025/04/18,"41,136","841,277",20.6,20.6,20.2,20.6,+0.15,34
2025/04/21,"85,453","1,758,869",20.2,20.65,20.2,20.6,0.00,42
2025/04/22,"17,248","353,107",20.6,20.6,20.3,20.6,0.00,26
2025/04/23,"37,070","766,235",20.6,20.8,20.35,20.75,+0.15,21
2025/04/24,"18,404","377,812",20.8,20.8,20.35,20.35,-0.40,28
2025/04/25,"34,001","695,270",20.35,20.65,20.35,20.65,+0.30,26
2025/04/28,"102,390","2,107,303",20.5,20.7,20.45,20.65,0.00,38
2025/04/29,"30,341","621,485",20.7,20.7,20.45,20.45,-0.20,27
2025/04/30,"39,060","802,738",20.6,20.7,20.45,20.7,+0.25,22
2025/05/02,"31,538","657,056",20.8,20.95,20.7,20.95,+0.25,35
2025/05/05,"14,435","300,378",21.1,21.1,20.65,20.95,0.00,31
2025/05/06,"6,281","131,435",20.95,20.95,20.8,20.8,-0.15,12
2025/05/07,"20,344","421,224",20.65,20.9,20.65,20.75,-0.05,21
2025/05/08,"8,001","165,821",20.7,20.8,20.6,20.8,+0.05,7
2025/05/09,"21,220","439,782",20.8,20.8,20.7,20.75,-0.05,18
2025/05/12,"28,490","588,691",20.7,20.7,20.55,20.65,-0.10,47
2025/05/13,"44,789","920,825",20.55,20.6,20.5,20.6,-0.05,41
2025/05/14,"12,543","257,989",20.6,20.6,20.5,20.5,-0.10,89
2025/05/15,"75,052","1,546,466",20.5,20.8,20.5,20.75,+0.25,14
2025/05/16,"4,559","95,113",20.75,20.75,20.65,20.75,0.00,15
2025/05/19,"14,247","292,751",20.6,20.65,20.35,20.6,-0.15,18
2025/05/20,"26,080","535,195",20.6,20.6,20.35,20.6,0.00,18
2025/05/21,"72,848","1,502,680",20.5,20.7,20.5,20.7,+0.10,22
2025/05/22,"29,002","594,842",20.6,20.6,20.4,20.6,-0.10,20
2025/05/23,"10,000","205,500",20.6,20.6,20.5,20.6,0.00,8
2025/05/26,"23,001","472,270",20.55,20.6,20.45,20.6,0.00,13
2025/05/27,"16,246","335,141",20.8,20.8,20.4,20.7,+0.10,17
2025/05/28,"68,048","1,402,441",20.45,20.75,20.45,20.75,+0.05,10
2025/05/29,"164,584","3,411,236",20.7,20.8,20.55,20.8,+0.05,49
2025/06/02,"64,122","1,326,291",20.6,20.75,20.55,20.75,-0.05,28
2025/06/03,"44,339","918,676",20.75,20.75,20.55,20.75,0.00,39
2025/06/04,"173,017","3,620,311",20.75,21.2,20.6,21.2,+0.45,83
2025/06/05,"131,850","2,642,094",20.6,20.6,19.55,20.0,X0.00,114
2025/06/06,"25,267","505,821",20.0,20.1,19.85,20.1,+0.10,50
2025/06/09,"64,816","1,271,935",20.05,20.05,19.3,19.7,-0.40,101
2025/06/10,"27,714","544,547",19.6,19.7,19.6,19.65,-0.05,33
2025/06/11,"9,300","182,833",19.65,19.7,19.6,19.7,+0.05,14
2025/06/12,"7,763","152,038",19.55,19.65,19.55,19.65,-0.05,14
2025/06/13,"26,078","514,447",19.6,20.0,19.6,19.9,+0.25,16
2025/06/16,"36,647","721,633",19.8,19.8,19.6,19.8,-0.10,26
2025/06/17,"36,414","712,708",19.6,19.7,19.45,19.7,-0.10,41
2025/06/18,"55,206","1,087,462",19.55,20.0,19.45,20.0,+0.30,33
2025/06/19,"23,889","469,428",19.7,19.7,19.55,19.7,-0.30,26
2025/06/20,"20,016","390,362",19.55,19.6,19.45,19.5,-0.20,18
2025/06/23,"26,057","505,803",19.3,19.5,19.15,19.4,-0.10,21
2025/06/24,"52,041","1,011,370",19.4,19.6,19.4,19.6,+0.20,27
2025/06/25,"18,330","356,903",19.4,19.6,19.35,19.6,0.00,26
2025/06/26,"64,628","1,272,719",19.5,19.8,19.5,19.8,+0.20,42
2025/06/27,"36,351","715,478",19.6,19.75,19.55,19.75,-0.05,32
2025/06/30,"11,437","225,181",19.6,19.75,19.6,19.7,-0.05,12
2025/07/01,"20,308","400,115",19.7,19.7,19.7,19.7,0.00,19
2025/07/02,"10,360","204,464",19.7,19.75,19.7,19.75,+0.05,15
2025/07/03,"37,212","737,564",19.75,19.95,19.65,19.95,+0.20,33
2025/07/04,"40,001","798,619",19.85,20.0,19.85,20.0,+0.05,18
2025/07/07,"14,164","280,995",19.8,19.85,19.8,19.85,-0.15,19
2025/07/08,"20,083","398,437",19.9,19.9,19.7,19.9,+0.05,22
2025/07/09,"76,225","1,501,245",20.0,20.0,19.55,19.7,-0.20,59
2025/07/10,"61,000","1,195,800",19.55,19.8,19.5,19.8,+0.10,29
2025/07/11,"4,055","80,525",19.9,19.9,19.8,19.8,0.00,8
2025/07/14,"37,293","738,011",19.85,19.85,19.7,19.8,0.00,25
2025/07/15,"64,000","1,260,050",19.8,19.8,19.6,19.7,-0.10,24
2025/07/16,"61,153","1,208,523",19.75,19.95,19.7,19.75,+0.05,37
2025/07/17,"29,841","588,011",19.75,19.75,19.65,19.7,-0.05,18
2025/07/18,"6,000","118,450",19.75,19.75,19.7,19.75,+0.05,6
2025/07/21,"22,300","440,000",19.75,19.75,19.7,19.75,0.00,15
2025/07/22,"38,192","753,748",19.75,19.9,19.55,19.9,+0.15,24
2025/07/23,"7,234","143,142",19.7,19.85,19.7,19.8,-0.10,11
2025/07/24,"22,041","436,410",19.7,19.9,19.7,19.9,+0.10,18
2025/07/25,"44,145","872,215",19.9,19.9,19.7,19.7,-0.20,26
