日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"31,817","404,475",12.65,12.75,12.65,12.7,0.00,120
2025/01/03,"32,638","413,347",12.7,12.7,12.6,12.65,-0.05,170
2025/01/06,"46,638","588,958",12.6,12.75,12.6,12.65,0.00,159
2025/01/07,"32,053","405,722",12.65,12.75,12.6,12.6,-0.05,144
2025/01/08,"48,798","614,172",12.6,12.65,12.5,12.55,-0.05,206
2025/01/09,"62,353","773,327",12.55,12.55,12.25,12.25,-0.30,283
2025/01/10,"45,224","556,915",12.3,12.35,12.3,12.3,+0.05,171
2025/01/13,"116,883","1,408,244",12.3,12.3,11.9,12.0,-0.30,438
2025/01/14,"51,383","626,096",12.0,12.4,12.0,12.15,+0.15,205
2025/01/15,"42,752","528,127",12.05,12.65,12.05,12.25,+0.10,106
2025/01/16,"21,032","259,545",12.3,12.4,12.3,12.4,+0.15,105
2025/01/17,"42,159","520,851",12.4,12.4,12.25,12.25,-0.15,191
2025/01/20,"34,586","429,434",12.35,12.45,12.35,12.4,+0.15,117
2025/01/21,"43,929","544,713",12.35,12.45,12.35,12.4,0.00,215
2025/01/22,"18,753","232,759",12.4,12.4,12.35,12.35,-0.05,117
2025/02/03,"29,899","372,769",12.45,12.5,12.4,12.45,+0.10,147
2025/02/04,"44,498","553,952",12.4,12.5,12.4,12.45,0.00,152
2025/02/05,"17,682","221,493",12.5,12.55,12.5,12.5,+0.05,125
2025/02/06,"38,217","479,931",12.5,12.65,12.45,12.6,+0.10,150
2025/02/07,"72,723","919,358",12.6,12.7,12.5,12.55,-0.05,113
2025/02/10,"30,165","379,563",12.55,12.6,12.55,12.6,+0.05,112
2025/02/11,"25,447","319,470",12.6,12.6,12.45,12.55,-0.05,136
2025/02/12,"15,538","195,158",12.6,12.6,12.45,12.5,-0.05,141
2025/02/13,"60,477","758,880",12.5,12.65,12.45,12.65,+0.15,137
2025/02/14,"24,757","312,976",12.65,12.65,12.6,12.6,-0.05,161
2025/02/17,"88,965","1,130,695",12.7,12.75,12.65,12.7,+0.10,220
2025/02/18,"56,969","729,899",12.85,12.9,12.75,12.75,+0.05,154
2025/02/19,"35,220","448,995",12.8,12.8,12.7,12.75,0.00,171
2025/02/20,"35,706","459,524",12.9,12.95,12.85,12.85,+0.10,195
2025/02/21,"29,628","380,748",12.85,12.9,12.8,12.85,0.00,185
2025/02/24,"50,512","654,499",12.85,13.0,12.85,12.95,+0.10,103
2025/02/25,"44,727","577,521",12.95,12.95,12.8,12.9,-0.05,162
2025/02/26,"17,717","228,743",12.9,12.9,12.85,12.85,-0.05,102
2025/02/27,"26,528","340,368",12.85,12.85,12.75,12.75,-0.10,183
2025/04/01,"36,962","446,188",11.8,12.25,11.8,12.25,+0.15,108
2025/04/02,"34,909","428,707",12.25,12.35,12.2,12.25,0.00,104
2025/04/07,"171,599","1,905,667",11.05,11.15,11.05,11.15,-1.10,578
2025/04/08,"191,342","2,058,498",10.65,11.15,10.55,10.8,-0.35,499
2025/04/09,"165,045","1,777,494",10.7,11.35,10.4,10.75,-0.05,418
2025/04/10,"186,745","2,121,061",11.15,11.5,11.05,11.35,+0.60,458
2025/04/11,"53,553","599,072",11.3,11.35,10.9,11.25,-0.10,181
2025/04/14,"97,090","1,090,204",11.0,11.35,10.9,11.3,+0.05,274
2025/04/15,"45,950","524,107",11.1,11.5,11.1,11.45,+0.15,122
2025/04/16,"70,391","796,255",11.45,11.45,11.15,11.4,-0.05,250
2025/04/17,"63,445","717,702",11.35,11.5,11.25,11.25,-0.15,220
2025/04/18,"22,407","251,952",11.2,11.3,11.2,11.2,-0.05,146
2025/04/21,"60,805","674,581",11.3,11.3,11.0,11.0,-0.20,221
2025/04/22,"32,137","355,359",11.15,11.15,10.95,10.95,-0.05,192
2025/04/23,"46,631","513,740",11.0,11.05,10.95,10.95,0.00,136
2025/04/24,"33,301","369,901",11.1,11.1,11.05,11.1,+0.15,134
2025/04/25,"31,069","349,211",11.25,11.25,11.15,11.2,+0.10,167
2025/04/28,"38,891","439,063",11.25,11.35,11.2,11.3,+0.10,149
2025/04/29,"33,542","383,737",11.4,11.5,11.4,11.4,+0.10,144
2025/04/30,"29,366","336,939",11.45,11.45,11.4,11.4,0.00,134
2025/05/02,"32,416","376,854",11.6,11.85,11.55,11.55,+0.15,140
2025/05/05,"46,509","539,671",11.95,11.95,11.45,11.5,-0.05,231
2025/05/06,"4,648","54,415",11.75,11.75,11.65,11.65,+0.15,41
2025/05/07,"20,254","236,679",11.65,11.7,11.65,11.7,+0.05,111
2025/05/08,"43,237","500,770",11.65,11.65,11.55,11.55,-0.15,171
2025/05/09,"20,231","233,815",11.6,11.6,11.5,11.5,-0.05,140
2025/05/12,"52,178","599,303",11.5,11.65,11.4,11.5,0.00,160
2025/05/13,"35,388","408,470",11.55,11.6,11.5,11.5,0.00,131
2025/05/14,"66,144","760,438",11.5,11.55,11.45,11.45,-0.05,220
2025/05/15,"19,880","228,574",11.5,11.5,11.45,11.45,0.00,108
2025/05/16,"20,010","230,015",11.5,11.5,11.45,11.45,0.00,149
2025/05/19,"192,857","2,209,330",11.45,11.55,11.3,11.55,+0.10,696
2025/05/20,"26,514","308,692",11.6,11.65,11.6,11.65,+0.10,105
2025/05/21,"20,989","246,827",11.75,11.85,11.65,11.7,+0.05,100
2025/05/22,"16,270","189,587",11.65,11.7,11.6,11.6,-0.10,91
2025/05/23,"49,786","577,669",11.6,11.65,11.55,11.55,-0.05,138
2025/05/26,"14,522","168,495",11.55,11.65,11.55,11.65,+0.10,89
2025/05/27,"56,478","651,142",11.55,11.6,11.45,11.45,-0.20,180
2025/05/28,"21,941","252,659",11.45,11.55,11.45,11.5,+0.05,126
2025/05/29,"39,005","449,824",11.5,11.55,11.45,11.5,0.00,110
2025/06/02,"73,258","822,082",11.4,11.4,11.0,11.2,-0.30,207
2025/06/03,"8,345","93,689",11.15,11.25,11.15,11.25,+0.05,61
2025/06/04,"5,256","59,727",11.35,11.35,11.3,11.3,+0.05,37
