日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"483,998","3,114,933",6.53,6.54,6.37,6.38,-0.18,500
2025/01/03,"233,899","1,476,264",6.43,6.45,6.26,6.26,-0.12,323
2025/01/06,"1,068,304","6,556,840",6.26,6.27,6.04,6.16,-0.1,"1,095"
2025/01/07,"318,819","1,976,329",6.19,6.24,6.17,6.18,0.02,285
2025/01/08,"216,625","1,338,096",6.18,6.21,6.14,6.17,-0.01,182
2025/01/09,"196,596","1,208,855",6.17,6.21,6.09,6.09,-0.08,271
2025/01/10,"254,471","1,538,562",6.1,6.1,6.0,6.01,-0.08,424
2025/01/13,"283,558","1,690,019",6.0,6.0,5.92,5.99,-0.02,494
2025/01/14,"212,424","1,279,968",5.98,6.07,5.98,6.05,0.06,197
2025/01/15,"202,344","1,239,911",6.04,6.25,6.03,6.12,0.07,260
2025/01/16,"130,262","800,471",6.18,6.18,6.13,6.15,0.03,170
2025/01/17,"224,843","1,391,825",6.25,6.25,6.14,6.18,0.03,152
2025/01/20,"117,490","721,506",6.15,6.16,6.12,6.13,-0.05,242
2025/01/21,"126,186","772,686",6.14,6.16,6.1,6.11,-0.02,172
2025/01/22,"178,283","1,095,684",6.13,6.17,6.12,6.13,0.02,164
2025/02/03,"312,044","1,883,218",6.13,6.14,6.0,6.05,-0.08,329
2025/02/04,"161,176","985,881",6.14,6.14,6.07,6.09,0.04,198
2025/02/05,"220,118","1,368,063",6.24,6.27,6.14,6.21,0.12,192
2025/02/06,"295,831","1,836,495",6.25,6.3,6.14,6.21,0.0,296
2025/02/07,"234,621","1,449,236",6.2,6.22,6.15,6.16,-0.05,247
2025/02/10,"243,139","1,483,275",6.16,6.16,6.07,6.11,-0.05,343
2025/02/11,"124,805","769,075",6.11,6.19,6.11,6.19,0.08,193
2025/02/12,"170,880","1,050,977",6.19,6.19,6.12,6.13,-0.06,283
2025/02/13,"2,035,897","13,464,499",6.15,6.74,6.14,6.74,0.61,"1,222"
2025/02/14,"2,132,563","14,434,447",6.8,7.03,6.63,6.63,-0.11,"1,141"
2025/02/17,"502,319","3,371,812",6.64,6.85,6.64,6.65,0.02,528
2025/02/18,"440,917","2,916,028",6.66,6.7,6.58,6.61,-0.04,348
2025/02/19,"430,145","2,851,301",6.61,6.83,6.56,6.56,-0.05,400
2025/02/20,"362,863","2,417,088",6.57,6.75,6.57,6.65,0.09,361
2025/02/21,"308,074","2,070,674",6.65,6.8,6.65,6.73,0.08,286
2025/02/24,"361,770","2,452,841",6.65,6.94,6.65,6.75,0.02,375
2025/02/25,"421,630","2,862,730",6.67,6.87,6.67,6.77,0.02,348
2025/02/26,"231,082","1,566,660",6.81,6.86,6.72,6.72,-0.05,346
2025/02/27,"220,377","1,487,097",6.78,6.81,6.68,6.77,0.05,315
2025/03/03,"254,868","1,712,198",6.72,6.78,6.65,6.76,-0.01,328
2025/03/04,"280,696","1,887,659",6.76,6.81,6.67,6.78,0.02,329
2025/03/05,"577,089","3,926,928",6.77,6.94,6.74,6.88,0.1,440
2025/03/06,"376,866","2,582,974",6.89,6.97,6.79,6.8,-0.08,338
2025/03/07,"283,642","1,924,278",6.8,6.83,6.73,6.8,0.0,270
2025/03/10,"279,596","1,889,797",6.8,6.8,6.7,6.7,-0.1,347
2025/03/11,"914,767","5,997,951",6.6,6.75,6.32,6.62,-0.08,903
2025/03/12,"196,285","1,302,796",6.69,6.72,6.57,6.61,-0.01,306
2025/03/13,"168,159","1,108,703",6.7,6.74,6.51,6.51,-0.1,310
2025/03/14,"169,421","1,102,252",6.59,6.59,6.43,6.49,-0.02,286
2025/03/17,"339,055","2,230,403",6.5,6.65,6.5,6.6,0.11,395
