日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"61,146","1,675,665",27.25,27.6,27.2,27.35,+0.20,59
2025/01/03,"45,189","1,241,021",27.35,27.55,27.35,27.5,+0.15,58
2025/01/06,"89,171","2,460,655",27.4,27.85,27.4,27.7,+0.20,92
2025/01/07,"76,092","2,104,600",27.65,28.0,27.5,27.6,-0.10,82
2025/01/08,"64,130","1,755,256",27.3,27.5,27.3,27.35,-0.25,60
2025/01/09,"63,044","1,711,763",27.45,27.45,27.05,27.3,-0.05,68
2025/01/10,"101,217","2,769,137",27.3,27.95,27.0,27.45,+0.15,112
2025/01/13,"157,401","4,280,146",27.45,27.8,26.85,26.9,-0.55,155
2025/01/14,"72,098","1,959,985",26.9,27.5,26.9,27.35,+0.45,116
2025/01/15,"40,161","1,097,538",27.2,27.5,27.2,27.3,-0.05,103
2025/01/16,"125,405","3,447,363",27.75,27.75,27.3,27.45,+0.15,83
2025/01/17,"24,665","676,436",27.4,27.5,27.3,27.4,-0.05,79
2025/01/20,"51,816","1,426,534",27.4,27.7,27.4,27.6,+0.20,96
2025/01/21,"28,911","799,029",27.9,27.9,27.45,27.5,-0.10,103
2025/01/22,"22,218","614,446",27.55,27.8,27.5,27.65,+0.15,72
2025/02/03,"158,447","4,517,775",28.5,28.7,28.2,28.55,+0.90,232
2025/02/04,"34,811","1,002,161",28.6,29.0,28.6,28.75,+0.20,150
2025/02/05,"46,294","1,333,197",28.75,29.0,28.6,28.95,+0.20,161
2025/02/06,"33,309","961,846",28.85,29.0,28.75,29.0,+0.05,135
2025/02/07,"21,577","626,982",29.05,29.2,29.0,29.15,+0.15,131
2025/02/10,"52,499","1,535,238",29.3,29.35,29.15,29.15,0.00,192
2025/02/11,"111,312","3,230,397",29.15,29.2,28.85,29.05,-0.10,171
2025/02/12,"214,405","6,135,964",29.0,29.3,28.0,29.0,-0.05,315
2025/02/13,"117,038","3,374,912",29.2,29.25,28.3,29.0,0.00,276
2025/02/14,"247,856","7,079,947",29.1,29.15,28.2,28.7,-0.30,330
2025/02/17,"143,858","4,191,613",28.75,29.35,28.6,29.15,+0.45,327
2025/02/18,"40,081","1,170,398",29.3,29.3,29.1,29.2,+0.05,217
2025/02/19,"282,206","8,332,270",29.1,30.4,29.1,29.25,+0.05,739
2025/02/20,"55,583","1,620,510",29.25,29.25,29.05,29.15,-0.10,413
2025/02/21,"82,377","2,403,373",29.15,29.2,29.05,29.2,+0.05,274
2025/02/24,"61,635","1,813,888",29.0,30.0,28.9,29.4,+0.20,366
2025/02/25,"98,583","2,909,520",29.4,29.65,29.4,29.45,+0.05,309
2025/02/26,"94,580","2,787,467",29.55,29.65,29.3,29.6,+0.15,259
2025/02/27,"236,009","7,111,269",29.7,30.55,29.7,30.0,+0.40,384
2025/03/03,"81,684","2,447,132",29.9,30.15,29.7,30.15,+0.15,297
2025/03/04,"112,894","3,384,533",29.8,30.15,29.8,30.1,-0.05,256
2025/03/05,"199,806","5,925,197",30.15,30.15,29.2,29.9,-0.20,364
2025/03/06,"40,343","1,206,671",29.9,30.1,29.75,30.0,+0.10,208
2025/03/07,"24,144","720,622",29.8,29.9,29.8,29.9,-0.10,153
2025/03/10,"44,925","1,347,280",29.85,30.15,29.75,30.15,+0.25,258
2025/03/11,"79,367","2,375,074",29.5,30.15,29.5,30.15,0.00,245
2025/03/12,"39,368","1,181,724",30.15,30.15,29.9,30.1,-0.05,159
2025/03/13,"71,200","2,129,239",29.85,30.1,29.7,30.1,0.00,198
2025/03/14,"88,942","2,671,325",29.75,30.15,29.7,30.15,+0.05,181
2025/03/17,"208,867","6,302,378",30.05,30.4,29.7,30.4,+0.25,522
2025/03/18,"221,037","6,728,926",30.15,30.65,30.0,30.65,+0.25,365
2025/03/19,"213,438","6,504,982",30.65,30.7,30.05,30.5,-0.15,474
2025/03/20,"31,473","955,580",30.25,30.5,30.25,30.4,-0.10,466
