日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"36,184","1,979,883",55.1,55.1,54.4,54.7,0.00,48
2025/01/03,"39,470","2,152,076",54.5,55.0,54.1,55.0,+0.30,55
2025/01/06,"31,845","1,741,769",55.1,55.1,54.4,54.5,-0.50,52
2025/01/07,"38,898","2,107,604",54.5,54.8,53.8,53.8,-0.70,87
2025/01/08,"58,223","3,158,097",54.2,54.8,53.8,54.8,+1.00,62
2025/01/09,"26,308","1,428,814",54.4,54.7,54.0,54.0,-0.80,45
2025/01/10,"47,419","2,559,966",54.0,54.5,53.5,54.1,+0.10,48
2025/01/13,"60,316","3,245,464",54.3,54.3,53.5,54.0,-0.10,70
2025/01/14,"29,246","1,593,017",54.0,54.8,53.9,54.6,+0.60,35
2025/01/15,"35,080","1,922,674",54.3,55.4,54.3,54.9,+0.30,36
2025/01/16,"72,465","4,032,714",55.1,55.9,55.1,55.8,+0.90,80
2025/01/17,"39,281","2,172,514",55.5,55.8,55.0,55.2,-0.60,79
2025/01/20,"17,115","942,847",55.2,55.2,54.8,55.2,0.00,24
2025/01/21,"14,148","783,736",55.4,55.6,55.1,55.3,+0.10,24
2025/01/22,"23,294","1,296,303",55.7,55.9,55.4,55.8,+0.50,32
2025/02/03,"49,080","2,742,814",56.0,56.3,55.5,55.5,-0.30,40
2025/02/04,"34,040","1,900,640",55.8,56.0,55.5,56.0,+0.50,29
2025/02/05,"70,750","3,994,810",56.0,56.8,56.0,56.7,+0.70,90
2025/02/06,"138,269","7,823,931",56.8,57.1,56.0,57.0,+0.30,116
2025/02/07,"33,782","1,932,361",57.0,57.5,57.0,57.0,0.00,83
2025/02/10,"38,430","2,193,179",56.9,57.5,56.1,57.2,+0.20,52
2025/02/11,"26,142","1,481,662",56.6,57.0,56.4,56.5,-0.70,35
2025/02/12,"18,240","1,035,756",56.6,57.0,56.5,56.8,+0.30,21
2025/02/13,"31,451","1,786,876",56.7,57.0,56.7,56.8,0.00,39
2025/02/14,"24,181","1,362,702",56.7,56.7,56.1,56.1,-0.70,83
2025/02/17,"73,902","4,210,616",56.4,57.4,56.3,57.1,+1.00,65
2025/02/18,"97,540","5,598,594",57.5,57.6,57.0,57.5,+0.40,96
2025/02/19,"185,223","10,799,901",57.6,59.0,57.6,58.4,+0.90,204
2025/02/20,"91,377","5,357,488",58.6,59.0,58.4,58.8,+0.40,173
2025/02/21,"100,358","5,942,190",58.9,59.5,58.9,59.5,+0.70,123
2025/02/24,"42,577","2,535,195",59.5,59.7,59.4,59.6,+0.10,58
2025/02/25,"83,848","4,921,360",59.6,59.6,58.3,58.4,-1.20,204
2025/02/26,"68,295","3,983,289",58.3,58.5,58.1,58.5,+0.10,169
2025/02/27,"64,929","3,751,043",58.3,58.3,57.4,57.7,-0.80,154
2025/03/03,"42,529","2,445,517",57.5,58.1,57.1,57.5,-0.20,74
2025/03/04,"38,827","2,233,413",57.3,57.8,56.9,57.7,+0.20,99
2025/03/05,"31,350","1,813,236",57.6,58.2,57.5,57.8,+0.10,68
2025/03/06,"5,015","289,270",57.7,57.8,57.5,57.8,0.00,6
2025/03/07,"14,169","818,415",57.8,58.0,57.4,58.0,+0.20,21
2025/03/10,"53,564","3,108,789",57.7,58.3,57.6,58.3,+0.30,69
2025/03/11,"52,341","2,991,737",57.3,58.0,56.4,57.4,-0.90,70
2025/03/12,"17,264","994,951",57.5,57.9,57.3,57.5,+0.10,24
2025/03/13,"30,514","1,754,347",57.4,57.8,57.2,57.4,-0.10,41
2025/03/14,"20,055","1,152,169",57.3,57.8,56.9,57.8,+0.40,38
2025/03/17,"43,226","2,506,692",57.8,58.4,57.5,58.0,+0.20,68
2025/03/18,"25,221","1,467,890",58.6,58.6,58.0,58.1,+0.10,31
2025/03/19,"75,529","4,435,314",58.4,59.0,58.1,58.8,+0.70,91
2025/03/20,"58,637","3,468,733",58.8,59.4,58.7,59.3,+0.50,82
2025/03/21,"123,521","7,322,292",59.3,59.7,59.0,59.4,+0.10,99
2025/03/24,"21,234","1,245,510",59.1,59.1,58.5,58.5,-0.90,31
2025/03/25,"23,629","1,383,965",58.8,58.8,58.3,58.3,-0.20,31
2025/03/26,"34,339","1,992,471",58.3,58.4,57.5,58.4,+0.10,59
2025/03/27,"23,339","1,347,663",57.8,58.1,57.6,57.7,-0.70,35
2025/03/28,"32,113","1,821,309",57.5,57.5,56.2,56.5,-1.20,89
2025/03/31,"72,864","3,969,735",55.9,55.9,54.0,54.6,-1.90,142
2025/04/01,"17,182","946,051",54.7,55.6,54.7,54.9,+0.30,20
2025/04/02,"33,568","1,843,912",54.8,56.1,54.3,56.1,+1.20,73
2025/04/07,"7,034","355,199",50.5,50.5,50.5,50.5,-5.60,105
2025/04/08,"341,248","15,567,668",45.45,46.75,45.45,45.55,-4.95,316
2025/04/09,"132,091","5,517,663",45.2,45.2,41.0,41.0,-4.55,177
2025/04/10,"133,843","6,030,037",45.1,45.1,43.3,45.1,+4.10,87
2025/04/11,"108,304","4,922,969",43.0,47.0,43.0,46.7,+1.60,116
2025/04/14,"104,828","5,073,475",47.05,49.85,46.7,47.3,+0.60,113
2025/04/15,"170,289","8,559,575",48.6,51.8,48.6,51.5,+4.20,176
2025/04/16,"134,630","7,076,553",52.8,54.0,51.2,52.2,+0.70,141
2025/04/17,"23,467","1,216,822",52.8,52.8,51.2,51.6,-0.60,31
2025/04/18,"18,263","941,244",51.5,52.1,51.1,51.1,-0.50,27
2025/04/21,"26,181","1,300,390",50.8,50.8,49.15,49.45,-1.65,31
2025/04/22,"22,448","1,098,199",49.15,49.25,48.55,49.1,-0.35,43
2025/04/23,"42,338","2,142,315",49.6,51.2,49.6,51.2,+2.10,38
2025/04/24,"71,710","3,763,346",52.6,53.8,51.5,52.0,+0.80,109
