日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/02/03,"48,628","544,260",11.20,11.25,11.10,11.25,+0.05,33
2025/02/04,"43,156","483,189",11.25,11.30,11.10,11.20,-0.05,16
2025/02/05,"37,199","414,138",11.15,11.20,11.05,11.20,0.00,26
2025/02/06,"4,000","44,450",11.10,11.15,11.10,11.10,-0.10,3
2025/02/07,"45,717","508,158",11.20,11.20,11.10,11.15,+0.05,21
2025/02/10,"38,939","427,923",10.75,11.10,10.75,11.10,-0.05,38
2025/02/11,"41,061","448,567",10.80,11.05,10.80,11.05,-0.05,20
2025/02/12,"25,657","281,403",10.90,11.10,10.90,11.10,+0.05,17
2025/02/13,"138,459","1,542,293",11.15,11.15,11.05,11.15,+0.05,28
2025/02/14,"19,144","211,448",11.15,11.20,11.00,11.20,+0.05,14
2025/02/17,"55,280","617,830",11.15,11.25,11.10,11.25,+0.05,28
2025/02/18,"7,814","87,513",11.25,11.25,11.15,11.15,-0.10,16
2025/02/19,"69,047","767,221",11.10,11.20,11.10,11.20,+0.05,16
2025/02/20,"221,079","2,522,636",11.20,11.65,11.20,11.45,+0.25,136
2025/02/21,"335,651","3,932,163",11.40,11.95,11.40,11.75,+0.30,124
2025/02/24,"127,560","1,503,180",11.70,11.85,11.65,11.85,+0.10,66
2025/02/25,"253,847","3,010,114",11.85,11.90,11.80,11.85,0.00,80
2025/02/26,"99,016","1,176,337",12.15,12.15,11.80,11.85,0.00,45
2025/02/27,"713,343","8,653,951",12.00,12.40,11.85,12.05,+0.20,253
2025/03/03,"208,909","2,534,215",12.30,12.30,12.00,12.00,-0.05,132
2025/03/04,"281,482","3,281,604",12.05,12.05,11.25,11.85,-0.15,140
2025/03/05,"92,000","1,084,950",11.55,11.90,11.55,11.85,0.00,19
2025/03/06,"95,733","1,131,604",12.10,12.10,11.65,11.70,-0.15,38
2025/03/07,"62,600","733,209",11.80,11.80,11.70,11.70,0.00,25
2025/03/10,"36,014","425,262",11.75,11.90,11.75,11.75,+0.05,17
