日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"572,844","14,220,774",24.7,25.1,24.65,24.85,+0.15,532
2025/01/03,"425,050","10,560,536",24.95,25.2,24.65,24.85,0.00,410
2025/01/06,"857,365","20,755,888",24.9,24.9,23.9,24.2,-0.65,630
2025/01/07,"585,753","14,087,697",24.3,24.4,23.8,24.25,+0.05,382
2025/01/08,"628,057","15,299,602",24.35,24.65,24.2,24.6,+0.35,462
2025/01/09,"371,885","9,142,909",24.6,24.85,24.35,24.35,-0.25,303
2025/01/10,"964,722","23,388,402",24.4,24.75,23.95,24.75,+0.40,613
2025/01/13,"1,027,124","24,506,395",24.5,24.7,23.2,23.6,-1.15,691
2025/01/14,"558,377","13,309,223",23.85,24.2,23.5,24.2,+0.60,460
2025/01/15,"680,801","16,655,587",24.2,24.7,24.05,24.7,+0.50,504
2025/01/16,"487,743","11,944,885",24.75,24.8,24.3,24.4,-0.30,394
2025/01/17,"993,031","24,600,844",24.45,25.2,24.4,24.9,+0.50,766
2025/01/20,"720,943","17,643,242",25.35,25.35,24.2,24.5,-0.40,548
2025/01/21,"319,219","7,775,186",24.55,24.65,24.1,24.35,-0.15,267
2025/01/22,"315,355","7,653,231",24.5,24.6,24.1,24.35,0.00,274
2025/02/03,"451,752","11,116,074",24.2,25.05,24.0,24.9,+0.55,370
2025/02/04,"574,790","14,603,020",25.3,25.7,24.95,25.6,+0.70,425
2025/02/05,"489,852","12,516,241",25.7,25.8,25.2,25.8,+0.20,379
2025/02/06,"358,159","9,206,670",25.8,25.95,25.5,25.8,0.00,265
2025/02/07,"279,633","7,150,103",25.8,25.85,25.45,25.6,-0.20,267
2025/02/10,"654,779","16,343,718",25.95,25.95,24.4,24.6,-1.00,628
2025/02/11,"413,220","10,146,601",24.7,24.85,24.3,24.75,+0.15,312
2025/02/12,"357,097","8,667,001",24.8,24.9,24.0,24.25,-0.50,266
2025/02/13,"601,272","14,624,086",24.45,24.55,24.15,24.55,+0.30,475
2025/02/14,"268,370","6,552,260",24.55,24.7,24.25,24.5,-0.05,282
2025/02/17,"525,345","12,826,492",24.55,24.65,24.3,24.6,+0.10,463
2025/02/18,"389,879","9,523,680",24.65,24.65,24.3,24.55,-0.05,368
2025/02/19,"926,925","22,185,897",24.55,24.65,23.25,23.6,-0.95,797
2025/02/20,"358,803","8,461,801",23.85,23.85,23.4,23.7,+0.10,522
2025/02/21,"623,699","14,635,526",23.7,23.7,23.35,23.35,-0.35,543
2025/02/24,"489,378","11,465,620",23.35,23.65,23.2,23.6,+0.25,405
2025/02/25,"310,547","7,263,918",23.5,23.65,23.25,23.3,-0.30,297
2025/02/26,"982,764","22,405,566",23.3,23.4,22.5,22.95,-0.35,787
2025/02/27,"1,126,742","25,679,058",23.05,23.1,22.65,22.85,-0.10,688
2025/03/03,"739,419","16,537,059",22.6,22.75,22.1,22.5,-0.35,540
2025/03/04,"467,070","10,453,185",22.5,22.7,22.1,22.55,+0.05,401
2025/03/05,"600,723","13,526,793",22.55,22.95,22.25,22.85,+0.30,486
2025/03/06,"641,317","14,556,118",22.7,23.05,22.5,22.8,-0.05,533
2025/03/07,"366,101","8,267,819",22.8,22.8,22.4,22.6,-0.20,312
2025/03/10,"220,655","4,986,339",22.65,22.8,22.45,22.6,0.00,276
2025/03/11,"497,156","10,966,127",22.35,22.45,21.8,22.15,-0.45,400
2025/03/12,"654,087","14,228,208",22.35,22.35,21.5,21.55,-0.60,524
2025/03/13,"722,709","15,464,079",21.6,21.75,21.1,21.1,-0.45,631
2025/03/14,"1,068,855","22,442,534",21.2,21.35,20.8,21.3,+0.20,736
2025/03/17,"343,124","7,274,265",21.2,21.4,21.05,21.25,-0.05,456
2025/03/18,"199,119","4,231,900",21.25,21.4,21.15,21.3,+0.05,265
2025/03/19,"288,028","6,112,046",21.25,21.4,21.05,21.35,+0.05,303
2025/03/20,"345,649","7,323,645",21.45,21.45,21.05,21.3,-0.05,290
2025/03/21,"796,175","16,819,191",21.25,21.4,21.05,21.2,-0.10,436
2025/03/24,"791,450","16,923,569",21.2,21.85,21.1,21.7,+0.50,552
2025/03/25,"420,523","9,104,226",21.95,22.15,21.5,21.7,0.00,451
2025/03/26,"190,065","4,117,337",21.75,21.8,21.45,21.75,+0.05,222
2025/03/27,"499,880","10,895,521",21.75,22.1,21.6,22.1,+0.35,415
2025/03/28,"401,150","8,818,001",22.15,22.2,21.8,22.05,-0.05,355
