日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"398,480","5,070,115",12.95,12.95,12.65,12.7,-0.25,230
2025/01/03,"333,957","4,217,479",12.8,12.8,12.55,12.7,0.00,190
2025/01/06,"425,714","5,385,276",12.6,12.8,12.55,12.6,-0.10,271
2025/01/07,"599,420","7,454,255",12.65,12.75,12.15,12.35,-0.25,359
2025/01/08,"493,219","6,046,615",12.4,12.45,12.0,12.3,-0.05,298
2025/01/09,"394,572","4,835,899",12.3,12.45,12.1,12.25,-0.05,242
2025/01/10,"687,401","8,509,027",12.3,12.8,12.05,12.2,-0.05,369
2025/01/13,"690,336","8,293,575",12.3,12.3,11.8,12.0,-0.20,370
2025/01/14,"296,825","3,607,573",12.05,12.4,12.0,12.15,+0.15,228
2025/01/15,"88,422","1,076,310",12.2,12.25,12.1,12.15,0.00,116
2025/01/16,"161,413","1,971,050",12.2,12.3,12.15,12.2,+0.05,155
2025/01/17,"90,487","1,104,276",12.2,12.25,12.15,12.2,0.00,107
2025/01/20,"295,168","3,620,286",12.3,12.35,12.2,12.3,+0.10,163
2025/01/21,"132,116","1,622,015",12.3,12.35,12.25,12.25,-0.05,68
2025/01/22,"101,457","1,245,167",12.3,12.35,12.25,12.35,+0.10,79
2025/02/03,"124,746","1,532,883",12.3,12.4,12.1,12.35,0.00,137
2025/02/04,"338,919","4,228,454",12.35,12.6,12.3,12.6,+0.25,222
2025/02/05,"480,490","6,093,454",12.65,12.8,12.6,12.7,+0.10,266
2025/02/06,"250,390","3,180,153",12.7,12.75,12.6,12.7,0.00,143
2025/02/07,"464,261","5,957,752",12.75,12.9,12.7,12.85,+0.15,258
2025/02/10,"181,216","2,324,781",12.85,12.9,12.75,12.85,0.00,141
2025/02/11,"244,520","3,098,486",12.85,12.85,12.6,12.6,-0.25,177
2025/02/12,"277,261","3,508,955",12.6,12.8,12.5,12.5,-0.10,162
2025/02/13,"256,902","3,247,019",12.55,12.7,12.55,12.6,+0.10,159
2025/02/14,"173,756","2,201,014",12.65,12.75,12.6,12.7,+0.10,122
2025/02/17,"291,145","3,689,541",12.7,12.75,12.65,12.7,0.00,226
2025/02/18,"140,839","1,791,607",12.65,12.8,12.65,12.75,+0.05,133
2025/02/19,"155,419","1,974,816",12.8,12.8,12.65,12.7,-0.05,160
2025/02/20,"111,345","1,408,799",12.7,12.7,12.6,12.65,-0.05,116
2025/02/21,"346,350","4,409,827",12.65,12.85,12.6,12.8,+0.15,210
