日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"204,287","1,971,465",9.7,9.7,9.6,9.66,-0.11,798
2025/01/03,"204,568","1,954,138",9.64,9.64,9.5,9.51,-0.15,551
2025/01/06,"283,213","2,691,861",9.5,9.55,9.47,9.55,0.04,252
2025/01/07,"120,428","1,138,989",9.5,9.5,9.4,9.48,-0.07,393
2025/01/08,"202,319","1,899,862",9.47,9.48,9.35,9.48,0.0,225
2025/01/09,"314,947","2,953,925",9.49,9.49,9.3,9.36,-0.12,249
2025/01/10,"465,927","4,194,343",9.29,9.35,8.84,8.84,-0.52,848
2025/01/13,"362,492","3,096,915",8.84,8.84,8.4,8.51,-0.33,693
2025/01/14,"202,319","1,737,634",8.54,8.66,8.51,8.64,0.13,255
2025/01/15,"225,247","1,954,077",8.64,8.79,8.6,8.68,0.04,229
2025/01/16,"115,430","1,003,847",8.79,8.79,8.66,8.74,0.06,199
2025/01/17,"83,854","732,230",8.76,8.76,8.71,8.75,0.01,145
2025/01/20,"64,115","562,002",8.8,8.83,8.7,8.8,0.05,154
2025/01/21,"127,655","1,122,551",8.77,8.83,8.77,8.81,0.01,118
2025/01/22,"117,349","1,044,221",8.81,8.98,8.81,8.92,0.11,156
2025/02/03,"114,395","1,008,868",8.92,8.92,8.75,8.75,-0.17,333
2025/02/04,"72,028","638,058",8.78,8.95,8.78,8.85,0.1,170
2025/02/05,"38,410","343,207",8.9,8.96,8.9,8.93,0.08,83
2025/02/06,"78,691","706,597",9.0,9.18,8.91,9.02,0.09,128
2025/02/07,"52,461","473,559",9.01,9.06,8.99,9.05,0.03,102
2025/02/10,"92,001","828,069",9.05,9.06,8.95,8.99,-0.06,261
2025/02/11,"57,081","513,916",9.07,9.07,8.95,8.99,0.0,126
2025/02/12,"72,209","645,515",8.92,8.99,8.91,8.91,-0.08,343
2025/02/13,"228,972","2,097,814",9.01,9.3,9.01,9.22,0.31,190
2025/02/14,"78,416","725,120",9.22,9.32,9.2,9.22,0.0,135
2025/02/17,"69,807","645,324",9.22,9.28,9.2,9.26,0.04,172
2025/02/18,"181,274","1,685,370",9.26,9.39,9.2,9.26,0.0,213
2025/02/19,"159,669","1,491,272",9.23,9.44,9.23,9.36,0.1,228
2025/02/20,"83,886","783,726",9.32,9.4,9.31,9.36,0.0,192
2025/02/21,"79,184","742,030",9.38,9.38,9.34,9.38,0.02,125
2025/02/24,"90,977","849,935",9.35,9.38,9.27,9.36,-0.02,214
2025/02/25,"114,430","1,068,034",9.3,9.39,9.3,9.37,0.01,194
2025/02/26,"189,999","1,784,248",9.37,9.44,9.34,9.41,0.04,174
2025/02/27,"127,053","1,191,338",9.43,9.43,9.33,9.38,-0.03,189
2025/03/03,"81,605","757,509",9.36,9.36,9.23,9.23,-0.15,188
2025/03/04,"107,402","987,520",9.23,9.29,9.15,9.22,-0.01,208
2025/03/05,"81,082","752,969",9.32,9.32,9.22,9.26,0.04,119
2025/03/06,"47,680","441,947",9.32,9.32,9.21,9.26,0.0,342
2025/03/07,"133,293","1,223,710",9.27,9.27,9.14,9.23,-0.03,"1,122"
2025/03/10,"37,608","346,508",9.28,9.28,9.19,9.19,-0.04,872
2025/03/11,"319,669","2,956,529",9.27,9.38,9.08,9.28,0.09,717
2025/03/12,"118,544","1,098,488",9.37,9.37,9.2,9.27,-0.01,581
2025/03/13,"79,079","730,702",9.31,9.35,9.15,9.15,-0.12,578
2025/03/14,"88,046","808,816",9.15,9.23,9.15,9.22,0.07,458
2025/03/17,"130,415","1,218,123",9.3,9.38,9.25,9.34,0.12,"1,034"
2025/03/18,"134,661","1,264,423",9.4,9.43,9.35,9.4,0.06,657
2025/03/19,"207,068","1,949,381",9.44,9.44,9.38,9.43,0.03,921
2025/03/20,"144,601","1,363,445",9.42,9.5,9.33,9.46,0.03,545
2025/03/21,"181,875","1,715,485",9.44,9.49,9.38,9.41,-0.05,275
2025/03/24,"166,064","1,569,076",9.47,9.56,9.32,9.45,0.04,268
2025/03/25,"134,794","1,270,090",9.45,9.5,9.31,9.45,0.0,196
2025/03/26,"163,718","1,526,549",9.31,9.44,9.25,9.35,-0.1,209
2025/03/27,"61,882","577,445",9.35,9.4,9.28,9.4,0.05,142
2025/03/28,"189,170","1,748,304",9.31,9.42,9.14,9.21,-0.19,221
2025/03/31,"278,180","2,475,090",9.18,9.2,8.7,8.87,-0.34,359
2025/04/01,"213,431","1,925,995",8.89,9.08,8.89,9.05,0.18,114
2025/04/02,"160,535","1,454,322",9.04,9.15,8.98,9.1,0.05,146
2025/04/07,"462,788","3,790,680",8.19,8.2,8.19,8.19,-0.91,380
2025/04/08,"187,626","1,486,526",8.01,8.06,7.82,7.84,-0.35,265
2025/04/09,"455,829","3,318,310",7.75,8.0,7.06,7.16,-0.68,503
2025/04/10,"681,822","5,250,752",7.46,7.85,7.45,7.71,0.55,484
2025/04/11,"454,223","3,290,784",7.47,7.52,7.09,7.45,-0.26,360
2025/04/14,"91,236","686,453",7.38,7.59,7.38,7.48,0.03,187
2025/04/15,"162,053","1,264,345",7.69,7.97,7.66,7.9,0.42,182
2025/04/16,"98,105","768,184",7.9,7.91,7.76,7.76,-0.14,230
2025/04/17,"127,331","989,771",7.75,7.81,7.72,7.81,0.05,142
2025/04/18,"163,601","1,298,249",7.76,7.99,7.76,7.87,0.06,131
2025/04/21,"107,330","837,102",7.96,7.96,7.71,7.8,-0.07,178
2025/04/22,"71,028","552,079",7.8,7.84,7.72,7.77,-0.03,134
2025/04/23,"182,652","1,431,965",7.81,7.9,7.77,7.86,0.09,119
2025/04/24,"69,042","538,031",7.86,7.86,7.76,7.81,-0.05,144
2025/04/25,"123,968","967,425",7.9,7.94,7.76,7.83,0.02,201
2025/04/28,"135,712","1,058,175",7.8,7.85,7.77,7.84,0.01,176
2025/04/29,"101,733","801,047",7.84,7.9,7.84,7.9,0.06,96
2025/04/30,"67,738","535,966",7.9,7.95,7.86,7.91,0.01,127
2025/05/02,"224,358","1,797,886",7.94,8.09,7.89,8.09,0.18,154
2025/05/05,"471,217","3,777,106",8.14,8.15,7.92,8.08,-0.01,207
2025/05/06,"106,609","867,346",8.1,8.2,8.08,8.08,0.0,100
2025/05/07,"65,399","531,743",8.18,8.19,8.02,8.14,0.06,109
2025/05/08,"25,949","211,911",8.19,8.19,8.15,8.16,0.02,87
2025/05/09,"93,937","760,848",8.13,8.17,8.0,8.17,0.01,124
2025/05/12,"105,425","860,871",8.2,8.28,8.1,8.19,0.02,137
2025/05/13,"116,034","950,193",8.23,8.29,8.12,8.13,-0.06,143
2025/05/14,"98,006","801,060",8.22,8.22,8.11,8.18,0.05,198
2025/05/15,"208,525","1,687,883",8.2,8.23,7.96,8.05,-0.13,242
2025/05/16,"111,829","899,901",8.13,8.14,7.94,8.06,0.01,154
2025/05/19,"250,760","2,007,464",8.05,8.05,7.94,8.04,-0.02,200
2025/05/20,"38,065","306,908",8.12,8.12,8.0,8.07,0.03,80
2025/05/21,"92,767","748,628",8.13,8.13,8.01,8.09,0.02,88
2025/05/22,"59,714","483,221",8.16,8.16,8.04,8.06,-0.03,79
2025/05/23,"56,194","453,354",8.02,8.12,8.02,8.07,0.01,119
2025/05/26,"218,024","1,769,962",8.06,8.19,8.04,8.14,0.07,121
2025/05/27,"111,484","908,816",8.14,8.2,8.1,8.11,-0.03,94
2025/05/28,"67,223","547,226",8.15,8.2,8.04,8.13,0.02,85
2025/05/29,"83,034","675,768",8.2,8.2,8.08,8.1,-0.03,62
2025/06/02,"102,516","814,499",8.01,8.05,7.84,8.04,-0.06,149
2025/06/03,"123,155","977,192",8.04,8.13,7.86,7.96,-0.08,166
2025/06/04,"92,823","745,136",7.92,8.1,7.9,8.02,0.06,126
2025/06/05,"126,733","1,018,402",7.92,8.1,7.92,8.1,0.08,78
2025/06/06,"18,268","148,381",8.1,8.14,8.09,8.09,-0.01,54
2025/06/09,"188,040","1,506,012",8.09,8.09,7.96,8.07,-0.02,92
2025/06/10,"104,791","845,444",8.07,8.13,8.02,8.02,-0.05,89
2025/06/11,"29,431","236,565",8.1,8.1,8.01,8.08,0.06,69
2025/06/12,"44,945","360,444",8.01,8.07,7.98,8.07,-0.01,60
2025/06/13,"89,614","718,955",8.1,8.1,7.92,8.02,-0.05,84
2025/06/16,"56,355","452,565",8.05,8.1,7.98,8.08,0.06,60
2025/06/17,"51,716","415,052",8.1,8.1,7.97,8.02,-0.06,60
2025/06/18,"46,610","372,807",8.05,8.05,7.92,8.04,0.02,81
2025/06/19,"29,294","233,333",7.97,8.04,7.92,7.99,-0.05,59
2025/06/20,"120,459","949,877",8.0,8.08,7.81,7.82,-0.17,152
2025/06/23,"77,114","599,299",7.8,7.95,7.55,7.89,0.07,144
2025/06/24,"30,899","245,093",7.9,7.98,7.9,7.94,0.05,58
2025/06/25,"53,844","426,271",7.99,7.99,7.83,7.94,0.0,63
2025/06/26,"95,715","769,212",7.98,8.14,7.98,8.05,0.11,56
2025/06/27,"179,519","1,433,433",8.05,8.05,7.91,8.03,-0.02,122
2025/06/30,"53,557","425,499",7.97,7.99,7.91,7.93,-0.1,73
2025/07/01,"228,353","1,829,272",7.93,8.11,7.93,7.96,0.03,104
2025/07/02,"95,853","766,353",7.98,8.09,7.93,8.03,0.07,108
2025/07/03,"86,962","698,247",8.07,8.08,7.98,8.04,0.01,72
2025/07/04,"32,076","256,242",8.08,8.08,7.92,8.02,-0.02,45
2025/07/07,"65,959","525,372",8.01,8.01,7.9,7.97,-0.05,89
2025/07/08,"59,980","477,965",8.1,8.1,7.86,8.0,0.03,72
2025/07/09,"250,954","1,993,906",8.0,8.06,7.88,8.02,0.02,82
2025/07/10,"55,166","438,312",8.01,8.07,7.9,7.95,-0.07,66
2025/07/11,"119,920","965,038",7.99,8.1,7.97,8.06,0.11,83
2025/07/14,"63,935","515,016",8.06,8.09,8.0,8.04,-0.02,75
2025/07/15,"17,629","141,669",8.04,8.1,7.98,8.0,-0.04,34
2025/07/16,"140,736","1,130,541",7.98,8.07,7.97,8.03,0.03,84
2025/07/17,"42,787","344,478",8.09,8.09,8.0,8.05,0.02,59
2025/07/18,"83,067","664,143",8.05,8.05,7.97,8.01,-0.04,77
2025/07/21,"52,496","419,629",8.1,8.1,7.91,8.02,0.01,76
2025/07/22,"83,036","659,045",8.01,8.01,7.9,7.98,-0.04,87
2025/07/23,"174,724","1,402,418",7.98,8.06,7.98,8.05,0.07,80
2025/07/24,"99,624","797,829",8.0,8.05,7.98,8.04,-0.01,72
2025/07/25,"125,140","1,001,275",7.99,8.03,7.95,8.03,-0.01,64
2025/07/28,"76,241","611,338",8.07,8.07,7.97,8.02,-0.01,72
2025/07/29,"94,397","754,143",8.0,8.01,7.95,8.01,-0.01,83
2025/07/30,"82,032","657,884",8.0,8.05,7.94,8.02,0.01,64
2025/07/31,"114,218","907,587",7.94,8.03,7.9,7.97,-0.05,102
