日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"56,149","2,448,139",43.95,43.95,43.35,43.35,-0.85,59
2025/01/03,"60,728","2,611,074",43.05,43.25,42.75,43.0,-0.35,121
2025/01/06,"29,661","1,285,637",43.25,43.5,43.25,43.35,+0.35,36
2025/01/07,"31,004","1,329,220",43.25,43.25,42.6,43.0,-0.35,34
2025/01/08,"9,599","411,275",43.05,43.05,42.65,42.95,-0.05,17
2025/01/09,"63,442","2,722,928",43.3,43.4,42.5,43.4,+0.45,66
2025/01/10,"68,196","2,929,187",43.4,43.4,42.65,42.7,-0.70,53
2025/01/13,"122,065","5,090,892",42.95,42.95,40.5,41.8,-0.90,132
2025/01/14,"25,224","1,055,295",42.45,42.45,41.7,41.8,0.00,31
2025/01/15,"36,635","1,539,219",41.8,42.9,41.55,42.9,+1.10,58
2025/01/16,"44,498","1,911,118",42.35,43.4,42.35,42.55,-0.35,113
2025/01/17,"16,483","701,273",42.6,42.7,42.5,42.5,-0.05,72
2025/01/20,"19,780","836,351",42.0,42.5,42.0,42.5,0.00,109
2025/01/21,"2,000","84,900",42.4,42.5,42.4,42.5,0.00,2
2025/01/22,"31,898","1,374,090",42.8,43.3,42.8,43.1,+0.60,42
2025/02/03,"51,528","2,170,874",43.2,43.45,41.55,41.9,-1.20,63
2025/02/04,"23,058","972,600",42.15,42.35,42.0,42.0,+0.10,30
2025/02/05,"88,404","3,715,551",42.65,42.65,40.8,42.05,+0.05,69
2025/02/06,"19,739","835,209",43.1,43.1,42.1,42.55,+0.50,77
2025/02/07,"14,440","610,195",42.15,42.4,42.15,42.25,-0.30,18
2025/02/10,"28,574","1,197,638",41.8,42.2,41.8,41.95,-0.30,38
2025/02/11,"14,820","624,157",42.05,42.3,42.0,42.15,+0.20,39
2025/02/12,"27,068","1,150,067",42.2,42.8,42.1,42.5,+0.35,41
2025/02/13,"25,266","1,079,210",42.5,42.9,42.5,42.65,+0.15,29
2025/02/14,"31,319","1,337,999",42.4,42.9,42.4,42.7,+0.05,43
2025/02/17,"51,203","2,233,383",43.0,44.0,43.0,43.5,+0.80,58
2025/02/18,"10,344","451,169",43.3,44.1,43.3,43.7,+0.20,23
2025/02/19,"29,160","1,275,774",43.7,43.9,43.55,43.75,+0.05,33
2025/02/20,"19,005","835,070",43.2,44.15,43.2,43.85,+0.10,23
2025/02/21,"23,381","1,038,828",44.65,44.65,43.95,44.4,+0.55,41
2025/02/24,"20,563","904,948",44.2,44.25,43.9,43.95,-0.45,34
2025/02/25,"46,617","2,032,343",43.55,43.8,43.45,43.5,-0.45,57
2025/02/26,"22,038","954,892",43.45,43.55,43.15,43.4,-0.10,26
2025/02/27,"29,114","1,262,145",43.4,43.45,43.25,43.4,0.00,28
2025/03/03,"16,216","699,276",43.1,43.25,43.1,43.1,-0.30,29
2025/03/04,"22,290","950,073",43.1,43.1,42.3,42.85,-0.25,31
2025/03/05,"250,909","11,084,389",44.5,45.2,43.8,44.25,+1.40,171
2025/03/06,"26,124","1,150,856",44.3,44.3,43.85,44.0,-0.25,47
2025/03/07,"86,008","3,735,348",44.0,44.0,43.25,43.3,-0.70,56
2025/03/10,"73,664","3,182,310",43.35,43.6,43.05,43.1,-0.20,207
2025/03/11,"45,556","1,941,428",42.85,42.9,42.2,42.8,-0.30,51
2025/03/12,"177,525","7,765,042",43.1,44.4,43.0,43.7,+0.90,159
2025/03/13,"57,347","2,505,918",43.8,44.1,43.55,43.55,-0.15,88
2025/03/14,"18,011","787,579",43.65,43.95,43.5,43.7,+0.15,26
2025/03/17,"62,635","2,736,004",43.7,43.8,43.55,43.65,-0.05,72
2025/03/18,"31,117","1,368,810",44.55,44.65,43.6,43.75,+0.10,36
2025/03/19,"61,580","2,695,534",43.75,43.95,43.6,43.85,+0.10,63
2025/03/20,"58,736","2,602,526",44.35,44.45,43.95,44.35,+0.50,69
2025/03/21,"57,261","2,516,581",44.0,44.05,43.65,44.0,-0.35,93
2025/03/24,"17,644","778,658",43.9,44.3,43.9,44.1,+0.10,30
2025/03/25,"7,458","327,656",44.1,44.1,43.8,43.8,-0.30,18
2025/03/26,"21,075","925,398",44.05,44.05,43.8,43.95,+0.15,31
2025/03/27,"42,003","1,840,381",43.9,43.9,43.8,43.85,-0.10,25
2025/03/28,"98,031","4,237,448",44.6,44.6,41.9,43.1,-0.75,78
2025/03/31,"42,406","1,794,051",42.45,42.45,42.15,42.25,-0.85,53
2025/04/01,"53,525","2,291,440",42.3,43.1,42.05,43.1,+0.85,74
2025/04/02,"57,104","2,456,782",43.0,43.6,42.75,43.0,-0.10,108
2025/04/07,"152,476","5,904,822",38.7,39.3,38.7,38.7,-4.30,92
2025/04/08,"98,005","3,782,999",39.4,39.4,38.05,38.65,-0.05,281
2025/04/09,"260,815","9,925,225",36.4,38.6,36.4,38.2,-0.45,170
2025/04/10,"106,761","4,371,345",40.2,41.4,39.6,41.1,+2.90,118
2025/04/11,"26,027","1,067,349",40.8,41.3,40.7,41.3,+0.20,31
2025/04/14,"62,512","2,561,432",41.2,41.3,40.6,40.6,-0.70,80
2025/04/15,"48,422","1,999,841",41.5,41.8,40.7,41.4,+0.80,48
2025/04/16,"43,505","1,765,634",41.15,41.15,40.35,40.45,-0.95,75
2025/04/17,"42,002","1,699,481",40.2,40.5,40.2,40.5,+0.05,23
2025/04/18,"27,100","1,090,726",40.1,41.35,40.05,40.35,-0.15,20
2025/04/21,"29,229","1,191,050",40.4,41.0,40.25,40.8,+0.45,25
2025/04/22,"33,468","1,359,437",40.9,40.9,40.15,40.6,-0.20,30
2025/04/23,"21,063","861,615",40.7,41.2,40.6,40.8,+0.20,24
2025/04/24,"15,002","610,130",40.7,40.75,40.5,40.75,-0.05,15
2025/04/25,"41,193","1,679,278",40.8,41.2,40.6,40.75,0.00,66
2025/04/28,"3,594","147,538",40.8,41.2,40.8,41.2,+0.45,8
2025/04/29,"19,396","797,735",40.8,41.35,40.8,41.35,+0.15,21
2025/04/30,"25,090","1,028,832",40.85,41.15,40.85,41.0,-0.35,25
2025/05/02,"115,122","4,905,392",41.0,43.2,41.0,42.9,+1.90,146
2025/05/05,"312,691","13,794,573",42.95,45.65,42.95,43.2,+0.30,318
2025/05/06,"74,441","3,195,217",43.2,43.4,42.35,42.85,-0.35,65
2025/05/07,"60,076","2,556,044",43.05,43.05,42.25,42.5,-0.35,56
2025/05/08,"14,246","606,842",42.5,42.8,42.3,42.55,+0.05,19
2025/05/09,"137,752","5,811,483",42.45,42.95,41.2,42.8,+0.25,82
2025/05/12,"60,223","2,595,297",42.85,43.3,42.85,43.3,+0.50,51
2025/05/13,"43,663","1,881,324",43.05,43.2,43.0,43.0,-0.30,130
2025/05/14,"58,979","2,567,253",44.25,44.25,43.05,43.6,+0.60,231
2025/05/15,"33,051","1,429,909",43.3,43.35,43.15,43.35,-0.25,28
2025/05/16,"505,467","23,828,333",45.9,47.65,45.5,47.65,+4.30,268
2025/05/19,"3,922,279","203,916,453",52.0,52.4,50.3,52.4,+4.75,"3,316"
2025/05/20,"7,305,635","415,868,003",55.5,57.6,55.0,57.6,+5.20,"4,808"
2025/05/21,"5,163,551","299,262,146",57.7,61.5,56.2,61.5,+3.90,"3,257"
2025/05/22,"6,008,481","391,005,924",63.1,67.6,61.1,67.6,+6.10,"3,630"
2025/05/23,"5,934,468","434,204,773",70.3,74.3,69.7,74.3,+6.70,"3,860"
2025/05/26,"3,172,008","252,708,409",77.9,81.7,77.0,81.7,+7.40,"2,126"
2025/05/27,"3,775,405","289,705,978",83.5,83.5,73.6,75.0,-6.70,"2,890"
2025/05/28,"1,897,417","143,065,423",75.2,76.4,73.8,76.3,+1.30,"1,571"
