日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"59,300","2,178,925",36.80,37.00,36.60,36.80,0.00,60
2025/01/03,"50,033","1,847,817",37.00,37.10,36.85,36.95,+0.15,32
2025/01/06,"111,706","4,140,160",36.45,37.20,36.45,37.10,+0.15,70
2025/01/07,"95,186","3,519,211",36.90,37.00,36.90,36.95,-0.15,57
2025/01/08,"31,758","1,173,902",36.75,37.20,36.75,36.90,-0.05,24
2025/01/09,"149,624","5,517,916",36.90,36.90,36.80,36.85,-0.05,74
2025/01/10,"33,593","1,238,413",36.85,37.00,36.60,36.85,0.00,60
2025/01/13,"83,066","3,040,059",36.85,36.85,36.25,36.55,-0.30,86
2025/01/14,"79,025","2,890,478",36.60,36.60,36.55,36.55,0.00,51
2025/01/15,"14,030","513,199",36.50,36.60,36.50,36.60,+0.05,39
2025/01/16,"60,238","2,208,971",38.00,38.00,36.55,36.55,-0.05,66
2025/01/17,"41,087","1,506,954",36.65,36.95,36.65,36.65,+0.10,57
2025/01/20,"15,032","549,421",36.50,36.65,36.40,36.65,0.00,44
2025/01/21,"5,205","194,219",36.65,37.80,36.65,37.80,+1.15,34
2025/01/22,"30,187","1,119,547",37.70,37.75,36.75,36.95,-0.85,49
2025/02/03,"19,707","720,265",36.20,36.80,36.20,36.80,-0.15,77
2025/02/04,"19,262","713,620",37.50,39.05,36.40,36.40,-0.40,130
2025/02/05,"7,002","256,926",37.50,37.50,36.45,37.30,+0.90,62
2025/02/06,49,"1,809",--,--,--,--,0.00,49
2025/02/07,"15,540","574,422",36.85,37.20,36.85,36.95,X0.00,63
2025/02/10,"11,721","433,947",37.50,37.50,36.90,36.95,0.00,167
2025/02/11,"15,061","554,037",36.95,36.95,36.50,36.75,-0.20,68
2025/02/12,"10,174","372,781",36.75,36.85,36.50,36.85,+0.10,69
2025/02/13,"31,937","1,180,929",36.85,37.10,36.80,37.05,+0.20,110
2025/02/14,"36,919","1,371,839",37.10,37.25,36.95,37.10,+0.05,109
2025/02/17,"22,810","841,829",37.00,37.05,36.85,36.85,-0.25,162
2025/02/18,"8,237","301,517",36.40,36.75,36.40,36.65,-0.20,80
2025/02/19,"28,866","1,055,438",36.50,36.75,36.45,36.75,+0.10,77
2025/02/20,"4,076","150,255",37.00,37.00,36.70,36.70,-0.05,76
2025/02/21,73,"2,774",--,--,--,--,0.00,68
2025/02/24,"7,215","272,963",38.00,38.00,37.45,37.45,X0.00,120
2025/02/25,"9,222","340,825",37.15,37.15,36.85,36.85,-0.60,89
2025/02/26,"14,226","523,068",36.80,36.85,36.50,36.80,-0.05,72
2025/02/27,"6,550","240,738",36.80,36.80,36.70,36.70,-0.10,85
2025/03/03,"6,238","230,873",36.70,37.80,36.70,36.90,+0.20,75
2025/03/04,"2,620","98,044",37.65,37.65,37.40,37.40,+0.50,67
2025/03/05,"4,143","152,886",36.90,36.90,36.90,36.90,-0.50,86
2025/03/06,"5,838","217,433",37.50,37.50,37.00,37.00,+0.10,79
2025/03/07,"9,381","344,603",36.75,36.80,36.70,36.80,-0.20,71
2025/03/10,"5,491","200,808",36.10,36.75,36.10,36.65,-0.15,135
2025/03/11,"16,121","595,490",36.40,37.00,36.40,37.00,+0.35,127
2025/03/12,"1,325","48,990",37.00,37.00,37.00,37.00,0.00,52
2025/03/13,"51,046","1,887,123",37.00,37.05,36.90,36.95,-0.05,69
2025/03/14,"36,041","1,338,731",37.50,37.95,36.90,37.00,+0.05,62
2025/03/17,"44,682","1,663,586",37.65,37.75,37.05,37.30,+0.30,114
2025/03/18,"45,227","1,686,640",37.30,37.70,37.10,37.60,+0.30,84
2025/03/19,"32,062","1,192,550",37.20,37.40,37.15,37.15,-0.45,84
2025/03/20,"9,326","346,489",37.15,37.25,37.15,37.15,0.00,95
2025/03/21,"62,595","2,313,577",37.15,37.15,36.90,36.95,-0.20,83
2025/03/24,"25,071","926,826",37.00,37.00,36.95,37.00,+0.05,82
2025/03/25,"3,326","122,218",36.70,36.70,36.70,36.70,-0.30,89
