日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"487,154","10,311,103",20.9,21.3,20.9,21.1,0.15,501
2025/01/03,"372,957","7,834,551",21.0,21.25,20.75,20.85,-0.25,406
2025/01/06,"322,643","6,750,025",20.8,21.1,20.75,20.8,-0.05,388
2025/01/07,"588,083","12,058,802",20.8,20.8,20.3,20.4,-0.4,579
2025/01/08,"173,830","3,572,761",20.4,20.75,20.4,20.75,0.35,224
2025/01/09,"518,265","10,513,308",20.7,20.7,20.0,20.0,-0.75,484
2025/01/10,"274,904","5,505,257",19.9,20.15,19.9,20.0,0.0,301
2025/01/13,"378,005","7,448,482",20.0,20.0,19.05,20.0,0.0,436
2025/01/14,"127,428","2,545,564",20.0,20.05,19.9,20.0,0.0,217
2025/01/15,"196,679","3,977,618",20.0,20.5,20.0,20.3,0.3,220
2025/01/16,"427,482","8,845,142",20.5,20.85,20.4,20.8,0.5,567
2025/01/17,"458,041","9,631,280",20.95,21.1,20.85,20.9,0.1,507
2025/01/20,"319,133","6,671,660",21.0,21.05,20.7,20.9,0.0,424
2025/01/21,"93,841","1,955,486",20.9,20.9,20.75,20.85,-0.05,248
2025/01/22,"360,035","7,527,655",20.9,21.05,20.75,21.0,0.15,387
2025/02/03,"740,530","15,864,928",21.0,21.85,20.8,21.45,0.45,833
2025/02/04,"277,258","5,937,504",21.45,21.6,21.3,21.35,-0.1,566
2025/02/05,"339,432","7,290,784",21.4,21.6,21.35,21.6,0.25,546
2025/02/06,"188,244","4,059,544",21.7,21.7,21.5,21.6,0.0,372
2025/02/07,"495,446","10,596,655",21.6,21.6,21.15,21.3,-0.3,605
2025/02/10,"294,712","6,317,943",21.3,21.65,21.15,21.65,0.35,469
2025/02/11,"386,844","8,416,500",21.75,22.0,21.5,21.55,-0.1,564
2025/02/12,"442,528","9,391,256",21.55,21.55,21.05,21.2,-0.35,505
2025/02/13,"435,681","9,268,710",21.25,21.5,21.15,21.2,0.0,442
2025/02/14,"401,809","8,686,334",21.4,21.9,21.35,21.6,0.4,456
2025/02/17,"301,719","6,474,989",21.8,21.8,21.35,21.4,-0.2,545
2025/02/18,"299,097","6,349,465",21.2,21.4,20.95,21.4,0.0,462
2025/02/19,"204,680","4,405,051",21.55,21.8,21.4,21.45,0.05,409
2025/02/20,"237,320","5,083,581",21.5,21.5,21.35,21.45,0.0,453
2025/02/21,"1,873,676","41,357,858",21.45,22.35,21.45,22.3,0.85,"1,384"
