日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,794,907","32,457,262",18.25,18.3,17.95,18.15,-0.20,"1,713"
2025/01/03,"593,799","10,797,126",18.2,18.3,18.1,18.1,-0.05,598
2025/01/06,"1,441,735","26,671,616",18.25,18.7,18.1,18.65,+0.55,"1,124"
2025/01/07,"794,184","14,553,160",18.65,18.65,18.15,18.25,-0.40,805
2025/01/08,"1,353,947","24,372,026",18.35,18.35,17.9,18.05,-0.20,"1,042"
2025/01/09,"1,527,514","27,170,708",18.0,18.0,17.7,17.7,-0.35,"1,564"
2025/01/10,"1,334,106","23,453,694",17.55,17.8,17.5,17.65,-0.05,"1,219"
2025/01/13,"2,317,243","40,433,239",17.55,17.75,17.25,17.7,+0.05,"1,737"
2025/01/14,"2,328,277","41,823,426",17.7,18.3,17.65,18.1,+0.40,"1,250"
2025/01/15,"1,548,787","28,394,109",18.0,18.6,18.0,18.25,+0.15,867
2025/01/16,"1,862,898","34,567,527",18.45,18.75,18.4,18.55,+0.30,"1,061"
2025/01/17,"824,497","15,326,083",18.55,18.75,18.45,18.55,0.00,878
2025/01/20,"913,428","16,912,633",18.55,18.65,18.35,18.55,0.00,797
2025/01/21,"782,636","14,604,773",18.55,18.8,18.5,18.8,+0.25,634
2025/01/22,"915,441","17,230,466",18.95,18.95,18.7,18.95,+0.15,721
2025/02/03,"1,639,799","30,434,266",18.9,18.95,18.35,18.5,-0.45,"1,561"
2025/02/04,"1,058,031","19,486,136",18.65,18.65,18.3,18.4,-0.10,941
2025/02/05,"1,268,339","23,506,329",18.55,18.75,18.35,18.5,+0.10,"1,002"
2025/02/06,"648,334","12,050,760",18.5,18.65,18.5,18.65,+0.15,699
2025/02/07,"1,094,690","20,237,540",18.6,18.7,18.35,18.4,-0.25,"1,091"
2025/02/10,"1,171,955","21,428,475",18.3,18.4,18.2,18.25,-0.15,"1,054"
2025/02/11,"756,158","13,838,614",18.3,18.6,18.2,18.2,-0.05,663
2025/02/12,"948,704","17,378,920",18.2,18.5,18.2,18.25,+0.05,734
2025/02/13,"1,710,052","31,910,670",18.25,18.85,18.25,18.85,+0.60,"1,028"
2025/02/14,"1,056,277","19,878,610",18.85,18.9,18.7,18.9,+0.05,848
2025/02/17,"1,280,779","24,255,819",19.1,19.1,18.8,18.85,-0.05,"1,419"
2025/02/18,"806,517","15,142,607",18.85,18.95,18.7,18.85,0.00,735
2025/02/19,"729,585","13,762,875",18.85,19.0,18.75,18.95,+0.10,688
2025/02/20,"1,176,964","22,260,746",18.95,19.05,18.75,19.0,+0.05,745
2025/02/21,"1,114,068","21,164,309",19.0,19.1,18.9,19.0,0.00,870
2025/02/24,"909,932","17,300,233",18.95,19.05,18.9,19.05,+0.05,833
2025/02/25,"1,514,764","28,902,775",18.95,19.3,18.9,19.15,+0.10,"1,058"
2025/02/26,"1,016,988","19,380,625",19.15,19.2,19.0,19.15,0.00,"1,077"
2025/02/27,"2,707,307","51,931,282",19.15,19.3,18.85,19.3,+0.15,"1,032"
2025/03/03,"1,359,371","25,827,409",19.15,19.15,18.9,19.05,-0.25,"1,097"
2025/03/04,"1,347,787","25,327,629",18.8,18.95,18.7,18.85,-0.20,"1,017"
2025/03/05,"1,368,285","26,109,930",18.85,19.25,18.75,19.15,+0.30,901
2025/03/06,"1,105,355","21,168,305",19.1,19.25,19.0,19.15,0.00,842
2025/03/07,"1,030,707","19,826,538",19.25,19.3,19.15,19.2,+0.05,877
2025/03/10,"2,830,226","55,385,451",19.3,19.75,19.3,19.6,+0.40,"1,358"
2025/03/11,"1,845,127","35,574,409",19.35,19.5,19.05,19.4,-0.20,"1,142"
2025/03/12,"1,110,001","21,423,238",19.45,19.5,19.2,19.35,-0.05,938
2025/03/13,"1,168,000","22,366,808",19.4,19.4,19.05,19.1,-0.25,961
2025/03/14,"1,614,459","31,347,061",19.3,19.55,19.2,19.55,+0.45,847
2025/03/17,"1,038,623","20,349,946",19.55,19.75,19.4,19.55,0.00,943
2025/03/18,"968,208","19,045,816",19.75,19.85,19.5,19.65,+0.10,867
2025/03/19,"1,194,060","23,312,181",19.65,19.65,19.4,19.6,-0.05,935
2025/03/20,"1,007,944","19,764,720",19.5,19.75,19.5,19.75,+0.15,980
2025/03/21,"2,662,485","51,255,836",19.7,19.7,19.1,19.1,-0.65,"1,627"
2025/03/24,"1,209,133","23,099,467",19.15,19.25,19.0,19.15,+0.05,"1,291"
2025/03/25,"923,939","17,572,404",19.15,19.25,18.9,18.95,-0.20,840
2025/03/26,"568,829","10,801,310",18.95,19.1,18.9,19.05,+0.10,580
2025/03/27,"1,135,856","21,427,499",18.9,19.0,18.75,18.85,-0.20,"1,028"
2025/03/28,"1,836,885","34,085,516",18.8,18.8,18.45,18.45,-0.40,"1,467"
2025/03/31,"3,050,750","56,825,485",18.15,18.2,17.85,17.95,-0.50,"1,645"
2025/04/01,"1,711,027","30,974,412",17.9,18.3,17.9,18.1,+0.15,"1,508"
2025/04/02,"1,144,093","20,633,200",18.0,18.2,17.8,18.15,+0.05,937
2025/04/07,"1,387,506","22,686,827",16.35,16.35,16.35,16.35,-1.80,"1,727"
2025/04/08,"4,396,883","69,932,953",16.15,16.25,15.65,15.95,-0.40,"2,438"
2025/04/09,"3,922,494","59,816,076",15.7,15.7,14.9,14.95,-1.00,"2,095"
2025/04/10,"2,189,437","35,824,507",16.25,16.4,16.15,16.4,+1.45,854
2025/04/11,"2,861,052","46,173,174",15.7,16.55,15.7,16.5,+0.10,"1,380"
2025/04/14,"1,592,095","26,317,439",16.45,16.8,16.3,16.45,-0.05,"1,173"
