日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"123,620","15,397,776",123.5,125.5,123.5,124.0,0.00,196
2025/01/03,"255,521","31,446,736",124.0,126.0,122.0,122.5,-1.50,312
2025/01/06,"120,588","14,871,766",123.5,124.5,121.5,123.0,+0.50,151
2025/01/07,"164,763","20,231,938",123.0,124.0,122.0,122.0,-1.00,189
2025/01/08,"90,950","11,131,096",122.0,123.5,121.5,122.5,+0.50,126
2025/01/09,"277,902","33,428,932",122.0,122.5,118.5,120.0,-2.50,319
2025/01/10,"432,870","50,590,003",119.0,119.5,115.5,116.5,-3.50,488
2025/01/13,"423,267","47,906,452",116.5,116.5,112.0,114.0,-2.50,427
2025/01/14,"115,904","13,256,322",114.5,115.0,114.0,114.5,+0.50,160
2025/01/15,"183,694","21,403,863",116.5,118.0,115.0,115.5,+1.00,212
2025/01/16,"184,532","21,522,991",116.0,119.0,115.5,115.5,0.00,233
2025/01/17,"119,985","13,973,514",116.0,117.5,115.0,117.5,+2.00,136
2025/01/20,"126,866","14,914,793",117.0,118.5,116.5,118.0,+0.50,167
2025/01/21,"105,961","12,412,408",118.0,118.0,116.5,117.5,-0.50,471
2025/01/22,"154,899","18,077,801",117.0,118.0,115.5,118.0,+0.50,225
2025/02/03,"278,652","33,851,442",120.5,123.0,118.5,122.5,+4.50,421
2025/02/04,"455,264","57,016,273",122.0,127.0,122.0,124.0,+1.50,429
2025/02/05,"482,274","61,925,394",125.0,130.0,125.0,129.5,+5.50,548
2025/02/06,"584,736","76,506,774",130.0,132.5,128.5,131.5,+2.00,840
2025/02/07,"282,539","36,802,216",132.0,132.0,129.0,130.5,-1.00,501
2025/02/10,"1,274,280","174,628,223",131.5,141.0,131.5,138.5,+8.00,"1,117"
2025/02/11,"842,667","118,872,713",141.5,145.0,138.5,143.0,+4.50,"1,459"
2025/02/12,"901,226","131,355,678",145.0,148.0,143.0,144.5,+1.50,943
2025/02/13,"886,392","125,978,048",145.0,147.0,139.5,142.0,-2.50,878
2025/02/14,"509,222","72,399,654",141.5,144.5,139.5,143.0,+1.00,526
