日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"519,516","28,491,227",55.0,55.6,54.1,54.3,-0.4,368
2025/01/03,"1,123,039","64,835,375",55.4,58.9,55.0,57.7,3.4,832
2025/01/06,"761,423","44,751,114",58.5,59.6,57.3,58.8,1.1,736
2025/01/07,"587,372","33,361,543",58.9,59.2,55.1,55.8,-3.0,754
2025/01/08,"402,159","22,569,319",56.2,57.0,55.4,56.3,0.5,219
2025/01/09,"310,367","17,185,083",56.2,56.2,55.0,55.1,-1.2,216
2025/01/10,"139,923","7,655,966",55.0,55.3,54.1,54.9,-0.2,121
2025/01/13,"225,939","12,150,901",54.0,54.5,53.0,53.8,-1.1,184
2025/01/14,"87,932","4,815,391",54.0,55.2,54.0,54.9,1.1,202
2025/01/15,"159,090","8,854,466",54.2,56.4,54.2,55.7,0.8,114
2025/01/16,"75,364","4,200,936",56.3,56.5,55.4,55.6,-0.1,203
2025/01/17,"132,210","7,369,468",55.9,56.3,55.0,55.1,-0.5,200
2025/01/20,"159,622","8,595,053",55.1,55.1,53.2,53.5,-1.6,287
2025/01/21,"59,170","3,174,159",53.8,53.8,53.5,53.5,0.0,131
2025/01/22,"78,205","4,177,207",53.4,53.8,53.0,53.7,0.2,207
2025/02/03,"244,001","13,465,052",53.7,56.3,53.6,56.3,2.6,181
2025/02/04,"81,562","4,506,735",54.9,55.9,54.8,54.8,-1.5,122
2025/02/05,"147,075","7,961,733",54.5,55.2,53.5,53.9,-0.9,187
2025/02/06,"35,977","1,940,618",53.6,54.3,53.6,53.9,0.0,72
2025/02/07,"147,924","7,901,191",53.6,54.4,52.9,53.1,-0.8,119
2025/02/10,"247,851","12,997,610",52.3,53.8,51.4,53.0,-0.1,187
2025/02/11,"123,391","6,470,161",52.7,53.2,52.1,52.2,-0.8,144
2025/02/12,"576,151","30,203,544",52.2,54.3,52.2,52.9,0.7,105
2025/02/13,"57,425","3,055,538",53.3,53.9,52.5,53.0,0.1,59
2025/02/14,"211,053","11,263,644",53.5,54.1,52.5,53.7,0.7,90
2025/02/17,"298,177","16,194,547",54.3,54.7,53.7,54.6,0.9,155
2025/02/18,"443,266","24,774,055",54.6,57.0,54.2,56.1,1.5,313
2025/02/19,"85,358","4,771,753",56.1,56.6,55.5,55.8,-0.3,300
