日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"41,080","1,319,970",32.30,32.30,31.75,32.15,-0.10,31
2025/01/03,"49,189","1,573,239",31.40,32.35,31.05,32.35,+0.20,36
2025/01/06,"20,647","666,297",32.35,32.40,31.90,32.25,-0.10,22
2025/01/07,"111,000","3,564,450",32.30,32.30,32.05,32.05,-0.20,25
2025/01/08,"5,327","171,729",32.30,32.30,32.20,32.20,+0.15,7
2025/01/09,"86,549","2,766,561",32.00,32.20,31.80,31.80,-0.40,37
2025/01/10,"54,038","1,708,308",31.75,31.85,31.50,31.65,-0.15,26
2025/01/13,"32,024","995,353",31.65,31.65,30.60,30.95,-0.70,34
2025/01/14,"9,209","288,430",32.00,32.00,31.50,31.60,+0.65,116
2025/01/15,"22,005","689,257",31.00,31.75,31.00,31.70,+0.10,16
2025/01/16,"12,449","395,047",32.20,32.20,31.65,31.70,0.00,16
2025/01/17,"28,003","893,444",32.15,32.15,31.80,31.90,+0.20,23
2025/01/20,"26,039","835,103",31.40,32.25,31.40,32.05,+0.15,20
2025/01/21,"45,000","1,432,900",32.15,32.15,31.35,31.60,-0.45,17
2025/01/22,"17,100","542,830",32.10,32.10,31.60,31.65,+0.05,15
2025/02/03,"30,387","963,248",32.20,32.20,31.55,31.70,+0.05,24
2025/02/04,"23,000","736,050",31.75,32.05,31.75,32.00,+0.30,12
2025/02/05,"21,507","687,600",32.00,32.20,31.70,32.00,0.00,27
2025/02/06,"11,201","357,522",32.10,32.10,31.70,31.75,-0.25,11
2025/02/07,"4,101","130,124",31.45,31.95,31.45,31.90,+0.15,8
2025/02/10,"49,121","1,565,778",31.95,32.00,31.60,31.90,0.00,37
2025/02/11,"24,052","764,405",31.80,32.00,31.55,32.00,+0.10,22
2025/02/12,"12,762","407,243",31.70,32.15,31.70,31.85,-0.15,23
2025/02/13,"26,100","829,795",31.85,31.90,31.60,31.85,0.00,19
2025/02/14,"38,928","1,244,952",32.00,32.20,31.65,31.85,0.00,56
2025/02/17,"25,093","801,326",32.00,32.15,31.75,32.00,+0.15,28
2025/02/18,"49,953","1,627,960",31.35,33.40,31.35,33.00,+1.00,55
2025/02/19,"44,442","1,483,780",33.75,33.75,33.05,33.35,+0.35,59
2025/02/20,"56,338","1,873,961",33.75,33.75,32.90,33.35,0.00,54
2025/02/21,"13,001","433,533",33.60,33.60,33.15,33.25,-0.10,14
2025/02/24,"5,085","169,942",33.55,33.60,33.25,33.25,0.00,11
2025/02/25,"18,000","597,350",33.55,33.55,33.00,33.10,-0.15,15
2025/02/26,"11,027","366,351",33.10,33.50,33.00,33.40,+0.30,18
2025/02/27,"24,572","812,391",33.40,33.40,32.80,33.25,-0.15,82
2025/03/03,"25,013","832,032",33.75,33.75,32.85,33.00,-0.25,23
2025/03/04,"15,000","494,800",33.40,33.40,32.70,32.95,-0.05,11
2025/03/05,"21,008","685,760",32.60,33.05,31.05,32.95,0.00,23
