日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,571,175","21,867,961",14.0,14.0,13.8,13.9,-0.15,965
2025/01/03,"501,560","7,001,277",14.0,14.1,13.9,13.9,0.00,558
2025/01/06,"461,115","6,466,714",13.95,14.1,13.9,14.0,+0.10,459
2025/01/07,"979,886","13,599,954",14.0,14.1,13.8,13.9,-0.10,788
2025/01/08,"688,391","9,507,103",13.9,13.9,13.75,13.9,0.00,544
2025/01/09,"1,512,580","20,590,189",13.95,13.95,13.45,13.5,-0.40,922
2025/01/10,"1,140,598","15,190,152",13.4,13.45,13.25,13.25,-0.25,"1,067"
2025/01/13,"1,483,119","19,412,589",13.2,13.25,12.95,13.2,-0.05,"1,133"
2025/01/14,"497,935","6,671,686",13.25,13.55,13.25,13.4,+0.20,389
2025/01/15,"449,643","6,053,516",13.3,13.55,13.3,13.45,+0.05,431
2025/01/16,"438,334","5,934,172",13.6,13.65,13.45,13.5,+0.05,302
2025/01/17,"387,784","5,280,512",13.35,13.7,13.35,13.65,+0.15,305
2025/01/20,"236,538","3,233,918",13.75,13.75,13.6,13.7,+0.05,286
2025/01/21,"246,064","3,369,028",13.7,13.75,13.65,13.7,0.00,215
2025/01/22,"341,157","4,687,527",13.85,13.85,13.65,13.75,+0.05,334
2025/02/03,"617,659","8,480,215",13.8,13.95,13.6,13.65,-0.10,613
2025/02/04,"314,039","4,307,351",13.85,13.85,13.6,13.65,0.00,312
2025/02/05,"749,802","10,294,864",13.8,13.85,13.65,13.65,0.00,715
2025/02/06,"519,654","7,182,623",13.7,13.9,13.65,13.9,+0.25,407
2025/02/07,"326,020","4,518,480",13.9,13.95,13.75,13.85,-0.05,309
2025/02/10,"440,146","6,061,054",13.7,13.85,13.7,13.75,-0.10,452
2025/02/11,"363,292","5,013,763",13.85,13.9,13.7,13.75,0.00,394
2025/02/12,"631,546","8,746,883",13.7,14.0,13.7,13.75,0.00,415
2025/02/13,"1,224,020","17,180,824",13.85,14.2,13.65,14.2,+0.45,657
2025/02/14,"694,246","9,838,998",14.25,14.3,14.1,14.3,+0.10,468
2025/02/17,"744,578","10,656,522",14.4,14.4,14.25,14.35,+0.05,493
2025/02/18,"531,110","7,559,260",14.25,14.35,14.15,14.2,-0.15,448
2025/02/19,"424,143","6,087,166",14.25,14.5,14.2,14.3,+0.10,369
2025/02/20,"411,964","5,927,842",14.3,14.45,14.3,14.4,+0.10,335
2025/02/21,"728,268","10,594,408",14.3,14.65,14.3,14.65,+0.25,530
2025/02/24,"878,115","12,928,504",14.55,14.8,14.55,14.7,+0.05,489
2025/02/25,"822,695","12,075,554",14.5,14.8,14.5,14.8,+0.10,447
2025/02/26,"458,467","6,764,248",14.65,14.85,14.65,14.75,-0.05,323
2025/02/27,"1,262,968","18,751,519",14.7,14.95,14.65,14.95,+0.20,482
2025/03/03,"828,507","12,316,288",14.95,15.05,14.75,14.95,0.00,538
2025/03/04,"822,022","12,110,401",14.85,14.95,14.6,14.95,0.00,494
2025/03/05,"623,628","9,294,669",14.8,15.0,14.8,14.95,0.00,379
2025/03/06,"510,440","7,622,641",15.0,15.1,14.85,14.85,-0.10,357
2025/03/07,"416,126","6,133,015",14.95,14.95,14.65,14.65,-0.20,290
2025/03/10,"799,954","11,703,241",14.65,14.8,14.5,14.5,-0.15,426
2025/03/11,"1,401,322","19,924,020",14.3,14.45,14.05,14.35,-0.15,"3,133"
2025/03/12,"751,898","10,778,398",14.3,14.4,14.25,14.35,0.00,"2,051"
2025/03/13,"724,658","10,311,518",14.35,14.35,14.1,14.1,-0.25,"1,435"
2025/03/14,"664,075","9,456,439",14.2,14.35,14.15,14.35,+0.25,"1,081"
2025/03/17,"822,336","11,912,169",14.4,14.6,14.3,14.45,+0.10,"1,430"
2025/03/18,"502,791","7,278,143",14.6,14.65,14.4,14.45,0.00,"1,136"
2025/03/19,"596,504","8,572,027",14.45,14.45,14.3,14.35,-0.10,"1,266"
2025/03/20,"425,436","6,123,230",14.4,14.45,14.35,14.4,+0.05,942
2025/03/21,"404,423","5,808,748",14.4,14.45,14.3,14.4,0.00,989
2025/03/24,"487,442","7,044,979",14.4,14.55,14.35,14.45,+0.05,"2,183"
2025/03/25,"612,670","8,842,761",14.5,14.6,14.35,14.45,0.00,"2,338"
2025/03/26,"722,975","10,333,128",14.4,14.4,14.2,14.25,-0.20,976
2025/03/27,"451,498","6,412,379",14.25,14.25,14.15,14.2,-0.05,550
2025/03/28,"1,105,767","15,476,828",14.15,14.2,13.9,14.0,-0.20,773
2025/03/31,"1,716,710","23,206,506",13.7,13.7,13.35,13.4,-0.60,"1,092"
2025/05/02,"3,143,199","40,479,167",12.2,13.2,12.15,13.2,+1.20,"1,403"
2025/05/05,"5,770,961","83,678,904",14.5,14.5,14.5,14.5,+1.30,"1,103"
2025/05/06,"10,377,164","146,556,394",14.2,14.5,13.8,14.5,0.00,"3,625"
2025/05/07,"7,797,343","114,941,552",14.4,15.3,14.2,14.6,+0.10,"3,171"
2025/05/08,"2,432,728","35,053,256",14.5,14.6,14.25,14.45,-0.15,"1,219"
2025/05/09,"2,910,074","41,400,400",14.45,14.5,14.05,14.25,-0.20,"1,046"
2025/05/12,"1,954,141","27,643,063",14.25,14.35,14.05,14.2,-0.05,893
