日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"11,044","155,479",14.0,14.15,14.0,14.15,-0.1,75
2025/01/03,"14,065","197,523",14.0,14.2,13.95,14.1,-0.05,90
2025/01/06,"13,058","183,210",14.2,14.2,13.9,14.0,-0.1,63
2025/01/07,"32,570","453,652",14.1,14.1,13.8,13.8,-0.2,192
2025/01/08,"18,205","250,030",13.8,13.8,13.6,13.8,0.0,98
2025/01/09,"21,959","300,414",13.8,13.8,13.6,13.65,-0.15,150
2025/01/10,"22,147","299,995",13.65,13.65,13.35,13.55,-0.1,125
2025/01/13,"20,902","275,534",13.25,13.25,13.1,13.2,-0.35,151
2025/01/14,"23,477","313,241",13.2,13.6,13.2,13.6,0.4,97
2025/01/15,"21,243","283,953",13.65,13.65,13.15,13.4,-0.2,112
2025/01/16,"15,764","215,036",13.85,13.85,13.4,13.5,0.1,56
2025/01/17,"15,922","214,694",13.5,13.5,13.4,13.45,-0.05,83
2025/01/20,"14,634","196,911",13.4,13.45,13.4,13.4,-0.05,97
2025/01/21,"11,809","159,660",13.5,13.55,13.5,13.55,0.15,98
2025/01/22,"10,914","148,234",13.55,13.6,13.55,13.6,0.05,90
2025/02/03,"11,276","154,515",13.6,13.65,13.6,13.65,0.05,92
2025/02/04,"19,172","268,210",13.75,14.45,13.75,13.9,0.25,79
2025/02/05,"12,650","174,915",13.7,13.9,13.7,13.9,0.0,54
2025/02/06,"16,441","230,764",14.0,14.05,13.9,13.9,0.0,77
2025/02/07,"20,061","282,606",13.9,14.2,13.9,14.2,0.3,76
2025/02/10,"23,953","336,243",14.2,14.2,13.95,13.95,-0.25,140
2025/02/11,"23,631","332,181",14.1,14.2,14.0,14.0,0.05,88
2025/02/12,"18,943","265,909",14.05,14.1,14.0,14.0,0.0,94
2025/02/13,"46,507","659,367",14.0,14.3,14.0,14.25,0.25,77
2025/02/14,"32,444","463,929",14.25,14.35,14.25,14.25,0.0,57
2025/02/17,"18,636","270,587",14.8,14.8,14.3,14.6,0.35,67
2025/02/18,"24,394","350,843",14.6,14.65,14.25,14.3,-0.3,84
2025/02/19,"23,590","334,903",14.3,14.45,14.05,14.25,-0.05,65
2025/02/20,"9,818","139,707",14.2,14.2,14.2,14.2,-0.05,34
2025/02/21,"41,969","593,545",14.2,14.3,14.05,14.05,-0.15,103
2025/02/24,"26,428","375,877",14.1,14.35,14.1,14.35,0.3,69
2025/02/25,"19,478","277,828",14.45,14.45,14.2,14.2,-0.15,52
2025/02/26,"47,195","664,373",14.1,14.4,13.9,14.2,0.0,142
2025/02/27,"19,456","274,485",14.1,14.15,14.05,14.1,-0.1,65
2025/03/03,"8,911","125,722",14.0,14.1,14.0,14.05,-0.05,49
2025/03/04,"11,953","167,519",13.85,14.15,13.8,14.05,0.0,65
2025/03/05,"44,572","635,572",14.15,14.7,14.0,14.7,0.65,107
2025/03/06,"39,122","562,099",14.2,14.45,14.2,14.45,-0.25,123
2025/03/07,"26,764","375,693",14.15,14.15,13.95,13.95,-0.5,103
2025/03/10,"16,829","237,052",14.0,14.15,14.0,14.05,0.1,92
2025/03/11,"75,397","1,044,396",13.85,14.1,13.7,14.1,0.05,262
2025/03/12,"17,967","252,101",13.95,14.15,13.95,13.95,-0.15,44
2025/03/13,"54,363","739,166",13.95,13.95,13.05,13.05,-0.9,219
2025/03/14,"17,630","235,577",13.25,13.45,13.25,13.3,0.25,119
2025/03/17,"19,790","266,974",13.3,13.55,13.25,13.55,0.25,66
2025/03/18,"87,953","1,145,301",13.8,14.3,12.5,13.05,-0.5,236
2025/03/19,"38,155","499,106",13.05,13.2,13.0,13.1,0.05,227
2025/03/20,"17,255","227,879",13.2,13.45,13.15,13.15,0.05,65
2025/03/21,"35,890","486,335",13.1,13.75,13.1,13.3,0.15,48
2025/03/24,"8,581","114,961",13.6,13.6,13.25,13.4,0.1,62
2025/03/25,"18,232","246,764",13.65,13.7,13.25,13.55,0.15,63
2025/03/26,"22,798","305,474",13.65,13.8,13.25,13.25,-0.3,83
2025/03/27,"19,314","257,707",13.35,13.55,13.25,13.5,0.25,115
2025/03/28,"13,843","184,437",13.5,13.5,13.2,13.2,-0.3,73
2025/03/31,"26,920","351,371",13.15,13.15,12.9,13.15,-0.05,136
2025/04/01,"25,812","336,688",13.1,13.15,12.85,13.15,0.0,129
2025/04/02,"11,841","155,372",13.15,13.15,13.05,13.05,-0.1,59
2025/04/07,"79,714","937,845",11.75,12.15,11.75,12.15,-0.9,555
2025/04/08,"26,201","309,721",12.1,12.1,11.65,11.8,-0.35,186
2025/04/09,"35,316","419,902",11.85,12.4,11.55,11.65,-0.15,191
2025/04/10,"232,147","2,774,004",12.25,12.8,11.4,12.55,0.9,520
2025/04/11,"42,296","506,406",11.85,12.35,11.8,12.05,-0.5,134
2025/04/14,"33,998","406,793",12.0,12.15,11.8,11.8,-0.25,219
2025/04/15,"22,638","271,297",12.0,12.05,11.9,12.05,0.25,65
2025/04/16,"9,079","108,446",11.95,11.95,11.85,11.9,-0.15,52
2025/04/17,"6,731","80,506",11.85,12.05,11.85,11.9,0.0,43
2025/04/18,"11,430","136,408",12.05,12.05,11.8,11.8,-0.1,37
2025/04/21,"9,415","111,489",11.95,11.95,11.8,11.8,0.0,38
2025/04/22,"7,523","89,581",12.0,12.0,11.95,11.95,0.15,33
2025/04/23,"23,049","275,663",12.0,12.05,11.6,12.05,0.1,43
2025/04/24,"11,522","138,946",12.05,12.15,12.0,12.0,-0.05,55
2025/04/25,"13,022","156,759",12.15,12.15,11.95,12.0,0.0,76
2025/04/28,"22,611","270,096",11.9,12.0,11.9,11.95,-0.05,117
2025/04/29,"26,569","317,198",11.9,11.95,11.9,11.95,0.0,81
2025/04/30,"139,202","1,815,887",12.5,13.1,12.5,13.1,1.15,174
2025/05/02,"111,094","1,403,488",12.5,12.9,12.4,12.65,-0.45,263
2025/05/05,"65,191","838,907",13.05,13.2,12.6,13.2,0.55,93
2025/05/06,"19,812","255,212",13.0,13.0,12.7,13.0,-0.2,85
2025/05/07,"21,477","277,347",12.95,13.0,12.8,13.0,0.0,83
2025/05/08,"18,733","240,637",12.8,12.95,12.8,12.8,-0.2,95
