日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,779,829","134,047,257",75.8,77.5,73.4,73.4,-2.70,"1,432"
2025/01/03,"1,379,730","100,119,946",73.9,74.8,71.8,72.2,-1.20,"1,231"
2025/01/06,"905,743","65,038,516",72.2,72.6,71.0,71.5,-0.70,926
2025/01/07,"780,885","55,633,144",71.7,71.9,70.7,71.5,0.00,822
2025/01/08,"666,997","48,262,560",71.5,72.7,71.5,72.7,+1.20,750
2025/01/09,"762,883","54,735,799",72.7,73.3,70.7,70.9,-1.80,"1,080"
2025/01/10,"1,428,210","104,060,119",70.7,73.7,70.7,73.7,+2.80,"1,262"
2025/01/13,"3,246,567","236,914,644",72.0,74.7,70.0,74.7,+1.00,"3,158"
2025/01/14,"3,232,291","247,540,736",74.7,78.0,74.2,78.0,+3.30,"2,885"
2025/01/15,"3,482,154","273,751,303",77.7,80.0,77.0,78.5,+0.50,"3,375"
2025/01/16,"3,141,426","246,094,186",78.6,79.4,76.3,79.2,+0.70,"2,889"
2025/01/17,"2,482,511","197,642,659",78.4,80.3,78.1,80.1,+0.90,"2,568"
2025/01/20,"2,486,174","202,763,747",80.0,82.3,79.1,82.0,+1.90,"2,245"
2025/01/21,"2,668,581","220,839,912",82.0,83.3,81.7,83.2,+1.20,"2,033"
2025/01/22,"2,724,941","226,137,339",83.2,83.7,82.2,82.2,-1.00,"2,288"
2025/02/03,"1,647,721","137,102,040",82.1,83.9,81.7,83.9,+1.70,"1,518"
2025/02/04,"815,131","67,980,991",83.6,84.2,82.4,82.9,-1.00,802
2025/02/05,"1,145,151","95,634,194",82.2,84.3,81.8,84.3,+1.40,883
2025/02/06,"1,207,045","100,678,462",83.8,85.6,82.1,82.1,-2.20,"1,510"
2025/02/07,"2,264,244","187,907,894",82.2,84.7,79.3,84.1,+2.00,"2,505"
2025/02/10,"1,617,317","137,967,871",84.1,85.7,83.6,85.7,+1.60,"3,247"
2025/02/11,"1,090,346","93,936,832",86.5,86.9,84.9,85.2,-0.50,"1,405"
2025/02/12,"555,641","47,441,682",85.5,86.8,84.7,84.7,-0.50,"1,238"
2025/02/13,"490,253","41,375,835",84.5,85.1,83.5,84.4,-0.30,"1,260"
2025/02/14,"604,413","51,018,694",83.7,85.6,83.6,83.6,-0.80,785
2025/02/17,"1,155,657","96,952,315",83.1,85.2,82.0,84.8,+1.20,"2,148"
2025/02/18,"995,906","85,727,366",85.1,86.8,84.6,86.7,+1.90,"1,381"
2025/02/19,"1,778,675","152,879,152",86.7,88.0,83.9,84.0,-2.70,"3,459"
2025/02/20,"547,758","46,220,778",83.8,84.8,83.5,84.8,+0.80,638
2025/02/21,"600,486","51,529,594",84.3,86.6,84.3,85.7,+0.90,801
2025/02/24,"556,144","48,015,474",84.6,86.9,84.6,86.7,+1.00,914
2025/02/25,"1,032,682","88,668,665",85.7,87.3,85.2,85.3,-1.40,"1,953"
2025/02/26,"370,556","31,696,947",85.3,86.0,85.2,85.6,+0.30,816
2025/02/27,"1,102,960","94,311,613",85.3,86.5,84.6,85.5,-0.10,757
2025/03/03,"1,106,150","92,503,893",84.4,85.9,82.0,82.8,-2.70,"1,634"
2025/03/04,"924,657","77,425,059",82.0,85.2,81.0,84.5,+1.70,890
2025/03/05,"1,208,116","99,438,659",84.2,85.1,81.5,81.5,-3.00,"2,365"
2025/03/06,"537,072","44,071,639",82.0,83.1,81.2,82.0,+0.50,473
2025/03/07,"1,004,153","81,025,805",81.3,82.7,79.5,80.4,-1.60,919
2025/03/10,"521,461","41,870,110",79.8,81.4,79.3,79.9,-0.50,533
2025/03/11,"1,383,924","109,271,091",78.9,81.0,78.2,78.2,-1.70,950
2025/03/12,"929,886","72,987,445",78.2,79.0,77.3,79.0,+0.80,769
