日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"40,697","1,262,976",31.30,31.35,30.80,30.80,-0.55,37
2025/01/03,"65,079","2,015,916",31.00,31.00,30.80,30.85,+0.05,30
2025/01/06,"15,016","463,547",30.60,31.00,30.60,30.85,0.00,18
2025/01/07,"58,087","1,787,643",30.85,30.85,30.60,30.65,-0.20,40
2025/01/08,"43,092","1,321,663",30.65,30.70,30.65,30.65,0.00,25
2025/01/09,"46,003","1,411,392",30.70,30.70,30.65,30.65,0.00,30
2025/01/10,"19,021","582,240",30.65,30.65,30.60,30.60,-0.05,17
2025/01/13,"15,037","459,927",30.60,30.65,30.40,30.60,0.00,22
2025/01/14,"15,360","470,111",30.70,30.85,30.50,30.85,+0.25,22
2025/01/15,"33,607","1,026,187",30.60,30.65,30.20,30.65,-0.20,39
2025/01/16,"1,425","43,694",30.80,30.80,30.80,30.80,+0.15,13
2025/01/17,"6,130","187,058",30.70,30.70,30.40,30.40,-0.40,28
2025/01/20,"24,046","729,997",30.50,30.50,30.40,30.40,0.00,43
2025/01/21,"23,116","698,538",30.40,30.45,30.15,30.45,+0.05,27
2025/01/22,"33,061","1,011,159",30.45,30.70,30.40,30.70,+0.25,27
2025/02/03,"13,047","403,923",31.65,31.65,30.50,30.60,-0.10,58
2025/02/04,"49,141","1,500,663",30.60,30.60,30.45,30.50,-0.10,64
2025/02/05,"29,066","892,926",30.70,31.10,30.70,31.10,+0.60,49
2025/02/06,95,"2,935",--,--,--,--,0.00,31
2025/02/07,227,"7,033",--,--,--,--,0.00,29
2025/02/10,"4,394","136,416",32.00,32.00,30.70,30.70,X0.00,33
2025/02/11,"13,066","401,045",30.65,30.75,30.65,30.75,+0.05,34
2025/02/12,"6,949","213,395",30.75,30.80,30.70,30.80,+0.05,51
2025/02/13,"2,332","72,396",31.20,31.20,30.95,30.95,+0.15,30
2025/02/14,"28,795","888,323",30.70,30.90,30.70,30.80,-0.15,51
2025/02/17,"30,140","938,554",30.50,32.45,30.50,31.30,+0.50,108
2025/02/18,"39,068","1,211,392",31.00,31.50,30.95,30.95,-0.35,72
2025/02/19,"8,117","250,872",30.90,31.00,30.70,30.70,-0.25,24
