日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"1,202,531","10,543,622",8.86,8.86,8.72,8.72,-0.14,"1,064"
2025/01/03,"1,255,515","10,897,070",8.73,8.76,8.63,8.63,-0.09,"1,037"
2025/01/06,"1,168,228","10,052,338",8.63,8.66,8.53,8.64,0.01,"1,172"
2025/01/07,"1,886,136","16,006,273",8.62,8.65,8.39,8.39,-0.25,"1,581"
2025/01/08,"954,620","8,009,737",8.45,8.46,8.35,8.42,0.03,952
2025/01/09,"1,041,450","8,652,962",8.42,8.42,8.21,8.21,-0.21,"1,080"
2025/01/10,"505,323","4,153,952",8.27,8.27,8.18,8.21,0.0,511
2025/01/13,"1,266,441","10,240,263",8.08,8.18,8.01,8.14,-0.07,"1,000"
2025/01/14,"506,492","4,189,548",8.19,8.3,8.19,8.28,0.14,414
2025/01/15,"719,412","6,030,260",8.25,8.44,8.25,8.37,0.09,508
2025/01/16,"460,751","3,882,041",8.41,8.47,8.38,8.4,0.03,354
2025/01/17,"539,295","4,549,406",8.44,8.47,8.4,8.44,0.04,276
2025/01/20,"504,739","4,237,607",8.46,8.46,8.32,8.44,0.0,454
2025/01/21,"304,177","2,576,954",8.42,8.56,8.42,8.44,0.0,320
2025/01/22,"508,583","4,302,436",8.43,8.51,8.43,8.49,0.05,375
2025/02/03,"699,843","5,900,523",8.45,8.49,8.36,8.45,-0.04,556
2025/02/04,"276,637","2,337,019",8.45,8.5,8.42,8.43,-0.02,383
2025/02/05,"383,306","3,254,080",8.47,8.52,8.46,8.48,0.05,304
2025/02/06,"532,985","4,549,026",8.49,8.57,8.49,8.56,0.08,324
2025/02/07,"309,633","2,654,418",8.57,8.6,8.56,8.58,0.02,262
2025/02/10,"634,288","5,434,411",8.58,8.61,8.48,8.6,0.02,373
2025/02/11,"513,409","4,405,830",8.6,8.61,8.55,8.55,-0.05,373
2025/02/12,"374,713","3,199,115",8.55,8.57,8.51,8.51,-0.04,381
2025/02/13,"759,336","6,566,977",8.54,8.7,8.54,8.67,0.16,500
2025/02/14,"313,169","2,725,999",8.7,8.74,8.65,8.73,0.06,332
2025/02/17,"462,081","4,041,362",8.79,8.79,8.72,8.73,0.0,367
2025/02/18,"519,699","4,501,346",8.72,8.73,8.61,8.66,-0.07,589
2025/02/19,"517,653","4,475,759",8.66,8.69,8.61,8.65,-0.01,370
2025/02/20,"418,754","3,623,252",8.68,8.69,8.62,8.66,0.01,382
2025/02/21,"785,605","6,858,100",8.68,8.86,8.63,8.72,0.06,477
2025/02/24,"463,141","4,016,261",8.63,8.72,8.63,8.66,-0.06,464
2025/02/25,"741,135","6,447,186",8.67,8.75,8.62,8.7,0.04,397
2025/02/26,"645,967","5,603,641",8.73,8.73,8.64,8.65,-0.05,488
2025/02/27,"420,385","3,654,439",8.64,8.73,8.64,8.67,0.02,374
2025/03/03,"473,966","4,079,563",8.67,8.72,8.57,8.59,-0.08,541
