日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"60,345","1,001,688",16.65,16.75,16.35,16.4,-0.25,74
2025/01/03,"94,214","1,555,751",16.5,16.75,16.35,16.35,-0.05,74
2025/01/06,"72,237","1,185,735",16.4,16.55,16.35,16.35,0.00,63
2025/01/07,"539,589","9,135,182",16.5,17.45,16.4,16.75,+0.40,212
2025/01/08,"100,916","1,713,292",16.95,17.3,16.8,17.3,+0.55,80
2025/01/09,"417,310","7,124,616",17.3,17.3,16.9,17.3,0.00,156
2025/01/10,"101,643","1,736,911",17.3,17.3,16.9,17.1,-0.20,99
2025/01/13,"57,304","967,410",17.15,17.15,16.6,16.8,-0.30,60
2025/01/14,"55,050","919,031",16.8,16.8,16.6,16.7,-0.10,49
2025/01/15,"56,459","939,749",16.7,16.8,16.55,16.55,-0.15,64
2025/01/16,"179,539","3,018,071",16.6,16.95,16.55,16.6,+0.05,84
2025/01/17,"86,280","1,428,082",16.6,16.7,16.5,16.5,-0.10,54
2025/01/20,"27,485","457,994",16.8,16.8,16.6,16.7,+0.20,39
2025/01/21,"59,363","984,690",16.5,16.75,16.5,16.6,-0.10,53
2025/01/22,"30,307","505,900",16.55,16.85,16.55,16.7,+0.10,30
2025/02/03,"60,778","1,011,408",16.65,16.75,16.5,16.75,+0.05,62
2025/02/04,"47,366","785,774",16.5,16.75,16.5,16.55,-0.20,49
2025/02/05,"57,353","958,761",16.6,16.9,16.6,16.75,+0.20,46
2025/02/06,"167,991","2,843,159",16.75,17.0,16.7,16.9,+0.15,41
2025/02/07,"55,419","936,628",16.9,17.0,16.75,17.0,+0.10,47
2025/02/10,"39,514","666,533",17.0,17.0,16.75,16.9,-0.10,46
2025/02/11,"57,306","975,815",17.0,17.2,16.8,16.85,-0.05,54
2025/02/12,"65,409","1,096,900",16.75,16.95,16.55,16.85,0.00,59
2025/02/13,"77,491","1,299,773",16.8,16.85,16.7,16.75,-0.10,60
2025/02/14,"65,208","1,097,621",16.85,16.9,16.8,16.8,+0.05,47
