日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"540,011","21,690,034",40.65,40.65,39.8,40.05,-0.60,497
2025/01/03,"777,130","30,660,515",40.05,40.45,38.9,38.9,-1.15,576
2025/01/06,"540,880","21,214,259",39.1,39.6,38.9,39.25,+0.35,395
2025/01/07,"663,790","25,805,841",39.35,39.4,38.6,39.0,-0.25,501
2025/01/08,"271,379","10,585,583",38.7,39.3,38.6,39.3,+0.30,240
2025/01/09,"557,240","21,718,586",39.25,39.8,38.3,38.3,-1.00,511
2025/01/10,"833,884","31,125,462",38.3,38.3,36.8,36.8,-1.50,640
2025/01/13,"734,684","27,532,434",37.6,37.75,37.1,37.75,+0.95,533
2025/01/14,"642,484","24,894,069",37.85,39.25,37.85,39.0,+1.25,501
2025/01/15,"549,413","21,031,865",39.3,39.3,37.85,37.85,-1.15,558
2025/01/16,"241,908","9,211,184",38.15,38.45,37.9,38.15,+0.30,188
2025/01/17,"184,833","7,088,971",38.4,38.55,38.15,38.3,+0.15,145
2025/01/20,"246,727","9,393,707",38.6,38.6,37.8,38.05,-0.25,182
2025/01/21,"150,362","5,727,662",38.05,38.4,37.9,38.1,+0.05,121
2025/01/22,"254,163","9,787,169",38.2,38.7,38.2,38.65,+0.55,201
2025/02/03,"823,537","32,797,800",37.95,40.7,37.95,40.2,+1.55,600
2025/02/04,"382,793","15,181,378",40.2,40.65,39.35,39.6,-0.60,298
2025/02/05,"391,683","15,651,678",39.4,40.25,39.4,40.1,+0.50,287
2025/02/06,"377,162","15,334,537",40.45,41.15,40.2,40.5,+0.40,305
2025/02/07,"716,909","28,469,175",40.55,40.55,39.5,39.75,-0.75,425
2025/02/10,"328,480","13,093,828",39.75,40.25,39.45,39.85,+0.10,256
2025/02/11,"576,760","23,568,293",40.85,41.25,40.6,40.7,+0.85,468
2025/02/12,"1,659,924","70,272,831",40.65,43.2,40.65,42.75,+2.05,"1,248"
2025/02/13,"906,427","38,852,678",42.95,43.55,42.6,42.65,-0.10,774
2025/02/14,"622,453","26,264,023",42.65,42.7,41.75,42.2,-0.45,464
2025/02/17,"516,766","21,976,423",42.25,42.95,42.1,42.55,+0.35,343
2025/02/18,"283,871","12,060,428",42.9,42.9,42.25,42.45,-0.10,307
2025/02/19,"349,605","14,819,658",42.4,42.6,42.2,42.3,-0.15,285
2025/02/20,"367,897","15,668,470",42.3,42.95,42.2,42.7,+0.40,344
2025/02/21,"724,208","31,350,003",42.8,43.65,42.75,43.3,+0.60,478
2025/02/24,"1,056,615","46,734,559",43.3,45.3,43.15,44.75,+1.45,801
2025/02/25,"1,018,142","46,090,629",44.7,46.5,44.35,45.5,+0.75,732
2025/02/26,"1,001,991","44,972,867",45.45,45.8,44.4,44.4,-1.10,685
2025/02/27,"666,656","29,351,292",44.45,44.95,43.6,43.8,-0.60,500
2025/03/03,"371,846","16,211,491",43.0,44.0,43.0,43.65,-0.15,278
2025/03/04,"560,621","24,783,093",43.5,44.9,43.0,44.5,+0.85,401
2025/03/05,"447,804","19,899,966",44.5,44.95,44.05,44.6,+0.10,339
2025/03/06,"387,414","17,225,037",44.75,45.0,44.2,44.2,-0.40,390
2025/03/07,"669,159","29,041,357",44.2,44.25,43.0,43.2,-1.00,688
2025/03/10,"845,094","36,800,631",44.1,44.5,43.15,43.35,+0.15,444
2025/03/11,"1,586,311","64,406,426",40.8,42.0,39.5,41.6,-1.75,983
2025/03/12,"794,496","33,846,721",41.35,43.6,41.25,43.0,+1.40,570
2025/03/13,"850,863","32,928,313",38.7,38.7,38.7,38.7,-4.30,687
2025/03/14,"4,445,353","157,491,545",36.9,36.9,34.85,35.0,-3.70,"2,319"
2025/03/17,"1,498,831","52,032,723",34.8,35.3,34.25,34.3,-0.70,873
2025/03/18,"784,609","26,956,676",34.55,34.6,34.2,34.45,+0.15,552
2025/03/19,"607,827","20,971,100",34.55,34.95,34.1,34.1,-0.35,413
2025/03/20,"351,949","12,046,280",34.2,34.5,34.15,34.15,+0.05,262
2025/03/21,"556,767","19,116,022",34.35,34.65,34.1,34.35,+0.20,386
2025/03/24,"715,193","24,930,900",34.6,35.3,34.5,34.8,+0.45,455
2025/03/25,"663,541","22,795,767",34.8,34.85,34.1,34.1,-0.70,386
2025/03/26,"205,464","7,060,876",34.3,34.6,34.15,34.45,+0.35,162
2025/03/27,"312,657","10,685,631",34.5,34.6,34.0,34.0,-0.45,229
2025/03/28,"1,567,137","51,133,533",34.05,34.05,31.95,32.2,-1.80,847
2025/03/31,"1,262,653","39,222,594",31.65,31.65,30.5,31.15,-1.05,793
2025/04/01,"581,906","18,493,083",31.5,32.4,31.3,31.5,+0.35,369
2025/04/02,"437,519","13,645,728",31.5,31.65,30.95,31.25,-0.25,333
2025/04/07,"116,212","3,271,343",28.15,28.15,28.15,28.15,-3.10,132
2025/04/08,"1,726,363","44,158,734",25.35,26.35,25.35,25.65,-2.50,865
2025/04/09,"2,026,895","48,982,807",25.65,25.65,23.4,23.75,-1.90,957
2025/04/10,"714,888","18,646,959",26.05,26.1,25.9,26.1,+2.35,301
2025/04/11,"541,858","13,900,756",26.1,26.1,24.95,25.85,-0.25,351
2025/04/14,"565,313","14,844,388",26.2,27.0,25.75,26.0,+0.15,404
2025/04/15,"525,619","14,218,052",26.15,27.6,26.15,27.55,+1.55,396
2025/04/16,"418,967","11,143,905",27.55,27.55,26.3,26.35,-1.20,411
2025/04/17,"320,647","8,363,844",26.35,26.35,25.7,26.15,-0.20,239
2025/04/18,"162,914","4,247,493",26.35,26.35,25.85,25.95,-0.20,130
2025/04/21,"323,420","8,239,582",26.05,26.1,25.2,25.2,-0.75,234
2025/04/22,"490,983","12,089,545",24.95,25.1,24.25,24.4,-0.80,257
2025/04/23,"215,619","5,445,002",24.9,25.5,24.9,25.25,+0.85,191
2025/04/24,"142,959","3,609,433",25.5,25.75,25.0,25.2,-0.05,135
2025/04/25,"196,527","5,017,777",25.6,25.7,25.3,25.4,+0.20,124
2025/04/28,"152,799","3,916,069",25.7,25.95,25.4,25.5,+0.10,121
2025/04/29,"203,600","5,278,513",25.65,26.05,25.6,26.0,+0.50,146
2025/04/30,"266,556","6,956,943",26.0,26.55,25.8,25.85,-0.15,182
2025/05/02,"340,019","9,009,102",26.05,26.8,26.0,26.8,+0.95,217
2025/05/05,"912,645","25,009,603",27.5,28.4,26.6,27.0,+0.20,641
