日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"51,887","767,518",14.90,14.90,14.70,14.70,-0.20,45
2025/01/03,"13,006","191,690",14.75,14.75,14.70,14.75,+0.05,9
2025/01/06,"40,704","599,881",14.75,14.85,14.60,14.75,0.00,32
2025/01/07,"68,000","1,002,250",14.70,14.80,14.70,14.75,0.00,18
2025/01/08,"20,137","298,518",14.75,14.85,14.75,14.85,+0.10,14
2025/01/09,"37,386","549,479",14.85,14.85,14.55,14.55,-0.30,44
2025/01/10,"62,313","903,097",14.55,14.65,14.40,14.65,+0.10,48
2025/01/13,"30,895","453,495",14.65,14.70,14.65,14.70,+0.05,30
2025/01/14,"54,028","795,561",14.65,14.95,14.55,14.85,+0.15,29
2025/01/15,"11,388","168,942",14.90,14.95,14.80,14.85,0.00,16
2025/01/16,"977,838","15,888,751",14.95,16.30,14.95,16.30,+1.45,254
2025/01/17,"4,683,346","77,966,292",14.70,17.90,14.70,15.05,-1.25,"1,926"
2025/01/20,"290,979","4,389,950",15.05,15.30,14.90,15.20,+0.15,198
2025/01/21,"130,266","1,976,592",15.35,15.35,15.05,15.25,+0.05,87
2025/01/22,"88,012","1,339,983",15.20,15.30,15.15,15.25,0.00,57
2025/02/03,"44,142","666,105",15.15,15.20,15.00,15.20,-0.05,54
2025/02/04,"52,173","782,761",15.05,15.10,14.90,14.90,-0.30,58
2025/02/05,"48,517","729,782",14.80,15.30,14.80,15.30,+0.40,49
2025/02/06,"144,289","2,225,025",15.05,15.50,15.05,15.50,+0.20,86
2025/02/07,"26,486","408,993",15.35,15.50,15.35,15.50,0.00,52
2025/02/10,"36,430","559,726",15.05,15.60,15.05,15.60,+0.10,47
2025/02/11,"42,320","647,654",15.20,15.55,15.15,15.50,-0.10,47
2025/02/12,"37,443","574,211",15.25,15.40,15.20,15.40,-0.10,50
2025/02/13,"33,516","515,712",15.25,15.50,15.25,15.45,+0.05,42
2025/02/14,"79,153","1,217,136",15.30,15.50,15.25,15.50,+0.05,46
2025/02/17,"71,089","1,104,541",15.50,15.65,15.50,15.55,+0.05,53
2025/02/18,"22,089","340,315",15.35,15.50,15.35,15.40,-0.15,23
