日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"672,588","6,534,379",9.64,9.95,9.63,9.95,0.17,440
2025/01/03,"869,885","8,553,806",9.86,9.92,9.76,9.76,-0.19,427
2025/01/06,"333,334","3,245,717",9.79,9.8,9.68,9.8,0.04,433
2025/01/07,"446,428","4,337,069",9.85,9.87,9.61,9.62,-0.18,426
2025/01/08,"364,622","3,492,704",9.63,9.77,9.52,9.77,0.15,321
2025/01/09,"758,200","7,231,658",9.76,9.76,9.43,9.43,-0.34,614
2025/01/10,"884,263","8,222,201",9.44,9.45,9.22,9.36,-0.07,728
2025/01/13,"802,333","7,277,218",9.36,9.36,8.96,9.14,-0.22,892
2025/01/14,"231,294","2,131,330",9.14,9.26,9.14,9.21,0.07,238
2025/01/15,"221,224","2,071,735",9.3,9.44,9.21,9.32,0.11,194
2025/01/16,"466,676","4,381,829",9.49,9.49,9.3,9.3,-0.02,340
2025/01/17,"224,800","2,108,533",9.31,9.42,9.3,9.38,0.08,207
2025/01/20,"356,235","3,295,456",9.38,9.38,9.22,9.28,-0.1,476
2025/01/21,"194,183","1,799,069",9.28,9.35,9.22,9.24,-0.04,290
2025/01/22,"391,694","3,626,056",9.26,9.33,9.21,9.33,0.09,325
2025/02/03,"446,635","4,104,647",9.33,9.33,9.06,9.22,-0.11,463
2025/02/04,"306,539","2,812,553",9.22,9.23,9.14,9.14,-0.08,457
2025/02/05,"270,681","2,523,733",9.26,9.39,9.24,9.38,0.24,204
2025/02/06,"238,705","2,259,097",9.38,9.55,9.36,9.49,0.11,273
2025/02/07,"243,912","2,299,288",9.49,9.57,9.38,9.4,-0.09,405
2025/02/10,"301,192","2,825,647",9.39,9.44,9.35,9.4,0.0,274
2025/02/11,"128,604","1,209,644",9.44,9.49,9.35,9.37,-0.03,219
2025/02/12,"173,500","1,629,927",9.42,9.44,9.35,9.38,0.01,219
2025/02/13,"652,854","6,243,938",9.38,9.7,9.38,9.7,0.32,449
2025/02/14,"256,135","2,480,449",9.71,9.74,9.62,9.74,0.04,332
2025/02/17,"269,996","2,641,993",9.92,9.92,9.72,9.74,0.0,270
2025/02/18,"288,034","2,806,295",9.78,9.8,9.67,9.76,0.02,232
2025/02/19,"149,363","1,465,124",9.84,9.85,9.76,9.85,0.09,183
2025/02/20,"886,252","8,886,602",9.85,10.25,9.85,9.96,0.11,507
2025/02/21,"1,960,541","20,258,917",9.96,10.65,9.92,10.4,0.44,"1,027"
2025/02/24,"677,556","6,942,340",10.4,10.4,10.2,10.2,-0.2,517
2025/02/25,"867,301","8,828,540",10.2,10.4,10.0,10.2,0.0,417
2025/02/26,"852,033","8,828,751",10.2,10.5,10.2,10.4,0.2,398
2025/02/27,"634,214","6,589,973",10.4,10.45,10.35,10.4,0.0,291
2025/03/03,"360,061","3,723,044",10.4,10.45,10.25,10.4,0.0,234
2025/03/04,"440,529","4,516,317",10.3,10.3,10.2,10.25,-0.15,254
2025/03/05,"350,303","3,606,414",10.25,10.4,10.25,10.25,0.0,198
2025/03/06,"359,067","3,669,675",10.35,10.35,10.15,10.15,-0.1,218
2025/03/07,"196,736","1,999,097",10.15,10.3,10.1,10.1,-0.05,144
2025/03/10,"384,805","3,883,943",10.1,10.15,10.0,10.1,0.0,184
2025/03/11,"1,083,202","10,839,855",10.05,10.2,9.85,10.15,0.05,426
2025/03/12,"397,344","4,004,753",10.1,10.15,10.0,10.05,-0.1,223
2025/03/13,"847,095","8,468,623",10.1,10.15,9.92,9.92,-0.13,388
2025/03/14,"570,805","5,693,957",9.93,10.1,9.9,10.1,0.18,315
2025/03/17,"371,345","3,712,448",10.0,10.1,9.96,9.96,-0.14,303
