日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"89,407","874,977",10.0,10.0,9.71,9.83,-0.17,158
2025/01/03,"57,305","557,903",9.83,9.83,9.67,9.7,-0.13,126
2025/01/06,"26,932","261,350",9.75,9.75,9.68,9.72,0.02,73
2025/01/07,"40,072","387,471",9.72,9.72,9.61,9.61,-0.11,91
2025/01/08,"37,156","356,063",9.6,9.6,9.57,9.58,-0.03,66
2025/01/09,"177,923","1,671,885",9.58,9.58,9.3,9.4,-0.18,143
2025/01/10,"42,601","399,939",9.4,9.4,9.34,9.4,0.0,85
2025/01/13,"107,840","997,227",9.22,9.45,9.14,9.29,-0.11,194
2025/01/14,"91,619","845,352",9.25,9.28,9.15,9.27,-0.02,217
2025/01/15,"79,374","730,648",9.27,9.27,9.05,9.25,-0.02,222
2025/01/16,"46,157","431,478",9.25,9.42,9.25,9.36,0.11,53
2025/01/17,"21,808","205,078",9.44,9.44,9.36,9.36,0.0,42
2025/01/20,"44,062","413,285",9.44,9.44,9.32,9.36,0.0,64
2025/01/21,"34,987","328,695",9.4,9.4,9.35,9.36,0.0,48
2025/01/22,"285,470","2,644,448",9.36,9.36,9.2,9.3,-0.06,262
2025/02/03,"34,864","322,755",9.3,9.3,9.2,9.24,-0.06,133
2025/02/04,"39,296","363,819",9.24,9.26,9.2,9.23,-0.01,186
2025/02/05,"21,090","195,769",9.23,9.31,9.23,9.26,0.03,75
2025/02/06,"83,077","773,362",9.26,9.37,9.25,9.28,0.02,119
2025/02/07,"95,415","881,219",9.3,9.3,9.2,9.24,-0.04,271
2025/02/10,"119,717","1,104,928",9.24,9.28,9.2,9.22,-0.02,265
2025/02/11,"51,234","474,246",9.25,9.32,9.2,9.29,0.07,90
2025/02/12,"154,695","1,438,454",9.31,9.36,9.24,9.36,0.07,115
2025/02/13,"57,150","538,257",9.36,9.45,9.36,9.45,0.09,87
2025/02/14,"103,850","987,928",9.45,9.59,9.45,9.57,0.12,103
2025/02/17,"85,149","817,694",9.62,9.65,9.57,9.61,0.04,88
2025/02/18,"1,506,727","15,606,290",9.91,10.55,9.9,10.55,0.94,641
2025/02/19,"1,903,043","21,370,201",11.55,11.55,10.7,11.1,0.55,791
2025/02/20,"377,732","4,130,230",11.0,11.1,10.8,10.85,-0.25,274
2025/02/21,"3,643,149","43,066,629",11.1,11.9,11.1,11.9,1.05,"1,464"
2025/02/24,"2,235,996","25,809,069",11.9,11.9,11.2,11.5,-0.4,946
2025/02/25,"4,286,722","51,081,371",11.35,12.65,11.35,12.55,1.05,"2,299"
2025/02/26,"6,516,999","88,201,171",12.6,13.8,12.4,13.8,1.25,"3,295"
2025/02/27,"4,328,289","61,109,646",13.8,14.75,13.35,13.7,-0.1,"1,832"
2025/03/03,"2,024,198","26,827,111",14.35,14.35,12.35,12.75,-0.95,"1,031"
2025/03/04,"1,527,116","19,065,128",13.0,13.0,12.1,12.4,-0.35,733
2025/03/05,"666,691","8,302,026",12.6,12.6,12.3,12.45,0.05,326
2025/03/06,"770,758","9,655,837",12.6,12.85,12.35,12.4,-0.05,401
2025/03/07,"456,527","5,566,257",12.3,12.45,12.1,12.3,-0.1,318
2025/03/10,"1,118,341","13,453,976",12.15,12.2,11.9,12.1,-0.2,322
2025/03/11,"614,988","7,459,038",11.85,12.3,11.8,12.2,0.1,330
2025/03/12,"981,263","12,383,825",12.0,12.95,12.0,12.75,0.55,387
2025/03/13,"546,086","6,881,401",12.55,12.8,12.5,12.5,-0.25,268
2025/03/14,"315,331","3,966,854",12.5,12.65,12.5,12.55,0.05,192
2025/03/17,"640,723","8,012,994",12.2,12.65,12.2,12.5,-0.05,193
2025/03/18,"307,838","3,878,737",12.6,12.65,12.55,12.6,0.1,147
2025/03/19,"314,238","3,935,576",12.6,12.6,12.5,12.5,-0.1,109
2025/03/20,"534,774","6,731,080",12.7,12.8,12.5,12.5,0.0,202
2025/03/21,"383,420","4,806,197",12.55,12.65,12.5,12.5,0.0,138
2025/03/24,"177,366","2,224,734",12.5,12.65,12.5,12.5,0.0,111
2025/03/25,"243,157","3,046,078",12.55,12.6,12.5,12.5,0.0,107
2025/03/26,"267,727","3,347,393",12.5,12.6,12.5,12.5,0.0,75
2025/03/27,"207,989","2,618,144",12.5,12.65,12.5,12.6,0.1,143
2025/03/28,"1,443,946","18,043,169",12.6,12.75,12.3,12.7,0.1,251
2025/03/31,"1,400,166","17,491,009",12.5,12.65,12.35,12.5,-0.2,201
2025/04/01,"2,553,969","34,716,443",12.55,13.75,12.55,13.75,1.25,"3,743"
2025/04/02,"1,224,091","15,943,555",13.2,13.25,12.8,12.9,-0.85,681
2025/04/07,"444,844","5,182,382",11.65,11.65,11.65,11.65,-1.25,195
2025/04/08,"1,157,396","12,420,031",10.65,11.4,10.5,10.85,-0.8,480
2025/04/09,"1,035,216","10,713,943",10.9,10.9,9.98,10.2,-0.65,329
