日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"645,225","4,611,512",7.19,7.2,7.05,7.17,-0.03,343
2025/01/03,"382,296","2,724,477",7.13,7.16,7.06,7.14,-0.03,206
2025/01/06,"425,916","3,047,370",7.1,7.2,7.06,7.2,0.06,172
2025/01/07,"405,826","2,890,562",7.19,7.19,7.06,7.17,-0.03,160
2025/01/08,"440,721","3,122,214",7.06,7.15,7.05,7.11,-0.06,117
2025/01/09,"462,785","3,259,580",7.09,7.1,6.99,7.08,-0.03,187
2025/01/10,"247,842","1,733,630",7.06,7.06,6.97,7.0,-0.08,138
2025/01/13,"456,131","3,168,035",7.01,7.03,6.8,7.03,0.03,255
2025/01/14,"332,270","2,326,059",6.91,7.04,6.91,7.04,0.01,134
2025/01/15,"181,318","1,274,612",7.04,7.05,6.99,7.05,0.01,93
2025/01/16,"286,074","2,019,294",7.05,7.08,7.03,7.08,0.03,107
2025/01/17,"207,261","1,466,084",7.08,7.13,7.04,7.1,0.02,103
2025/01/20,"306,527","2,178,805",7.12,7.13,7.08,7.13,0.03,156
2025/01/21,"151,691","1,079,900",7.13,7.13,7.1,7.13,0.0,91
2025/01/22,"237,292","1,689,532",7.13,7.14,7.1,7.13,0.0,129
2025/02/03,"194,144","1,372,010",7.13,7.13,7.02,7.04,-0.09,132
2025/02/04,"405,734","2,843,315",7.04,7.04,6.98,6.98,-0.06,155
2025/02/05,"138,844","980,009",7.07,7.08,7.02,7.02,0.04,105
2025/02/06,"228,875","1,613,921",7.09,7.1,7.02,7.02,0.0,137
2025/02/07,"346,853","2,439,535",7.05,7.06,7.01,7.03,0.01,205
2025/02/10,"265,581","1,866,663",7.02,7.1,7.0,7.06,0.03,121
2025/02/11,"282,161","1,988,095",7.1,7.1,7.0,7.0,-0.06,142
2025/02/12,"522,228","3,656,947",7.01,7.03,6.98,6.99,-0.01,175
2025/02/13,"599,072","4,249,105",7.01,7.14,7.01,7.14,0.15,240
2025/02/14,"425,873","3,025,531",7.14,7.19,7.06,7.12,-0.02,199
2025/02/17,"1,165,111","8,392,000",7.15,7.28,7.13,7.22,0.1,410
2025/02/18,"657,723","4,736,233",7.24,7.25,7.17,7.19,-0.03,218
