日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"104,164","2,591,797",24.9,25.0,24.75,24.75,-0.15,93
2025/01/03,"107,439","2,662,444",24.8,24.95,24.7,24.85,+0.10,71
2025/01/06,"1,923,932","49,485,167",24.85,26.5,24.85,25.2,+0.35,599
2025/01/07,"219,876","5,577,329",25.4,25.5,25.25,25.25,+0.05,167
2025/01/08,"97,932","2,492,556",25.5,25.65,25.35,25.45,+0.20,108
2025/01/09,"204,493","5,146,416",25.45,25.45,25.0,25.05,-0.40,244
2025/01/10,"264,102","6,586,763",25.1,25.4,24.75,25.0,-0.05,297
2025/01/13,"206,182","5,108,890",25.0,25.0,24.65,24.8,-0.20,113
2025/01/14,"54,698","1,360,778",24.8,25.0,24.75,24.9,+0.10,36
2025/01/15,"196,800","4,829,964",24.35,24.7,24.3,24.6,-0.30,131
2025/01/16,"66,622","1,649,049",24.6,24.9,24.6,24.7,+0.10,54
2025/01/17,"88,589","2,195,492",24.85,24.85,24.7,24.7,0.00,37
2025/01/20,"97,617","2,419,038",24.8,24.95,24.6,24.75,+0.05,58
2025/01/21,"83,844","2,077,777",24.7,24.85,24.65,24.75,0.00,49
2025/01/22,"42,361","1,049,625",24.75,24.85,24.75,24.85,+0.10,39
2025/02/03,"158,630","3,925,554",24.85,25.05,24.6,24.6,-0.25,106
2025/02/04,"60,505","1,496,082",24.6,24.9,24.6,24.6,0.00,63
2025/02/05,"70,447","1,754,116",24.95,24.95,24.85,24.85,+0.25,24
2025/02/06,"78,615","1,943,077",24.75,24.95,24.6,24.6,-0.25,76
2025/02/07,"97,300","2,421,119",24.6,25.0,24.6,25.0,+0.40,75
2025/02/10,"74,552","1,848,935",24.9,25.0,24.7,24.8,-0.20,78
2025/02/11,"299,193","7,455,941",25.0,25.25,24.65,24.8,0.00,176
2025/02/12,"92,529","2,299,354",24.9,25.05,24.65,24.95,+0.15,74
2025/02/13,"65,858","1,639,070",24.95,25.05,24.75,24.8,-0.15,77
2025/02/14,"34,310","849,069",24.75,24.8,24.7,24.8,0.00,32
2025/02/17,"35,734","885,540",24.7,24.9,24.65,24.85,+0.05,53
2025/02/18,"103,642","2,576,280",24.8,25.0,24.7,25.0,+0.15,77
2025/02/19,"73,883","1,832,226",24.9,24.9,24.7,24.75,-0.25,158
2025/02/20,"24,869","618,303",24.75,24.95,24.75,24.8,+0.05,36
2025/02/21,"50,091","1,249,021",25.0,25.0,24.85,24.95,+0.15,39
2025/02/24,"29,518","734,141",24.95,24.95,24.8,24.85,-0.10,50
2025/02/25,"791,438","20,163,683",24.85,26.0,24.85,25.25,+0.40,476
2025/02/26,"717,300","18,788,423",25.7,26.9,25.5,26.5,+1.25,466
2025/02/27,"2,363,255","64,509,496",27.1,28.2,26.55,27.6,+1.10,"3,824"
2025/03/03,"6,841,640","200,215,963",28.0,30.1,27.9,29.5,+1.90,"5,034"
2025/03/04,"2,944,479","85,719,505",29.9,30.4,28.15,29.6,+0.10,"2,289"
2025/03/05,"1,606,873","47,354,419",30.25,30.25,28.75,29.0,-0.60,"1,468"
2025/03/06,"1,004,293","29,149,884",28.8,29.7,28.6,29.0,0.00,912
2025/03/07,"601,766","17,236,297",28.9,29.15,28.4,28.4,-0.60,588
2025/03/10,"642,032","18,233,799",28.9,29.3,27.6,28.0,-0.40,661
2025/03/11,"1,621,787","43,125,463",27.7,27.85,25.6,26.75,-1.25,"1,094"
2025/03/12,"1,248,884","35,533,403",27.95,29.3,27.2,29.3,+2.55,"1,337"
2025/03/13,"4,412,991","122,818,726",28.1,28.6,26.5,28.3,-1.00,"2,449"
2025/03/14,"3,662,203","106,017,176",28.55,29.75,28.0,28.4,+0.10,"2,692"
2025/03/17,"6,566,641","197,944,597",28.15,31.2,28.1,31.1,+2.70,"3,514"
2025/03/18,"4,499,379","136,352,746",31.05,31.1,29.55,30.2,-0.90,"3,470"
2025/03/19,"1,948,750","57,574,956",30.0,30.2,28.8,29.6,-0.60,"1,323"
2025/03/20,"2,017,378","59,996,101",29.9,30.05,29.45,29.6,0.00,897
2025/03/21,"2,853,346","85,346,175",29.8,30.05,29.65,30.0,+0.40,967
2025/03/24,"3,949,502","121,051,857",30.4,31.0,30.15,30.45,+0.45,"1,743"
2025/03/25,"2,563,357","76,881,171",30.9,30.9,29.7,29.75,-0.70,"1,487"
2025/03/26,"3,348,308","99,203,009",30.0,30.3,28.95,29.9,+0.15,989
2025/03/27,"1,329,173","38,246,214",29.9,30.0,27.8,27.8,-2.10,"1,584"
2025/03/28,"1,499,335","40,870,363",28.3,28.3,26.65,27.25,-0.55,"1,006"
2025/03/31,"2,278,900","59,181,288",26.6,26.8,25.25,26.6,-0.65,"1,029"
2025/04/01,"644,356","17,267,157",26.8,27.35,26.3,27.0,+0.40,508
