日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"2,090,540","35,288,332",16.7,17.2,16.45,16.85,+0.20,"1,082"
2025/01/03,"1,379,318","23,097,577",16.9,17.15,16.45,16.5,-0.35,695
2025/01/06,"1,531,320","25,738,058",16.55,17.0,16.55,16.9,+0.40,694
2025/01/07,"1,156,660","19,455,343",17.15,17.15,16.65,16.65,-0.25,559
2025/01/08,"788,341","13,092,166",16.65,16.75,16.5,16.7,+0.05,382
2025/01/09,"1,839,693","31,105,885",16.8,17.1,16.7,16.85,+0.15,829
2025/01/10,"2,241,312","37,837,206",16.95,17.35,16.55,16.6,-0.25,"1,035"
2025/01/13,"2,166,205","35,825,189",16.6,16.8,16.2,16.8,+0.20,999
2025/01/14,"881,287","14,744,649",16.8,16.85,16.6,16.85,+0.05,535
2025/01/15,"1,057,472","17,728,036",16.85,17.15,16.5,16.5,-0.35,570
2025/01/16,"857,389","14,382,108",16.65,16.9,16.65,16.85,+0.35,479
2025/01/17,"3,373,600","57,989,488",16.95,17.55,16.9,17.45,+0.60,"1,504"
2025/01/20,"2,503,928","43,517,965",17.7,17.7,17.0,17.6,+0.15,"1,305"
2025/01/21,"1,151,933","20,113,785",17.5,17.75,17.2,17.5,-0.10,689
2025/01/22,"1,358,235","23,421,150",17.65,17.65,17.1,17.2,-0.30,805
2025/02/03,"917,312","15,590,542",17.0,17.3,16.5,17.15,-0.05,590
2025/02/04,"787,189","13,554,638",17.25,17.35,17.1,17.2,+0.05,469
2025/02/05,"1,382,183","24,154,774",17.35,17.7,17.25,17.5,+0.30,758
2025/02/06,"6,309,839","113,717,624",17.65,18.45,17.65,17.8,+0.30,"2,481"
2025/02/07,"2,814,588","50,433,795",17.75,18.3,17.65,17.8,0.00,"1,358"
2025/02/10,"6,004,769","110,503,560",18.1,18.8,17.85,18.7,+0.90,"2,555"
2025/02/11,"3,780,424","69,843,983",18.7,18.85,18.1,18.65,-0.05,"1,885"
2025/02/12,"3,941,432","74,667,748",18.85,19.15,18.65,19.0,+0.35,"2,123"
2025/02/13,"2,062,191","38,759,187",19.0,19.1,18.65,18.85,-0.15,"1,282"
2025/02/14,"4,288,828","80,240,950",18.95,19.45,18.15,18.4,-0.45,"2,014"
2025/02/17,"1,238,468","22,723,988",18.45,18.55,18.2,18.3,-0.10,732
2025/02/18,"2,077,875","37,730,837",18.25,18.45,17.9,18.45,+0.15,"1,008"
2025/02/19,"931,321","17,139,455",18.35,18.5,18.3,18.5,+0.05,492
2025/02/20,"750,047","13,842,611",18.45,18.6,18.35,18.35,-0.15,470
2025/02/21,"801,563","14,682,318",18.3,18.45,18.2,18.45,+0.10,513
2025/02/24,"1,232,157","22,752,814",18.3,18.6,18.25,18.5,+0.05,593
2025/02/25,"1,366,679","25,552,545",18.45,18.95,18.4,18.65,+0.15,759
