日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2025/01/02,"57,419","670,583",11.8,11.8,11.65,11.65,0.0,52
2025/01/03,"99,374","1,156,671",11.65,11.75,11.55,11.7,0.05,65
2025/01/06,"67,501","793,559",11.7,11.8,11.65,11.75,0.05,54
2025/01/07,"154,173","1,836,513",11.8,12.0,11.7,11.85,0.1,87
2025/01/08,"220,641","2,661,334",11.95,12.2,11.95,12.05,0.2,109
2025/01/09,"115,272","1,393,526",12.05,12.15,11.95,12.1,0.05,74
2025/01/10,"167,009","2,080,134",12.25,12.65,12.25,12.45,0.35,115
2025/01/13,"183,546","2,191,555",12.1,12.15,11.85,11.9,-0.55,108
2025/01/14,"46,327","548,511",11.85,11.9,11.75,11.85,-0.05,79
2025/01/15,"98,616","1,157,695",11.85,11.9,11.7,11.7,-0.15,63
2025/01/16,"59,855","696,766",11.7,11.85,11.5,11.65,-0.05,55
2025/01/17,"36,383","425,489",11.65,11.8,11.65,11.65,0.0,63
2025/01/20,"76,030","894,236",11.65,11.85,11.65,11.75,0.1,67
2025/01/21,"71,004","842,797",11.85,11.95,11.8,11.85,0.1,35
2025/01/22,"312,337","3,715,542",11.85,12.1,11.7,11.85,0.0,114
2025/02/03,"126,014","1,481,328",11.75,12.05,11.5,11.75,-0.1,107
2025/02/04,"68,792","811,661",11.85,11.9,11.7,11.75,0.0,71
2025/02/05,"163,842","1,938,077",11.75,11.95,11.75,11.85,0.1,71
2025/02/06,"156,333","1,890,469",12.05,12.15,11.9,12.1,0.25,65
2025/02/07,"146,325","1,812,617",12.25,12.6,12.1,12.45,0.35,109
2025/02/10,"221,558","2,789,271",12.45,12.85,12.3,12.5,0.05,136
2025/02/11,"109,493","1,364,657",12.35,12.55,12.35,12.55,0.05,69
2025/02/12,"239,831","3,050,805",12.75,12.9,12.55,12.65,0.1,120
2025/02/13,"93,706","1,176,579",12.55,12.65,12.45,12.55,-0.1,94
2025/02/14,"46,474","585,192",12.65,12.65,12.55,12.6,0.05,36
2025/02/17,"247,407","3,186,753",12.7,13.0,12.7,13.0,0.4,137
2025/02/18,"62,130","801,587",13.2,13.2,12.8,12.9,-0.1,56
2025/02/19,"71,785","930,884",12.9,13.1,12.9,12.95,0.05,51
2025/02/20,"162,556","2,128,247",12.95,13.2,12.95,13.15,0.2,103
2025/02/21,"544,615","7,468,180",13.3,14.4,13.2,13.5,0.35,355
2025/02/24,"239,442","3,257,140",13.55,13.85,13.45,13.45,-0.05,123
2025/02/25,"69,736","940,816",13.25,13.65,13.25,13.55,0.1,99
2025/02/26,"47,124","645,501",13.65,13.8,13.55,13.6,0.05,65
2025/02/27,"193,488","2,632,806",13.55,13.9,13.45,13.55,-0.05,126
2025/03/03,"67,386","909,418",13.6,13.6,13.4,13.4,-0.15,62
2025/03/04,"63,563","846,306",13.4,13.4,13.2,13.4,0.0,68
2025/03/05,"117,341","1,552,022",13.4,13.4,13.15,13.15,-0.25,95
2025/03/06,"70,320","932,324",13.25,13.35,13.15,13.2,0.05,74
2025/03/07,"134,027","1,768,154",13.2,13.3,13.1,13.1,-0.1,67
2025/03/10,"3,496,549","50,150,261",13.5,14.4,13.5,14.4,1.3,"1,224"
2025/03/11,"7,620,683","115,125,069",14.75,15.45,14.75,15.25,0.85,"3,271"
2025/03/12,"9,264,214","153,183,869",15.2,16.75,15.2,16.75,1.5,"3,419"
